rank,fandom,loyalty,spillover,sum,dominant_raw_factor,dominant_F,quadrant,frozen_rank,frozen_loyalty,frozen_spillover
39,김동률,0.496,0.151,0.647,현장경제형(콘서트·투어·매진),F3,내부결속형,92,0.165,0.028
40,슈퍼주니어,0.354,0.284,0.638,현장경제형(콘서트·투어·매진),F3,외부견인형,54,0.347,0.257
41,박재범,0.4,0.233,0.633,현장경제형(콘서트·투어·매진),F3,내부결속형,30,0.437,0.316
42,윤하,0.467,0.164,0.631,현장경제형(콘서트·투어·매진),F3,내부결속형,72,0.314,0.144
43,빅뱅,0.289,0.333,0.622,현장경제형(콘서트·투어·매진),F3,외부견인형,40,0.324,0.34
44,리센느(RESCENE),0.359,0.262,0.621,현장경제형(콘서트·투어·매진),F3,주변부,32,0.444,0.304
45,엔믹스,0.364,0.256,0.62,현장경제형(콘서트·투어·매진),F3,주변부,28,0.505,0.298
46,QWER,0.356,0.263,0.619,현장경제형(콘서트·투어·매진),F3,주변부,57,0.379,0.216
47,BTOB,0.484,0.127,0.611,현장경제형(콘서트·투어·매진),F3,내부결속형,36,0.563,0.159
48,김호중,0.464,0.145,0.609,현장경제형(콘서트·투어·매진),F3,내부결속형,33,0.537,0.205
49,김재중,0.448,0.159,0.607,현장경제형(콘서트·투어·매진),F3,내부결속형,66,0.322,0.223
50,잭스키스,0.499,0.103,0.602,현장경제형(콘서트·투어·매진),F3,내부결속형,75,0.341,0.083
51,IVE,0.335,0.266,0.601,현장경제형(콘서트·투어·매진),F3,주변부,64,0.314,0.243
52,ITZY,0.33,0.253,0.583,현장경제형(콘서트·투어·매진),F3,주변부,59,0.35,0.242
53,지코,0.176,0.388,0.564,현장경제형(콘서트·투어·매진),F3,외부견인형,31,0.278,0.473
54,오마이걸,0.307,0.249,0.556,현장경제형(콘서트·투어·매진),F3,주변부,46,0.388,0.257
55,여자친구,0.381,0.173,0.554,현장경제형(콘서트·투어·매진),F3,내부결속형,58,0.427,0.166
56,프로미스나인,0.315,0.233,0.548,현장경제형(콘서트·투어·매진),F3,주변부,44,0.305,0.341
57,Hearts2Hearts,0.181,0.359,0.54,현장경제형(콘서트·투어·매진),F3,외부견인형,51,0.272,0.344
58,A-pink,0.281,0.258,0.539,현장경제형(콘서트·투어·매진),F3,주변부,47,0.42,0.214
59,최예나,0.336,0.195,0.531,현장경제형(콘서트·투어·매진),F3,주변부,35,0.393,0.332
60,브라운아이즈,0.284,0.225,0.509,현장경제형(콘서트·투어·매진),F3,주변부,98,0.064,0.037
61,샤이니,0.365,0.143,0.508,현장경제형(콘서트·투어·매진),F3,주변부,45,0.394,0.251
62,마마무,0.251,0.248,0.499,현장경제형(콘서트·투어·매진),F3,주변부,48,0.38,0.252
63,STAYC,0.333,0.151,0.484,현장경제형(콘서트·투어·매진),F3,주변부,61,0.376,0.205
64,동방신기,0.287,0.181,0.468,현장경제형(콘서트·투어·매진),F3,주변부,49,0.34,0.288
65,나훈아,0.408,0.056,0.464,현장경제형(콘서트·투어·매진),F3,내부결속형,60,0.459,0.128
66,츄,0.229,0.234,0.463,현장경제형(콘서트·투어·매진),F3,주변부,55,0.348,0.254
67,볼빨간사춘기,0.331,0.124,0.455,현장경제형(콘서트·투어·매진),F3,주변부,79,0.267,0.126
68,sg워너비,0.369,0.083,0.452,현장경제형(콘서트·투어·매진),F3,주변부,85,0.212,0.084
69,10CM,0.333,0.115,0.448,현장경제형(콘서트·투어·매진),F3,주변부,65,0.386,0.17
70,CNBLUE,0.226,0.219,0.445,현장경제형(콘서트·투어·매진),F3,주변부,42,0.323,0.331
71,로이킴,0.235,0.207,0.442,현장경제형(콘서트·투어·매진),F3,주변부,50,0.336,0.283
72,성시경,0.343,0.089,0.432,현장경제형(콘서트·투어·매진),F3,주변부,53,0.408,0.197
73,Crush,0.206,0.222,0.428,현장경제형(콘서트·투어·매진),F3,주변부,56,0.329,0.271
74,빈지노,0.246,0.169,0.415,현장경제형(콘서트·투어·매진),F3,주변부,,,
75,빅마마,0.325,0.088,0.413,현장경제형(콘서트·투어·매진),F3,주변부,78,0.301,0.098
76,다비치,0.265,0.14,0.405,현장경제형(콘서트·투어·매진),F3,주변부,62,0.395,0.168
77,에픽하이,0.34,0.061,0.401,현장경제형(콘서트·투어·매진),F3,주변부,70,0.412,0.065
78,장윤정,0.14,0.246,0.386,현장경제형(콘서트·투어·매진),F3,주변부,86,0.092,0.195
79,보아,0.278,0.104,0.382,현장경제형(콘서트·투어·매진),F3,주변부,69,0.36,0.152
80,거미,0.23,0.148,0.378,현장경제형(콘서트·투어·매진),F3,주변부,99,0.083,0.006
81,조용필,0.174,0.199,0.373,현장경제형(콘서트·투어·매진),F3,주변부,74,0.244,0.206
82,이승철,0.131,0.229,0.36,현장경제형(콘서트·투어·매진),F3,주변부,87,0.093,0.169
83,권은비,0.149,0.208,0.357,현장경제형(콘서트·투어·매진),F3,주변부,52,0.24,0.373
84,윤도현,0.223,0.122,0.345,현장경제형(콘서트·투어·매진),F3,주변부,88,0.144,0.102
85,린,0.1,0.216,0.316,현장경제형(콘서트·투어·매진),F3,주변부,89,0.133,0.105
86,다이나믹듀오,0.208,0.105,0.313,현장경제형(콘서트·투어·매진),F3,주변부,82,0.267,0.07
87,악동뮤지션,0.101,0.205,0.306,현장경제형(콘서트·투어·매진),F3,주변부,63,0.252,0.311
88,FTISLAND,0.195,0.102,0.297,현장경제형(콘서트·투어·매진),F3,주변부,81,0.19,0.168
89,케이윌,0.287,0.0,0.287,현장경제형(콘서트·투어·매진),F3,주변부,73,0.398,0.056
90,청하,0.066,0.209,0.275,현장경제형(콘서트·투어·매진),F3,주변부,71,0.166,0.293
91,Zion.T,0.095,0.17,0.265,현장경제형(콘서트·투어·매진),F3,주변부,93,0.049,0.116
92,김연자,0.08,0.18,0.26,현장경제형(콘서트·투어·매진),F3,주변부,77,0.159,0.242
93,이문세,0.054,0.202,0.256,현장경제형(콘서트·투어·매진),F3,주변부,97,0.007,0.115
94,카더가든,0.094,0.133,0.227,현장경제형(콘서트·투어·매진),F3,주변부,84,0.142,0.193
95,백지영,0.109,0.118,0.227,현장경제형(콘서트·투어·매진),F3,주변부,91,0.11,0.114
96,비비,0.058,0.146,0.204,현장경제형(콘서트·투어·매진),F3,주변부,83,0.188,0.147
97,잔나비,0.03,0.155,0.185,현장경제형(콘서트·투어·매진),F3,주변부,90,0.114,0.122
98,엄정화,0.0,0.183,0.183,현장경제형(콘서트·투어·매진),F3,주변부,80,0.094,0.278
99,박정현,0.003,0.171,0.174,현장경제형(콘서트·투어·매진),F3,주변부,76,0.151,0.252
100,투어스(TWS),0.028,0.073,0.101,소비력형(초동·판매·앨범),F2,주변부,,,
