페르소나,F 조합,팬덤,카테고리,합산 순위,팬충성도,파급효과,4구획,1위 F,1위 F 비중,2위 F,2위 F 비중,동결 페르소나
글로벌투어형,F3+F5,워너원,K-pop 보이그룹,18,0.472,0.393,핵심전략형,F3 현장경제 경로,0.6095,F5 대중·글로벌 확산 경로,0.1351,원정소비형
글로벌투어형,F3+F5,HOT,원로그룹,20,0.551,0.31,핵심전략형,F3 현장경제 경로,0.6393,F5 대중·글로벌 확산 경로,0.1565,글로벌투어형
글로벌투어형,F3+F5,BABYMONSTER,K-pop 걸그룹,21,0.574,0.276,핵심전략형,F3 현장경제 경로,0.4907,F5 대중·글로벌 확산 경로,0.2104,글로벌투어형
글로벌투어형,F3+F5,(여자)아이들,K-pop 걸그룹,22,0.451,0.385,핵심전략형,F3 현장경제 경로,0.5646,F5 대중·글로벌 확산 경로,0.1722,글로벌투어형
글로벌투어형,F3+F5,LE SSERAFIM,K-pop 걸그룹,24,0.357,0.47,외부견인형,F3 현장경제 경로,0.4446,F5 대중·글로벌 확산 경로,0.1919,글로벌투어형
글로벌투어형,F3+F5,GOT7,K-pop 보이그룹,25,0.476,0.349,핵심전략형,F3 현장경제 경로,0.49,F5 대중·글로벌 확산 경로,0.2964,글로벌투어형
글로벌투어형,F3+F5,몬스타엑스,K-pop 보이그룹,29,0.563,0.183,내부결속형,F3 현장경제 경로,0.6163,F5 대중·글로벌 확산 경로,0.2072,해당 없음(동결 로스터 밖)
글로벌투어형,F3+F5,이찬원,트로트,30,0.419,0.322,핵심전략형,F3 현장경제 경로,0.4632,F5 대중·글로벌 확산 경로,0.1728,집단동원형
글로벌투어형,F3+F5,IKON,K-pop 보이그룹,32,0.579,0.116,내부결속형,F3 현장경제 경로,0.63,F5 대중·글로벌 확산 경로,0.152,원정소비형
글로벌투어형,F3+F5,아이오아이,K-pop 걸그룹,33,0.535,0.149,내부결속형,F3 현장경제 경로,0.6134,F5 대중·글로벌 확산 경로,0.1549,글로벌투어형
글로벌투어형,F3+F5,이영지,힙합,34,0.411,0.269,핵심전략형,F3 현장경제 경로,0.5057,F5 대중·글로벌 확산 경로,0.2057,글로벌투어형
글로벌투어형,F3+F5,박효신,발라드,35,0.49,0.185,내부결속형,F3 현장경제 경로,0.6302,F5 대중·글로벌 확산 경로,0.1391,현장상업형
글로벌투어형,F3+F5,아일릿,K-pop 걸그룹,36,0.33,0.337,외부견인형,F3 현장경제 경로,0.367,F5 대중·글로벌 확산 경로,0.3279,글로벌투어형
글로벌투어형,F3+F5,송가인,트로트,38,0.343,0.312,외부견인형,F3 현장경제 경로,0.6901,F5 대중·글로벌 확산 경로,0.0931,집단동원형
글로벌투어형,F3+F5,김동률,발라드,39,0.496,0.151,내부결속형,F3 현장경제 경로,0.6349,F5 대중·글로벌 확산 경로,0.1387,원정소비형
글로벌투어형,F3+F5,윤하,솔로,42,0.467,0.164,내부결속형,F3 현장경제 경로,0.5218,F5 대중·글로벌 확산 경로,0.2958,글로벌투어형
글로벌투어형,F3+F5,리센느(RESCENE),K-pop 걸그룹,44,0.359,0.262,주변부,F3 현장경제 경로,0.5287,F5 대중·글로벌 확산 경로,0.2083,글로벌투어형
글로벌투어형,F3+F5,QWER,K-pop 걸그룹,46,0.356,0.263,주변부,F3 현장경제 경로,0.5508,F5 대중·글로벌 확산 경로,0.1468,글로벌투어형
글로벌투어형,F3+F5,BTOB,K-pop 보이그룹,47,0.484,0.127,내부결속형,F3 현장경제 경로,0.5183,F5 대중·글로벌 확산 경로,0.1401,현장상업형
글로벌투어형,F3+F5,잭스키스,원로그룹,50,0.499,0.103,내부결속형,F3 현장경제 경로,0.6447,F5 대중·글로벌 확산 경로,0.1249,집단동원형
글로벌투어형,F3+F5,IVE,K-pop 걸그룹,51,0.335,0.266,주변부,F3 현장경제 경로,0.4618,F5 대중·글로벌 확산 경로,0.1673,원정소비형
글로벌투어형,F3+F5,ITZY,K-pop 걸그룹,52,0.33,0.253,주변부,F3 현장경제 경로,0.4283,F5 대중·글로벌 확산 경로,0.1922,글로벌투어형
글로벌투어형,F3+F5,지코,힙합,53,0.176,0.388,외부견인형,F3 현장경제 경로,0.5082,F5 대중·글로벌 확산 경로,0.2719,글로벌투어형
글로벌투어형,F3+F5,여자친구,K-pop 걸그룹,55,0.381,0.173,내부결속형,F3 현장경제 경로,0.6151,F5 대중·글로벌 확산 경로,0.1537,원정소비형
글로벌투어형,F3+F5,프로미스나인,K-pop 걸그룹,56,0.315,0.233,주변부,F3 현장경제 경로,0.4403,F5 대중·글로벌 확산 경로,0.2421,글로벌투어형
글로벌투어형,F3+F5,Hearts2Hearts,K-pop 걸그룹,57,0.181,0.359,외부견인형,F3 현장경제 경로,0.4214,F5 대중·글로벌 확산 경로,0.1969,글로벌투어형
글로벌투어형,F3+F5,A-pink,K-pop 걸그룹,58,0.281,0.258,주변부,F3 현장경제 경로,0.5806,F5 대중·글로벌 확산 경로,0.1322,현장상업형
글로벌투어형,F3+F5,브라운아이즈,발라드,60,0.284,0.225,주변부,F3 현장경제 경로,0.4378,F5 대중·글로벌 확산 경로,0.322,현장상업형
글로벌투어형,F3+F5,샤이니,K-pop 보이그룹,61,0.365,0.143,주변부,F3 현장경제 경로,0.7109,F5 대중·글로벌 확산 경로,0.1572,글로벌투어형
글로벌투어형,F3+F5,마마무,K-pop 걸그룹,62,0.251,0.248,주변부,F3 현장경제 경로,0.4873,F5 대중·글로벌 확산 경로,0.2009,글로벌투어형
글로벌투어형,F3+F5,STAYC,K-pop 걸그룹,63,0.333,0.151,주변부,F3 현장경제 경로,0.5239,F5 대중·글로벌 확산 경로,0.1627,글로벌투어형
글로벌투어형,F3+F5,볼빨간사춘기,솔로,67,0.331,0.124,주변부,F3 현장경제 경로,0.5199,F5 대중·글로벌 확산 경로,0.2144,현장상업형
글로벌투어형,F3+F5,sg워너비,발라드,68,0.369,0.083,주변부,F3 현장경제 경로,0.5816,F5 대중·글로벌 확산 경로,0.1574,현장상업형
글로벌투어형,F3+F5,10CM,솔로,69,0.333,0.115,주변부,F3 현장경제 경로,0.5683,F5 대중·글로벌 확산 경로,0.221,글로벌투어형
글로벌투어형,F3+F5,CNBLUE,K-pop 보이그룹 /록,70,0.226,0.219,주변부,F3 현장경제 경로,0.5613,F5 대중·글로벌 확산 경로,0.1671,글로벌투어형
글로벌투어형,F3+F5,로이킴,발라드,71,0.235,0.207,주변부,F3 현장경제 경로,0.6658,F5 대중·글로벌 확산 경로,0.153,현장상업형
글로벌투어형,F3+F5,Crush,솔로,73,0.206,0.222,주변부,F3 현장경제 경로,0.5152,F5 대중·글로벌 확산 경로,0.1894,현장상업형
글로벌투어형,F3+F5,빈지노,힙합,74,0.246,0.169,주변부,F3 현장경제 경로,0.4928,F5 대중·글로벌 확산 경로,0.2591,해당 없음(동결 로스터 밖)
글로벌투어형,F3+F5,빅마마,발라드,75,0.325,0.088,주변부,F3 현장경제 경로,0.4758,F5 대중·글로벌 확산 경로,0.2716,글로벌투어형
글로벌투어형,F3+F5,다비치,발라드,76,0.265,0.14,주변부,F3 현장경제 경로,0.4599,F5 대중·글로벌 확산 경로,0.2425,현장상업형
글로벌투어형,F3+F5,에픽하이,힙합,77,0.34,0.061,주변부,F3 현장경제 경로,0.7061,F5 대중·글로벌 확산 경로,0.1346,글로벌투어형
글로벌투어형,F3+F5,장윤정,트로트,78,0.14,0.246,주변부,F3 현장경제 경로,0.6164,F5 대중·글로벌 확산 경로,0.1706,현장상업형
글로벌투어형,F3+F5,보아,솔로,79,0.278,0.104,주변부,F3 현장경제 경로,0.6687,F5 대중·글로벌 확산 경로,0.1507,현장상업형
글로벌투어형,F3+F5,조용필,발라드,81,0.174,0.199,주변부,F3 현장경제 경로,0.4885,F5 대중·글로벌 확산 경로,0.1899,글로벌투어형
글로벌투어형,F3+F5,다이나믹듀오,힙합,86,0.208,0.105,주변부,F3 현장경제 경로,0.7201,F5 대중·글로벌 확산 경로,0.1433,글로벌투어형
글로벌투어형,F3+F5,악동뮤지션,혼성,87,0.101,0.205,주변부,F3 현장경제 경로,0.4905,F5 대중·글로벌 확산 경로,0.2334,글로벌투어형
글로벌투어형,F3+F5,청하,솔로,90,0.066,0.209,주변부,F3 현장경제 경로,0.4005,F5 대중·글로벌 확산 경로,0.1797,글로벌투어형
글로벌투어형,F3+F5,Zion.T,솔로,91,0.095,0.17,주변부,F3 현장경제 경로,0.5775,F5 대중·글로벌 확산 경로,0.1874,현장상업형
글로벌투어형,F3+F5,카더가든,솔로,94,0.094,0.133,주변부,F3 현장경제 경로,0.5567,F5 대중·글로벌 확산 경로,0.138,현장상업형
글로벌투어형,F3+F5,엄정화,솔로,98,0.0,0.183,주변부,F3 현장경제 경로,0.5958,F5 대중·글로벌 확산 경로,0.1408,현장상업형
글로벌투어형,F3+F5,박정현,발라드,99,0.003,0.171,주변부,F3 현장경제 경로,0.5477,F5 대중·글로벌 확산 경로,0.1796,현장상업형
원정소비형,F2+F3,BLACKPINK,K-pop 걸그룹,4,0.674,0.752,핵심전략형,F3 현장경제 경로,0.3868,F2 직접소비 경로,0.2339,원정소비형
원정소비형,F2+F3,NewJeans,K-pop 걸그룹,14,0.385,0.547,핵심전략형,F3 현장경제 경로,0.3524,F2 직접소비 경로,0.2326,원정소비형
원정소비형,F2+F3,레드벨벳,K-pop 걸그룹,26,0.56,0.264,내부결속형,F3 현장경제 경로,0.6125,F2 직접소비 경로,0.1228,원정소비형
원정소비형,F2+F3,DAY6,K-pop 보이그룹 /록,27,0.622,0.174,내부결속형,F3 현장경제 경로,0.7154,F2 직접소비 경로,0.095,현장상업형
원정소비형,F2+F3,영탁,트로트,28,0.48,0.28,핵심전략형,F3 현장경제 경로,0.6584,F2 직접소비 경로,0.1243,현장상업형
원정소비형,F2+F3,슈퍼주니어,K-pop 보이그룹,40,0.354,0.284,외부견인형,F3 현장경제 경로,0.6315,F2 직접소비 경로,0.1457,원정소비형
원정소비형,F2+F3,빅뱅,K-pop 보이그룹,43,0.289,0.333,외부견인형,F3 현장경제 경로,0.5853,F2 직접소비 경로,0.1693,원정소비형
원정소비형,F2+F3,오마이걸,K-pop 걸그룹,54,0.307,0.249,주변부,F3 현장경제 경로,0.6278,F2 직접소비 경로,0.1153,현장상업형
원정소비형,F2+F3,동방신기,K-pop 보이그룹,64,0.287,0.181,주변부,F3 현장경제 경로,0.5698,F2 직접소비 경로,0.1725,글로벌투어형
원정소비형,F2+F3,나훈아,트로트,65,0.408,0.056,내부결속형,F3 현장경제 경로,0.6964,F2 직접소비 경로,0.1458,원정소비형
원정소비형,F2+F3,성시경,발라드,72,0.343,0.089,주변부,F3 현장경제 경로,0.6387,F2 직접소비 경로,0.1215,집단동원형
원정소비형,F2+F3,이승철,발라드,82,0.131,0.229,주변부,F3 현장경제 경로,0.7253,F2 직접소비 경로,0.0959,현장상업형
원정소비형,F2+F3,권은비,솔로,83,0.149,0.208,주변부,F3 현장경제 경로,0.5336,F2 직접소비 경로,0.1448,원정소비형
원정소비형,F2+F3,FTISLAND,K-pop 보이그룹 /록,88,0.195,0.102,주변부,F3 현장경제 경로,0.5436,F2 직접소비 경로,0.1669,원정소비형
원정소비형,F2+F3,케이윌,발라드,89,0.287,0.0,주변부,F3 현장경제 경로,0.6071,F2 직접소비 경로,0.1322,현장상업형
원정소비형,F2+F3,백지영,발라드,95,0.109,0.118,주변부,F3 현장경제 경로,0.5988,F2 직접소비 경로,0.1304,현장상업형
원정소비형,F2+F3,투어스(TWS),K-pop 보이그룹,100,0.028,0.073,주변부,F2 직접소비 경로,0.7446,F3 현장경제 경로,0.1049,해당 없음(동결 로스터 밖)
현장상업형,F3+F4,aespa,K-pop 걸그룹,9,0.574,0.564,핵심전략형,F3 현장경제 경로,0.377,F4 산업전이 경로,0.273,글로벌투어형
현장상업형,F3+F4,지드래곤 (G-Dragon),힙합,10,0.596,0.537,핵심전략형,F3 현장경제 경로,0.6586,F4 산업전이 경로,0.1279,글로벌투어형
현장상업형,F3+F4,아이유,솔로,12,0.591,0.421,핵심전략형,F3 현장경제 경로,0.4677,F4 산업전이 경로,0.1645,원정소비형
현장상업형,F3+F4,RIIZE,K-pop 보이그룹,17,0.591,0.298,핵심전략형,F3 현장경제 경로,0.4606,F4 산업전이 경로,0.1649,글로벌투어형
현장상업형,F3+F4,소녀시대,K-pop 걸그룹,19,0.327,0.536,외부견인형,F3 현장경제 경로,0.3845,F4 산업전이 경로,0.1849,원정소비형
현장상업형,F3+F4,이효리,솔로,37,0.006,0.654,외부견인형,F3 현장경제 경로,0.4787,F4 산업전이 경로,0.3167,현장상업형
현장상업형,F3+F4,박재범,힙합,41,0.4,0.233,내부결속형,F3 현장경제 경로,0.678,F4 산업전이 경로,0.123,원정소비형
현장상업형,F3+F4,엔믹스,K-pop 걸그룹,45,0.364,0.256,주변부,F3 현장경제 경로,0.4205,F4 산업전이 경로,0.1757,글로벌투어형
현장상업형,F3+F4,최예나,솔로,59,0.336,0.195,주변부,F3 현장경제 경로,0.4984,F4 산업전이 경로,0.1719,원정소비형
현장상업형,F3+F4,츄,솔로,66,0.229,0.234,주변부,F3 현장경제 경로,0.4983,F4 산업전이 경로,0.2131,현장상업형
현장상업형,F3+F4,이문세,발라드,93,0.054,0.202,주변부,F3 현장경제 경로,0.6368,F4 산업전이 경로,0.151,현장상업형
현장상업형,F3+F4,비비,솔로,96,0.058,0.146,주변부,F3 현장경제 경로,0.5316,F4 산업전이 경로,0.1908,현장상업형
집단동원형,F1+F3,박서진,트로트,23,0.538,0.297,핵심전략형,F3 현장경제 경로,0.5053,F1 팬덤결속 경로,0.318,집단동원형
집단동원형,F1+F3,정동원,트로트,31,0.501,0.201,내부결속형,F3 현장경제 경로,0.5539,F1 팬덤결속 경로,0.1883,집단동원형
집단동원형,F1+F3,김호중,트로트,48,0.464,0.145,내부결속형,F3 현장경제 경로,0.4728,F1 팬덤결속 경로,0.1976,집단동원형
집단동원형,F1+F3,김재중,솔로,49,0.448,0.159,내부결속형,F3 현장경제 경로,0.7145,F1 팬덤결속 경로,0.1072,글로벌투어형
집단동원형,F1+F3,거미,발라드,80,0.23,0.148,주변부,F3 현장경제 경로,0.6684,F1 팬덤결속 경로,0.1566,현장상업형
집단동원형,F1+F3,윤도현,록,84,0.223,0.122,주변부,F3 현장경제 경로,0.6977,F1 팬덤결속 경로,0.1263,현장상업형
집단동원형,F1+F3,린,발라드,85,0.1,0.216,주변부,F3 현장경제 경로,0.6064,F1 팬덤결속 경로,0.1525,현장상업형
집단동원형,F1+F3,김연자,트로트,92,0.08,0.18,주변부,F3 현장경제 경로,0.6017,F1 팬덤결속 경로,0.1307,현장상업형
집단동원형,F1+F3,잔나비,록,97,0.03,0.155,주변부,F3 현장경제 경로,0.6373,F1 팬덤결속 경로,0.1196,현장상업형
