fandom,category,loyalty_score,spillover_score,coverage_index,factor_diversity,dominant_factor,activity,현장경제형(콘서트·투어·매진),미디어노출형(방송·조회수),결속형(팬클럽·기부·커뮤니티),소비력형(초동·판매·앨범),차트·확산형(1위·빌보드·기록)
몬스타엑스,K-pop 보이그룹,0.563,0.183,0.771,0.7607,현장경제형(콘서트·투어·매진),96,0.5263,0.1938,0.0794,0.0119,0.1886
이찬원,트로트,0.419,0.322,0.469,0.9247,미디어노출형(방송·조회수),106,0.3114,0.3288,0.1451,0.1092,0.1055
정동원,트로트,0.501,0.201,0.544,0.8517,현장경제형(콘서트·투어·매진),107,0.4633,0.2271,0.1626,0.0636,0.0834
투어스(TWS),K-pop 보이그룹,0.337,0.365,0.673,0.8074,현장경제형(콘서트·투어·매진),90,0.4909,0.1731,0.0938,0.0253,0.2169
IKON,K-pop 보이그룹,0.579,0.116,0.712,0.8313,현장경제형(콘서트·투어·매진),96,0.5133,0.1573,0.1467,0.056,0.1268
아이오아이,K-pop 걸그룹,0.535,0.149,0.564,0.8564,미디어노출형(방송·조회수),95,0.3461,0.3484,0.0689,0.0472,0.1893
이영지,힙합,0.411,0.269,0.728,0.8036,현장경제형(콘서트·투어·매진),107,0.4077,0.3662,0.0781,0.0324,0.1156
박효신,발라드,0.49,0.185,0.592,0.8561,현장경제형(콘서트·투어·매진),91,0.4684,0.2083,0.1197,0.0539,0.1498
아일릿,K-pop 걸그룹,0.33,0.337,0.596,0.9019,현장경제형(콘서트·투어·매진),107,0.3068,0.2924,0.055,0.0945,0.2513
이효리,솔로,0.006,0.654,0.547,0.83,미디어노출형(방송·조회수),120,0.2715,0.4713,0.0716,0.0769,0.1087
송가인,트로트,0.343,0.312,0.494,0.8076,현장경제형(콘서트·투어·매진),92,0.4716,0.2996,0.0893,0.0555,0.084
김동률,발라드,0.496,0.151,0.578,0.7537,현장경제형(콘서트·투어·매진),83,0.5466,0.2434,0.052,0.0441,0.114
슈퍼주니어,K-pop 보이그룹,0.354,0.284,0.645,0.8583,현장경제형(콘서트·투어·매진),89,0.4368,0.2676,0.1484,0.0792,0.068
박재범,힙합,0.4,0.233,0.727,0.7961,현장경제형(콘서트·투어·매진),110,0.5129,0.2572,0.0781,0.0679,0.0838
윤하,솔로,0.467,0.164,0.726,0.8875,현장경제형(콘서트·투어·매진),83,0.4045,0.2331,0.0714,0.0842,0.2069
빅뱅,K-pop 보이그룹,0.289,0.333,0.701,0.8355,현장경제형(콘서트·투어·매진),97,0.4878,0.2375,0.1131,0.0803,0.0813
리센느(RESCENE),K-pop 걸그룹,0.359,0.262,0.62,0.9371,현장경제형(콘서트·투어·매진),85,0.2784,0.2566,0.2296,0.0525,0.1828
엔믹스,K-pop 걸그룹,0.364,0.256,0.681,0.877,현장경제형(콘서트·투어·매진),110,0.4181,0.2737,0.0772,0.094,0.1371
QWER,K-pop 걸그룹,0.356,0.263,0.593,0.8869,현장경제형(콘서트·투어·매진),103,0.3768,0.3125,0.1055,0.0735,0.1316
BTOB,K-pop 보이그룹,0.484,0.127,0.637,0.8871,현장경제형(콘서트·투어·매진),82,0.4462,0.1748,0.1548,0.0693,0.1549
김호중,트로트,0.464,0.145,0.59,0.9731,결속형(팬클럽·기부·커뮤니티),91,0.241,0.1965,0.2489,0.0967,0.2169
김재중,솔로,0.448,0.159,0.672,0.6827,현장경제형(콘서트·투어·매진),77,0.6182,0.1924,0.0998,0.0137,0.0759
잭스키스,원로그룹,0.499,0.103,0.556,0.9272,현장경제형(콘서트·투어·매진),85,0.3184,0.2935,0.1895,0.0751,0.1235
IVE,K-pop 걸그룹,0.335,0.266,0.702,0.9227,현장경제형(콘서트·투어·매진),100,0.396,0.2056,0.0895,0.1531,0.1557
ITZY,K-pop 걸그룹,0.33,0.253,0.849,0.9014,현장경제형(콘서트·투어·매진),107,0.3931,0.268,0.0791,0.1248,0.135
지코,힙합,0.176,0.388,0.749,0.7684,현장경제형(콘서트·투어·매진),101,0.4383,0.3515,0.0514,0.0215,0.1373
오마이걸,K-pop 걸그룹,0.307,0.249,0.636,0.8648,미디어노출형(방송·조회수),98,0.2973,0.4188,0.0843,0.0867,0.113
여자친구,K-pop 걸그룹,0.381,0.173,0.76,0.8164,현장경제형(콘서트·투어·매진),93,0.5294,0.1639,0.0558,0.1147,0.1362
프로미스나인,K-pop 걸그룹,0.315,0.233,0.686,0.8765,현장경제형(콘서트·투어·매진),89,0.373,0.2797,0.049,0.0847,0.2137
Hearts2Hearts,K-pop 걸그룹,0.181,0.359,0.683,0.9019,현장경제형(콘서트·투어·매진),102,0.3714,0.2875,0.0705,0.1155,0.1551
A-pink,K-pop 걸그룹,0.281,0.258,0.673,0.8656,현장경제형(콘서트·투어·매진),95,0.4029,0.3091,0.0805,0.0732,0.1342
최예나,솔로,0.336,0.195,0.628,0.9258,현장경제형(콘서트·투어·매진),96,0.3207,0.3073,0.1548,0.0787,0.1385
브라운아이즈,발라드,0.284,0.225,0.464,0.8717,차트·확산형(1위·빌보드·기록),82,0.2402,0.3199,0.0526,0.0639,0.3234
샤이니,K-pop 보이그룹,0.365,0.143,0.72,0.7036,현장경제형(콘서트·투어·매진),77,0.5945,0.191,0.0724,0.0113,0.1308
마마무,K-pop 걸그룹,0.251,0.248,0.835,0.8741,현장경제형(콘서트·투어·매진),94,0.4207,0.2732,0.0806,0.0846,0.1409
STAYC,K-pop 걸그룹,0.333,0.151,0.669,0.8624,현장경제형(콘서트·투어·매진),92,0.4538,0.2079,0.0591,0.0956,0.1836
동방신기,K-pop 보이그룹,0.287,0.181,0.665,0.8731,현장경제형(콘서트·투어·매진),82,0.4798,0.1422,0.1509,0.0925,0.1347
나훈아,트로트,0.408,0.056,0.515,0.771,현장경제형(콘서트·투어·매진),70,0.5829,0.1556,0.0978,0.0768,0.0868
츄,솔로,0.229,0.234,0.663,0.8845,미디어노출형(방송·조회수),93,0.2686,0.4152,0.1347,0.0881,0.0933
볼빨간사춘기,솔로,0.331,0.124,0.64,0.9317,미디어노출형(방송·조회수),88,0.2635,0.3378,0.1773,0.0737,0.1477
sg워너비,발라드,0.369,0.083,0.547,0.8337,현장경제형(콘서트·투어·매진),75,0.4094,0.3453,0.0768,0.0636,0.105
10CM,솔로,0.333,0.115,0.723,0.8538,현장경제형(콘서트·투어·매진),85,0.4532,0.1643,0.0691,0.0733,0.2401
CNBLUE,K-pop 보이그룹 /록,0.226,0.219,0.774,0.9283,현장경제형(콘서트·투어·매진),84,0.3694,0.1468,0.1234,0.1061,0.2543
로이킴,발라드,0.235,0.207,0.614,0.8367,현장경제형(콘서트·투어·매진),89,0.4021,0.3427,0.0838,0.0497,0.1217
성시경,발라드,0.343,0.089,0.608,0.8506,현장경제형(콘서트·투어·매진),80,0.4371,0.2911,0.0839,0.1138,0.074
Crush,솔로,0.206,0.222,0.714,0.9105,현장경제형(콘서트·투어·매진),99,0.388,0.2564,0.1444,0.0824,0.1288
빈지노,힙합,0.246,0.169,0.556,0.7608,미디어노출형(방송·조회수),79,0.313,0.4172,0.0245,0.0165,0.2287
빅마마,발라드,0.325,0.088,0.353,0.8799,차트·확산형(1위·빌보드·기록),73,0.2824,0.2752,0.0587,0.0621,0.3215
다비치,발라드,0.265,0.14,0.621,0.8278,미디어노출형(방송·조회수),80,0.2747,0.4433,0.0357,0.0766,0.1698
에픽하이,힙합,0.34,0.061,0.732,0.7179,현장경제형(콘서트·투어·매진),87,0.6103,0.1874,0.0536,0.0593,0.0894
장윤정,트로트,0.14,0.246,0.576,0.8788,미디어노출형(방송·조회수),92,0.3237,0.3675,0.123,0.0528,0.133
보아,솔로,0.278,0.104,0.582,0.8179,현장경제형(콘서트·투어·매진),76,0.5256,0.1965,0.0761,0.0955,0.1063
거미,발라드,0.23,0.148,0.66,0.7932,현장경제형(콘서트·투어·매진),87,0.4014,0.3961,0.0584,0.0619,0.0821
조용필,발라드,0.174,0.199,0.539,0.9434,현장경제형(콘서트·투어·매진),81,0.3174,0.2693,0.1024,0.1139,0.197
이승철,발라드,0.131,0.229,0.565,0.8688,현장경제형(콘서트·투어·매진),78,0.4253,0.2633,0.0939,0.0613,0.1562
권은비,솔로,0.149,0.208,0.71,0.9195,미디어노출형(방송·조회수),90,0.3083,0.3375,0.0925,0.1148,0.1469
윤도현,록,0.223,0.122,0.625,0.8117,현장경제형(콘서트·투어·매진),71,0.424,0.3453,0.115,0.0445,0.0713
린,발라드,0.1,0.216,0.517,0.8482,현장경제형(콘서트·투어·매진),78,0.3795,0.3523,0.107,0.0461,0.1151
다이나믹듀오,힙합,0.208,0.105,0.601,0.8292,현장경제형(콘서트·투어·매진),68,0.4632,0.2701,0.076,0.0529,0.1378
악동뮤지션,혼성,0.101,0.205,0.697,0.9193,현장경제형(콘서트·투어·매진),74,0.3389,0.3042,0.0834,0.1276,0.146
FTISLAND,K-pop 보이그룹 /록,0.195,0.102,0.729,0.9475,현장경제형(콘서트·투어·매진),73,0.3292,0.2688,0.1428,0.1438,0.1153
케이윌,발라드,0.287,0.0,0.559,0.8209,현장경제형(콘서트·투어·매진),71,0.406,0.3604,0.072,0.1069,0.0547
청하,솔로,0.066,0.209,0.728,0.9344,미디어노출형(방송·조회수),79,0.2235,0.3711,0.1312,0.1,0.1742
Zion.T,솔로,0.095,0.17,0.707,0.8438,현장경제형(콘서트·투어·매진),79,0.3688,0.363,0.0384,0.1128,0.1171
김연자,트로트,0.08,0.18,0.505,0.8318,현장경제형(콘서트·투어·매진),73,0.429,0.3224,0.056,0.1083,0.0843
이문세,발라드,0.054,0.202,0.518,0.7679,현장경제형(콘서트·투어·매진),70,0.4784,0.3325,0.0458,0.0597,0.0836
카더가든,솔로,0.094,0.133,0.485,0.9063,미디어노출형(방송·조회수),74,0.2694,0.3882,0.108,0.0935,0.141
백지영,발라드,0.109,0.118,0.633,0.8681,현장경제형(콘서트·투어·매진),72,0.3864,0.3312,0.0811,0.0858,0.1155
비비,솔로,0.058,0.146,0.714,0.8658,현장경제형(콘서트·투어·매진),74,0.4023,0.3166,0.1098,0.0795,0.0918
잔나비,록,0.03,0.155,0.725,0.7894,현장경제형(콘서트·투어·매진),69,0.4372,0.3516,0.0323,0.0782,0.1007
엄정화,솔로,0.0,0.183,0.456,0.87,미디어노출형(방송·조회수),71,0.3335,0.3795,0.0745,0.0866,0.1258
박정현,발라드,0.003,0.171,0.607,0.838,미디어노출형(방송·조회수),70,0.2841,0.4464,0.052,0.0853,0.1322
