bullet_type,idx,changed,원문(r72),한국어 요약(r73),url
loyalty,10,Y,"Reflecting on their debut year, TWS members publicly thanked fanclub '42' by name for their rapid success (Melon's #1 2024 annual song chart with '첫 만남은 계획대로 되지 않아' and 13 awards including 7 rookie awards), crediting fan support as their key motivation and voicing hope for future fan meetings and their first concert.","투어스 멤버들은 데뷔 1년을 돌아보며 '첫 만남은 계획대로 되지 않아'의 멜론 2024 연간차트 1위와 신인상 7개를 포함한 13개 수상을 팬클럽 '42'의 응원 덕으로 돌리고, 팬미팅과 첫 콘서트에 대한 기대를 밝혔다.",https://v.daum.net/v/6PbsPGphKx
loyalty,11,Y,"Fandom '42' (organized via the fan group 'Streaming 42') raised funds originally intended for celebratory anniversary advertising, then redirected the surplus plus additional donations to give exactly 4.2 million won — symbolic of the fandom's name — to the Community Chest of Korea (사랑의열매) to mark TWS's 2nd debut anniversary in January 2026.","팬덤 '42'는 팬 그룹 '스트리밍 42'를 통해 기념 광고용으로 모은 기금의 잔액에 추가 기부를 더해, 2026년 1월 데뷔 2주년을 기념해 팬덤명을 상징하는 420만 원을 사랑의열매에 기부했다.",https://www.mksports.co.kr/news/entertain/11939972
loyalty,12,Y,"TWS members separately donated to the Community Chest of Korea in the fandom's name ('42') around their 1st debut anniversary (Jan 2025), funding school-uniform assistance for underprivileged youth — an artist-to-fandom gesture that fans reciprocated a year later, creating what press described as a 'virtuous cycle of giving.'","투어스 멤버들은 2025년 1월 데뷔 1주년 무렵 팬덤명 '42'로 사랑의열매에 기부해 저소득층 청소년 교복비를 지원했고, 1년 뒤 팬덤이 같은 방식으로 화답해 언론이 '선순환 기부'라고 평했다.",https://biz.heraldcorp.com/article/10408070
loyalty,13,Y,"Fans organized a tiered, donation-funded birthday advertising campaign for member Dohoon (Dec 11, 2024–Jan 19, 2025) via the FanNStar 'rainbow star' donation platform, unlocking celebratory ads on Seoul's Hapjeong Station subway CM board, a Tokyo Shinjuku Shin-Okubo digital billboard, Hongdae M-Screen, a Jamsil digital display, and Seoul buses once fundraising thresholds (20,000/50,000/55,000 stars) were met.","팬들은 팬앤스타 '무지개별' 기부 플랫폼으로 멤버 도훈의 생일 광고 캠페인(2024년 12월 11일∼2025년 1월 19일)을 단계별로 진행해 2만·5만·5만 5천 별 달성 시 서울 합정역 지하철 광고판, 도쿄 신주쿠 신오쿠보 전광판, 홍대 M-스크린, 잠실 전광판, 서울 버스 광고를 차례로 열었다.",https://news.tf.co.kr/stars/read/starwars/2160329.htm
loyalty,14,Y,"A parallel fan-funded birthday advertising campaign ran for member Hanjin (Nov 28–Dec 28, 2025) through the same FanNStar 'rainbow star' system, again targeting the Hapjeong Station subway board, a Tokyo Shinjuku billboard, Hongdae M-Screen, a Jamsil display, and Seoul bus ads.","멤버 한진의 생일 광고 캠페인(2025년 11월 28일∼12월 28일)도 같은 팬앤스타 '무지개별' 방식으로 진행돼 합정역 지하철 광고판, 도쿄 신주쿠 전광판, 홍대 M-스크린, 잠실 전광판, 서울 버스 광고를 목표로 했다.",https://news.tf.co.kr/stars/read/starwars/2267072.htm
loyalty,15,Y,"TWS's second official fan meeting, '2026 TWS 2ND FANMEETING <42:CLUB> IN SEOUL' (Mar 27–29, 2026, Ticketlink Live Arena at Olympic Park), sold out completely on the very day membership presale opened, with press noting the venue was 'too small' relative to fan demand.","투어스 두 번째 공식 팬미팅 '2026 TWS 2ND FANMEETING <42:CLUB> IN SEOUL'(2026년 3월 27∼29일, 올림픽공원 티켓링크 라이브 아레나)은 멤버십 선예매 당일 전석 매진됐고, 언론은 팬 수요에 비해 공연장이 '너무 작다'고 전했다.",https://www.heraldmuse.com/article/10686377
loyalty,16,Y,"TWS's first solo concert tour, '2025 TWS TOUR 24/7:WITH:US IN SEOUL' (June 20–22, 2025, Jamsil Indoor Gymnasium), sold out completely within hours of general sale via NOL Ticket; PLEDIS then opened additional limited-view seats, which also sold out quickly.","투어스 첫 단독 콘서트 '2025 TWS TOUR 24/7:WITH:US IN SEOUL'(2025년 6월 20∼22일, 잠실실내체육관)은 NOL티켓 일반 예매 시작 몇 시간 만에 전석 매진됐고, 플레디스가 추가로 연 시야제한석도 빠르게 매진됐다.",https://sports.khan.co.kr/article/202505250956003
loyalty,17,Y,"TWS's mini album 'play hard' sold 639,787 copies in its first week per Hanteo Chart data, breaking the group's own prior first-week record of 558,720 copies set by 'TRY WITH US' — with the new record reached just four days after release, reflecting sustained fan purchasing power.","투어스 미니앨범 'play hard'는 한터차트 기준 초동 63만 9,787장을 기록해 'TRY WITH US'의 자체 기록(55만 8,720장)을 발매 나흘 만에 넘어서며 팬덤의 지속적인 구매력을 보여줬다.",https://www.soompi.com/article/1791739wpp/tws-sets-new-personal-record-for-1st-week-sales-with-play-hard
loyalty,18,Y,"TWS became million-sellers for the first time with their 5th mini album 'NO TRAGEDY,' selling 1.11277 million copies in its first week (Apr 27–May 3, 2026) — about 830,000 copies on day one, crossing 1 million by day four — setting a new personal sales record driven by fan pre-orders/purchases.","투어스는 5번째 미니앨범 'NO TRAGEDY'로 첫 밀리언셀러가 됐다 — 초동(2026년 4월 27일∼5월 3일) 111만 2,770장으로 발매 당일 약 83만 장, 나흘째 100만 장을 넘겨 팬 선주문·구매가 이끈 자체 최고 기록을 세웠다.",https://www.starnewskorea.com/en/music/2026/05/04/2026050410071181872
loyalty,19,Y,"TWS has held recurring offline fan-sign events tied to new album releases (e.g. debut mini album 'Sparkling Blue', 2nd mini album 'SUMMER BEAT!', 3rd mini album 'TRY WITH US'), incentivizing fans to purchase multiple physical album copies for lottery entry, a standard driver of the fandom's album-collecting ('앨범깡') culture.","투어스는 데뷔 미니앨범 'Sparkling Blue', 2집 'SUMMER BEAT!', 3집 'TRY WITH US' 등 앨범 발매 때마다 오프라인 팬사인회를 열어 응모용 앨범 다량 구매를 유도했으며, 이는 팬덤의 '앨범깡' 문화를 이끄는 기본 장치다.",https://event.yes24.com/detail?eventNo=257717
loyalty,20,Y,"According to Korean wiki namu.wiki, '42' is noted as the first K-pop idol fandom name composed entirely of numerals, reflecting PLEDIS/TWS's numeric '24/7' branding concept — a lower-confidence, community-sourced claim included with that caveat.","나무위키에 따르면 '42'는 숫자로만 이뤄진 첫 K팝 아이돌 팬덤명으로, 플레디스·투어스의 '24/7' 숫자 브랜딩 콘셉트를 반영한다(커뮤니티 출처의 낮은 신뢰도 주장이라는 단서를 붙여 수록).",https://namu.wiki/w/42(TWS)
loyalty,21,Y,"A dedicated fan-run streaming/voting account, '투어스 음원총공팀' (@TWS_247STREAM), organizes coordinated award-voting pushes for fandom '42' and publishes real-time vote tallies, e.g. reporting TWS ranked 1st in the 2024 MMA 'Best New Artist' fan-vote category with 246,000 votes at the time of posting.","팬 운영 스트리밍·투표 계정 '투어스 음원총공팀'(@TWS_247STREAM)이 팬덤 '42'의 시상식 투표 총공을 조직하고 실시간 득표를 공개하며, 2024 MMA '베스트 신인' 팬 투표에서 게시 시점 24만 6,000표로 투어스가 1위라고 알렸다.",https://x.com/TWS_247STREAM/status/1858107561213653380
loyalty,22,Y,"TWS's official account regularly issues detailed voting instructions to fandom '42' for platform-based fan awards (e.g. 2025 MAMA Awards Fans' Choice), directing fans to vote via Mnet Plus within specified windows, evidence of organized fandom voting mobilization.",투어스 공식 계정은 2025 MAMA 어워즈 팬즈 초이스 등 플랫폼 기반 팬 투표에 대해 엠넷플러스에서 정해진 기간에 투표하도록 팬덤 '42'에 상세 안내를 정기적으로 올리며 조직적 투표 동원을 보여준다.,https://x.com/TWS_PLEDIS/status/1983824701718983021
loyalty,23,Y,"TWS operates a Japan-specific official fanclub membership, 'TWS GLOBAL OFFICIAL FANCLUB 42 MEMBERSHIP (JP)', sold via Weverse for an annual fee of ¥6,500 (tax included), distinct from the global membership tier.","투어스는 글로벌 멤버십과 별도로 일본 전용 공식 팬클럽 'TWS GLOBAL OFFICIAL FANCLUB 42 MEMBERSHIP (JP)'을 위버스에서 연회비 6,500엔(세금 포함)에 운영한다.",https://campaigns.weverse.io/WS236LMFUR
loyalty,24,Y,"TWS maintains a dedicated Japan-market official website (tws-official.jp) with its own news, schedule, discography and membership sections separate from the group's global site.",투어스는 글로벌 사이트와 별도로 뉴스·스케줄·디스코그래피·멤버십 항목을 갖춘 일본 시장 전용 공식 웹사이트(tws-official.jp)를 운영한다.,https://tws-official.jp/
loyalty,25,Y,"VIP tickets for TWS's 2026 Japan arena tour '24/7:FOR:YOU' (¥26,000) were restricted to holders of the 42 Membership fanclub, reserving priority access for paying fan-club members.","투어스의 2026년 일본 아레나 투어 '24/7:FOR:YOU' VIP 티켓(2만 6,000엔)은 42 멤버십 팬클럽 회원에게만 판매돼 유료 팬클럽 회원의 우선 접근권을 보장했다.",https://www.kpopjournal.tokyo/tws-japan-tour-2026-guide/
loyalty,26,Y,"TWS held a Japan-exclusive fan event, the '2025 TWS 1ST FANMEETING <42:CLUB> IN JAPAN', for local fanclub membership holders.",투어스는 현지 팬클럽 멤버십 회원을 위한 일본 전용 팬 이벤트 '2025 TWS 1ST FANMEETING <42:CLUB> IN JAPAN'을 열었다.,https://www.hybejapan.events/tws/42_club_in_japan
loyalty,27,Y,"TWS scheduled a follow-up Japan-exclusive fan event, the '2026 TWS 2ND FANMEETING <42:CLUB> IN JAPAN'.",투어스는 후속 일본 전용 팬 이벤트 '2026 TWS 2ND FANMEETING <42:CLUB> IN JAPAN'을 예정했다.,https://www.hybejapan.events/tws/42_club_2nd_in_japan
loyalty,28,Y,Thairath reported TWS sent an exclusive video greeting to their Thai fanbase ('42/Sa-i') ahead of the Bangkok concert to build anticipation with the local fandom.,태국 타이랏은 투어스가 방콕 콘서트를 앞두고 태국 팬덤('42/사이')에게 단독 영상 인사를 보내 현지 팬덤의 기대를 높였다고 보도했다.,https://en.thairath.co.th/entertain/news/2939217
loyalty,29,Y,Local Thai fan community account @welcometo_th announced the confirmed Bangkok tour date and venue to Thailand's '42' fanbase.,태국 현지 팬 커뮤니티 계정 @welcometo_th가 확정된 방콕 투어 일정과 공연장을 태국 '42' 팬덤에 공지했다.,https://x.com/welcometo_th/status/2051176455024111621
loyalty,30,Y,Indonesian local fanbase account @TWS42_INDONESIA posted the full official 2026 tour schedule to the Indonesian '42' fan community the same day it was announced.,인도네시아 현지 팬베이스 계정 @TWS42_INDONESIA가 2026년 투어 공식 일정 전체를 발표 당일 인도네시아 '42' 팬 커뮤니티에 게시했다.,https://x.com/TWS42_INDONESIA/status/2051151786376073302
loyalty,31,N(원래 한국어),"DK Blog가 TWS(Pledis Entertainment 소속)의 멤버 6명(신유·도훈·영재·한진·지훈·경민, 한진은 중국 국적) 생일·나이·MBTI·포지션 정보를 아랍어로 상세히 소개함(WebFetch로 확인).","DK Blog가 TWS(Pledis Entertainment 소속)의 멤버 6명(신유·도훈·영재·한진·지훈·경민, 한진은 중국 국적) 생일·나이·MBTI·포지션 정보를 아랍어로 상세히 소개함(WebFetch로 확인).",https://blog.delivered.co.kr/ar/k-pop/tws-members-profile-age-height-weight-mbti-etc-updated-2026/
spillover,0,Y,"TWS was named the first Korean brand ambassador for Twix, with the brand citing the group's 'distinctive freshness and strong chemistry' as fitting its youth-focused messaging.","투어스가 트윅스(Twix)의 첫 한국 브랜드 앰버서더로 발탁됐으며, 브랜드는 그룹의 '독보적인 상큼함과 강한 케미'가 젊은 층 겨냥 메시지에 맞는다고 밝혔다.",https://sports.khan.co.kr/en/article/202609022334007/
spillover,1,Y,"TWS serves as brand ambassadors/models for a wide range of commercial categories simultaneously, including Roobliss (hair brand, first official ambassador), BeginS by JUNGSAEMMOOL (skincare), Jim Beam bourbon whiskey (members Shin-yu and Do-hoon), MLB casual apparel, and CELINE luxury fashion.","투어스는 루블리스(헤어 브랜드, 첫 공식 앰버서더), 정샘물 비긴스(스킨케어), 짐빔 버번위스키(멤버 신유·도훈), MLB 캐주얼 의류, 셀린느 럭셔리 패션 등 여러 상업 카테고리의 브랜드 앰버서더·모델을 동시에 맡고 있다.",https://sports.khan.co.kr/en/article/202609022334007/
spillover,2,Y,"Korean dietary fiber beverage brand Miero Fiber selected TWS as models, stating it was 'the first time we selected a K-pop boy group as our models.'",식이섬유 음료 브랜드 미에로화이바가 투어스를 모델로 선정하며 'K팝 보이그룹을 모델로 선정한 것은 처음'이라고 밝혔다.,https://www.allkpop.com/article/2026/05/tws-emerges-as-a-trend-maker-with-a-wave-of-brand-collaborations-and-viral-content
spillover,3,Y,"TWS was named ambassador for Hyundai Department Store's 'The Hyundai Global Project,' a K-content export platform, tied to the opening of a Harajuku, Tokyo flagship store on July 10, 2026, with Hyundai citing TWS's popularity in both Korea and Japan.","투어스는 현대백화점의 K-콘텐츠 수출 플랫폼 '더현대 글로벌 프로젝트' 앰버서더로 선정됐으며, 2026년 7월 10일 도쿄 하라주쿠 플래그십 스토어 개점과 연계됐고 현대백화점은 투어스의 한·일 인기를 선정 이유로 들었다.",https://www.allkpop.com/article/2026/07/tws-selected-as-ambassador-for-the-hyundai-global-project-to-connect-korean-and-japanese-trends
spillover,4,Y,"Wikipedia's TWS page documents ambassador deals with Lotte Chilsung's Milkis (pre-debut, Jan 2024), Shinsegae Duty Free's 'Play with Us' campaign (Feb 2024), British heritage brand Kangol (Mar 2024), CELINE (Nov 2024), streetwear brand Wackywilly (Apr 2025), and the Korea Tourism Organization's 'BIAS' inbound tourism campaign (Jun 2026).","영문 위키백과 투어스 문서는 롯데칠성 밀키스(데뷔 전 2024년 1월), 신세계면세점 'Play with Us' 캠페인(2024년 2월), 영국 헤리티지 브랜드 캉골(2024년 3월), 셀린느(2024년 11월), 스트리트웨어 브랜드 와키윌리(2025년 4월), 한국관광공사 방한 캠페인 'BIAS'(2026년 6월) 앰버서더 계약을 기록하고 있다.",https://en.wikipedia.org/wiki/TWS_(group)
spillover,5,Y,"TWS was appointed Official Ambassador of the Korea Football Association ahead of the 2026 FIFA World Cup, with Pledis Entertainment signing an MOU with the KFA; their first engagement was a halftime performance at the Korea–Brazil friendly on October 10 at Seoul World Cup Stadium.","투어스는 2026 FIFA 월드컵을 앞두고 대한축구협회(KFA) 공식 앰버서더로 위촉됐으며, 플레디스가 KFA와 MOU를 맺고 첫 활동으로 10월 10일 서울월드컵경기장 한국-브라질 친선전 하프타임 공연을 했다.",https://www.koreajoongangdaily.com/entertainment/tws-named-ambassadors-of-taeguk-warriors-world-cup-run/12002354
spillover,6,Y,"As KFA ambassadors, TWS released an original fight song, 'Dream With Us,' for Korea's national football team, first played at the Korea vs. El Salvador send-off friendly in Salt Lake City before the 2026 World Cup.","KFA 앰버서더로서 투어스는 국가대표팀 응원가 'Dream With Us'를 발표했고, 이 곡은 2026 월드컵 전 솔트레이크시티에서 열린 한국-엘살바도르 출정 친선전에서 처음 재생됐다.",https://www.koreaherald.com/article/10764425
spillover,7,Y,"TWS's Japanese single 'Soda Soda' hit No. 1 on Billboard Japan's Hot 100, which Pledis Entertainment said made it 'the first K-pop song to top Billboard Japan's main songs chart'; the single sold over 225,000 copies in its first week.","투어스 일본 싱글 'Soda Soda'가 빌보드 재팬 핫100 1위에 올랐고, 플레디스는 'K팝 곡이 빌보드 재팬 메인 송 차트 정상에 오른 첫 사례'라고 밝혔으며 첫 주 판매량은 22만 5,000장을 넘었다.",https://www.koreaherald.com/article/10840150
spillover,8,Y,'Soda Soda' also reached No. 2 on Oricon's Weekly Single Ranking and No. 2 on Billboard Japan's Top Singles Sales Chart.,'Soda Soda'는 오리콘 주간 싱글 랭킹 2위와 빌보드 재팬 톱 싱글 세일즈 차트 2위에도 올랐다.,https://www.koreaherald.com/article/10840150
spillover,9,Y,"TWS was named to Rolling Stone's 2026 'Future 25' list of artists expected to shape music's future, with the magazine calling them 'the most exciting and energetic young K-pop groups today.'","투어스는 롤링스톤이 음악의 미래를 이끌 아티스트로 꼽은 2026년 'Future 25' 명단에 이름을 올렸고, 잡지는 이들을 '지금 가장 흥미롭고 에너지 넘치는 젊은 K팝 그룹'이라고 평했다.",https://www.koreatimes.co.kr/entertainment/k-pop/20260327/tws-lands-on-rolling-stones-future-25-set-for-seoul-fan-meeting-this-week
spillover,10,Y,"TWS secured the digital cover of British music magazine NME on June 30, 2025, which praised their 'fresh, youthful energy' and noted their rapid rise since debuting with 'Plot Twist.'","투어스는 2025년 6월 30일 영국 음악매체 NME의 디지털 커버를 장식했으며, NME는 '첫 만남은 계획대로 되지 않아'로 데뷔한 이후의 빠른 성장과 '신선하고 젊은 에너지'를 호평했다.",https://www.allkpop.com/article/2025/06/tws-lands-nme-digital-cover-poised-for-japanese-debut-with-summer-vibes
spillover,11,Y,TWS was the only K-pop boy group included in 'The NME 100: Essential Emerging Artists for 2025' and separately received Billboard's K-pop Rookie of the Month honor for January.,"투어스는 'The NME 100: 2025년 주목할 신인 아티스트'에 포함된 유일한 K팝 보이그룹이었고, 별도로 빌보드의 1월 'K팝 루키 오브 더 먼스'에도 선정됐다.",https://www.allkpop.com/article/2025/06/tws-lands-nme-digital-cover-poised-for-japanese-debut-with-summer-vibes
spillover,12,Y,"Billboard named TWS its K-Pop Rookie of the Month for January, running an exclusive photo feature on the group.",빌보드는 투어스를 1월 'K팝 루키 오브 더 먼스'로 선정하고 단독 화보 기사를 실었다.,https://www.billboard.com/photos/tws-k-pop-rookie-of-the-month-january-1235882897/
spillover,13,Y,"TWS performed the OST 'Brand New Day' for the JTBC drama 'Good Boy,' starring Park Bo Gum and Kim So Hyun, marking their first OST contribution since debut.",투어스는 박보검·김소현 주연 JTBC 드라마 '굿보이'의 OST 'Brand New Day'를 불러 데뷔 후 첫 OST 참여를 기록했다.,https://www.allkpop.com/article/2025/04/tws-to-sing-their-first-ost-since-debut-for-jtbc-drama-good-boy-starring-park-bo-gum-x-kim-so-hyun
spillover,14,Y,"TWS contributed the songs 'Bloom' (featuring Ayumu Imazu) to the 'April Showers Bring May Flowers' OST and 'N.O.S.A' to the 'Bullet/Bullet' OST, per their Wikipedia discography record.","영문 위키백과 디스코그래피에 따르면 투어스는 'April Showers Bring May Flowers' OST에 'Bloom'(이마즈 아유무 참여)을, 'Bullet/Bullet' OST에 'N.O.S.A'를 수록했다.",https://en.wikipedia.org/wiki/TWS_(group)
spillover,15,Y,"TWS won Best New Male Artist and Best Dance Performance (Male Group) at the 2024 MAMA Awards, held at the Dolby Theatre in Los Angeles — the first time the MAMA ceremony was held on U.S. soil.",투어스는 로스앤젤레스 돌비 극장에서 열린 2024 MAMA 어워즈(MAMA 최초 미국 개최)에서 남자 신인상과 남자 그룹 베스트 댄스 퍼포먼스상을 받았다.,https://www.koreatimes.co.kr/entertainment/k-pop/20241122/k-pop-group-tws-wins-two-awards-illit-moved-to-tears-at-mama-awards-in-us
spillover,16,Y,TWS's 'Plot Twist' won Best Digital Song (Bonsang) at the 39th Golden Disc Awards in January 2025.,투어스의 '첫 만남은 계획대로 되지 않아'는 2025년 1월 제39회 골든디스크어워즈 디지털 음원 부문 본상을 받았다.,https://www.nme.com/news/music/here-are-all-the-winners-from-the-2025-golden-disc-awards-3826275
spillover,17,Y,TWS was named a Top 10 Artist at the 2024 Melon Music Awards.,투어스는 2024 멜론뮤직어워드 TOP10 아티스트에 선정됐다.,https://www.soompi.com/article/1703467wpp/melon-music-awards-2024-announces-winners-for-top-10-artists
spillover,18,Y,TWS won AAA Rookie of the Year (shared with Jang Da Ah and QWER) and AAA Best Artist at the 2024 Asia Artist Awards.,투어스는 2024 아시아 아티스트 어워즈에서 AAA 신인상(장다아·QWER과 공동)과 AAA 베스트 아티스트상을 받았다.,https://www.soompi.com/article/1712809wpp/winners-of-the-2024-asia-artist-awards
spillover,19,Y,"TWS won two awards at the 40th Japan Gold Disc Awards — 'New Artist of the Year (Asia)' and 'Best 3 New Artist (Asia)' — after their July 2025 Japanese debut single 'Nice to see you again' earned four gold certifications in its first week and topped major Japanese charts, with platinum certification (250,000+ shipments) from the Japan Records Association.","투어스는 2025년 7월 일본 데뷔 싱글 'Nice to see you again(はじめまして)'이 첫 주 골드 인증 4개와 주요 일본 차트 1위, 일본레코드협회 플래티넘(25만 장 이상 출하) 인증을 얻은 뒤, 제40회 일본 골드디스크 어워드에서 '아시아 신인상'과 '베스트 3 뉴 아티스트(아시아)' 2관왕에 올랐다.",https://www.starnewskorea.com/en/music/2026/03/12/2026031210104930617
spillover,20,Y,TWS ranked second among foreign artists in Oricon's 2025 Rookie Rankings in Japan.,투어스는 오리콘 2025년 일본 신인 랭킹에서 해외 아티스트 중 2위에 올랐다.,https://www.starnewskorea.com/en/music/2026/03/12/2026031210104930617
spillover,21,Y,"TWS's debut single 'Plot Twist' charted at No. 123 on the Billboard Global 200 and No. 89 on Billboard Japan Streaming Songs in 2024, alongside topping South Korea's Circle Digital Chart for the first half of 2024.","투어스 데뷔 싱글 '첫 만남은 계획대로 되지 않아'는 2024년 빌보드 글로벌 200 123위, 빌보드 재팬 스트리밍 송 89위에 올랐고 2024년 상반기 써클 디지털차트 1위를 차지했다.",https://en.wikipedia.org/wiki/Plot_Twist_(TWS_song)
spillover,22,Y,"'Plot Twist' surpassed 200 million cumulative YouTube Music streams and over 115.73 million Spotify streams (its first track past 100M there) more than two years after its January 2024 release, and topped Melon's 2024 annual chart.","'첫 만남은 계획대로 되지 않아'는 2024년 1월 발매 2년여 만에 유튜브 뮤직 누적 2억 스트리밍과 스포티파이 1억 1,573만 스트리밍(그룹 첫 1억 돌파 곡)을 넘겼으며 멜론 2024 연간차트 1위를 기록했다.",https://www.allkpop.com/article/2026/07/twss-debut-track-plot-twist-surpasses-200-million-youtube-music-streams
spillover,23,Y,"TWS's dance-driven 'Dda-rum Challenge,' based on choreography from 'You, You,' climbed to No. 2 on Instagram Reels' trending audio chart, and the group also ran a viral collaboration challenge with children's content brand Pinkfong.","'You, You' 안무 기반의 투어스 '따름 챌린지'가 인스타그램 릴스 트렌딩 오디오 차트 2위에 올랐고, 그룹은 아동 콘텐츠 브랜드 핑크퐁과의 콜라보 챌린지도 화제를 모았다.",https://www.allkpop.com/article/2026/05/tws-emerges-as-a-trend-maker-with-a-wave-of-brand-collaborations-and-viral-content
spillover,24,Y,"TWS's fifth mini album 'NO TRAGEDY' sold 1,112,770 copies in its first week and topped Japan's Oricon Daily Album Ranking twice.","투어스 5번째 미니앨범 'NO TRAGEDY'는 초동 111만 2,770장을 기록했고 일본 오리콘 데일리 앨범 랭킹 1위에 두 차례 올랐다.",https://www.allkpop.com/article/2026/05/tws-emerges-as-a-trend-maker-with-a-wave-of-brand-collaborations-and-viral-content
