fandom,total_group_bullets,total_region_mentions,primary_region,primary_region_share,region_diversity,n_regions_hit,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
장윤정,41,8,경기,0.375,0.353,6,1,0,0,1,0,1,0,0,3,0,0,0,0,0,1,1,0
정동원,63,13,경남,0.462,0.353,6,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,6,0
김연자,47,20,광주,0.35,0.471,8,3,3,1,1,7,0,0,0,2,0,0,0,1,2,0,0,0
나훈아,50,20,서울,0.35,0.471,8,7,4,2,3,1,0,1,0,0,0,1,0,0,0,0,1,0
god,45,16,서울,0.5,0.235,4,8,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOT,43,3,인천,0.667,0.118,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
잭스키스,44,13,부산,0.615,0.235,4,2,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
보아,50,2,서울,1.0,0.059,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
싸이,65,30,강원,0.233,0.529,9,3,3,2,3,2,2,0,0,5,7,0,0,3,0,0,0,0
아이유,59,11,서울,0.727,0.176,3,8,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
비비,47,9,서울,0.556,0.235,4,5,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
윤하,40,10,서울,0.3,0.353,6,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
헤이즈,28,5,서울,0.4,0.235,4,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
한로로,33,5,서울,0.4,0.176,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
청하,50,3,인천,0.333,0.176,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
최예나,63,9,경북,0.667,0.176,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0
권은비,62,10,서울,0.5,0.294,5,5,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0
츄,56,8,서울,0.375,0.353,6,3,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
10CM,58,11,서울,0.455,0.235,4,5,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
카더가든,49,4,대구,0.25,0.235,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Zion.T,37,5,서울,0.6,0.176,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
이효리,51,6,제주,0.833,0.118,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
엄정화,43,14,부산,0.357,0.176,3,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
볼빨간사춘기,51,2,서울,0.5,0.118,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Crush,70,3,서울,0.333,0.176,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
성시경,52,4,서울,0.25,0.235,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
케이윌,49,3,서울,0.333,0.176,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
이승철,31,31,서울,0.129,0.529,9,4,4,4,4,3,2,0,0,3,3,4,0,0,0,0,0,0
거미,27,8,서울,0.375,0.294,5,3,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0
린,27,4,서울,0.5,0.176,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
백지영,34,3,광주,0.333,0.176,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
김동률,23,6,서울,0.667,0.118,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
조용필,47,18,서울,0.278,0.353,6,5,3,3,2,1,0,0,0,4,0,0,0,0,0,0,0,0
박효신,24,7,인천,0.429,0.294,5,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
박정현,39,2,서울,0.5,0.118,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
빅마마,45,12,부산,0.25,0.353,6,2,3,2,0,0,0,2,0,0,0,0,0,2,0,1,0,0
다비치,51,4,서울,0.5,0.176,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
로이킴,59,14,서울,0.571,0.294,5,8,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
sg워너비,38,12,서울,0.417,0.353,6,5,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0
브라운아이즈,22,2,서울,0.5,0.118,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
이문세,27,13,서울,0.154,0.529,9,2,2,2,0,1,1,0,0,1,1,0,0,0,0,1,2,0
윤도현,30,5,서울,0.4,0.235,4,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
잔나비,33,6,서울,0.5,0.235,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNBLUE,52,5,서울,0.8,0.118,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS,125,14,서울,0.429,0.235,4,6,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
SEVENTEEN,113,6,제주,0.5,0.235,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Stray Kids,111,2,대구,0.5,0.118,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RIIZE,78,6,서울,0.333,0.176,3,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
NCT,90,7,서울,0.571,0.176,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
동방신기,54,2,광주,1.0,0.059,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
빅뱅,50,2,서울,0.5,0.118,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
EXO,59,5,서울,0.6,0.176,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
슈퍼주니어,42,3,서울,0.667,0.118,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
샤이니,45,2,서울,0.5,0.118,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ATEEZ,62,6,경남,0.5,0.235,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0
DAY6,62,5,부산,0.6,0.176,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IKON,64,8,서울,0.75,0.176,3,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
CORTIS,87,4,인천,0.5,0.176,3,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
BTOB,53,8,강원,0.375,0.294,5,1,0,1,0,0,0,0,0,0,3,0,1,0,0,2,0,0
FTISLAND,42,4,서울,0.25,0.235,4,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
NewJeans,100,7,서울,0.571,0.176,3,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BLACKPINK,123,3,서울,0.333,0.176,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
IVE,55,3,서울,0.333,0.176,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
리센느(RESCENE),55,15,경남,0.667,0.294,5,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,10,0
(여자)아이들,64,7,서울,0.714,0.176,3,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TWICE,111,3,서울,0.333,0.176,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ITZY,61,3,서울,0.667,0.118,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LE SSERAFIM,91,8,서울,0.375,0.294,5,3,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
aespa,82,5,서울,0.6,0.176,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
프로미스나인,57,7,서울,0.429,0.294,5,3,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
A-pink,54,4,서울,0.25,0.235,4,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
QWER,57,8,서울,0.75,0.176,3,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
BABYMONSTER,80,4,서울,0.5,0.118,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
소녀시대,53,4,서울,0.75,0.118,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
오마이걸,53,5,서울,0.4,0.176,3,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
여자친구,56,3,서울,1.0,0.059,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAYC,58,4,서울,0.5,0.176,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
레드벨벳,69,2,서울,0.5,0.118,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
엔믹스,71,4,인천,0.5,0.176,3,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
마마무,50,4,서울,0.5,0.118,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
아이오아이,58,4,서울,0.75,0.118,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hearts2Hearts,53,4,서울,0.75,0.118,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
워너원,78,6,서울,0.833,0.118,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아일릿,75,4,서울,0.5,0.176,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
