fandom,category,loyalty_score,spillover_score,coverage_index,factor_diversity,dominant_factor,activity,소비력형(초동·판매·앨범),현장경제형(콘서트·투어·매진),브랜드·상업형(광고·앰버서더),소비력형(초동·판매·앨범)·데뷔형,결속형(팬클럽·기부·커뮤니티),미디어노출형(방송·조회수)
BABYMONSTER,K-pop 걸그룹,0.594,0.342,0.742,0.9193,현장경제형(콘서트·투어·매진),80,0.249,0.2669,0.0713,0.2089,0.0459,0.1581
김호중,트로트,0.581,0.322,0.421,0.9473,결속형(팬클럽·기부·커뮤니티),65,0.2395,0.1184,0.1742,0.1108,0.2798,0.0772
레드벨벳,K-pop 걸그룹,0.674,0.227,0.786,0.8374,현장경제형(콘서트·투어·매진),69,0.2516,0.4227,0.0606,0.0941,0.1295,0.0416
아이유,솔로,0.595,0.242,0.818,0.9058,소비력형(초동·판매·앨범),59,0.2858,0.2849,0.0447,0.1744,0.1369,0.0733
프로미스나인,K-pop 걸그룹,0.348,0.486,0.72,0.8756,현장경제형(콘서트·투어·매진),57,0.2072,0.3705,0.0742,0.2163,0.0883,0.0435
DAY6,K-pop 보이그룹 /록,0.561,0.272,0.699,0.7473,현장경제형(콘서트·투어·매진),62,0.1588,0.5641,0.038,0.104,0.0682,0.0669
아이오아이,K-pop 걸그룹,0.645,0.146,0.568,0.8645,현장경제형(콘서트·투어·매진),58,0.1697,0.4163,0.0458,0.1817,0.1241,0.0624
BTOB,K-pop 보이그룹,0.561,0.229,0.713,0.8804,현장경제형(콘서트·투어·매진),53,0.1746,0.4033,0.054,0.1686,0.1326,0.0669
영탁,트로트,0.565,0.214,0.409,0.9549,현장경제형(콘서트·투어·매진),57,0.2168,0.235,0.1418,0.0597,0.2216,0.1251
최예나,솔로,0.403,0.375,0.59,0.9332,현장경제형(콘서트·투어·매진),63,0.195,0.3307,0.0844,0.1669,0.1434,0.0796
엔믹스,K-pop 걸그룹,0.491,0.283,0.749,0.8862,현장경제형(콘서트·투어·매진),71,0.2292,0.3689,0.0582,0.1289,0.0553,0.1596
IKON,K-pop 보이그룹,0.578,0.193,0.763,0.7728,현장경제형(콘서트·투어·매진),64,0.263,0.4513,0.0385,0.1724,0.0369,0.038
Crush,솔로,0.374,0.387,0.744,0.9109,현장경제형(콘서트·투어·매진),70,0.2012,0.3504,0.1348,0.178,0.0728,0.0629
god,원로그룹,0.601,0.157,0.326,0.7543,현장경제형(콘서트·투어·매진),45,0.132,0.4873,0.0419,0.0467,0.2613,0.0307
정동원,트로트,0.458,0.279,0.38,0.9545,결속형(팬클럽·기부·커뮤니티),63,0.1667,0.2324,0.2013,0.0734,0.2358,0.0905
EXO,K-pop 보이그룹,0.454,0.273,0.81,0.9513,현장경제형(콘서트·투어·매진),59,0.2508,0.2825,0.1297,0.123,0.1139,0.1001
박재범,힙합,0.417,0.307,0.747,0.8432,현장경제형(콘서트·투어·매진),69,0.1365,0.4819,0.0742,0.0896,0.1319,0.086
로이킴,발라드,0.363,0.357,0.525,0.9459,현장경제형(콘서트·투어·매진),59,0.1117,0.3353,0.1104,0.1846,0.1283,0.1297
이찬원,트로트,0.41,0.302,0.453,0.9612,현장경제형(콘서트·투어·매진),58,0.2081,0.237,0.1075,0.1219,0.2346,0.0909
송가인,트로트,0.403,0.304,0.392,0.8742,현장경제형(콘서트·투어·매진),51,0.1027,0.4397,0.1535,0.0796,0.1437,0.0809
QWER,K-pop 걸그룹,0.411,0.292,0.663,0.8991,현장경제형(콘서트·투어·매진),57,0.1624,0.3695,0.0774,0.2227,0.0764,0.0915
소녀시대,K-pop 걸그룹,0.325,0.357,0.726,0.8509,소비력형(초동·판매·앨범),53,0.4032,0.2225,0.0543,0.1905,0.0479,0.0815
권은비,솔로,0.268,0.411,0.644,0.9352,현장경제형(콘서트·투어·매진),62,0.2634,0.2733,0.0982,0.164,0.1409,0.0602
10CM,솔로,0.422,0.256,0.719,0.9311,현장경제형(콘서트·투어·매진),58,0.141,0.296,0.0923,0.2629,0.1355,0.0723
나훈아,트로트,0.511,0.156,0.416,0.7652,현장경제형(콘서트·투어·매진),50,0.2405,0.5095,0.0848,0.0537,0.0422,0.0693
동방신기,K-pop 보이그룹,0.348,0.314,0.58,0.9201,현장경제형(콘서트·투어·매진),54,0.2534,0.2787,0.0284,0.1495,0.1533,0.1368
Hearts2Hearts,K-pop 걸그룹,0.235,0.427,0.667,0.9313,현장경제형(콘서트·투어·매진),53,0.2366,0.2737,0.0959,0.2052,0.1392,0.0494
ITZY,K-pop 걸그룹,0.319,0.34,0.794,0.8828,소비력형(초동·판매·앨범),61,0.3267,0.2711,0.0702,0.2036,0.0579,0.0705
여자친구,K-pop 걸그룹,0.446,0.209,0.781,0.8354,현장경제형(콘서트·투어·매진),56,0.2374,0.4226,0.0667,0.133,0.1146,0.0258
A-pink,K-pop 걸그룹,0.429,0.206,0.694,0.829,현장경제형(콘서트·투어·매진),54,0.1822,0.4499,0.042,0.1458,0.1417,0.0384
샤이니,K-pop 보이그룹,0.363,0.261,0.793,0.8408,현장경제형(콘서트·투어·매진),45,0.1297,0.4563,0.0529,0.1975,0.07,0.0935
STAYC,K-pop 걸그룹,0.389,0.233,0.724,0.8969,현장경제형(콘서트·투어·매진),58,0.1599,0.368,0.1289,0.1944,0.0341,0.1148
HOT,원로그룹,0.359,0.255,0.356,0.8601,현장경제형(콘서트·투어·매진),43,0.2237,0.4045,0.0768,0.145,0.1176,0.0324
츄,솔로,0.363,0.251,0.457,0.9794,현장경제형(콘서트·투어·매진),56,0.182,0.2662,0.1424,0.1311,0.1446,0.1336
다비치,발라드,0.425,0.185,0.489,0.932,현장경제형(콘서트·투어·매진),51,0.1421,0.3393,0.095,0.212,0.1196,0.0919
오마이걸,K-pop 걸그룹,0.381,0.229,0.668,0.9395,현장경제형(콘서트·투어·매진),53,0.1813,0.3157,0.1059,0.0696,0.1954,0.1321
CNBLUE,K-pop 보이그룹 /록,0.297,0.308,0.687,0.8744,소비력형(초동·판매·앨범),52,0.3292,0.268,0.0572,0.213,0.0838,0.0488
빅뱅,K-pop 보이그룹,0.274,0.328,0.727,0.83,현장경제형(콘서트·투어·매진),50,0.3192,0.3941,0.0714,0.0722,0.0694,0.0738
보아,솔로,0.407,0.187,0.595,0.93,현장경제형(콘서트·투어·매진),50,0.2075,0.2719,0.0726,0.1624,0.2288,0.0568
악동뮤지션,혼성,0.247,0.343,0.571,0.8672,현장경제형(콘서트·투어·매진),45,0.2148,0.3317,0.0689,0.2732,0.0687,0.0427
성시경,발라드,0.427,0.144,0.549,0.8391,현장경제형(콘서트·투어·매진),52,0.2233,0.4426,0.1075,0.0415,0.1129,0.0722
IVE,K-pop 걸그룹,0.257,0.312,0.618,0.8825,소비력형(초동·판매·앨범),55,0.3271,0.2351,0.0739,0.2414,0.0731,0.0494
이효리,솔로,0.028,0.539,0.461,0.9571,현장경제형(콘서트·투어·매진),51,0.1877,0.306,0.1178,0.0979,0.1598,0.1307
볼빨간사춘기,솔로,0.309,0.258,0.647,0.9615,현장경제형(콘서트·투어·매진),51,0.2023,0.2255,0.0679,0.2245,0.1652,0.1146
마마무,K-pop 걸그룹,0.342,0.214,0.869,0.8983,현장경제형(콘서트·투어·매진),50,0.2452,0.2769,0.0536,0.2664,0.0716,0.0863
빅마마,발라드,0.345,0.2,0.252,0.9548,소비력형(초동·판매·앨범)·데뷔형,45,0.1458,0.2464,0.0918,0.272,0.1367,0.1074
슈퍼주니어,K-pop 보이그룹,0.322,0.21,0.587,0.905,소비력형(초동·판매·앨범),42,0.337,0.2603,0.052,0.1102,0.1337,0.1068
청하,솔로,0.178,0.344,0.707,0.9626,현장경제형(콘서트·투어·매진),50,0.2009,0.2668,0.1333,0.1844,0.1391,0.0755
조용필,발라드,0.285,0.211,0.514,0.9102,소비력형(초동·판매·앨범),47,0.2895,0.2695,0.0648,0.209,0.075,0.0923
윤하,솔로,0.358,0.133,0.705,0.9265,현장경제형(콘서트·투어·매진),40,0.1614,0.2614,0.0635,0.2181,0.2369,0.0588
케이윌,발라드,0.41,0.077,0.483,0.9301,현장경제형(콘서트·투어·매진),49,0.2135,0.3092,0.048,0.1223,0.1789,0.1281
잭스키스,원로그룹,0.374,0.112,0.426,0.8129,현장경제형(콘서트·투어·매진),44,0.2318,0.385,0.0509,0.0545,0.2527,0.0252
다이나믹듀오,힙합,0.291,0.19,0.524,0.7481,현장경제형(콘서트·투어·매진),42,0.1108,0.5807,0.0607,0.1106,0.0722,0.0651
에픽하이,힙합,0.366,0.1,0.76,0.7652,현장경제형(콘서트·투어·매진),55,0.1144,0.5616,0.0874,0.0779,0.1134,0.0454
카더가든,솔로,0.165,0.292,0.276,0.9658,현장경제형(콘서트·투어·매진),49,0.2348,0.243,0.1386,0.0947,0.1816,0.1073
김연자,트로트,0.196,0.242,0.448,0.9552,현장경제형(콘서트·투어·매진),47,0.2207,0.2874,0.1069,0.0898,0.1571,0.1381
비비,솔로,0.214,0.21,0.732,0.9295,현장경제형(콘서트·투어·매진),47,0.1913,0.3569,0.1355,0.0972,0.117,0.1021
박정현,발라드,0.187,0.228,0.516,0.9083,현장경제형(콘서트·투어·매진),39,0.1449,0.3855,0.0794,0.184,0.0929,0.1133
엄정화,솔로,0.127,0.278,0.414,0.9286,현장경제형(콘서트·투어·매진),43,0.1492,0.3518,0.0968,0.1971,0.1114,0.0936
FTISLAND,K-pop 보이그룹 /록,0.178,0.198,0.637,0.905,소비력형(초동·판매·앨범),42,0.3568,0.2236,0.0824,0.1741,0.0813,0.0818
sg워너비,발라드,0.251,0.123,0.404,0.8492,현장경제형(콘서트·투어·매진),38,0.1611,0.445,0.0781,0.1807,0.0863,0.0488
장윤정,트로트,0.112,0.254,0.442,0.9759,현장경제형(콘서트·투어·매진),41,0.1573,0.2507,0.2056,0.0967,0.141,0.1488
이승철,발라드,0.126,0.181,0.471,0.8076,현장경제형(콘서트·투어·매진),31,0.2657,0.4527,0.0463,0.0623,0.1014,0.0716
김동률,발라드,0.202,0.057,0.339,0.8185,현장경제형(콘서트·투어·매진),23,0.188,0.4792,0.0461,0.1137,0.1192,0.0537
Zion.T,솔로,0.079,0.174,0.632,0.9274,현장경제형(콘서트·투어·매진),37,0.2252,0.2735,0.1452,0.208,0.0357,0.1123
잔나비,록,0.123,0.104,0.666,0.808,현장경제형(콘서트·투어·매진),33,0.1917,0.4987,0.0548,0.1036,0.0809,0.0703
백지영,발라드,0.126,0.09,0.553,0.8101,현장경제형(콘서트·투어·매진),34,0.29,0.4336,0.0935,0.0698,0.0458,0.0672
한로로,솔로,0.139,0.066,0.494,0.9401,현장경제형(콘서트·투어·매진),33,0.1771,0.2806,0.1861,0.1955,0.0452,0.1155
윤도현,록,0.18,0.021,0.42,0.913,현장경제형(콘서트·투어·매진),30,0.1455,0.3406,0.0948,0.0494,0.2218,0.1479
박효신,발라드,0.2,0.0,0.325,0.7652,현장경제형(콘서트·투어·매진),24,0.2097,0.4982,0.0108,0.1056,0.1262,0.0496
린,발라드,0.105,0.073,0.375,0.8721,현장경제형(콘서트·투어·매진),27,0.2116,0.3956,0.068,0.1076,0.1708,0.0465
pH-1,힙합,0.054,0.12,0.605,0.8074,현장경제형(콘서트·투어·매진),34,0.1308,0.5256,0.0771,0.0911,0.0842,0.0911
BE'O,힙합,0.083,0.078,0.463,0.883,현장경제형(콘서트·투어·매진),28,0.1161,0.4197,0.1575,0.1419,0.0514,0.1135
이문세,발라드,0.035,0.094,0.412,0.9341,현장경제형(콘서트·투어·매진),27,0.189,0.3422,0.1546,0.077,0.1186,0.1186
브라운아이즈,발라드,0.095,0.023,0.256,0.9016,현장경제형(콘서트·투어·매진),22,0.1962,0.3061,0.0669,0.2729,0.0938,0.0642
거미,발라드,0.103,0.0,0.483,0.9325,현장경제형(콘서트·투어·매진),27,0.2577,0.2825,0.0601,0.0926,0.1618,0.1452
창모,힙합,0.079,0.004,0.417,0.9264,현장경제형(콘서트·투어·매진),22,0.1,0.2879,0.1693,0.1652,0.236,0.0417
헤이즈,솔로,0.005,0.049,0.626,0.9211,현장경제형(콘서트·투어·매진),28,0.2147,0.3514,0.0962,0.1528,0.0958,0.0891
사이먼도미닉,힙합,0.0,0.015,0.391,0.9199,브랜드·상업형(광고·앰버서더),17,0.112,0.2539,0.2553,0.2139,0.134,0.0308
