fandom,category,bullet_type,text_years,n_text_years,url_date,url_year,relative_expr,event_year,year_source,text_url_gap
이영지,힙합,spillover,2025,1,,,,2025,text,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,2023,1,,,,2023,text,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,2024,1,2024-07-17,2024,,2024,text,0
이영지,힙합,spillover,,0,2024-07-17,2024,,2024,url,
이영지,힙합,spillover,,0,2024-07-17,2024,,2024,url,
이영지,힙합,spillover,2025,1,,,,2025,text,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,2024,1,2024-06-24,2024,,2024,text,0
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,2025,1,,,,2025,text,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,2000,1,,,,2000,text,
이영지,힙합,spillover,2024,1,2024-11-26,2024,,2024,text,0
이영지,힙합,spillover,,0,2024-11-27,2024,,2024,url,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,2025,1,2025-03,2025,,2025,text,0
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,2024,1,,,,2024,text,
이영지,힙합,spillover,2026,1,,,,2026,text,
이영지,힙합,spillover,2025,1,,,,2025,text,
이영지,힙합,spillover,2025,1,,,,2025,text,
이영지,힙합,spillover,2026,1,,,,2026,text,
이영지,힙합,spillover,2026,1,,,,2026,text,
이영지,힙합,spillover,2025,1,,,,2025,text,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,2022-10-28,2022,,2022,url,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,2022,1,,,,2022,text,
이영지,힙합,spillover,2023,1,,,,2023,text,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,2020,1,,,,2020,text,
이영지,힙합,spillover,2026,1,,,,2026,text,
이영지,힙합,spillover,2020,1,,,,2020,text,
이영지,힙합,spillover,2022,1,,,,2022,text,
이영지,힙합,spillover,2026,1,,,,2026,text,
이영지,힙합,spillover,2025,1,,,,2025,text,
이영지,힙합,spillover,2025,1,,,,2025,text,
이영지,힙합,spillover,2021,1,,,,2021,text,
이영지,힙합,spillover,2022,1,,,,2022,text,
이영지,힙합,spillover,2025,1,,,,2025,text,
이영지,힙합,spillover,2025,1,,,,2025,text,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,loyalty,2025,1,2025-02,2025,,2025,text,0
지드래곤 (G-Dragon),힙합,loyalty,,0,2025-02,2025,,2025,url,
지드래곤 (G-Dragon),힙합,loyalty,,0,2025-11-11,2025,,2025,url,
지드래곤 (G-Dragon),힙합,loyalty,,0,,,,,none,
지드래곤 (G-Dragon),힙합,loyalty,,0,,,,,none,
지드래곤 (G-Dragon),힙합,loyalty,,0,,,,,none,
지드래곤 (G-Dragon),힙합,loyalty,2025,1,2025-10-03,2025,,2025,text,0
지드래곤 (G-Dragon),힙합,loyalty,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,loyalty,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,loyalty,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,loyalty,,0,2025-12-16,2025,,2025,url,
지드래곤 (G-Dragon),힙합,loyalty,,0,2025-12-16,2025,,2025,url,
지드래곤 (G-Dragon),힙합,loyalty,,0,2025-12-16,2025,,2025,url,
지드래곤 (G-Dragon),힙합,loyalty,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,loyalty,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,loyalty,2015|2016,2,,,,2016,text,
지드래곤 (G-Dragon),힙합,loyalty,2011|2012|2017,3,,,,2017,text,
지드래곤 (G-Dragon),힙합,loyalty,,0,2025-02,2025,,2025,url,
지드래곤 (G-Dragon),힙합,loyalty,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,loyalty,,0,,,,,none,
지드래곤 (G-Dragon),힙합,loyalty,2026,1,,,,2026,text,
지드래곤 (G-Dragon),힙합,loyalty,2026,1,,,,2026,text,
지드래곤 (G-Dragon),힙합,loyalty,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,loyalty,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,loyalty,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,loyalty,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,loyalty,,0,,,,,none,
지드래곤 (G-Dragon),힙합,loyalty,,0,,,,,none,
지드래곤 (G-Dragon),힙합,loyalty,,0,,,,,none,
지드래곤 (G-Dragon),힙합,loyalty,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,loyalty,,0,,,,,none,
지드래곤 (G-Dragon),힙합,loyalty,,0,,,,,none,
지드래곤 (G-Dragon),힙합,loyalty,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,loyalty,,0,,,,,none,
지드래곤 (G-Dragon),힙합,loyalty,2017,1,,,,2017,text,
지드래곤 (G-Dragon),힙합,loyalty,2016,1,,,,2016,text,
지드래곤 (G-Dragon),힙합,loyalty,2016,1,,,,2016,text,
지드래곤 (G-Dragon),힙합,loyalty,2015,1,,,,2015,text,
지드래곤 (G-Dragon),힙합,loyalty,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,loyalty,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,loyalty,2023,1,,,,2023,text,
지드래곤 (G-Dragon),힙합,loyalty,2026,1,,,,2026,text,
지드래곤 (G-Dragon),힙합,loyalty,2026,1,,,,2026,text,
지드래곤 (G-Dragon),힙합,loyalty,2024|2025,2,,,,2025,text,
지드래곤 (G-Dragon),힙합,loyalty,2026,1,,,,2026,text,
지드래곤 (G-Dragon),힙합,loyalty,,0,,,,,none,
지드래곤 (G-Dragon),힙합,loyalty,2014,1,,,,2014,text,
지드래곤 (G-Dragon),힙합,spillover,2025,1,2025-06-15,2025,,2025,text,0
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,spillover,2016,1,,,,2016,text,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,2025,1,2025-10-29,2025,,2025,text,0
지드래곤 (G-Dragon),힙합,spillover,2025,1,2025-10-29,2025,,2025,text,0
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,2026,1,,,,2026,text,
지드래곤 (G-Dragon),힙합,spillover,,0,2025-12-16,2025,,2025,url,
지드래곤 (G-Dragon),힙합,spillover,2016|2017,2,,,,2017,text,
지드래곤 (G-Dragon),힙합,spillover,2017,1,,,,2017,text,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,spillover,2026,1,2026-07,2026,,2026,text,0
지드래곤 (G-Dragon),힙합,spillover,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,spillover,2014|2024,2,,,,2024,text,
지드래곤 (G-Dragon),힙합,spillover,2020|2026,2,2026-04-13,2026,,2026,text,0
지드래곤 (G-Dragon),힙합,spillover,,0,2025-03-14,2025,,2025,url,
지드래곤 (G-Dragon),힙합,spillover,2026,1,,,,2026,text,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,2025,1,2025-12-23,2025,,2025,text,0
지드래곤 (G-Dragon),힙합,spillover,,0,2025-09-22,2025,,2025,url,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,,0,2023-11-06,2023,,2023,url,
지드래곤 (G-Dragon),힙합,spillover,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,,0,2024-10-31,2024,,2024,url,
지드래곤 (G-Dragon),힙합,spillover,,0,2025-02-25,2025,,2025,url,
지드래곤 (G-Dragon),힙합,spillover,,0,2023-10-31,2023,,2023,url,
지드래곤 (G-Dragon),힙합,spillover,2026,1,,,,2026,text,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,2025,1,2025-03-19,2025,,2025,text,0
지드래곤 (G-Dragon),힙합,spillover,,0,2025-09-25,2025,,2025,url,
지드래곤 (G-Dragon),힙합,spillover,2011|2012|2013|2024|2025,5,,,,2025,text,
지드래곤 (G-Dragon),힙합,spillover,2012|2017,2,,,,2017,text,
지드래곤 (G-Dragon),힙합,spillover,2024|2025,2,,,,2025,text,
지드래곤 (G-Dragon),힙합,spillover,2017,1,,,,2017,text,
지드래곤 (G-Dragon),힙합,spillover,,0,2024-10-31,2024,,2024,url,
지드래곤 (G-Dragon),힙합,spillover,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,spillover,2025,1,2025-11-17,2025,,2025,text,0
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,,0,,,0,,none,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,2025,1,2025-03-28,2025,,2025,text,0
지드래곤 (G-Dragon),힙합,spillover,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,2024,1,2024-11-04,2024,,2024,text,0
지드래곤 (G-Dragon),힙합,spillover,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,spillover,2026,1,,,,2026,text,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,2025,1,2026-04-17,2026,-1,2025,text,-1
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,2016,1,2016-03-31,2016,,2016,text,0
지드래곤 (G-Dragon),힙합,spillover,2026,1,,,,2026,text,
지드래곤 (G-Dragon),힙합,spillover,2026,1,,,,2026,text,
지드래곤 (G-Dragon),힙합,spillover,2026,1,,,,2026,text,
지드래곤 (G-Dragon),힙합,spillover,2026,1,,,,2026,text,
지드래곤 (G-Dragon),힙합,spillover,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,spillover,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,spillover,2025|2026,2,2025-06-05,2025,,2026,text,1
지드래곤 (G-Dragon),힙합,spillover,2026,1,,,,2026,text,
지드래곤 (G-Dragon),힙합,spillover,2025,1,2025-06-15,2025,,2025,text,0
지드래곤 (G-Dragon),힙합,spillover,2026,1,,,,2026,text,
지드래곤 (G-Dragon),힙합,spillover,2016,1,,,,2016,text,
지드래곤 (G-Dragon),힙합,spillover,2025,1,,,,2025,text,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,2016,1,,,,2016,text,
지드래곤 (G-Dragon),힙합,spillover,,0,,,,,none,
지드래곤 (G-Dragon),힙합,spillover,2017,1,,,,2017,text,
지드래곤 (G-Dragon),힙합,spillover,2026,1,2026-09-09,2026,,2026,text,0
지드래곤 (G-Dragon),힙합,spillover,2025,1,,,,2025,text,
지코,힙합,loyalty,2019,1,,,,2019,text,
지코,힙합,loyalty,2015,1,,,,2015,text,
지코,힙합,loyalty,2026,1,,,,2026,text,
지코,힙합,loyalty,2026,1,,,,2026,text,
지코,힙합,loyalty,2019,1,,,,2019,text,
지코,힙합,loyalty,2013,1,,,,2013,text,
지코,힙합,loyalty,2024,1,,,,2024,text,
지코,힙합,loyalty,2019,1,,,,2019,text,
지코,힙합,loyalty,,0,,,,,none,
지코,힙합,loyalty,,0,,,,,none,
지코,힙합,loyalty,,0,,,,,none,
지코,힙합,loyalty,2026,1,,,,2026,text,
지코,힙합,loyalty,2026,1,,,,2026,text,
지코,힙합,loyalty,2022,1,,,,2022,text,
지코,힙합,loyalty,,0,2024-11-20,2024,,2024,url,
지코,힙합,loyalty,,0,,,,,none,
지코,힙합,loyalty,,0,,,,,none,
지코,힙합,loyalty,,0,,,,,none,
지코,힙합,loyalty,,0,,,,,none,
지코,힙합,loyalty,,0,,,,,none,
지코,힙합,loyalty,2023,1,,,,2023,text,
지코,힙합,loyalty,2018,1,,,,2018,text,
지코,힙합,loyalty,2015,1,,,,2015,text,
지코,힙합,loyalty,2019,1,,,,2019,text,
지코,힙합,loyalty,2020,1,,,,2020,text,
지코,힙합,loyalty,2026,1,,,,2026,text,
지코,힙합,loyalty,,0,,,,,none,
지코,힙합,loyalty,,0,,,,,none,
지코,힙합,spillover,2024,1,,,,2024,text,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,2018,1,,,,2018,text,
지코,힙합,spillover,2020,1,,,,2020,text,
지코,힙합,spillover,2024,1,,,,2024,text,
지코,힙합,spillover,2019|2020|2023,3,,,,2023,text,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,2010|2012,2,,,,2012,text,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,2024,1,,,,2024,text,
지코,힙합,spillover,2024,1,,,,2024,text,
지코,힙합,spillover,2016,1,,,,2016,text,
지코,힙합,spillover,2019,1,,,,2019,text,
지코,힙합,spillover,2019|2020,2,,,,2020,text,
지코,힙합,spillover,2016|2018|2020|2024,4,,,,2024,text,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,2026,1,,,,2026,text,
지코,힙합,spillover,,0,2026-02-06,2026,,2026,url,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,2024,1,,,,2024,text,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,2025,1,,,,2025,text,
지코,힙합,spillover,2025,1,2025-12-19,2025,,2025,text,0
지코,힙합,spillover,,0,2022-07-29,2022,,2022,url,
지코,힙합,spillover,,0,2022-07-29,2022,,2022,url,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,2026,1,,,,2026,text,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,2020,1,,,,2020,text,
지코,힙합,spillover,2025,1,,,,2025,text,
지코,힙합,spillover,2019,1,2019-03-03,2019,,2019,text,0
지코,힙합,spillover,2020,1,2020-07-21,2020,,2020,text,0
지코,힙합,spillover,2026,1,,,,2026,text,
지코,힙합,spillover,2026,1,,,,2026,text,
지코,힙합,spillover,2024,1,,,,2024,text,
지코,힙합,spillover,2022,1,,,,2022,text,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,2016,1,,,,2016,text,
지코,힙합,spillover,2016|2020,2,,,,2020,text,
지코,힙합,spillover,2016,1,,,,2016,text,
지코,힙합,spillover,2016,1,,,,2016,text,
지코,힙합,spillover,2016,1,,,,2016,text,
지코,힙합,spillover,2016,1,,,,2016,text,
지코,힙합,spillover,2022,1,,,,2022,text,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,2026,1,,,,2026,text,
지코,힙합,spillover,2026,1,,,,2026,text,
지코,힙합,spillover,2018|2026,2,,,,2026,text,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,2026,1,,,,2026,text,
지코,힙합,spillover,,0,,,,,none,
지코,힙합,spillover,,0,2024-04,2024,,2024,url,
지코,힙합,spillover,,0,2019-01,2019,,2019,url,
박재범,힙합,loyalty,2024|2025,2,,,,2025,text,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,2017|2018,2,,,,2018,text,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,2025,1,,,,2025,text,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,2023,1,,,,2023,text,
박재범,힙합,loyalty,2025,1,,,,2025,text,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,2025,1,,,,2025,text,
박재범,힙합,loyalty,2025,1,,,,2025,text,
박재범,힙합,loyalty,2026,1,,,,2026,text,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,2026,1,,,,2026,text,
박재범,힙합,loyalty,,0,2026-06-11,2026,,2026,url,
박재범,힙합,loyalty,2010,1,,,,2010,text,
박재범,힙합,loyalty,2025,1,,,,2025,text,
박재범,힙합,loyalty,2025,1,,,,2025,text,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,2026,1,,,,2026,text,
박재범,힙합,loyalty,2026,1,,,,2026,text,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,2012|2019|2024,3,2012-05-06,2012,,2024,text,12
박재범,힙합,loyalty,2026,1,,,,2026,text,
박재범,힙합,loyalty,2026,1,,,,2026,text,
박재범,힙합,loyalty,2016,1,,,,2016,text,
박재범,힙합,loyalty,2017,1,,,,2017,text,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,2026,1,,,,2026,text,
박재범,힙합,loyalty,2026,1,,,,2026,text,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,loyalty,2026,1,,,,2026,text,
박재범,힙합,loyalty,,0,,,,,none,
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,2016|2021,2,,,,2021,text,
박재범,힙합,spillover,2025,1,2025-12-24,2025,,2025,text,0
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,2023|2024,2,,,,2024,text,
박재범,힙합,spillover,2022,1,,,,2022,text,
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,2023|2024,2,2023-11,2023,,2024,text,1
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,2022,1,,,,2022,text,
박재범,힙합,spillover,2013|2016,2,,,,2016,text,
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,,0,2026-06-09,2026,,2026,url,
박재범,힙합,spillover,2025,1,,,,2025,text,
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,2023,1,,,,2023,text,
박재범,힙합,spillover,2016,1,,,,2016,text,
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,2026,1,,,,2026,text,
박재범,힙합,spillover,2026,1,,,,2026,text,
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,2026,1,,,,2026,text,
박재범,힙합,spillover,2026,1,,,,2026,text,
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,2025,1,2025-07-01,2025,,2025,text,0
박재범,힙합,spillover,2013,1,,,,2013,text,
박재범,힙합,spillover,2011,1,,,,2011,text,
박재범,힙합,spillover,2026,1,2026-03-13,2026,,2026,text,0
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,2010,1,,,,2010,text,
박재범,힙합,spillover,2011,1,,,,2011,text,
박재범,힙합,spillover,2011,1,,,,2011,text,
박재범,힙합,spillover,2012|2014,2,,,,2014,text,
박재범,힙합,spillover,2022,1,,,,2022,text,
박재범,힙합,spillover,2022,1,2022-08-25,2022,,2022,text,0
박재범,힙합,spillover,2015,1,2015-03-04,2015,,2015,text,0
박재범,힙합,spillover,2026,1,,,,2026,text,
박재범,힙합,spillover,2023,1,2023-11,2023,,2023,text,0
박재범,힙합,spillover,2022,1,2022-08,2022,,2022,text,0
박재범,힙합,spillover,2023,1,,,,2023,text,
박재범,힙합,spillover,2023,1,,,,2023,text,
박재범,힙합,spillover,2022,1,,,,2022,text,
박재범,힙합,spillover,2023,1,,,,2023,text,
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,2026,1,,,,2026,text,
박재범,힙합,spillover,2025,1,,,,2025,text,
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,,0,,,,,none,
박재범,힙합,spillover,2026,1,,,,2026,text,
박재범,힙합,spillover,,0,,,,,none,
다이나믹듀오,힙합,loyalty,2013|2017,2,,,,2017,text,
다이나믹듀오,힙합,loyalty,2023,1,2025-01-09,2025,,2023,text,-2
다이나믹듀오,힙합,loyalty,2024|2025,2,2025-01-09,2025,,2025,text,0
다이나믹듀오,힙합,loyalty,,0,,,,,none,
다이나믹듀오,힙합,loyalty,,0,2023-10-31,2023,,2023,url,
다이나믹듀오,힙합,loyalty,2014|2024,2,2023-10-31,2023,,2024,text,1
다이나믹듀오,힙합,loyalty,2025,1,,,,2025,text,
다이나믹듀오,힙합,loyalty,2026,1,,,,2026,text,
다이나믹듀오,힙합,loyalty,2025,1,,,,2025,text,
다이나믹듀오,힙합,loyalty,,0,,,,,none,
다이나믹듀오,힙합,loyalty,,0,,,,,none,
다이나믹듀오,힙합,loyalty,2023|2024|2025,3,,,,2025,text,
다이나믹듀오,힙합,loyalty,2025,1,,,,2025,text,
다이나믹듀오,힙합,loyalty,2025|2026,2,,,,2026,text,
다이나믹듀오,힙합,loyalty,2025,1,,,,2025,text,
다이나믹듀오,힙합,loyalty,2025|2026,2,,,,2026,text,
다이나믹듀오,힙합,loyalty,,0,,,,,none,
다이나믹듀오,힙합,loyalty,,0,,,,,none,
다이나믹듀오,힙합,loyalty,,0,,,,,none,
다이나믹듀오,힙합,loyalty,,0,2024-12-12,2024,,2024,url,
다이나믹듀오,힙합,loyalty,2025,1,,,,2025,text,
다이나믹듀오,힙합,loyalty,2025,1,,,,2025,text,
다이나믹듀오,힙합,loyalty,2013,1,,,,2013,text,
다이나믹듀오,힙합,loyalty,2025,1,,,,2025,text,
다이나믹듀오,힙합,loyalty,2026,1,,,,2026,text,
다이나믹듀오,힙합,loyalty,2014,1,,,,2014,text,
다이나믹듀오,힙합,spillover,2004,1,,,,2004,text,
