fandom,year,n_loyalty,n_spillover,n_total,loyalty_sum,spillover_sum,loyalty_density,spillover_density,year_share,late_round_share,valid_cell
BABYMONSTER,2024,7,6,13,11.6,11.2,1.6571,1.8667,0.01769,0.2308,1
BABYMONSTER,2025,6,17,23,12.7,26.3,2.1167,1.5471,0.01828,0.4348,1
BABYMONSTER,2026,3,10,13,4.8,13.1,1.6,1.31,0.00854,0.3846,1
BLACKPINK,2017,4,0,4,5.8,0.0,1.45,,0.02516,0.0,0
BLACKPINK,2018,0,2,2,0.0,2.5,,,0.00948,0.5,0
BLACKPINK,2019,0,3,3,0.0,5.7,,1.9,0.01299,1.0,0
BLACKPINK,2020,1,3,4,1.0,4.5,,1.5,0.01471,0.0,0
BLACKPINK,2021,1,2,3,1.0,4.1,,,0.01395,0.6667,0
BLACKPINK,2022,5,8,13,10.7,15.6,2.14,1.95,0.03704,0.3846,1
BLACKPINK,2023,4,11,15,5.0,16.7,1.25,1.5182,0.0308,0.2667,1
BLACKPINK,2024,3,3,6,4.6,9.1,1.5333,3.0333,0.00816,0.6667,1
BLACKPINK,2025,5,12,17,8.6,21.9,1.72,1.825,0.01351,0.2941,1
BLACKPINK,2026,12,34,46,24.0,53.6,2.0,1.5765,0.0302,0.1739,1
BTOB,2015,6,3,9,11.8,4.0,1.9667,1.3333,0.07258,0.0,1
BTOB,2016,2,3,5,4.8,6.3,,2.1,0.02604,0.0,1
BTOB,2017,0,2,2,0.0,3.0,,,0.01258,1.0,0
BTOB,2018,1,3,4,2.0,6.5,,2.1667,0.01896,0.25,0
BTOB,2020,6,2,8,18.9,4.5,3.15,,0.02941,0.25,1
BTOB,2021,0,2,2,0.0,3.6,,,0.0093,0.5,0
BTOB,2022,1,5,6,3.1,11.2,,2.24,0.01709,0.3333,1
BTOB,2023,1,0,1,1.0,0.0,,,0.00205,0.0,0
BTOB,2024,2,2,4,3.8,4.2,,,0.00544,0.0,0
BTOB,2025,2,3,5,3.0,4.5,,1.5,0.00397,0.0,1
BTOB,2026,2,8,10,3.0,14.7,,1.8375,0.00657,0.4,1
BTS,2017,3,2,5,5.8,3.3,1.9333,,0.03145,0.4,1
BTS,2018,2,7,9,4.0,10.1,,1.4429,0.04265,0.1111,1
BTS,2019,4,6,10,7.8,13.8,1.95,2.3,0.04329,0.4,1
BTS,2020,5,11,16,10.1,22.2,2.02,2.0182,0.05882,0.3125,1
BTS,2021,2,6,8,4.8,10.9,,1.8167,0.03721,0.375,1
BTS,2022,2,6,8,4.5,10.1,,1.6833,0.02279,0.25,1
BTS,2023,0,6,6,0.0,12.6,,2.1,0.01232,0.0,1
BTS,2024,1,6,7,1.5,11.2,,1.8667,0.00952,0.2857,1
BTS,2025,4,8,12,8.5,14.7,2.125,1.8375,0.00954,0.3333,1
BTS,2026,15,39,54,26.4,68.8,1.76,1.7641,0.03546,0.2037,1
CNBLUE,2015,1,2,3,2.8,3.5,,,0.02419,0.0,0
CNBLUE,2016,1,1,2,1.0,2.3,,,0.01042,0.0,0
CNBLUE,2017,1,0,1,1.0,0.0,,,0.00629,0.0,0
CNBLUE,2019,0,1,1,0.0,2.0,,,0.00433,1.0,0
CNBLUE,2020,0,1,1,0.0,1.5,,,0.00368,0.0,0
CNBLUE,2022,1,0,1,1.0,0.0,,,0.00285,0.0,0
CNBLUE,2023,0,2,2,0.0,6.5,,,0.00411,0.0,0
CNBLUE,2024,1,5,6,1.8,12.1,,2.42,0.00816,0.0,1
CNBLUE,2025,0,5,5,0.0,10.3,,2.06,0.00397,0.0,1
CNBLUE,2026,7,7,14,11.7,13.2,1.6714,1.8857,0.00919,0.2857,1
CORTIS,2022,0,1,1,0.0,2.0,,,0.00285,0.0,0
CORTIS,2024,0,1,1,0.0,2.3,,,0.00136,0.0,0
CORTIS,2025,7,20,27,15.0,35.7,2.1429,1.785,0.02146,0.2963,1
CORTIS,2026,14,26,40,26.3,54.6,1.8786,2.1,0.02626,0.2,1
Crush,2015,1,3,4,1.0,6.9,,2.3,0.03226,0.25,0
Crush,2016,1,4,5,1.5,6.0,,1.5,0.02604,0.0,1
Crush,2018,0,2,2,0.0,2.8,,,0.00948,1.0,0
Crush,2019,1,2,3,1.5,3.0,,,0.01299,0.0,0
Crush,2020,0,2,2,0.0,3.3,,,0.00735,0.5,0
Crush,2022,0,4,4,0.0,6.0,,1.5,0.0114,0.25,0
Crush,2023,9,2,11,12.4,4.2,1.3778,,0.02259,0.2727,1
Crush,2024,4,4,8,7.4,5.5,1.85,1.375,0.01088,0.0,1
Crush,2025,4,4,8,6.8,7.1,1.7,1.775,0.00636,0.125,1
Crush,2026,4,12,16,5.5,19.9,1.375,1.6583,0.01051,0.25,1
DAY6,2016,0,1,1,0.0,2.0,,,0.00521,0.0,0
DAY6,2017,1,0,1,1.8,0.0,,,0.00629,0.0,0
DAY6,2018,1,3,4,1.8,6.0,,2.0,0.01896,0.0,0
DAY6,2019,1,1,2,1.5,1.8,,,0.00866,0.5,0
DAY6,2020,1,2,3,1.5,2.8,,,0.01103,0.0,0
DAY6,2021,0,1,1,0.0,1.0,,,0.00465,0.0,0
DAY6,2022,1,1,2,1.5,1.5,,,0.0057,1.0,0
DAY6,2024,5,3,8,9.4,6.0,1.88,2.0,0.01088,0.125,1
DAY6,2025,14,19,33,25.8,37.1,1.8429,1.9526,0.02623,0.1515,1
DAY6,2026,8,4,12,15.1,8.7,1.8875,2.175,0.00788,0.4167,1
EXO,2015,0,2,2,0.0,3.0,,,0.01613,0.0,0
EXO,2016,1,1,2,1.0,2.0,,,0.01042,0.0,0
EXO,2017,1,1,2,1.0,1.0,,,0.01258,0.0,0
EXO,2018,0,10,10,0.0,22.3,,2.23,0.04739,0.2,1
EXO,2019,0,2,2,0.0,3.9,,,0.00866,0.0,0
EXO,2020,7,3,10,17.9,5.8,2.5571,1.9333,0.03676,0.5,1
EXO,2021,0,2,2,0.0,4.5,,,0.0093,0.0,0
EXO,2022,0,3,3,0.0,5.0,,1.6667,0.00855,0.3333,0
EXO,2023,3,4,7,5.8,5.8,1.9333,1.45,0.01437,0.1429,1
EXO,2024,2,5,7,2.5,12.7,,2.54,0.00952,0.5714,1
EXO,2025,5,4,9,6.0,8.7,1.2,2.175,0.00715,0.2222,1
EXO,2026,5,12,17,8.6,19.4,1.72,1.6167,0.01116,0.4118,1
FTISLAND,2015,1,2,3,1.0,5.5,,,0.02419,0.0,0
FTISLAND,2016,0,1,1,0.0,3.0,,,0.00521,0.0,0
FTISLAND,2017,0,1,1,0.0,1.8,,,0.00629,0.0,0
FTISLAND,2019,0,1,1,0.0,2.0,,,0.00433,0.0,0
FTISLAND,2021,1,0,1,1.5,0.0,,,0.00465,0.0,0
FTISLAND,2022,0,2,2,0.0,3.0,,,0.0057,0.0,0
FTISLAND,2023,1,1,2,1.5,1.5,,,0.00411,1.0,0
FTISLAND,2024,2,0,2,2.0,0.0,,,0.00272,0.0,0
FTISLAND,2025,4,4,8,6.3,5.8,1.575,1.45,0.00636,0.5,1
FTISLAND,2026,6,6,12,11.6,9.1,1.9333,1.5167,0.00788,0.25,1
GOT7,2015,2,3,5,4.3,7.0,,2.3333,0.04032,0.0,1
GOT7,2016,0,2,2,0.0,3.0,,,0.01042,0.0,0
GOT7,2017,1,3,4,2.5,6.1,,2.0333,0.02516,0.0,0
GOT7,2018,3,7,10,6.5,12.1,2.1667,1.7286,0.04739,0.2,1
GOT7,2019,3,11,14,4.5,21.4,1.5,1.9455,0.06061,0.0714,1
GOT7,2020,1,4,5,4.0,8.3,,2.075,0.01838,0.4,1
GOT7,2021,1,8,9,3.3,13.3,,1.6625,0.04186,0.1111,1
GOT7,2022,5,2,7,10.8,4.3,2.16,,0.01994,0.0,1
GOT7,2023,0,3,3,0.0,4.8,,1.6,0.00616,0.3333,0
GOT7,2024,2,1,3,3.5,2.5,,,0.00408,0.3333,0
GOT7,2025,5,10,15,9.1,19.3,1.82,1.93,0.01192,0.3333,1
GOT7,2026,1,1,2,3.5,1.5,,,0.00131,0.5,0
HOT,2016,0,1,1,0.0,2.0,,,0.00521,0.0,0
HOT,2018,7,3,10,18.4,5.1,2.6286,1.7,0.04739,0.3,1
HOT,2019,3,3,6,9.4,10.0,3.1333,3.3333,0.02597,0.3333,1
HOT,2020,0,1,1,0.0,1.0,,,0.00368,0.0,0
HOT,2024,1,0,1,2.3,0.0,,,0.00136,1.0,0
HOT,2025,3,8,11,6.0,13.5,2.0,1.6875,0.00874,0.5455,1
HOT,2026,2,10,12,5.5,24.1,,2.41,0.00788,0.8333,1
Hearts2Hearts,2020,0,1,1,0.0,2.0,,,0.00368,0.0,0
Hearts2Hearts,2025,5,24,29,8.3,38.9,1.66,1.6208,0.02305,0.3448,1
Hearts2Hearts,2026,15,29,44,29.9,54.1,1.9933,1.8655,0.02889,0.2955,1
IKON,2015,8,5,13,15.9,8.5,1.9875,1.7,0.10484,0.3846,1
IKON,2016,2,3,5,4.3,5.0,,1.6667,0.02604,0.4,1
IKON,2017,0,2,2,0.0,5.3,,,0.01258,0.0,0
IKON,2018,0,3,3,0.0,8.3,,2.7667,0.01422,0.0,0
IKON,2021,0,1,1,0.0,1.0,,,0.00465,0.0,0
IKON,2022,2,1,3,3.0,1.5,,,0.00855,0.3333,0
IKON,2023,1,2,3,1.5,5.0,,,0.00616,0.0,0
IKON,2025,1,1,2,1.0,1.5,,,0.00159,0.5,0
IKON,2026,16,6,22,24.8,7.3,1.55,1.2167,0.01445,0.2273,1
ITZY,2018,0,1,1,0.0,1.0,,,0.00474,0.0,0
ITZY,2019,2,2,4,2.8,3.0,,,0.01732,0.25,0
ITZY,2020,0,1,1,0.0,2.1,,,0.00368,0.0,0
ITZY,2021,2,1,3,4.8,2.0,,,0.01395,0.0,0
ITZY,2022,2,5,7,4.2,8.5,,1.7,0.01994,0.1429,1
ITZY,2023,5,5,10,7.8,6.8,1.56,1.36,0.02053,0.3,1
ITZY,2024,6,13,19,8.0,27.5,1.3333,2.1154,0.02585,0.3684,1
ITZY,2025,2,5,7,4.8,8.1,,1.62,0.00556,0.5714,1
ITZY,2026,5,5,10,8.1,8.9,1.62,1.78,0.00657,0.7,1
IVE,2022,0,3,3,0.0,5.3,,1.7667,0.00855,0.0,0
IVE,2023,4,8,12,6.3,14.9,1.575,1.8625,0.02464,0.0,1
IVE,2024,4,3,7,6.0,4.4,1.5,1.4667,0.00952,0.4286,1
IVE,2025,5,10,15,8.7,14.4,1.74,1.44,0.01192,0.2667,1
IVE,2026,6,14,20,11.3,27.2,1.8833,1.9429,0.01313,0.65,1
LE SSERAFIM,2022,2,4,6,3.1,5.1,,1.275,0.01709,0.0,1
LE SSERAFIM,2023,2,11,13,3.8,14.2,,1.2909,0.02669,0.0,1
LE SSERAFIM,2024,3,14,17,5.6,22.4,1.8667,1.6,0.02313,0.2941,1
LE SSERAFIM,2025,7,8,15,9.3,10.3,1.3286,1.2875,0.01192,0.0,1
LE SSERAFIM,2026,7,17,24,11.5,32.0,1.6429,1.8824,0.01576,0.4583,1
NCT,2016,1,1,2,1.5,1.0,,,0.01042,0.5,0
NCT,2017,0,1,1,0.0,1.8,,,0.00629,1.0,0
NCT,2018,0,1,1,0.0,1.0,,,0.00474,0.0,0
NCT,2019,0,1,1,0.0,1.5,,,0.00433,0.0,0
NCT,2020,8,2,10,14.9,4.0,1.8625,,0.03676,0.1,1
NCT,2021,4,3,7,7.8,5.1,1.95,1.7,0.03256,0.2857,1
NCT,2022,2,7,9,3.5,14.4,,2.0571,0.02564,0.1111,1
NCT,2023,3,7,10,5.0,13.1,1.6667,1.8714,0.02053,0.3,1
NCT,2024,8,11,19,14.0,18.5,1.75,1.6818,0.02585,0.2632,1
NCT,2025,10,13,23,16.9,24.8,1.69,1.9077,0.01828,0.1739,1
NCT,2026,9,18,27,17.1,30.3,1.9,1.6833,0.01773,0.3704,1
NewJeans,2022,4,3,7,8.1,5.4,2.025,1.8,0.01994,0.5714,1
NewJeans,2023,6,16,22,9.5,29.0,1.5833,1.8125,0.04517,0.3182,1
NewJeans,2024,9,25,34,12.7,39.8,1.4111,1.592,0.04626,0.1765,1
NewJeans,2025,3,8,11,3.0,10.0,1.0,1.25,0.00874,0.0909,1
NewJeans,2026,7,11,18,11.1,16.8,1.5857,1.5273,0.01182,0.2778,1
QWER,2023,1,6,7,2.3,9.3,,1.55,0.01437,0.7143,1
QWER,2024,4,9,13,9.9,15.6,2.475,1.7333,0.01769,0.3077,1
QWER,2025,11,11,22,19.2,18.4,1.7455,1.6727,0.01749,0.3636,1
QWER,2026,10,17,27,15.4,31.4,1.54,1.8471,0.01773,0.4074,1
RIIZE,2022,0,1,1,0.0,1.5,,,0.00285,0.0,0
RIIZE,2023,3,12,15,5.9,17.5,1.9667,1.4583,0.0308,0.1333,1
RIIZE,2024,4,9,13,9.3,15.5,2.325,1.7222,0.01769,0.0769,1
RIIZE,2025,9,9,18,21.2,15.2,2.3556,1.6889,0.01431,0.1111,1
RIIZE,2026,9,15,24,17.0,23.2,1.8889,1.5467,0.01576,0.375,1
SEVENTEEN,2015,0,1,1,0.0,1.5,,,0.00806,0.0,0
SEVENTEEN,2016,4,0,4,6.4,0.0,1.6,,0.02083,0.25,0
SEVENTEEN,2017,0,2,2,0.0,2.5,,,0.01258,0.0,0
SEVENTEEN,2018,1,0,1,1.0,0.0,,,0.00474,0.0,0
SEVENTEEN,2019,3,2,5,5.9,3.5,1.9667,,0.02165,0.4,1
SEVENTEEN,2020,0,2,2,0.0,3.1,,,0.00735,0.5,0
SEVENTEEN,2021,1,0,1,3.8,0.0,,,0.00465,0.0,0
SEVENTEEN,2022,2,3,5,3.3,4.9,,1.6333,0.01425,0.0,1
SEVENTEEN,2023,13,3,16,17.8,5.3,1.3692,1.7667,0.03285,0.0625,1
SEVENTEEN,2024,9,23,32,15.1,36.3,1.6778,1.5783,0.04354,0.1875,1
SEVENTEEN,2025,9,9,18,15.6,13.7,1.7333,1.5222,0.01431,0.0556,1
SEVENTEEN,2026,7,13,20,9.3,24.1,1.3286,1.8538,0.01313,0.5,1
STAYC,2020,3,3,6,6.3,4.5,2.1,1.5,0.02206,0.3333,1
STAYC,2021,2,3,5,2.5,4.5,,1.5,0.02326,0.2,1
STAYC,2022,2,2,4,3.3,2.5,,,0.0114,0.5,0
STAYC,2023,2,12,14,4.3,21.6,,1.8,0.02875,0.2143,1
STAYC,2024,2,6,8,3.5,8.8,,1.4667,0.01088,0.25,1
STAYC,2025,13,5,18,18.9,9.1,1.4538,1.82,0.01431,0.2222,1
STAYC,2026,3,5,8,3.3,9.0,1.1,1.8,0.00525,0.25,1
Stray Kids,2018,0,2,2,0.0,3.0,,,0.00948,1.0,0
Stray Kids,2019,0,1,1,0.0,1.8,,,0.00433,0.0,0
Stray Kids,2020,0,2,2,0.0,3.1,,,0.00735,0.0,0
Stray Kids,2021,0,1,1,0.0,1.5,,,0.00465,0.0,0
Stray Kids,2022,2,2,4,4.0,3.0,,,0.0114,0.25,0
Stray Kids,2023,3,4,7,7.1,7.6,2.3667,1.9,0.01437,0.0,1
Stray Kids,2024,7,15,22,11.6,26.0,1.6571,1.7333,0.02993,0.1364,1
Stray Kids,2025,10,22,32,18.4,38.3,1.84,1.7409,0.02544,0.2188,1
Stray Kids,2026,8,19,27,12.9,39.6,1.6125,2.0842,0.01773,0.1481,1
TWICE,2015,1,2,3,2.5,2.8,,,0.02419,0.6667,0
TWICE,2016,2,4,6,4.1,6.1,,1.525,0.03125,0.6667,1
TWICE,2017,0,6,6,0.0,14.7,,2.45,0.03774,0.1667,1
TWICE,2018,1,4,5,2.3,9.6,,2.4,0.0237,0.4,1
TWICE,2019,2,3,5,5.3,6.5,,2.1667,0.02165,0.0,1
TWICE,2020,1,0,1,3.3,0.0,,,0.00368,0.0,0
TWICE,2021,1,4,5,1.5,8.6,,2.15,0.02326,0.2,1
TWICE,2022,2,5,7,4.0,16.9,,3.38,0.01994,0.1429,1
TWICE,2023,7,7,14,12.3,15.1,1.7571,2.1571,0.02875,0.2143,1
TWICE,2024,3,11,14,3.5,23.9,1.1667,2.1727,0.01905,0.1429,1
TWICE,2025,14,20,34,24.1,32.4,1.7214,1.62,0.02703,0.1765,1
TWICE,2026,3,15,18,7.8,29.9,2.6,1.9933,0.01182,0.5,1
Zion.T,2015,5,6,11,9.9,8.0,1.98,1.3333,0.08871,0.1818,1
Zion.T,2016,1,4,5,1.5,7.0,,1.75,0.02604,0.0,1
Zion.T,2017,3,4,7,4.8,4.8,1.6,1.2,0.04403,0.4286,1
Zion.T,2018,0,2,2,0.0,2.8,,,0.00948,0.0,0
Zion.T,2019,1,4,5,1.5,5.8,,1.45,0.02165,0.6,1
Zion.T,2020,0,2,2,0.0,4.5,,,0.00735,0.5,0
Zion.T,2021,0,7,7,0.0,11.1,,1.5857,0.03256,0.7143,1
Zion.T,2022,1,2,3,1.0,2.5,,,0.00855,0.0,0
Zion.T,2023,1,1,2,2.5,1.8,,,0.00411,1.0,0
Zion.T,2024,3,2,5,4.6,2.5,1.5333,,0.0068,0.4,1
Zion.T,2025,1,4,5,2.5,6.6,,1.65,0.00397,0.8,1
Zion.T,2026,1,2,3,1.8,4.3,,,0.00197,1.0,0
aespa,2020,1,0,1,1.5,0.0,,,0.00368,1.0,0
aespa,2021,0,9,9,0.0,15.9,,1.7667,0.04186,0.4444,1
aespa,2022,2,11,13,4.3,18.1,,1.6455,0.03704,0.3846,1
aespa,2023,10,11,21,18.6,23.1,1.86,2.1,0.04312,0.2381,1
aespa,2024,2,14,16,2.5,26.1,,1.8643,0.02177,0.375,1
aespa,2025,4,13,17,5.9,17.8,1.475,1.3692,0.01351,0.1765,1
aespa,2026,8,21,29,13.2,34.6,1.65,1.6476,0.01904,0.3103,1
god,2018,0,1,1,0.0,1.5,,,0.00474,1.0,0
god,2019,2,1,3,5.7,2.3,,,0.01299,0.6667,0
god,2020,0,1,1,0.0,1.5,,,0.00368,0.0,0
god,2022,5,0,5,13.0,0.0,2.6,,0.01425,0.4,1
god,2023,7,4,11,16.4,8.2,2.3429,2.05,0.02259,0.6364,1
god,2024,2,3,5,5.1,7.6,,2.5333,0.0068,0.2,1
god,2025,14,5,19,36.5,8.5,2.6071,1.7,0.0151,0.4737,1
god,2026,8,4,12,16.9,6.1,2.1125,1.525,0.00788,0.4167,1
sg워너비,2015,1,0,1,3.6,0.0,,,0.00806,1.0,0
sg워너비,2016,2,0,2,4.1,0.0,,,0.01042,0.5,0
sg워너비,2017,0,1,1,0.0,2.6,,,0.00629,0.0,0
sg워너비,2021,3,3,6,4.5,4.5,1.5,1.5,0.02791,0.3333,1
sg워너비,2022,0,2,2,0.0,4.0,,,0.0057,1.0,0
sg워너비,2023,2,0,2,4.3,0.0,,,0.00411,0.5,0
sg워너비,2024,3,4,7,4.8,7.3,1.6,1.825,0.00952,0.2857,1
sg워너비,2025,1,1,2,2.5,2.0,,,0.00159,1.0,0
sg워너비,2026,3,0,3,5.5,0.0,1.8333,,0.00197,1.0,0
거미,2015,0,2,2,0.0,3.0,,,0.01613,1.0,0
거미,2016,0,8,8,0.0,11.2,,1.4,0.04167,0.5,1
거미,2017,1,0,1,1.0,0.0,,,0.00629,0.0,0
거미,2018,0,1,1,0.0,1.0,,,0.00474,0.0,0
거미,2019,5,6,11,8.1,10.0,1.62,1.6667,0.04762,0.5455,1
거미,2020,0,1,1,0.0,1.5,,,0.00368,1.0,0
거미,2022,0,1,1,0.0,1.0,,,0.00285,0.0,0
거미,2023,2,1,3,5.0,1.6,,,0.00616,0.6667,0
거미,2024,3,0,3,4.0,0.0,1.3333,,0.00408,0.3333,0
거미,2025,2,5,7,2.5,8.5,,1.7,0.00556,0.7143,1
거미,2026,0,5,5,0.0,7.5,,1.5,0.00328,1.0,1
권은비,2021,0,3,3,0.0,5.8,,1.9333,0.01395,0.0,0
권은비,2022,6,2,8,11.1,2.0,1.85,,0.02279,0.25,1
권은비,2023,5,7,12,12.1,10.9,2.42,1.5571,0.02464,0.0833,1
권은비,2024,2,4,6,2.5,7.5,,1.875,0.00816,0.1667,1
권은비,2025,3,12,15,3.5,17.1,1.1667,1.425,0.01192,0.0,1
권은비,2026,4,9,13,7.9,13.2,1.975,1.4667,0.00854,0.0769,1
김동률,2015,2,2,4,4.8,3.0,,,0.03226,1.0,0
김동률,2018,5,2,7,10.4,2.5,2.08,,0.03318,0.8571,1
김동률,2019,2,0,2,5.6,0.0,,,0.00866,0.5,0
김동률,2023,1,0,1,2.5,0.0,,,0.00205,0.0,0
김동률,2024,1,1,2,2.0,2.3,,,0.00272,1.0,0
김동률,2025,10,3,13,24.2,5.4,2.42,1.8,0.01033,0.5385,1
김동률,2026,3,3,6,7.0,5.9,2.3333,1.9667,0.00394,0.6667,1
김연자,2015,1,0,1,2.0,0.0,,,0.00806,0.0,0
김연자,2016,0,1,1,0.0,1.0,,,0.00521,0.0,0
김연자,2017,0,1,1,0.0,2.5,,,0.00629,0.0,0
김연자,2018,1,2,3,2.1,3.5,,,0.01422,0.0,0
김연자,2020,0,3,3,0.0,5.1,,1.7,0.01103,0.6667,0
김연자,2021,0,3,3,0.0,5.2,,1.7333,0.01395,0.0,0
김연자,2022,0,4,4,0.0,8.3,,2.075,0.0114,0.5,0
김연자,2023,0,1,1,0.0,1.8,,,0.00205,1.0,0
김연자,2024,2,3,5,3.5,4.3,,1.4333,0.0068,0.0,1
김연자,2025,1,2,3,2.3,2.0,,,0.00238,0.3333,0
김연자,2026,4,3,7,7.5,4.3,1.875,1.4333,0.0046,0.0,1
김재중,2015,0,1,1,0.0,4.0,,,0.00806,0.0,0
김재중,2016,1,1,2,1.5,2.0,,,0.01042,0.0,0
김재중,2017,3,0,3,6.6,0.0,2.2,,0.01887,0.6667,0
김재중,2018,1,0,1,1.5,0.0,,,0.00474,1.0,0
김재중,2019,1,3,4,2.3,5.8,,1.9333,0.01732,0.5,0
김재중,2020,0,4,4,0.0,8.4,,2.1,0.01471,0.75,0
김재중,2021,0,1,1,0.0,2.1,,,0.00465,0.0,0
김재중,2023,5,1,6,9.2,1.5,1.84,,0.01232,0.5,1
김재중,2024,1,2,3,2.8,5.5,,,0.00408,0.0,0
김재중,2025,5,10,15,10.1,23.4,2.02,2.34,0.01192,0.0,1
김재중,2026,5,8,13,9.8,16.5,1.96,2.0625,0.00854,0.0769,1
김호중,2020,4,5,9,9.3,13.0,2.325,2.6,0.03309,0.0,1
김호중,2021,2,2,4,4.4,2.5,,,0.0186,0.25,0
김호중,2022,3,3,6,4.9,5.2,1.6333,1.7333,0.01709,0.1667,1
김호중,2023,3,3,6,5.9,3.5,1.9667,1.1667,0.01232,0.0,1
김호중,2024,4,6,10,8.6,9.2,2.15,1.5333,0.01361,0.1,1
김호중,2025,2,5,7,6.1,6.5,,1.3,0.00556,0.5714,1
김호중,2026,3,2,5,4.8,2.5,1.6,,0.00328,0.4,1
나훈아,2017,4,1,5,6.3,1.0,1.575,,0.03145,0.2,1
나훈아,2019,4,0,4,7.9,0.0,1.975,,0.01732,0.25,0
나훈아,2020,5,3,8,8.7,7.8,1.74,2.6,0.02941,0.375,1
나훈아,2024,8,2,10,21.0,3.1,2.625,,0.01361,0.1,1
나훈아,2025,4,6,10,9.7,10.0,2.425,1.6667,0.00795,0.1,1
나훈아,2026,0,2,2,0.0,3.8,,,0.00131,0.0,0
다비치,2015,1,0,1,2.1,0.0,,,0.00806,0.0,0
다비치,2016,1,5,6,1.0,7.5,,1.5,0.03125,0.1667,1
다비치,2018,0,2,2,0.0,3.8,,,0.00948,0.5,0
다비치,2019,1,4,5,3.5,7.4,,1.85,0.02165,0.8,1
다비치,2022,1,1,2,1.5,2.5,,,0.0057,0.0,0
다비치,2023,1,1,2,1.5,1.5,,,0.00411,0.0,0
다비치,2024,0,2,2,0.0,3.6,,,0.00272,0.0,0
다비치,2025,0,2,2,0.0,3.1,,,0.00159,0.0,0
다비치,2026,7,5,12,15.1,7.6,2.1571,1.52,0.00788,0.0833,1
다이나믹듀오,2017,1,3,4,3.8,5.8,,1.9333,0.02516,0.5,0
다이나믹듀오,2018,0,2,2,0.0,5.0,,,0.00948,1.0,0
다이나믹듀오,2020,0,1,1,0.0,1.5,,,0.00368,1.0,0
다이나믹듀오,2022,0,2,2,0.0,3.0,,,0.0057,0.0,0
다이나믹듀오,2023,2,3,5,3.8,4.5,,1.5,0.01027,0.2,1
다이나믹듀오,2024,2,2,4,4.3,3.0,,,0.00544,0.0,0
