fandom,n_years,first_year,first_persona,last_year,last_persona,changed,n_switches,path,official_persona_all_years
10CM,5,2016,산업확장형,2026,글로벌투어형,1,4,2016:산업확장형 → 2020:집단동원형 → 2024:글로벌투어형 → 2025:현장상업형 → 2026:글로벌투어형,글로벌투어형
BLACKPINK,5,2022,산업확장형,2026,글로벌투어형,1,1,2022:산업확장형 → 2023:글로벌투어형 → 2024:글로벌투어형 → 2025:글로벌투어형 → 2026:글로벌투어형,원정소비형
Crush,5,2016,원정소비형,2026,현장상업형,1,3,2016:원정소비형 → 2023:원정소비형 → 2024:글로벌투어형 → 2025:집단동원형 → 2026:현장상업형,글로벌투어형
ITZY,5,2022,산업확장형,2026,글로벌투어형,1,4,2022:산업확장형 → 2023:현장상업형 → 2024:글로벌투어형 → 2025:현장상업형 → 2026:글로벌투어형,글로벌투어형
LE SSERAFIM,5,2022,글로벌투어형,2026,현장상업형,1,3,2022:글로벌투어형 → 2023:글로벌투어형 → 2024:현장상업형 → 2025:글로벌투어형 → 2026:현장상업형,글로벌투어형
NewJeans,5,2022,산업확장형,2026,현장상업형,1,4,2022:산업확장형 → 2023:원정소비형 → 2024:현장상업형 → 2025:글로벌투어형 → 2026:현장상업형,원정소비형
권은비,5,2022,원정소비형,2026,집단동원형,1,4,2022:원정소비형 → 2023:현장상업형 → 2024:글로벌투어형 → 2025:현장상업형 → 2026:집단동원형,원정소비형
마마무,5,2016,브랜드동반형,2026,현장상업형,1,3,2016:브랜드동반형 → 2018:브랜드동반형 → 2020:글로벌소비형 → 2023:글로벌투어형 → 2026:현장상업형,글로벌투어형
볼빨간사춘기,5,2017,글로벌결속형,2026,원정소비형,1,4,2017:글로벌결속형 → 2020:현장상업형 → 2023:글로벌투어형 → 2025:현장상업형 → 2026:원정소비형,글로벌투어형
송가인,5,2019,현장상업형,2026,집단동원형,1,3,2019:현장상업형 → 2020:집단동원형 → 2021:현장상업형 → 2025:현장상업형 → 2026:집단동원형,글로벌투어형
에픽하이,5,2019,글로벌투어형,2026,현장상업형,1,4,2019:글로벌투어형 → 2022:원정소비형 → 2023:집단동원형 → 2025:글로벌투어형 → 2026:현장상업형,글로벌투어형
여자친구,5,2015,현장상업형,2025,글로벌투어형,1,2,2015:현장상업형 → 2016:현장상업형 → 2018:원정소비형 → 2019:글로벌투어형 → 2025:글로벌투어형,글로벌투어형
잔나비,5,2019,집단동원형,2026,글로벌투어형,1,3,2019:집단동원형 → 2022:글로벌투어형 → 2023:현장상업형 → 2025:현장상업형 → 2026:글로벌투어형,집단동원형
정동원,5,2020,집단동원형,2026,현장상업형,1,3,2020:집단동원형 → 2021:원정소비형 → 2024:원정소비형 → 2025:글로벌투어형 → 2026:현장상업형,집단동원형
BABYMONSTER,4,2023,글로벌투어형,2026,현장상업형,1,1,2023:글로벌투어형 → 2024:글로벌투어형 → 2025:현장상업형 → 2026:현장상업형,글로벌투어형
HOT,4,2018,집단동원형,2026,현장상업형,1,3,2018:집단동원형 → 2019:글로벌결속형 → 2025:집단동원형 → 2026:현장상업형,글로벌투어형
RIIZE,4,2023,집단동원형,2026,원정소비형,1,2,2023:집단동원형 → 2024:현장상업형 → 2025:현장상업형 → 2026:원정소비형,현장상업형
Stray Kids,4,2023,산업확장형,2026,현장상업형,1,1,2023:산업확장형 → 2024:현장상업형 → 2025:현장상업형 → 2026:현장상업형,글로벌투어형
거미,4,2016,원정소비형,2026,현장상업형,1,1,2016:원정소비형 → 2019:원정소비형 → 2025:현장상업형 → 2026:현장상업형,집단동원형
나훈아,4,2017,글로벌결속형,2025,집단동원형,1,1,2017:글로벌결속형 → 2020:집단동원형 → 2024:집단동원형 → 2025:집단동원형,원정소비형
박서진,4,2023,현장상업형,2026,집단동원형,1,1,2023:현장상업형 → 2024:집단동원형 → 2025:집단동원형 → 2026:집단동원형,집단동원형
박재범,4,2022,현장상업형,2026,집단동원형,1,1,2022:현장상업형 → 2023:현장상업형 → 2025:현장상업형 → 2026:집단동원형,현장상업형
샤이니,4,2021,글로벌투어형,2026,현장상업형,1,3,2021:글로벌투어형 → 2024:현장상업형 → 2025:글로벌투어형 → 2026:현장상업형,글로벌투어형
아이유,4,2023,브랜드동반형,2026,원정소비형,1,2,2023:브랜드동반형 → 2024:현장상업형 → 2025:현장상업형 → 2026:원정소비형,현장상업형
최예나,4,2022,글로벌투어형,2026,현장상업형,1,3,2022:글로벌투어형 → 2023:현장상업형 → 2025:집단동원형 → 2026:현장상업형,현장상업형
CNBLUE,3,2024,집단동원형,2026,글로벌투어형,1,1,2024:집단동원형 → 2025:집단동원형 → 2026:글로벌투어형,글로벌투어형
DAY6,3,2024,집단동원형,2026,원정소비형,1,2,2024:집단동원형 → 2025:글로벌투어형 → 2026:원정소비형,원정소비형
IKON,3,2015,집단동원형,2026,글로벌투어형,1,1,2015:집단동원형 → 2016:집단동원형 → 2026:글로벌투어형,글로벌투어형
김재중,3,2023,현장상업형,2026,글로벌투어형,1,1,2023:현장상업형 → 2025:현장상업형 → 2026:글로벌투어형,집단동원형
다비치,3,2016,원정소비형,2026,집단동원형,1,2,2016:원정소비형 → 2019:글로벌투어형 → 2026:집단동원형,글로벌투어형
다이나믹듀오,3,2023,집단동원형,2026,글로벌투어형,1,1,2023:집단동원형 → 2025:집단동원형 → 2026:글로벌투어형,글로벌투어형
동방신기,3,2018,글로벌투어형,2026,집단동원형,1,1,2018:글로벌투어형 → 2025:집단동원형 → 2026:집단동원형,원정소비형
리센느(RESCENE),3,2024,글로벌투어형,2026,현장상업형,1,1,2024:글로벌투어형 → 2025:글로벌투어형 → 2026:현장상업형,글로벌투어형
린,3,2024,집단동원형,2026,현장상업형,1,1,2024:집단동원형 → 2025:집단동원형 → 2026:현장상업형,집단동원형
몬스타엑스,3,2019,현장상업형,2026,글로벌투어형,1,1,2019:현장상업형 → 2025:글로벌투어형 → 2026:글로벌투어형,글로벌투어형
빅마마,3,2021,현장상업형,2023,글로벌투어형,1,2,2021:현장상업형 → 2022:집단동원형 → 2023:글로벌투어형,글로벌투어형
빅뱅,3,2016,현장상업형,2026,글로벌투어형,1,1,2016:현장상업형 → 2025:글로벌투어형 → 2026:글로벌투어형,원정소비형
아일릿,3,2024,글로벌투어형,2026,현장상업형,1,1,2024:글로벌투어형 → 2025:현장상업형 → 2026:현장상업형,글로벌투어형
엄정화,3,2020,글로벌투어형,2026,현장상업형,1,1,2020:글로벌투어형 → 2023:현장상업형 → 2026:현장상업형,글로벌투어형
윤하,3,2023,집단동원형,2025,원정소비형,1,1,2023:집단동원형 → 2024:원정소비형 → 2025:원정소비형,글로벌투어형
장윤정,3,2024,집단동원형,2026,현장상업형,1,2,2024:집단동원형 → 2025:원정소비형 → 2026:현장상업형,글로벌투어형
조용필,3,2024,원정소비형,2026,글로벌투어형,1,2,2024:원정소비형 → 2025:집단동원형 → 2026:글로벌투어형,글로벌투어형
카더가든,3,2019,글로벌투어형,2026,현장상업형,1,1,2019:글로벌투어형 → 2025:현장상업형 → 2026:현장상업형,글로벌투어형
A-pink,2,2018,집단동원형,2026,현장상업형,1,1,2018:집단동원형 → 2026:현장상업형,글로벌투어형
FTISLAND,2,2025,글로벌투어형,2026,현장상업형,1,1,2025:글로벌투어형 → 2026:현장상업형,원정소비형
김연자,2,2024,원정소비형,2026,글로벌투어형,1,1,2024:원정소비형 → 2026:글로벌투어형,집단동원형
백지영,2,2025,글로벌투어형,2026,원정소비형,1,1,2025:글로벌투어형 → 2026:원정소비형,원정소비형
브라운아이즈,2,2015,원정소비형,2025,글로벌투어형,1,1,2015:원정소비형 → 2025:글로벌투어형,글로벌투어형
아이오아이,2,2016,현장상업형,2026,글로벌투어형,1,1,2016:현장상업형 → 2026:글로벌투어형,글로벌투어형
이문세,2,2024,원정소비형,2025,집단동원형,1,1,2024:원정소비형 → 2025:집단동원형,현장상업형
이승철,2,2025,글로벌투어형,2026,현장상업형,1,1,2025:글로벌투어형 → 2026:현장상업형,원정소비형
잭스키스,2,2016,글로벌투어형,2017,원정소비형,1,1,2016:글로벌투어형 → 2017:원정소비형,글로벌투어형
BTS,10,2017,글로벌투어형,2026,글로벌투어형,0,5,2017:글로벌투어형 → 2018:집단동원형 → 2019:현장상업형 → 2020:현장상업형 → 2021:현장상업형 → 2022:집단동원형 → 2023:집단동원형 → 2024:현장상업형 → 2025:글로벌투어형 → 2026:글로벌투어형,글로벌투어형
TWICE,10,2016,현장상업형,2026,현장상업형,0,4,2016:현장상업형 → 2017:현장상업형 → 2018:집단동원형 → 2019:집단동원형 → 2021:현장상업형 → 2022:현장상업형 → 2023:현장상업형 → 2024:글로벌투어형 → 2025:글로벌투어형 → 2026:현장상업형,글로벌투어형
오마이걸,8,2017,현장상업형,2026,현장상업형,0,5,2017:현장상업형 → 2018:집단동원형 → 2019:원정소비형 → 2020:현장상업형 → 2021:현장상업형 → 2024:글로벌투어형 → 2025:현장상업형 → 2026:현장상업형,원정소비형
(여자)아이들,6,2019,현장상업형,2026,현장상업형,0,2,2019:현장상업형 → 2022:글로벌투어형 → 2023:현장상업형 → 2024:현장상업형 → 2025:현장상업형 → 2026:현장상업형,글로벌투어형
STAYC,6,2020,글로벌투어형,2026,글로벌투어형,0,4,2020:글로벌투어형 → 2021:글로벌소비형 → 2023:현장상업형 → 2024:원정소비형 → 2025:원정소비형 → 2026:글로벌투어형,글로벌투어형
aespa,6,2021,현장상업형,2026,현장상업형,0,4,2021:현장상업형 → 2022:현장상업형 → 2023:글로벌투어형 → 2024:현장상업형 → 2025:글로벌투어형 → 2026:현장상업형,현장상업형
지코,6,2016,현장상업형,2026,현장상업형,0,0,2016:현장상업형 → 2019:현장상업형 → 2020:현장상업형 → 2022:현장상업형 → 2024:현장상업형 → 2026:현장상업형,글로벌투어형
ATEEZ,5,2022,글로벌투어형,2026,글로벌투어형,0,2,2022:글로벌투어형 → 2023:글로벌투어형 → 2024:글로벌투어형 → 2025:현장상업형 → 2026:글로벌투어형,글로벌투어형
god,5,2022,집단동원형,2026,집단동원형,0,2,2022:집단동원형 → 2023:집단동원형 → 2024:현장상업형 → 2025:집단동원형 → 2026:집단동원형,글로벌투어형
싸이,5,2017,글로벌투어형,2026,글로벌투어형,0,4,2017:글로벌투어형 → 2023:현장상업형 → 2024:원정소비형 → 2025:현장상업형 → 2026:글로벌투어형,글로벌투어형
엔믹스,5,2022,현장상업형,2026,현장상업형,0,2,2022:현장상업형 → 2023:집단동원형 → 2024:현장상업형 → 2025:현장상업형 → 2026:현장상업형,현장상업형
이영지,5,2022,현장상업형,2026,현장상업형,0,2,2022:현장상업형 → 2023:현장상업형 → 2024:글로벌투어형 → 2025:현장상업형 → 2026:현장상업형,글로벌투어형
이효리,5,2020,글로벌투어형,2026,글로벌투어형,0,2,2020:글로벌투어형 → 2023:현장상업형 → 2024:현장상업형 → 2025:현장상업형 → 2026:글로벌투어형,현장상업형
임영웅,5,2020,현장상업형,2026,현장상업형,0,0,2020:현장상업형 → 2022:현장상업형 → 2024:현장상업형 → 2025:현장상업형 → 2026:현장상업형,글로벌투어형
IVE,4,2023,현장상업형,2026,현장상업형,0,2,2023:현장상업형 → 2024:현장상업형 → 2025:원정소비형 → 2026:현장상업형,글로벌투어형
QWER,4,2023,현장상업형,2026,현장상업형,0,0,2023:현장상업형 → 2024:현장상업형 → 2025:현장상업형 → 2026:현장상업형,글로벌투어형
로이킴,4,2018,글로벌투어형,2026,글로벌투어형,0,2,2018:글로벌투어형 → 2022:현장상업형 → 2025:현장상업형 → 2026:글로벌투어형,글로벌투어형
빈지노,4,2015,집단동원형,2024,집단동원형,0,2,2015:집단동원형 → 2016:글로벌투어형 → 2023:집단동원형 → 2024:집단동원형,글로벌투어형
악동뮤지션,4,2019,글로벌투어형,2026,글로벌투어형,0,2,2019:글로벌투어형 → 2024:글로벌투어형 → 2025:현장상업형 → 2026:글로벌투어형,글로벌투어형
워너원,4,2017,현장상업형,2026,현장상업형,0,2,2017:현장상업형 → 2018:현장상업형 → 2019:글로벌투어형 → 2026:현장상업형,글로벌투어형
이찬원,4,2022,현장상업형,2026,현장상업형,0,2,2022:현장상업형 → 2024:현장상업형 → 2025:소비상업형 → 2026:현장상업형,글로벌투어형
지드래곤 (G-Dragon),4,2016,현장상업형,2026,현장상업형,0,2,2016:현장상업형 → 2017:글로벌투어형 → 2025:현장상업형 → 2026:현장상업형,현장상업형
프로미스나인,4,2022,글로벌투어형,2026,글로벌투어형,0,2,2022:글로벌투어형 → 2024:현장상업형 → 2025:글로벌투어형 → 2026:글로벌투어형,글로벌투어형
김동률,3,2018,집단동원형,2026,집단동원형,0,0,2018:집단동원형 → 2025:집단동원형 → 2026:집단동원형,글로벌투어형
박효신,3,2019,집단동원형,2026,집단동원형,0,2,2019:집단동원형 → 2025:글로벌투어형 → 2026:집단동원형,글로벌투어형
비비,3,2024,현장상업형,2026,현장상업형,0,2,2024:현장상업형 → 2025:글로벌투어형 → 2026:현장상업형,현장상업형
성시경,3,2023,현장상업형,2026,현장상업형,0,2,2023:현장상업형 → 2025:집단동원형 → 2026:현장상업형,원정소비형
소녀시대,3,2022,집단동원형,2026,집단동원형,0,2,2022:집단동원형 → 2024:현장상업형 → 2026:집단동원형,현장상업형
슈퍼주니어,3,2023,현장상업형,2026,현장상업형,0,2,2023:현장상업형 → 2025:글로벌투어형 → 2026:현장상업형,원정소비형
윤도현,3,2020,현장상업형,2026,현장상업형,0,0,2020:현장상업형 → 2025:현장상업형 → 2026:현장상업형,집단동원형
투어스(TWS),3,2024,글로벌소비형,2026,글로벌소비형,0,0,2024:글로벌소비형 → 2025:글로벌소비형 → 2026:글로벌소비형,원정소비형
CORTIS,2,2025,글로벌투어형,2026,글로벌투어형,0,0,2025:글로벌투어형 → 2026:글로벌투어형,글로벌투어형
Hearts2Hearts,2,2025,현장상업형,2026,현장상업형,0,0,2025:현장상업형 → 2026:현장상업형,글로벌투어형
sg워너비,2,2021,원정소비형,2024,원정소비형,0,0,2021:원정소비형 → 2024:원정소비형,글로벌투어형
보아,2,2025,현장상업형,2026,현장상업형,0,0,2025:현장상업형 → 2026:현장상업형,글로벌투어형
박정현,1,2025,글로벌투어형,2025,글로벌투어형,0,0,2025:글로벌투어형,글로벌투어형
케이윌,1,2025,원정소비형,2025,원정소비형,0,0,2025:원정소비형,원정소비형
