fandom,n_valid_years,first_year,last_year,peak_year_volume,rho_volume,rho_loyalty_density,p_loyalty_density,rho_spillover_density,p_spillover_density
소녀시대,3,2022,2026,2026,,,,,
슈퍼주니어,3,2023,2026,2025,,,,,
아일릿,3,2024,2026,2024,,,,,
엄정화,3,2020,2026,2023,,,,,
윤도현,3,2020,2026,2025,,,,,
윤하,3,2023,2025,2023,,,,,
장윤정,3,2024,2026,2026,,,,,
조용필,3,2024,2026,2025,,,,,
카더가든,3,2019,2026,2026,,,,,
투어스(TWS),3,2024,2026,2026,,,,,
A-pink,2,2018,2026,2026,,,,,
CORTIS,2,2025,2026,2026,,,,,
FTISLAND,2,2025,2026,2026,,,,,
Hearts2Hearts,2,2025,2026,2026,,,,,
sg워너비,2,2021,2024,2024,,,,,
김연자,2,2024,2026,2026,,,,,
백지영,2,2025,2026,2025,,,,,
보아,2,2025,2026,2025,,,,,
브라운아이즈,2,2015,2025,2025,,,,,
아이오아이,2,2016,2026,2026,,,,,
이문세,2,2024,2025,2025,,,,,
이승철,2,2025,2026,2026,,,,,
잭스키스,2,2016,2017,2016,,,,,
박정현,1,2025,2025,2025,,,,,
케이윌,1,2025,2025,2025,,,,,
