fandom,year,n_docs,F1,F2,F3,F4,F5,top2,persona,valid_cell
ATEEZ,2020,,0.2786,0.07,0.4077,0.0113,0.2324,F1+F3,집단동원형,0
ATEEZ,2021,,0.1131,0.0624,0.7891,0.0064,0.029,F1+F3,집단동원형,0
ATEEZ,2022,,0.0899,0.1014,0.5282,0.0465,0.2339,F3+F5,글로벌투어형,1
ATEEZ,2023,,0.1241,0.017,0.5649,0.0784,0.2156,F3+F5,글로벌투어형,1
ATEEZ,2024,,0.0296,0.0106,0.5512,0.0787,0.33,F3+F5,글로벌투어형,1
ATEEZ,2025,,0.1048,0.0734,0.5205,0.1948,0.1065,F3+F4,현장상업형,1
ATEEZ,2026,,0.0694,0.0429,0.5398,0.0744,0.2735,F3+F5,글로벌투어형,1
BABYMONSTER,2023,,0.0778,0.0198,0.6246,0.0266,0.2512,F3+F5,글로벌투어형,1
BABYMONSTER,2024,,0.094,0.0126,0.6466,0.0672,0.1796,F3+F5,글로벌투어형,1
BABYMONSTER,2025,,0.047,0.0407,0.6487,0.1497,0.1139,F3+F4,현장상업형,1
BABYMONSTER,2026,,0.0528,0.0597,0.6034,0.1439,0.1401,F3+F4,현장상업형,1
BLACKPINK,2017,,0.283,0.1787,0.4107,0.115,0.0126,F1+F3,집단동원형,0
BLACKPINK,2018,,0.165,0.3319,0.4869,0.0081,0.0081,F2+F3,원정소비형,0
BLACKPINK,2019,,0.014,0.014,0.1475,0.8104,0.014,F3+F4,현장상업형,0
BLACKPINK,2020,,0.2644,0.3201,0.3334,0.0069,0.0752,F2+F3,원정소비형,0
BLACKPINK,2021,,0.057,0.097,0.3059,0.5266,0.0136,F3+F4,현장상업형,0
BLACKPINK,2022,,0.0931,0.1558,0.193,0.2823,0.2758,F4+F5,산업확장형,1
BLACKPINK,2023,,0.121,0.2298,0.3109,0.0913,0.247,F3+F5,글로벌투어형,1
BLACKPINK,2024,,0.0993,0.0207,0.5809,0.1304,0.1687,F3+F5,글로벌투어형,1
BLACKPINK,2025,,0.0882,0.0788,0.5567,0.095,0.1814,F3+F5,글로벌투어형,1
BLACKPINK,2026,,0.0784,0.1424,0.4375,0.1073,0.2344,F3+F5,글로벌투어형,1
BTOB,2015,,0.2819,0.0285,0.5923,0.0278,0.0695,F1+F3,집단동원형,1
BTOB,2016,,0.0734,0.0106,0.2674,0.0866,0.5619,F3+F5,글로벌투어형,1
BTOB,2017,,0.1124,0.0105,0.208,0.6587,0.0105,F3+F4,현장상업형,0
BTOB,2018,,0.2134,0.0445,0.4204,0.3086,0.0132,F3+F4,현장상업형,0
BTOB,2020,,0.0062,0.0868,0.8869,0.0139,0.0062,F2+F3,원정소비형,1
BTOB,2021,,0.0084,0.0084,0.4138,0.561,0.0084,F3+F4,현장상업형,0
BTOB,2022,,0.0599,0.0099,0.333,0.2317,0.3655,F3+F5,글로벌투어형,1
BTOB,2023,,0.0043,0.3049,0.0172,0.0043,0.6692,F2+F5,글로벌소비형,0
BTOB,2024,,0.0496,0.006,0.8353,0.1031,0.006,F3+F4,현장상업형,0
BTOB,2025,,0.0059,0.3102,0.5325,0.052,0.0995,F2+F3,원정소비형,1
BTOB,2026,,0.0446,0.1613,0.6371,0.0224,0.1345,F2+F3,원정소비형,1
BTS,2017,,0.086,0.1797,0.3699,0.1525,0.2119,F3+F5,글로벌투어형,1
BTS,2018,,0.253,0.1516,0.4697,0.0605,0.0652,F1+F3,집단동원형,1
BTS,2019,,0.1334,0.124,0.2314,0.3734,0.1378,F3+F4,현장상업형,1
BTS,2020,,0.1309,0.0906,0.3232,0.3983,0.057,F3+F4,현장상업형,1
BTS,2021,,0.08,0.1272,0.3074,0.3266,0.1588,F3+F4,현장상업형,1
BTS,2022,,0.2021,0.1114,0.3442,0.1611,0.1812,F1+F3,집단동원형,1
BTS,2023,,0.3309,0.0079,0.3689,0.2091,0.0832,F1+F3,집단동원형,1
BTS,2024,,0.0459,0.0215,0.4976,0.3062,0.1288,F3+F4,현장상업형,1
BTS,2025,,0.056,0.0084,0.629,0.1,0.2067,F3+F5,글로벌투어형,1
BTS,2026,,0.0954,0.0919,0.4972,0.1431,0.1725,F3+F5,글로벌투어형,1
CNBLUE,2015,,0.0087,0.0374,0.3259,0.0952,0.5328,F3+F5,글로벌투어형,0
CNBLUE,2016,,0.0063,0.2973,0.3611,0.0988,0.2365,F2+F3,원정소비형,0
CNBLUE,2017,,0.0078,0.7124,0.0313,0.0078,0.2408,F2+F5,글로벌소비형,0
CNBLUE,2019,,0.1243,0.005,0.6722,0.1936,0.005,F3+F4,현장상업형,0
CNBLUE,2020,,0.0114,0.0114,0.9544,0.0114,0.0114,F1+F3,집단동원형,0
CNBLUE,2022,,0.0722,0.5901,0.0892,0.0074,0.2411,F2+F5,글로벌소비형,0
CNBLUE,2023,,0.1507,0.0045,0.8359,0.0045,0.0045,F1+F3,집단동원형,0
CNBLUE,2024,,0.1656,0.0117,0.7178,0.0749,0.03,F1+F3,집단동원형,1
CNBLUE,2025,,0.2263,0.0075,0.7279,0.0075,0.0308,F1+F3,집단동원형,1
CNBLUE,2026,,0.0598,0.0167,0.7512,0.0162,0.1561,F3+F5,글로벌투어형,1
CORTIS,2022,,0.0039,0.0039,0.9843,0.0039,0.0039,F1+F3,집단동원형,0
CORTIS,2024,,0.0048,0.0967,0.8392,0.0048,0.0544,F2+F3,원정소비형,0
CORTIS,2025,,0.0675,0.0278,0.3967,0.1832,0.3248,F3+F5,글로벌투어형,1
CORTIS,2026,,0.0521,0.0686,0.4619,0.1878,0.2296,F3+F5,글로벌투어형,1
Crush,2015,,0.0722,0.1722,0.3122,0.0309,0.4125,F3+F5,글로벌투어형,0
Crush,2016,,0.0307,0.3653,0.3283,0.01,0.2657,F2+F3,원정소비형,1
Crush,2018,,0.1615,0.1393,0.689,0.0051,0.0051,F1+F3,집단동원형,0
Crush,2019,,0.0106,0.0106,0.7639,0.0106,0.2042,F3+F5,글로벌투어형,0
Crush,2020,,0.0054,0.475,0.352,0.1622,0.0054,F2+F3,원정소비형,0
Crush,2022,,0.0201,0.067,0.501,0.19,0.2219,F3+F5,글로벌투어형,0
Crush,2023,,0.0101,0.1511,0.6102,0.092,0.1367,F2+F3,원정소비형,1
Crush,2024,,0.0797,0.1526,0.5744,0.0324,0.1609,F3+F5,글로벌투어형,1
Crush,2025,,0.1255,0.0215,0.8356,0.0087,0.0087,F1+F3,집단동원형,1
Crush,2026,,0.0863,0.0794,0.6364,0.1447,0.0532,F3+F4,현장상업형,1
DAY6,2016,,0.006,0.006,0.5313,0.4508,0.006,F3+F4,현장상업형,0
DAY6,2017,,0.0104,0.1385,0.5227,0.3179,0.0104,F3+F4,현장상업형,0
DAY6,2018,,0.0075,0.1655,0.7325,0.0754,0.0191,F2+F3,원정소비형,0
DAY6,2019,,0.0133,0.0133,0.5303,0.4299,0.0133,F3+F4,현장상업형,0
DAY6,2020,,0.0109,0.1148,0.374,0.3025,0.1978,F3+F4,현장상업형,0
DAY6,2021,,0.0096,0.0096,0.9615,0.0096,0.0096,F2+F3,원정소비형,0
DAY6,2022,,0.0058,0.0058,0.9767,0.0058,0.0058,F3+F4,현장상업형,0
DAY6,2024,,0.2214,0.0638,0.5878,0.0182,0.1087,F1+F3,집단동원형,1
DAY6,2025,,0.0535,0.0583,0.6341,0.1132,0.1409,F3+F5,글로벌투어형,1
DAY6,2026,,0.0114,0.1081,0.7787,0.034,0.0678,F2+F3,원정소비형,1
EXO,2015,,0.2967,0.3354,0.266,0.0075,0.0944,F1+F2,핵심소비형,0
EXO,2016,,0.3106,0.1739,0.2271,0.0152,0.2732,F1+F5,글로벌결속형,0
EXO,2017,,0.0126,0.6789,0.0505,0.0126,0.2453,F2+F5,글로벌소비형,0
EXO,2018,,0.223,0.1911,0.168,0.2175,0.2005,F1+F4,브랜드동반형,1
EXO,2019,,0.2237,0.006,0.4236,0.3069,0.0397,F3+F4,현장상업형,0
EXO,2020,,0.2608,0.0945,0.4938,0.1209,0.03,F1+F3,집단동원형,1
EXO,2021,,0.1904,0.0394,0.6314,0.1337,0.0051,F1+F3,집단동원형,0
EXO,2022,,0.0046,0.0046,0.9205,0.0656,0.0046,F3+F4,현장상업형,0
EXO,2023,,0.0863,0.2698,0.4217,0.0093,0.2128,F2+F3,원정소비형,1
EXO,2024,,0.0784,0.0424,0.6176,0.2311,0.0305,F3+F4,현장상업형,1
EXO,2025,,0.0882,0.1313,0.451,0.2253,0.1043,F3+F4,현장상업형,1
EXO,2026,,0.1218,0.0764,0.5914,0.1661,0.0443,F3+F4,현장상업형,1
FTISLAND,2015,,0.1481,0.497,0.1971,0.009,0.1489,F2+F3,원정소비형,0
FTISLAND,2016,,0.1851,0.006,0.7971,0.006,0.006,F1+F3,집단동원형,0
FTISLAND,2017,,0.2306,0.0063,0.7507,0.0063,0.0063,F1+F3,집단동원형,0
FTISLAND,2019,,0.0078,0.0078,0.9687,0.0078,0.0078,F1+F3,집단동원형,0
FTISLAND,2021,,0.0074,0.0074,0.9706,0.0074,0.0074,F1+F3,집단동원형,0
FTISLAND,2022,,0.0095,0.0095,0.9618,0.0095,0.0095,F1+F3,집단동원형,0
FTISLAND,2023,,0.0606,0.0865,0.8336,0.0096,0.0096,F2+F3,원정소비형,0
FTISLAND,2024,,0.0063,0.3197,0.0253,0.0063,0.6424,F2+F5,글로벌소비형,0
FTISLAND,2025,,0.008,0.1694,0.6335,0.008,0.1811,F3+F5,글로벌투어형,1
FTISLAND,2026,,0.0408,0.0118,0.7389,0.121,0.0874,F3+F4,현장상업형,1
GOT7,2015,,0.2489,0.0099,0.2178,0.01,0.5135,F1+F5,글로벌결속형,1
GOT7,2016,,0.1357,0.0334,0.8165,0.0072,0.0072,F1+F3,집단동원형,0
GOT7,2017,,0.1818,0.0075,0.1751,0.3043,0.3312,F4+F5,산업확장형,0
GOT7,2018,,0.1441,0.007,0.6511,0.1345,0.0633,F1+F3,집단동원형,1
GOT7,2019,,0.0979,0.0314,0.6615,0.058,0.1512,F3+F5,글로벌투어형,1
GOT7,2020,,0.1268,0.0444,0.0573,0.4762,0.2953,F4+F5,산업확장형,1
GOT7,2021,,0.1348,0.031,0.4078,0.2635,0.163,F3+F4,현장상업형,1
GOT7,2022,,0.0071,0.0071,0.4985,0.1026,0.3848,F3+F5,글로벌투어형,1
GOT7,2023,,0.0082,0.0763,0.5975,0.1619,0.1561,F3+F4,현장상업형,0
GOT7,2024,,0.0066,0.0066,0.9737,0.0066,0.0066,F3+F4,현장상업형,0
GOT7,2025,,0.0282,0.0313,0.7656,0.1118,0.063,F3+F4,현장상업형,1
GOT7,2026,,0.1976,0.0525,0.3617,0.1143,0.2738,F3+F5,글로벌투어형,0
HOT,2016,,0.006,0.006,0.9762,0.006,0.006,F3+F4,현장상업형,0
HOT,2018,,0.3415,0.0917,0.4485,0.0649,0.0535,F1+F3,집단동원형,1
HOT,2019,,0.1795,0.1362,0.13,0.0403,0.514,F1+F5,글로벌결속형,1
HOT,2020,,0.0074,0.0074,0.9706,0.0074,0.0074,F1+F3,집단동원형,0
HOT,2024,,0.0042,0.1672,0.5638,0.1763,0.0885,F3+F4,현장상업형,0
HOT,2025,,0.1016,0.0082,0.874,0.0082,0.0082,F1+F3,집단동원형,1
HOT,2026,,0.0118,0.0338,0.6181,0.2573,0.079,F3+F4,현장상업형,1
Hearts2Hearts,2020,,0.0054,0.0054,0.7303,0.2534,0.0054,F3+F4,현장상업형,0
Hearts2Hearts,2025,,0.0616,0.198,0.3947,0.2714,0.0743,F3+F4,현장상업형,1
Hearts2Hearts,2026,,0.054,0.0902,0.4704,0.3094,0.076,F3+F4,현장상업형,1
IKON,2015,,0.2465,0.077,0.3397,0.1542,0.1826,F1+F3,집단동원형,1
IKON,2016,,0.1684,0.0095,0.54,0.1508,0.1314,F1+F3,집단동원형,1
IKON,2017,,0.0094,0.0094,0.8935,0.0094,0.0783,F3+F5,글로벌투어형,0
IKON,2018,,0.1518,0.0086,0.2055,0.0086,0.6255,F3+F5,글로벌투어형,0
IKON,2021,,0.0096,0.0096,0.1151,0.0096,0.856,F3+F5,글로벌투어형,0
IKON,2022,,0.0649,0.2022,0.6102,0.0061,0.1166,F2+F3,원정소비형,0
IKON,2023,,0.1939,0.1139,0.4679,0.0109,0.2135,F3+F5,글로벌투어형,0
IKON,2025,,0.0081,0.1328,0.7788,0.0722,0.0081,F2+F3,원정소비형,0
IKON,2026,,0.0289,0.0548,0.5416,0.02,0.3547,F3+F5,글로벌투어형,1
ITZY,2018,,0.1295,0.8405,0.02,0.005,0.005,F1+F2,핵심소비형,0
ITZY,2019,,0.4712,0.1193,0.2369,0.1193,0.0532,F1+F3,집단동원형,0
ITZY,2020,,0.145,0.0069,0.0948,0.7463,0.0069,F1+F4,브랜드동반형,0
ITZY,2021,,0.0512,0.0084,0.3342,0.0084,0.5977,F3+F5,글로벌투어형,0
ITZY,2022,,0.0166,0.1407,0.2534,0.305,0.2843,F4+F5,산업확장형,1
ITZY,2023,,0.0095,0.1179,0.6946,0.1685,0.0095,F3+F4,현장상업형,1
ITZY,2024,,0.0863,0.0704,0.5335,0.1247,0.1852,F3+F5,글로벌투어형,1
ITZY,2025,,0.0093,0.0093,0.7145,0.2576,0.0093,F3+F4,현장상업형,1
ITZY,2026,,0.0077,0.0367,0.8914,0.0077,0.0565,F3+F5,글로벌투어형,1
IVE,2022,,0.0547,0.0092,0.4904,0.1791,0.2667,F3+F5,글로벌투어형,0
IVE,2023,,0.0557,0.1712,0.3937,0.2719,0.1075,F3+F4,현장상업형,1
IVE,2024,,0.0266,0.0718,0.7737,0.0733,0.0546,F3+F4,현장상업형,1
IVE,2025,,0.0868,0.2258,0.5407,0.0254,0.1214,F2+F3,원정소비형,1
IVE,2026,,0.0595,0.088,0.5952,0.2238,0.0336,F3+F4,현장상업형,1
LE SSERAFIM,2022,,0.016,0.0834,0.4997,0.1441,0.2569,F3+F5,글로벌투어형,1
LE SSERAFIM,2023,,0.0533,0.1781,0.3807,0.1654,0.2225,F3+F5,글로벌투어형,1
LE SSERAFIM,2024,,0.0573,0.0932,0.3574,0.4001,0.092,F3+F4,현장상업형,1
LE SSERAFIM,2025,,0.111,0.1261,0.5309,0.0245,0.2075,F3+F5,글로벌투어형,1
LE SSERAFIM,2026,,0.0295,0.0226,0.5811,0.2701,0.0968,F3+F4,현장상업형,1
NCT,2016,,0.2429,0.0079,0.3236,0.4177,0.0079,F3+F4,현장상업형,0
NCT,2017,,0.0139,0.0139,0.19,0.7683,0.0139,F3+F4,현장상업형,0
NCT,2018,,0.0114,0.9204,0.0455,0.0114,0.0114,F2+F3,원정소비형,0
NCT,2019,,0.0078,0.0078,0.5844,0.3921,0.0078,F3+F4,현장상업형,0
NCT,2020,,0.3394,0.0075,0.2201,0.1228,0.3101,F1+F5,글로벌결속형,1
NCT,2021,,0.1036,0.1721,0.1597,0.37,0.1946,F4+F5,산업확장형,1
NCT,2022,,0.0788,0.0713,0.4451,0.2909,0.1139,F3+F4,현장상업형,1
NCT,2023,,0.0879,0.0507,0.4589,0.2352,0.1673,F3+F4,현장상업형,1
NCT,2024,,0.0484,0.116,0.4184,0.1307,0.2864,F3+F5,글로벌투어형,1
NCT,2025,,0.0642,0.1667,0.4942,0.1037,0.1712,F3+F5,글로벌투어형,1
NCT,2026,,0.0104,0.0435,0.6294,0.2678,0.0489,F3+F4,현장상업형,1
NewJeans,2022,,0.0715,0.009,0.2339,0.3676,0.318,F4+F5,산업확장형,1
NewJeans,2023,,0.0429,0.2739,0.2516,0.2053,0.2263,F2+F3,원정소비형,1
NewJeans,2024,,0.0892,0.2126,0.2761,0.2437,0.1785,F3+F4,현장상업형,1
NewJeans,2025,,0.06,0.1085,0.5823,0.0701,0.1791,F3+F5,글로벌투어형,1
NewJeans,2026,,0.028,0.1689,0.3062,0.2517,0.2452,F3+F4,현장상업형,1
QWER,2023,,0.1393,0.009,0.38,0.4528,0.0188,F3+F4,현장상업형,1
QWER,2024,,0.1098,0.0225,0.4313,0.2883,0.1481,F3+F4,현장상업형,1
QWER,2025,,0.0737,0.0605,0.5666,0.2217,0.0775,F3+F4,현장상업형,1
QWER,2026,,0.0639,0.0562,0.565,0.1785,0.1363,F3+F4,현장상업형,1
RIIZE,2022,,0.0069,0.0069,0.9722,0.007,0.007,F3+F4,현장상업형,0
RIIZE,2023,,0.2011,0.138,0.4782,0.162,0.0206,F1+F3,집단동원형,1
RIIZE,2024,,0.1099,0.0853,0.3814,0.3391,0.0842,F3+F4,현장상업형,1
RIIZE,2025,,0.1417,0.0758,0.5611,0.1583,0.063,F3+F4,현장상업형,1
RIIZE,2026,,0.0666,0.1734,0.6522,0.0679,0.04,F2+F3,원정소비형,1
SEVENTEEN,2015,,0.2832,0.0055,0.0218,0.0054,0.6842,F1+F5,글로벌결속형,0
SEVENTEEN,2016,,0.0494,0.1994,0.733,0.009,0.0091,F2+F3,원정소비형,0
SEVENTEEN,2017,,0.0068,0.0841,0.8243,0.0781,0.0067,F2+F3,원정소비형,0
SEVENTEEN,2018,,0.0125,0.0125,0.5257,0.4368,0.0125,F3+F4,현장상업형,0
SEVENTEEN,2019,,0.0116,0.0116,0.7756,0.1659,0.0352,F3+F4,현장상업형,1
SEVENTEEN,2020,,0.0114,0.1185,0.8472,0.0114,0.0114,F2+F3,원정소비형,0
SEVENTEEN,2021,,0.006,0.006,0.2449,0.006,0.7373,F3+F5,글로벌투어형,0
SEVENTEEN,2022,,0.1936,0.1835,0.4794,0.1318,0.0118,F1+F3,집단동원형,1
SEVENTEEN,2023,,0.2158,0.1015,0.3101,0.2132,0.1593,F1+F3,집단동원형,1
SEVENTEEN,2024,,0.1102,0.0923,0.4789,0.1956,0.1229,F3+F4,현장상업형,1
SEVENTEEN,2025,,0.143,0.1521,0.5174,0.1271,0.0605,F2+F3,원정소비형,1
SEVENTEEN,2026,,0.0736,0.102,0.6141,0.0924,0.1179,F3+F5,글로벌투어형,1
STAYC,2020,,0.0914,0.1498,0.2257,0.0081,0.525,F3+F5,글로벌투어형,1
STAYC,2021,,0.0372,0.424,0.194,0.0096,0.3352,F2+F5,글로벌소비형,1
STAYC,2022,,0.0158,0.0158,0.8325,0.1201,0.0158,F3+F4,현장상업형,0
STAYC,2023,,0.0757,0.0353,0.5122,0.2197,0.1571,F3+F4,현장상업형,1
STAYC,2024,,0.0181,0.2625,0.4404,0.1262,0.1528,F2+F3,원정소비형,1
STAYC,2025,,0.0258,0.0652,0.8255,0.0299,0.0537,F2+F3,원정소비형,1
STAYC,2026,,0.0978,0.0314,0.7393,0.0072,0.1243,F3+F5,글로벌투어형,1
Stray Kids,2018,,0.004,0.004,0.7821,0.1638,0.0461,F3+F4,현장상업형,0
Stray Kids,2019,,0.2137,0.0208,0.0834,0.6612,0.0208,F1+F4,브랜드동반형,0
Stray Kids,2020,,0.0094,0.0094,0.5125,0.4593,0.0094,F3+F4,현장상업형,0
Stray Kids,2021,,0.0054,0.0054,0.9783,0.0054,0.0054,F1+F3,집단동원형,0
Stray Kids,2022,,0.038,0.2475,0.3847,0.145,0.1847,F2+F3,원정소비형,0
Stray Kids,2023,,0.0629,0.0105,0.1851,0.4379,0.3037,F4+F5,산업확장형,1
Stray Kids,2024,,0.0527,0.0342,0.6339,0.1815,0.0978,F3+F4,현장상업형,1
Stray Kids,2025,,0.0791,0.1567,0.4352,0.1715,0.1575,F3+F4,현장상업형,1
Stray Kids,2026,,0.0534,0.0923,0.47,0.2185,0.1659,F3+F4,현장상업형,1
TWICE,2015,,0.0441,0.0099,0.4518,0.4018,0.0924,F3+F4,현장상업형,0
TWICE,2016,,0.0653,0.0097,0.648,0.2415,0.0355,F3+F4,현장상업형,1
TWICE,2017,,0.1729,0.008,0.336,0.2553,0.2278,F3+F4,현장상업형,1
TWICE,2018,,0.2255,0.0079,0.5443,0.2143,0.0079,F1+F3,집단동원형,1
TWICE,2019,,0.3473,0.0152,0.5214,0.0073,0.1088,F1+F3,집단동원형,1
TWICE,2020,,0.2122,0.0104,0.1309,0.0104,0.6361,F1+F5,글로벌결속형,0
TWICE,2021,,0.0094,0.122,0.3215,0.3722,0.175,F3+F4,현장상업형,1
TWICE,2022,,0.1846,0.0087,0.4161,0.2703,0.1203,F3+F4,현장상업형,1
TWICE,2023,,0.2047,0.0357,0.3815,0.2581,0.1199,F3+F4,현장상업형,1
TWICE,2024,,0.1277,0.0544,0.4394,0.1783,0.2002,F3+F5,글로벌투어형,1
TWICE,2025,,0.0763,0.1028,0.4898,0.128,0.2031,F3+F5,글로벌투어형,1
TWICE,2026,,0.0647,0.0557,0.482,0.2468,0.1508,F3+F4,현장상업형,1
Zion.T,2015,,0.2111,0.1576,0.2718,0.0461,0.3134,F3+F5,글로벌투어형,1
Zion.T,2016,,0.2746,0.1452,0.1967,0.3437,0.0399,F1+F4,브랜드동반형,1
Zion.T,2017,,0.0905,0.2166,0.6288,0.0224,0.0417,F2+F3,원정소비형,1
Zion.T,2018,,0.0085,0.0085,0.8435,0.0085,0.131,F3+F5,글로벌투어형,0
Zion.T,2019,,0.0076,0.0527,0.8622,0.07,0.0076,F3+F4,현장상업형,1
Zion.T,2020,,0.0411,0.2174,0.6979,0.0056,0.0381,F2+F3,원정소비형,0
Zion.T,2021,,0.0077,0.1311,0.7868,0.0407,0.0337,F2+F3,원정소비형,1
Zion.T,2022,,0.0148,0.2334,0.5703,0.0623,0.1192,F2+F3,원정소비형,0
Zion.T,2023,,0.006,0.006,0.3881,0.1534,0.4465,F3+F5,글로벌투어형,0
Zion.T,2024,,0.0707,0.0067,0.9092,0.0067,0.0067,F1+F3,집단동원형,1
Zion.T,2025,,0.0294,0.1535,0.6513,0.0424,0.1234,F2+F3,원정소비형,1
Zion.T,2026,,0.0055,0.0055,0.9779,0.0055,0.0055,F3+F4,현장상업형,0
aespa,2020,,0.0052,0.0052,0.9791,0.0052,0.0052,F3+F4,현장상업형,0
aespa,2021,,0.012,0.0189,0.3503,0.5913,0.0274,F3+F4,현장상업형,1
aespa,2022,,0.0751,0.0114,0.2263,0.5244,0.1627,F3+F4,현장상업형,1
aespa,2023,,0.0546,0.0877,0.5144,0.1369,0.2064,F3+F5,글로벌투어형,1
aespa,2024,,0.0489,0.0104,0.5676,0.2811,0.092,F3+F4,현장상업형,1
aespa,2025,,0.1026,0.0961,0.3956,0.1844,0.2214,F3+F5,글로벌투어형,1
aespa,2026,,0.0589,0.0487,0.5341,0.1952,0.1631,F3+F4,현장상업형,1
god,2018,,0.0069,0.0069,0.9722,0.007,0.0069,F3+F4,현장상업형,0
god,2019,,0.0068,0.0068,0.9727,0.0068,0.0068,F1+F3,집단동원형,0
god,2020,,0.0139,0.411,0.5473,0.0139,0.0139,F2+F3,원정소비형,0
god,2022,,0.0769,0.0086,0.8973,0.0086,0.0086,F1+F3,집단동원형,1
god,2023,,0.1104,0.0442,0.7856,0.0329,0.0269,F1+F3,집단동원형,1
god,2024,,0.1166,0.0818,0.54,0.1488,0.1128,F3+F4,현장상업형,1
god,2025,,0.0726,0.0569,0.7904,0.0078,0.0722,F1+F3,집단동원형,1
god,2026,,0.0495,0.0362,0.8491,0.0248,0.0403,F1+F3,집단동원형,1
sg워너비,2015,,0.0033,0.0033,0.8228,0.0033,0.1673,F3+F5,글로벌투어형,0
sg워너비,2016,,0.0072,0.109,0.6078,0.2688,0.0072,F3+F4,현장상업형,0
sg워너비,2017,,0.005,0.005,0.8382,0.005,0.1467,F3+F5,글로벌투어형,0
sg워너비,2021,,0.0664,0.2444,0.5384,0.072,0.0788,F2+F3,원정소비형,1
sg워너비,2022,,0.0074,0.0074,0.9706,0.0074,0.0074,F3+F4,현장상업형,0
sg워너비,2023,,0.0052,0.023,0.7401,0.2264,0.0052,F3+F4,현장상업형,0
sg워너비,2024,,0.0238,0.094,0.8211,0.0078,0.0533,F2+F3,원정소비형,1
sg워너비,2025,,0.0062,0.0062,0.9751,0.0062,0.0062,F1+F3,집단동원형,0
sg워너비,2026,,0.005,0.0411,0.9285,0.0203,0.005,F2+F3,원정소비형,0
거미,2015,,0.0119,0.0119,0.8804,0.0119,0.0838,F3+F5,글로벌투어형,0
거미,2016,,0.0268,0.1941,0.5952,0.1173,0.0666,F2+F3,원정소비형,1
거미,2017,,0.005,0.4231,0.1009,0.005,0.466,F2+F5,글로벌소비형,0
거미,2018,,0.0078,0.4582,0.2641,0.0078,0.2621,F2+F3,원정소비형,0
거미,2019,,0.0947,0.1724,0.6491,0.0713,0.0125,F2+F3,원정소비형,1
