fandom,F1,F2,F3,F4,F5,top2,persona,pc1,pc2,persona_html
A-pink,0.1404,0.1335,0.4363,0.1566,0.1333,F3|F4,현장상업형,0.01222,-0.03832,현장상업형
마마무,0.1199,0.1522,0.4065,0.1284,0.1931,F3|F5,글로벌투어형,-0.00735,0.0347,글로벌투어형
동방신기,0.1263,0.1975,0.3845,0.0845,0.2073,F3|F5,글로벌투어형,-0.01725,0.08016,글로벌투어형
로이킴,0.1803,0.0813,0.3986,0.1865,0.1533,F3|F4,현장상업형,-0.02502,-0.04016,현장상업형
Hearts2Hearts,0.1176,0.1963,0.3677,0.0894,0.229,F3|F5,글로벌투어형,-0.0346,0.09861,글로벌투어형
권은비,0.1038,0.1782,0.4737,0.1123,0.132,F2|F3,원정소비형,0.05623,-0.01473,원정소비형
성시경,0.1853,0.158,0.4293,0.1634,0.064,F1|F3,집단동원형,5e-05,-0.0955,집단동원형
슈퍼주니어,0.0836,0.2361,0.4526,0.1234,0.1044,F2|F3,원정소비형,0.02262,-0.02987,원정소비형
츄,0.1369,0.1573,0.4338,0.1647,0.1073,F3|F4,현장상업형,0.00278,-0.05975,현장상업형
Crush,0.0533,0.1375,0.4012,0.2053,0.2028,F3|F4,현장상업형,-0.04188,0.00335,현장상업형
QWER,0.0983,0.1564,0.4548,0.0655,0.2251,F3|F5,글로벌투어형,0.06095,0.08675,글로벌투어형
여자친구,0.0704,0.1764,0.49,0.1268,0.1365,F2|F3,원정소비형,0.065,-0.02069,원정소비형
ITZY,0.0536,0.2147,0.4374,0.0707,0.2236,F3|F5,글로벌투어형,0.03253,0.09647,글로벌투어형
나훈아,0.0553,0.1968,0.5377,0.114,0.0961,F2|F3,원정소비형,0.11029,-0.05218,원정소비형
STAYC,0.0772,0.1345,0.4651,0.1401,0.183,F3|F5,글로벌투어형,0.04379,0.00844,글로벌투어형
다비치,0.0792,0.1097,0.3411,0.2801,0.19,F3|F4,현장상업형,-0.12184,-0.04079,현장상업형
악동뮤지션,0.0662,0.1356,0.3699,0.1887,0.2396,F3|F5,글로벌투어형,-0.06341,0.04728,글로벌투어형
IVE,0.1278,0.2523,0.3267,0.0694,0.2238,F2|F3,원정소비형,-0.07313,0.12049,원정소비형
10CM,0.1195,0.1209,0.3771,0.1026,0.2798,F3|F5,글로벌투어형,-0.01897,0.12016,글로벌투어형
김재중,0.1341,0.0309,0.4949,0.0975,0.2427,F3|F5,글로벌투어형,0.10609,0.05665,글로벌투어형
HOT,0.0611,0.1836,0.4463,0.1028,0.2062,F3|F5,글로벌투어형,0.0331,0.05864,글로벌투어형
이효리,0.0886,0.1455,0.4549,0.1895,0.1216,F3|F4,현장상업형,0.01316,-0.06493,현장상업형
보아,0.1084,0.1421,0.3354,0.2218,0.1922,F3|F4,현장상업형,-0.10845,-0.00337,현장상업형
에픽하이,0.093,0.0662,0.5744,0.1045,0.1619,F3|F5,글로벌투어형,0.16972,-0.02105,글로벌투어형
청하,0.1738,0.1473,0.3509,0.1388,0.1893,F3|F5,글로벌투어형,-0.06062,0.03351,글로벌투어형
윤하,0.1131,0.104,0.358,0.1537,0.2712,F3|F5,글로벌투어형,-0.05428,0.08732,글로벌투어형
케이윌,0.1305,0.1538,0.326,0.2793,0.1103,F3|F4,현장상업형,-0.14145,-0.09828,현장상업형
조용필,0.0563,0.1996,0.3452,0.1573,0.2416,F3|F5,글로벌투어형,-0.08414,0.08006,글로벌투어형
잭스키스,0.2167,0.1831,0.3399,0.1774,0.0829,F1|F3,집단동원형,-0.09102,-0.06838,집단동원형
박정현,0.0521,0.1032,0.3054,0.3799,0.1594,F3|F4,현장상업형,-0.19391,-0.11197,현장상업형
김연자,0.0661,0.178,0.4125,0.204,0.1394,F3|F4,현장상업형,-0.03728,-0.04443,현장상업형
빅마마,0.0959,0.0964,0.3374,0.1864,0.2839,F3|F5,글로벌투어형,-0.08536,0.08377,글로벌투어형
볼빨간사춘기,0.1272,0.1925,0.2838,0.2042,0.1923,F3|F4,현장상업형,-0.15659,0.02236,현장상업형
엄정화,0.0698,0.1172,0.46,0.1798,0.1733,F3|F4,현장상업형,0.02591,-0.02188,현장상업형
FTISLAND,0.0941,0.2312,0.3148,0.1893,0.1705,F2|F3,원정소비형,-0.12914,0.01375,원정소비형
다이나믹듀오,0.0714,0.1001,0.5732,0.1195,0.1358,F3|F5,글로벌투어형,0.15669,-0.04423,글로벌투어형
비비,0.0648,0.1493,0.5138,0.1521,0.12,F3|F4,현장상업형,0.08105,-0.05582,현장상업형
카더가든,0.1349,0.1605,0.33,0.2878,0.0868,F3|F4,현장상업형,-0.14217,-0.12194,현장상업형
sg워너비,0.0398,0.1453,0.3289,0.2831,0.2028,F3|F4,현장상업형,-0.14081,-0.02275,현장상업형
장윤정,0.1355,0.1575,0.391,0.1899,0.1261,F3|F4,현장상업형,-0.04663,-0.04969,현장상업형
이승철,0.0477,0.1702,0.4146,0.2344,0.1332,F3|F4,현장상업형,-0.0466,-0.06643,현장상업형
윤도현,0.1551,0.0935,0.4553,0.2314,0.0647,F3|F4,현장상업형,0.00663,-0.14418,현장상업형
린,0.0891,0.1274,0.4047,0.2706,0.1082,F3|F4,현장상업형,-0.06232,-0.11227,현장상업형
잔나비,0.0506,0.0926,0.4268,0.3087,0.1213,F3|F4,현장상업형,-0.05238,-0.12947,현장상업형
백지영,0.048,0.1897,0.4413,0.24,0.081,F3|F4,현장상업형,-0.02746,-0.11419,현장상업형
김동률,0.0237,0.1576,0.5687,0.1296,0.1205,F2|F3,원정소비형,0.13822,-0.0508,원정소비형
Zion.T,0.0392,0.1877,0.3785,0.2337,0.1609,F3|F4,현장상업형,-0.08246,-0.03374,현장상업형
박효신,0.0903,0.1418,0.404,0.2579,0.106,F3|F4,현장상업형,-0.0602,-0.10511,현장상업형
pH-1,0.0509,0.0978,0.6161,0.1103,0.1249,F3|F5,글로벌투어형,0.19969,-0.05575,글로벌투어형
한로로,0.0653,0.1077,0.4335,0.1828,0.2108,F3|F5,글로벌투어형,0.00183,0.01091,글로벌투어형
이문세,0.0723,0.1296,0.4277,0.2726,0.0978,F3|F4,현장상업형,-0.0427,-0.12511,현장상업형
브라운아이즈,0.0892,0.1265,0.2812,0.2998,0.2032,F3|F4,현장상업형,-0.18719,-0.0272,현장상업형
거미,0.0691,0.1587,0.3621,0.3533,0.0568,F3|F4,현장상업형,-0.13989,-0.1848,현장상업형
BE'O,0.0837,0.1382,0.5065,0.1266,0.145,F3|F5,글로벌투어형,0.0867,-0.0229,글로벌투어형
