doc_id,fandom,bullet_type,idx_in_fandom_array,n_tokens
96,BTS,spillover,34,13
97,BTS,spillover,35,11
98,BTS,spillover,36,15
99,BTS,spillover,37,9
100,BTS,spillover,38,11
101,BTS,spillover,39,18
102,BTS,spillover,40,12
103,BTS,spillover,41,12
104,BTS,spillover,42,11
105,BTS,spillover,43,9
106,BTS,spillover,44,11
107,BTS,spillover,45,11
108,BTS,spillover,46,8
109,BTS,spillover,47,9
110,BTS,spillover,48,19
111,BTS,spillover,49,15
112,BTS,spillover,50,22
113,BTS,spillover,51,29
114,BTS,spillover,52,19
115,BTS,spillover,53,18
116,BTS,spillover,54,19
117,BTS,spillover,55,32
118,BTS,spillover,56,10
119,BTS,spillover,57,10
120,BTS,spillover,58,8
121,BTS,spillover,59,13
122,BTS,spillover,60,14
123,BTS,spillover,61,13
124,BTS,spillover,62,10
125,BTS,spillover,63,14
126,BTS,spillover,64,8
127,BTS,spillover,65,16
128,BTS,spillover,66,7
129,BTS,spillover,67,14
130,BTS,spillover,68,18
131,BTS,spillover,69,7
132,BTS,spillover,70,7
133,BTS,spillover,71,23
134,BTS,spillover,72,16
135,BTS,spillover,73,11
136,BTS,spillover,74,23
137,BTS,spillover,75,22
138,BTS,spillover,76,24
139,BTS,spillover,77,30
140,BTS,spillover,78,30
141,BTS,spillover,79,28
142,BTS,spillover,80,37
143,BTS,spillover,81,30
144,BTS,spillover,82,25
145,BTS,spillover,83,35
146,BTS,spillover,84,20
147,BTS,spillover,85,22
148,BTS,spillover,86,13
149,BTS,spillover,87,10
150,BTS,spillover,88,19
151,BTS,spillover,89,12
152,BTS,spillover,90,8
153,BTS,spillover,91,11
154,BTS,spillover,92,11
155,BTS,spillover,93,29
156,BTS,spillover,94,22
157,BTS,spillover,95,28
158,BTS,spillover,96,29
159,BTS,spillover,97,22
160,BTS,spillover,98,33
161,BTS,spillover,99,10
162,BTS,spillover,100,8
163,BTS,spillover,101,6
164,BTS,spillover,102,6
165,BTS,spillover,103,12
166,BTS,spillover,104,9
167,BTS,spillover,105,9
168,BTS,spillover,106,9
169,BTS,spillover,107,11
170,TWICE,loyalty,0,9
171,TWICE,loyalty,1,10
172,TWICE,loyalty,2,11
173,TWICE,loyalty,3,17
174,TWICE,loyalty,4,9
175,TWICE,loyalty,5,10
176,TWICE,loyalty,6,9
177,TWICE,loyalty,7,7
178,TWICE,loyalty,8,8
179,TWICE,loyalty,9,8
180,TWICE,loyalty,10,12
181,TWICE,loyalty,11,10
182,TWICE,loyalty,12,27
183,TWICE,loyalty,13,23
184,TWICE,loyalty,14,8
185,TWICE,loyalty,15,19
186,TWICE,loyalty,16,20
187,TWICE,loyalty,17,19
188,TWICE,loyalty,18,12
189,TWICE,loyalty,19,23
190,TWICE,loyalty,20,19
191,TWICE,loyalty,21,17
192,TWICE,loyalty,22,11
193,TWICE,loyalty,23,23
194,TWICE,loyalty,24,20
195,TWICE,loyalty,25,24
196,TWICE,loyalty,26,14
197,TWICE,loyalty,27,15
198,TWICE,loyalty,28,18
199,TWICE,loyalty,29,20
200,TWICE,loyalty,30,20
201,TWICE,loyalty,31,31
202,TWICE,loyalty,32,45
203,TWICE,loyalty,33,24
204,TWICE,loyalty,34,26
205,TWICE,loyalty,35,43
206,TWICE,loyalty,36,34
207,TWICE,loyalty,37,22
208,TWICE,loyalty,38,19
209,TWICE,loyalty,39,9
210,TWICE,loyalty,40,11
211,TWICE,loyalty,41,16
212,TWICE,loyalty,42,9
213,TWICE,loyalty,43,16
214,TWICE,loyalty,44,13
215,TWICE,loyalty,45,8
216,TWICE,loyalty,46,10
217,TWICE,loyalty,47,4
218,TWICE,loyalty,48,15
219,TWICE,loyalty,49,13
220,TWICE,loyalty,50,11
221,TWICE,loyalty,51,19
222,TWICE,loyalty,52,22
223,TWICE,loyalty,53,10
224,TWICE,loyalty,54,9
225,TWICE,loyalty,55,8
226,TWICE,loyalty,56,8
227,TWICE,loyalty,57,11
228,TWICE,loyalty,58,9
229,TWICE,spillover,0,8
230,TWICE,spillover,1,10
231,TWICE,spillover,2,7
232,TWICE,spillover,3,9
233,TWICE,spillover,4,10
234,TWICE,spillover,5,5
235,TWICE,spillover,6,9
236,TWICE,spillover,7,7
237,TWICE,spillover,8,14
238,TWICE,spillover,9,11
239,TWICE,spillover,10,15
240,TWICE,spillover,11,30
241,TWICE,spillover,12,25
242,TWICE,spillover,13,25
243,TWICE,spillover,14,21
244,TWICE,spillover,15,22
245,TWICE,spillover,16,26
246,TWICE,spillover,17,23
247,TWICE,spillover,18,12
248,TWICE,spillover,19,21
249,TWICE,spillover,20,11
250,TWICE,spillover,21,26
251,TWICE,spillover,22,24
252,TWICE,spillover,23,14
253,TWICE,spillover,24,8
254,TWICE,spillover,25,9
255,TWICE,spillover,26,12
256,TWICE,spillover,27,6
257,TWICE,spillover,28,14
258,TWICE,spillover,29,12
259,TWICE,spillover,30,11
260,TWICE,spillover,31,26
261,TWICE,spillover,32,25
262,TWICE,spillover,33,35
263,TWICE,spillover,34,31
264,TWICE,spillover,35,29
265,TWICE,spillover,36,24
266,TWICE,spillover,37,29
267,TWICE,spillover,38,18
268,TWICE,spillover,39,54
269,TWICE,spillover,40,27
270,TWICE,spillover,41,17
271,TWICE,spillover,42,37
272,TWICE,spillover,43,9
273,TWICE,spillover,44,7
274,TWICE,spillover,45,11
275,TWICE,spillover,46,12
276,TWICE,spillover,47,11
277,TWICE,spillover,48,8
278,TWICE,spillover,49,14
279,TWICE,spillover,50,15
280,TWICE,spillover,51,12
281,TWICE,spillover,52,14
282,TWICE,spillover,53,10
283,TWICE,spillover,54,7
284,TWICE,spillover,55,22
285,TWICE,spillover,56,17
286,TWICE,spillover,57,11
287,TWICE,spillover,58,8
288,TWICE,spillover,59,8
289,TWICE,spillover,60,4
290,TWICE,spillover,61,12
291,TWICE,spillover,62,34
292,TWICE,spillover,63,19
293,TWICE,spillover,64,28
294,TWICE,spillover,65,17
295,TWICE,spillover,66,37
296,TWICE,spillover,67,33
297,TWICE,spillover,68,19
298,TWICE,spillover,69,22
299,TWICE,spillover,70,25
300,TWICE,spillover,71,18
301,TWICE,spillover,72,26
302,TWICE,spillover,73,48
303,TWICE,spillover,74,17
304,TWICE,spillover,75,26
305,TWICE,spillover,76,28
306,TWICE,spillover,77,22
307,TWICE,spillover,78,20
308,TWICE,spillover,79,28
309,TWICE,spillover,80,30
310,TWICE,spillover,81,28
311,TWICE,spillover,82,35
312,TWICE,spillover,83,24
313,TWICE,spillover,84,13
314,임영웅,loyalty,0,15
315,임영웅,loyalty,1,27
316,임영웅,loyalty,2,26
317,임영웅,loyalty,3,8
318,임영웅,loyalty,4,26
319,임영웅,loyalty,5,19
320,임영웅,loyalty,6,21
321,임영웅,loyalty,7,25
322,임영웅,loyalty,8,21
323,임영웅,loyalty,9,10
324,임영웅,loyalty,10,6
325,임영웅,loyalty,11,12
326,임영웅,loyalty,12,7
327,임영웅,loyalty,13,8
328,임영웅,loyalty,14,13
329,임영웅,loyalty,15,11
330,임영웅,loyalty,16,9
331,임영웅,loyalty,17,8
332,임영웅,loyalty,18,11
333,임영웅,loyalty,19,20
334,임영웅,loyalty,20,14
335,임영웅,loyalty,21,30
336,임영웅,loyalty,22,10
337,임영웅,loyalty,23,15
338,임영웅,loyalty,24,17
339,임영웅,loyalty,25,11
340,임영웅,loyalty,26,26
341,임영웅,loyalty,27,8
342,임영웅,loyalty,28,13
343,임영웅,loyalty,29,9
344,임영웅,loyalty,30,9
345,임영웅,loyalty,31,36
346,임영웅,loyalty,32,24
347,임영웅,loyalty,33,34
348,임영웅,loyalty,34,14
349,임영웅,loyalty,35,13
350,임영웅,loyalty,36,11
351,임영웅,loyalty,37,9
352,임영웅,loyalty,38,11
353,임영웅,loyalty,39,18
354,임영웅,loyalty,40,15
355,임영웅,loyalty,41,38
356,임영웅,loyalty,42,30
357,임영웅,loyalty,43,8
358,임영웅,loyalty,44,5
359,임영웅,loyalty,45,5
360,임영웅,loyalty,46,6
361,임영웅,loyalty,47,20
362,임영웅,loyalty,48,10
363,임영웅,loyalty,49,23
364,임영웅,spillover,0,26
365,임영웅,spillover,1,34
366,임영웅,spillover,2,12
367,임영웅,spillover,3,16
368,임영웅,spillover,4,19
369,임영웅,spillover,5,34
370,임영웅,spillover,6,27
371,임영웅,spillover,7,32
372,임영웅,spillover,8,24
373,임영웅,spillover,9,6
374,임영웅,spillover,10,15
375,임영웅,spillover,11,10
376,임영웅,spillover,12,12
377,임영웅,spillover,13,9
378,임영웅,spillover,14,15
379,임영웅,spillover,15,6
380,임영웅,spillover,16,9
381,임영웅,spillover,17,6
382,임영웅,spillover,18,26
383,임영웅,spillover,19,13
384,임영웅,spillover,20,19
385,임영웅,spillover,21,15
386,임영웅,spillover,22,7
387,임영웅,spillover,23,18
388,임영웅,spillover,24,32
389,임영웅,spillover,25,42
390,임영웅,spillover,26,29
391,임영웅,spillover,27,20
392,임영웅,spillover,28,33
393,임영웅,spillover,29,39
394,임영웅,spillover,30,7
395,임영웅,spillover,31,18
396,임영웅,spillover,32,11
397,임영웅,spillover,33,8
398,임영웅,spillover,34,13
399,임영웅,spillover,35,10
400,임영웅,spillover,36,13
401,임영웅,spillover,37,23
402,임영웅,spillover,38,29
403,임영웅,spillover,39,11
404,임영웅,spillover,40,14
405,임영웅,spillover,41,11
406,임영웅,spillover,42,13
407,임영웅,spillover,43,11
408,임영웅,spillover,44,15
409,임영웅,spillover,45,17
410,임영웅,spillover,46,11
411,임영웅,spillover,47,32
412,임영웅,spillover,48,31
413,임영웅,spillover,49,14
414,임영웅,spillover,50,27
415,임영웅,spillover,51,34
416,임영웅,spillover,52,26
417,임영웅,spillover,53,17
418,임영웅,spillover,54,24
419,임영웅,spillover,55,32
420,임영웅,spillover,56,31
421,임영웅,spillover,57,14
422,임영웅,spillover,58,12
423,임영웅,spillover,59,11
424,임영웅,spillover,60,22
425,임영웅,spillover,61,21
426,Stray Kids,loyalty,0,11
427,Stray Kids,loyalty,1,21
428,Stray Kids,loyalty,2,9
429,Stray Kids,loyalty,3,13
430,Stray Kids,loyalty,4,12
431,Stray Kids,loyalty,5,16
432,Stray Kids,loyalty,6,12
433,Stray Kids,loyalty,7,16
434,Stray Kids,loyalty,8,12
435,Stray Kids,loyalty,9,12
436,Stray Kids,loyalty,10,12
437,Stray Kids,loyalty,11,16
438,Stray Kids,loyalty,12,11
439,Stray Kids,loyalty,13,13
440,Stray Kids,loyalty,14,6
441,Stray Kids,loyalty,15,17
442,Stray Kids,loyalty,16,20
443,Stray Kids,loyalty,17,13
444,Stray Kids,loyalty,18,34
445,Stray Kids,loyalty,19,11
446,Stray Kids,loyalty,20,14
447,Stray Kids,loyalty,21,28
448,Stray Kids,loyalty,22,36
449,Stray Kids,loyalty,23,34
450,Stray Kids,loyalty,24,20
451,Stray Kids,loyalty,25,27
452,Stray Kids,loyalty,26,22
453,Stray Kids,loyalty,27,23
454,Stray Kids,loyalty,28,36
455,Stray Kids,loyalty,29,20
456,Stray Kids,loyalty,30,20
457,Stray Kids,loyalty,31,12
458,Stray Kids,loyalty,32,13
459,Stray Kids,loyalty,33,19
460,Stray Kids,loyalty,34,9
461,Stray Kids,loyalty,35,8
462,Stray Kids,loyalty,36,8
463,Stray Kids,loyalty,37,11
464,Stray Kids,loyalty,38,5
465,Stray Kids,loyalty,39,17
466,Stray Kids,loyalty,40,12
467,Stray Kids,loyalty,41,8
468,Stray Kids,loyalty,42,13
469,Stray Kids,loyalty,43,17
470,Stray Kids,loyalty,44,15
471,Stray Kids,loyalty,45,21
472,Stray Kids,loyalty,46,11
473,Stray Kids,loyalty,47,10
474,Stray Kids,loyalty,48,16
475,Stray Kids,loyalty,49,12
476,Stray Kids,loyalty,50,14
477,Stray Kids,loyalty,51,13
478,Stray Kids,loyalty,52,7
479,Stray Kids,spillover,0,8
480,Stray Kids,spillover,1,11
481,Stray Kids,spillover,2,15
482,Stray Kids,spillover,3,22
483,Stray Kids,spillover,4,14
484,Stray Kids,spillover,5,12
485,Stray Kids,spillover,6,19
486,Stray Kids,spillover,7,16
487,Stray Kids,spillover,8,17
488,Stray Kids,spillover,9,9
489,Stray Kids,spillover,10,6
490,Stray Kids,spillover,11,14
491,Stray Kids,spillover,12,7
492,Stray Kids,spillover,13,12
493,Stray Kids,spillover,14,15
494,Stray Kids,spillover,15,10
495,Stray Kids,spillover,16,21
496,Stray Kids,spillover,17,8
497,Stray Kids,spillover,18,8
498,Stray Kids,spillover,19,33
499,Stray Kids,spillover,20,48
500,Stray Kids,spillover,21,6
501,Stray Kids,spillover,22,8
502,Stray Kids,spillover,23,6
503,Stray Kids,spillover,24,8
504,Stray Kids,spillover,25,8
505,Stray Kids,spillover,26,19
506,Stray Kids,spillover,27,8
507,Stray Kids,spillover,28,16
508,Stray Kids,spillover,29,14
509,Stray Kids,spillover,30,10
510,Stray Kids,spillover,31,14
511,Stray Kids,spillover,32,11
512,Stray Kids,spillover,33,7
513,Stray Kids,spillover,34,8
514,Stray Kids,spillover,35,11
515,Stray Kids,spillover,36,28
516,Stray Kids,spillover,37,14
517,Stray Kids,spillover,38,25
518,Stray Kids,spillover,39,25
519,Stray Kids,spillover,40,24
520,Stray Kids,spillover,41,28
521,Stray Kids,spillover,42,41
522,Stray Kids,spillover,43,16
523,Stray Kids,spillover,44,39
524,Stray Kids,spillover,45,52
525,Stray Kids,spillover,46,36
526,Stray Kids,spillover,47,32
527,Stray Kids,spillover,48,15
528,Stray Kids,spillover,49,13
529,Stray Kids,spillover,50,17
530,Stray Kids,spillover,51,13
531,Stray Kids,spillover,52,9
532,Stray Kids,spillover,53,7
533,Stray Kids,spillover,54,13
534,Stray Kids,spillover,55,9
535,Stray Kids,spillover,56,6
536,Stray Kids,spillover,57,9
537,Stray Kids,spillover,58,12
538,Stray Kids,spillover,59,14
539,Stray Kids,spillover,60,20
540,Stray Kids,spillover,61,12
541,Stray Kids,spillover,62,11
542,Stray Kids,spillover,63,4
543,Stray Kids,spillover,64,7
544,Stray Kids,spillover,65,12
545,Stray Kids,spillover,66,24
546,Stray Kids,spillover,67,17
547,Stray Kids,spillover,68,21
548,Stray Kids,spillover,69,23
549,Stray Kids,spillover,70,26
550,Stray Kids,spillover,71,32
551,Stray Kids,spillover,72,21
552,Stray Kids,spillover,73,12
553,Stray Kids,spillover,74,23
554,Stray Kids,spillover,75,24
555,Stray Kids,spillover,76,8
556,Stray Kids,spillover,77,7
557,Stray Kids,spillover,78,15
558,Stray Kids,spillover,79,8
559,Stray Kids,spillover,80,12
560,Stray Kids,spillover,81,8
561,Stray Kids,spillover,82,14
562,Stray Kids,spillover,83,9
563,Stray Kids,spillover,84,7
564,BLACKPINK,loyalty,0,7
565,BLACKPINK,loyalty,1,14
566,BLACKPINK,loyalty,2,10
567,BLACKPINK,loyalty,3,12
568,BLACKPINK,loyalty,4,12
569,BLACKPINK,loyalty,5,8
570,BLACKPINK,loyalty,6,8
571,BLACKPINK,loyalty,7,13
572,BLACKPINK,loyalty,8,15
573,BLACKPINK,loyalty,9,8
574,BLACKPINK,loyalty,10,8
575,BLACKPINK,loyalty,11,14
576,BLACKPINK,loyalty,12,21
577,BLACKPINK,loyalty,13,12
578,BLACKPINK,loyalty,14,25
579,BLACKPINK,loyalty,15,26
580,BLACKPINK,loyalty,16,23
581,BLACKPINK,loyalty,17,28
582,BLACKPINK,loyalty,18,16
583,BLACKPINK,loyalty,19,10
584,BLACKPINK,loyalty,20,12
585,BLACKPINK,loyalty,21,16
586,BLACKPINK,loyalty,22,39
587,BLACKPINK,loyalty,23,31
588,BLACKPINK,loyalty,24,37
589,BLACKPINK,loyalty,25,37
590,BLACKPINK,loyalty,26,34
591,BLACKPINK,loyalty,27,18
592,BLACKPINK,loyalty,28,17
593,BLACKPINK,loyalty,29,25
594,BLACKPINK,loyalty,30,14
595,BLACKPINK,loyalty,31,8
596,BLACKPINK,loyalty,32,12
597,BLACKPINK,loyalty,33,8
598,BLACKPINK,loyalty,34,6
599,BLACKPINK,loyalty,35,9
600,BLACKPINK,loyalty,36,11
601,BLACKPINK,loyalty,37,16
602,BLACKPINK,loyalty,38,11
603,BLACKPINK,loyalty,39,7
604,BLACKPINK,loyalty,40,22
605,BLACKPINK,loyalty,41,16
606,BLACKPINK,loyalty,42,16
607,BLACKPINK,loyalty,43,25
608,BLACKPINK,loyalty,44,31
609,BLACKPINK,loyalty,45,20
610,BLACKPINK,loyalty,46,8
611,BLACKPINK,loyalty,47,9
612,BLACKPINK,loyalty,48,11
613,BLACKPINK,loyalty,49,15
614,BLACKPINK,loyalty,50,9
615,BLACKPINK,spillover,0,21
616,BLACKPINK,spillover,1,16
617,BLACKPINK,spillover,2,16
618,BLACKPINK,spillover,3,17
619,BLACKPINK,spillover,4,12
620,BLACKPINK,spillover,5,19
621,BLACKPINK,spillover,6,16
622,BLACKPINK,spillover,7,16
623,BLACKPINK,spillover,8,26
624,BLACKPINK,spillover,9,25
625,BLACKPINK,spillover,10,20
626,BLACKPINK,spillover,11,21
627,BLACKPINK,spillover,12,33
628,BLACKPINK,spillover,13,18
629,BLACKPINK,spillover,14,34
630,BLACKPINK,spillover,15,27
631,BLACKPINK,spillover,16,24
632,BLACKPINK,spillover,17,22
633,BLACKPINK,spillover,18,18
634,BLACKPINK,spillover,19,26
635,BLACKPINK,spillover,20,22
636,BLACKPINK,spillover,21,24
637,BLACKPINK,spillover,22,18
638,BLACKPINK,spillover,23,20
639,BLACKPINK,spillover,24,20
640,BLACKPINK,spillover,25,7
641,BLACKPINK,spillover,26,13
642,BLACKPINK,spillover,27,8
643,BLACKPINK,spillover,28,8
644,BLACKPINK,spillover,29,11
645,BLACKPINK,spillover,30,17
646,BLACKPINK,spillover,31,9
647,BLACKPINK,spillover,32,13
648,BLACKPINK,spillover,33,14
649,BLACKPINK,spillover,34,12
650,BLACKPINK,spillover,35,10
651,BLACKPINK,spillover,36,4
652,BLACKPINK,spillover,37,9
653,BLACKPINK,spillover,38,9
654,BLACKPINK,spillover,39,7
655,BLACKPINK,spillover,40,8
656,BLACKPINK,spillover,41,4
657,BLACKPINK,spillover,42,9
658,BLACKPINK,spillover,43,8
659,BLACKPINK,spillover,44,24
660,BLACKPINK,spillover,45,16
661,BLACKPINK,spillover,46,46
662,BLACKPINK,spillover,47,35
663,BLACKPINK,spillover,48,29
664,BLACKPINK,spillover,49,30
665,BLACKPINK,spillover,50,36
666,BLACKPINK,spillover,51,29
667,BLACKPINK,spillover,52,30
668,BLACKPINK,spillover,53,30
669,BLACKPINK,spillover,54,14
670,BLACKPINK,spillover,55,19
671,BLACKPINK,spillover,56,25
672,BLACKPINK,spillover,57,11
673,BLACKPINK,spillover,58,9
674,BLACKPINK,spillover,59,9
675,BLACKPINK,spillover,60,14
676,BLACKPINK,spillover,61,15
677,BLACKPINK,spillover,62,8
678,BLACKPINK,spillover,63,11
679,BLACKPINK,spillover,64,14
680,BLACKPINK,spillover,65,10
681,BLACKPINK,spillover,66,10
682,BLACKPINK,spillover,67,18
683,BLACKPINK,spillover,68,13
684,BLACKPINK,spillover,69,34
685,BLACKPINK,spillover,70,12
686,BLACKPINK,spillover,71,49
687,BLACKPINK,spillover,72,18
688,BLACKPINK,spillover,73,25
689,BLACKPINK,spillover,74,26
690,BLACKPINK,spillover,75,32
691,BLACKPINK,spillover,76,18
692,BLACKPINK,spillover,77,12
693,BLACKPINK,spillover,78,8
694,BLACKPINK,spillover,79,15
695,BLACKPINK,spillover,80,15
696,BLACKPINK,spillover,81,22
697,BLACKPINK,spillover,82,26
698,BLACKPINK,spillover,83,25
699,BLACKPINK,spillover,84,21
700,BLACKPINK,spillover,85,27
701,BLACKPINK,spillover,86,22
702,BLACKPINK,spillover,87,16
703,BLACKPINK,spillover,88,13
704,BLACKPINK,spillover,89,20
705,BLACKPINK,spillover,90,7
706,BLACKPINK,spillover,91,6
707,BLACKPINK,spillover,92,6
708,BLACKPINK,spillover,93,6
709,BLACKPINK,spillover,94,9
710,SEVENTEEN,loyalty,0,17
711,SEVENTEEN,loyalty,1,16
712,SEVENTEEN,loyalty,2,18
713,SEVENTEEN,loyalty,3,20
714,SEVENTEEN,loyalty,4,28
715,SEVENTEEN,loyalty,5,17
716,SEVENTEEN,loyalty,6,13
717,SEVENTEEN,loyalty,7,13
718,SEVENTEEN,loyalty,8,17
719,SEVENTEEN,loyalty,9,12
720,SEVENTEEN,loyalty,10,9
721,SEVENTEEN,loyalty,11,9
722,SEVENTEEN,loyalty,12,13
723,SEVENTEEN,loyalty,13,5
724,SEVENTEEN,loyalty,14,12
725,SEVENTEEN,loyalty,15,13
726,SEVENTEEN,loyalty,16,12
727,SEVENTEEN,loyalty,17,22
728,SEVENTEEN,loyalty,18,13
729,SEVENTEEN,loyalty,19,28
730,SEVENTEEN,loyalty,20,14
731,SEVENTEEN,loyalty,21,11
732,SEVENTEEN,loyalty,22,11
733,SEVENTEEN,loyalty,23,27
734,SEVENTEEN,loyalty,24,24
735,SEVENTEEN,loyalty,25,22
736,SEVENTEEN,loyalty,26,10
737,SEVENTEEN,loyalty,27,16
738,SEVENTEEN,loyalty,28,10
739,SEVENTEEN,loyalty,29,11
740,SEVENTEEN,loyalty,30,9
741,SEVENTEEN,loyalty,31,7
742,SEVENTEEN,loyalty,32,13
743,SEVENTEEN,loyalty,33,6
744,SEVENTEEN,loyalty,34,10
745,SEVENTEEN,loyalty,35,8
746,SEVENTEEN,loyalty,36,10
747,SEVENTEEN,loyalty,37,11
748,SEVENTEEN,loyalty,38,9
749,SEVENTEEN,loyalty,39,6
750,SEVENTEEN,loyalty,40,9
751,SEVENTEEN,loyalty,41,8
752,SEVENTEEN,loyalty,42,9
753,SEVENTEEN,loyalty,43,11
754,SEVENTEEN,loyalty,44,12
755,SEVENTEEN,loyalty,45,7
756,SEVENTEEN,loyalty,46,13
757,SEVENTEEN,loyalty,47,13
758,SEVENTEEN,loyalty,48,7
759,SEVENTEEN,loyalty,49,9
760,SEVENTEEN,loyalty,50,5
761,SEVENTEEN,loyalty,51,10
762,SEVENTEEN,loyalty,52,11
763,SEVENTEEN,loyalty,53,12
764,SEVENTEEN,loyalty,54,12
765,SEVENTEEN,loyalty,55,12
766,SEVENTEEN,loyalty,56,11
767,SEVENTEEN,loyalty,57,9
768,SEVENTEEN,loyalty,58,10
769,SEVENTEEN,loyalty,59,9
770,SEVENTEEN,loyalty,60,13
771,SEVENTEEN,loyalty,61,14
772,SEVENTEEN,loyalty,62,11
773,SEVENTEEN,loyalty,63,13
774,SEVENTEEN,loyalty,64,11
775,SEVENTEEN,loyalty,65,22
776,SEVENTEEN,spillover,0,6
777,SEVENTEEN,spillover,1,8
778,SEVENTEEN,spillover,2,11
779,SEVENTEEN,spillover,3,20
780,SEVENTEEN,spillover,4,14
781,SEVENTEEN,spillover,5,17
782,SEVENTEEN,spillover,6,12
783,SEVENTEEN,spillover,7,15
784,SEVENTEEN,spillover,8,11
785,SEVENTEEN,spillover,9,7
786,SEVENTEEN,spillover,10,9
787,SEVENTEEN,spillover,11,12
788,SEVENTEEN,spillover,12,8
789,SEVENTEEN,spillover,13,14
790,SEVENTEEN,spillover,14,9
791,SEVENTEEN,spillover,15,12
792,SEVENTEEN,spillover,16,21
793,SEVENTEEN,spillover,17,12
794,SEVENTEEN,spillover,18,13
795,SEVENTEEN,spillover,19,12
796,SEVENTEEN,spillover,20,30
797,SEVENTEEN,spillover,21,35
798,SEVENTEEN,spillover,22,26
799,SEVENTEEN,spillover,23,13
800,SEVENTEEN,spillover,24,12
801,SEVENTEEN,spillover,25,8
802,SEVENTEEN,spillover,26,10
803,SEVENTEEN,spillover,27,10
804,SEVENTEEN,spillover,28,13
805,SEVENTEEN,spillover,29,10
806,SEVENTEEN,spillover,30,11
807,SEVENTEEN,spillover,31,12
808,SEVENTEEN,spillover,32,29
809,SEVENTEEN,spillover,33,19
810,SEVENTEEN,spillover,34,14
811,SEVENTEEN,spillover,35,14
812,SEVENTEEN,spillover,36,22
813,SEVENTEEN,spillover,37,30
814,SEVENTEEN,spillover,38,12
815,SEVENTEEN,spillover,39,10
816,SEVENTEEN,spillover,40,8
817,SEVENTEEN,spillover,41,9
818,SEVENTEEN,spillover,42,11
819,SEVENTEEN,spillover,43,13
820,SEVENTEEN,spillover,44,11
821,SEVENTEEN,spillover,45,8
822,SEVENTEEN,spillover,46,15
823,SEVENTEEN,spillover,47,19
824,SEVENTEEN,spillover,48,24
825,SEVENTEEN,spillover,49,12
826,SEVENTEEN,spillover,50,9
827,SEVENTEEN,spillover,51,30
828,SEVENTEEN,spillover,52,9
829,SEVENTEEN,spillover,53,9
830,SEVENTEEN,spillover,54,16
831,SEVENTEEN,spillover,55,9
832,SEVENTEEN,spillover,56,15
833,SEVENTEEN,spillover,57,23
834,SEVENTEEN,spillover,58,14
835,SEVENTEEN,spillover,59,18
