fandom,bullet_type,idx,domain,domain_lang,domain_basis,body_script,body_lang,body_margin,other_lang_candidate,latin_letter_share,agree
이영지,loyalty,28,k-gen.fr,fr,tld,ko,ko,0.857,,0.143,0
이영지,loyalty,29,www.k-world.fr,fr,override,ko,ko,0.76,,0.24,0
이영지,loyalty,30,www.k-world.fr,fr,override,ko,ko,0.793,,0.207,0
이영지,loyalty,31,namu.wiki,ko,override,ko,ko,0.884,,0.116,1
이영지,loyalty,32,mb.com.ph,tl,override,ko,ko,0.941,,0.059,0
이영지,loyalty,33,tvreport.co.kr,ko,override,ko,ko,1.0,,0.0,1
이영지,loyalty,34,biz.heraldcorp.com,ko,override,ko,ko,1.0,,0.0,1
이영지,loyalty,35,www.newsis.com,ko,override,ko,ko,1.0,,0.0,1
이영지,loyalty,36,www.starnewskorea.com,en,override,ko,ko,0.947,,0.053,0
이영지,loyalty,37,www.creativeman.co.jp,ja,tld,ko,ko,0.613,,0.387,0
이영지,loyalty,38,www.klook.com,en,default,ko,ko,0.733,,0.267,0
이영지,spillover,0,www.fnnews.com,ko,override,ko,ko,1.0,,0.0,1
이영지,spillover,1,www.newswire.co.kr,ko,tld,ko,ko,0.623,,0.377,1
이영지,spillover,2,hookmeup.kr,ko,tld,ko,ko,0.862,,0.138,1
이영지,spillover,3,www.billboard.com,en,override,ko,ko,0.672,,0.328,0
이영지,spillover,4,en.wikipedia.org,en,wiki,ko,ko,0.951,,0.049,0
이영지,spillover,5,en.wikipedia.org,en,wiki,ko,ko,1.0,,0.0,0
이영지,spillover,6,nextshark.com,en,default,ko,ko,0.848,,0.152,0
이영지,spillover,7,www.nocutnews.co.kr,ko,tld,latin,en,0.851,,0.536,0
이영지,spillover,8,www.koreatimes.co.kr,en,override,ko,ko,0.825,,0.175,0
이영지,spillover,9,www.koreatimes.co.kr,en,override,ko,ko,0.702,,0.298,0
이영지,spillover,10,www.koreatimes.co.kr,en,override,ko,ko,1.0,,0.0,0
이영지,spillover,11,www.seoulfn.com,en,default,ko,ko,1.0,,0.0,0
이영지,spillover,12,www.fnnews.com,ko,override,ko,ko,0.959,,0.041,1
이영지,spillover,13,www.womennews.co.kr,ko,tld,ko,ko,0.695,,0.305,1
이영지,spillover,14,www.newsis.com,ko,override,ko,ko,0.585,,0.415,1
이영지,spillover,15,www.billboard.com,en,override,ko,ko,1.0,,0.0,0
이영지,spillover,16,www.sportsseoul.com,ko,override,ko,ko,0.828,,0.172,1
이영지,spillover,17,www.hankyung.com,ko,override,ko,ko,0.857,,0.143,1
이영지,spillover,18,www.nextdaily.co.kr,ko,tld,ko,ko,1.0,,0.0,1
이영지,spillover,19,ibabynews.com,en,default,ko,ko,1.0,,0.0,0
이영지,spillover,20,biz.heraldcorp.com,ko,override,ko,ko,1.0,,0.0,1
이영지,spillover,21,www.khan.co.kr,ko,tld,ko,ko,1.0,,0.0,1
이영지,spillover,22,sports.khan.co.kr,ko,override,ko,ko,1.0,,0.0,1
이영지,spillover,23,kr.trip.com,en,default,ko,ko,0.688,,0.312,0
이영지,spillover,24,kr.trip.com,en,default,ko,ko,0.568,,0.432,0
이영지,spillover,25,natalie.mu,ja,override,ko,ko,1.0,,0.0,0
이영지,spillover,26,natalie.mu,ja,override,ko,ko,1.0,,0.0,0
이영지,spillover,27,www.oricon.co.jp,ja,tld,ko,ko,0.667,,0.333,0
이영지,spillover,28,music.163.com,zh,override,ko,ko,0.717,,0.283,0
이영지,spillover,29,www.g-enews.com,en,default,ko,ko,0.892,,0.108,0
이영지,spillover,30,www.cosmorning.com,en,default,ko,ko,0.938,,0.062,0
이영지,spillover,31,www.fnnews.com,ko,override,ko,ko,0.908,,0.092,1
이영지,spillover,32,www.mediafine.co.kr,ko,tld,ko,ko,0.78,,0.22,1
이영지,spillover,33,kpopofficial.com,en,default,ko,ko,0.643,,0.357,0
이영지,spillover,34,en.wikipedia.org,en,wiki,ko,ko,1.0,,0.0,0
이영지,spillover,35,en.wikipedia.org,en,wiki,ko,ko,0.85,,0.15,0
이영지,spillover,36,www.hankookilbo.com,ko,override,ko,ko,1.0,,0.0,1
이영지,spillover,37,www.nbnnews.co.kr,ko,tld,ko,ko,0.846,,0.154,1
이영지,spillover,38,www.youtube.com,en,override,ko,ko,1.0,,0.0,0
이영지,spillover,39,www.harpersbazaar.co.kr,ko,tld,ko,ko,1.0,,0.0,1
이영지,spillover,40,www.segye.com,ko,override,ko,ko,1.0,,0.0,1
이영지,spillover,41,natalie.mu,ja,override,ko,ko,0.812,,0.188,0
이영지,spillover,42,rollingstonejapan.com,en,default,ko,ko,1.0,,0.0,0
이영지,spillover,43,www.sopitas.com,es,override,ko,ko,0.878,,0.122,0
이영지,spillover,44,heraldodemexico.com.mx,es,override,ko,ko,0.865,,0.135,0
이영지,spillover,45,hot.detik.com,id,override,ko,ko,0.833,,0.167,0
이영지,spillover,46,manado.tribunnews.com,id,override,ko,ko,1.0,,0.0,0
이영지,spillover,47,www.sanook.com,th,override,ko,ko,0.706,,0.294,0
이영지,spillover,48,namu.wiki,ko,override,ko,ko,0.833,,0.167,1
이영지,spillover,49,www.cnnbrasil.com.br,pt,override,ko,ko,0.893,,0.107,0
이영지,spillover,50,billboard.com.br,pt,tld,ko,ko,0.857,,0.143,0
이영지,spillover,51,mydramalist.com,en,default,ko,ko,0.756,,0.244,0
이영지,spillover,52,www.youtube.com,en,override,ko,ko,0.681,,0.319,0
이영지,spillover,53,www.wikitree.co.kr,ko,tld,ko,ko,1.0,,0.0,1
이영지,spillover,54,biz.heraldcorp.com,ko,override,ko,ko,1.0,,0.0,1
이영지,spillover,55,www.stagepick.co.kr,ko,tld,ko,ko,1.0,,0.0,1
이영지,spillover,56,www.sportsseoul.com,ko,override,ko,ko,0.875,,0.125,1
이영지,spillover,57,www.fnnews.com,ko,override,ko,ko,0.857,,0.143,1
이영지,spillover,58,www.khan.co.kr,ko,tld,ko,ko,1.0,,0.0,1
이영지,spillover,59,biz.heraldcorp.com,ko,override,ko,ko,1.0,,0.0,1
이영지,spillover,60,www.fnnews.com,ko,override,ko,ko,0.912,,0.088,1
이영지,spillover,61,www.womennews.co.kr,ko,tld,ko,ko,0.63,,0.37,1
이영지,spillover,62,hookmeup.kr,ko,tld,ko,ko,0.875,,0.125,1
이영지,spillover,63,www.bing.co.kr,ko,tld,ko,ko,1.0,,0.0,1
이영지,spillover,64,hk.ulifestyle.com.hk,zh,tld,ko,ko,0.835,,0.146,0
이영지,spillover,65,zh.soundoflife.com,en,default,ko,ko,0.591,,0.245,0
이영지,spillover,66,ar.wikipedia.org,ar,wiki,ko,ko,0.733,,0.213,0
이영지,spillover,67,www.nautiljon.com,en,default,ko,ko,0.796,,0.204,0
지드래곤 (G-Dragon),loyalty,0,www.marieclairekorea.com,en,default,ko,ko,0.756,,0.244,0
지드래곤 (G-Dragon),loyalty,1,www.marieclairekorea.com,en,default,ko,ko,1.0,,0.0,0
지드래곤 (G-Dragon),loyalty,2,news.nate.com,ko,override,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),loyalty,3,www.threads.com,en,override,ko,ko,0.927,,0.073,0
지드래곤 (G-Dragon),loyalty,4,www.billboard.com,en,override,ko,ko,0.734,,0.266,0
지드래곤 (G-Dragon),loyalty,5,www.billboard.com,en,override,ko,ko,0.903,,0.097,0
지드래곤 (G-Dragon),loyalty,6,www.malaymail.com,en,override,ko,ko,0.783,,0.217,0
지드래곤 (G-Dragon),loyalty,7,v.daum.net,ko,override,ko,ko,0.878,,0.122,1
지드래곤 (G-Dragon),loyalty,8,www.maxmovie.com,en,default,ko,ko,1.0,,0.0,0
지드래곤 (G-Dragon),loyalty,9,www.vietnam.vn,vi,override,ko,ko,1.0,,0.0,0
지드래곤 (G-Dragon),loyalty,10,www.newsis.com,ko,override,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),loyalty,11,www.newsis.com,ko,override,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),loyalty,12,www.newsis.com,ko,override,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),loyalty,13,sports.khan.co.kr,ko,override,ko,ko,0.88,,0.12,1
지드래곤 (G-Dragon),loyalty,14,sports.khan.co.kr,ko,override,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),loyalty,15,purme.org,en,default,ko,ko,0.916,,0.084,0
지드래곤 (G-Dragon),loyalty,16,www.kukinews.com,en,default,ko,ko,1.0,,0.0,0
지드래곤 (G-Dragon),loyalty,17,www.marieclairekorea.com,en,default,ko,ko,0.73,,0.27,0
지드래곤 (G-Dragon),loyalty,18,www.luck-d.com,ko,override,ko,ko,0.943,,0.057,1
지드래곤 (G-Dragon),loyalty,19,www.oricon.co.jp,ja,tld,ko,ko,1.0,,0.0,0
지드래곤 (G-Dragon),loyalty,20,www.stnsports.co.kr,ko,tld,ko,ko,0.9,,0.1,1
지드래곤 (G-Dragon),loyalty,21,www.newsbuzz.co.kr,ko,tld,ko,ko,0.594,,0.406,1
지드래곤 (G-Dragon),loyalty,22,www.newsbuzz.co.kr,ko,tld,ko,ko,0.77,,0.23,1
지드래곤 (G-Dragon),loyalty,23,vnexpress.net,vi,override,ko,ko,0.887,,0.113,0
지드래곤 (G-Dragon),loyalty,24,kenh14.vn,vi,override,ko,ko,0.881,,0.119,0
지드래곤 (G-Dragon),loyalty,25,www.163.com,zh,override,ko,ko,0.5,,0.0,0
지드래곤 (G-Dragon),loyalty,26,www.billboard-japan.com,ja,override,ja,ja,0.5,,0.09,1
지드래곤 (G-Dragon),loyalty,27,www.hankyung.com,ko,override,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),loyalty,28,biz.heraldcorp.com,ko,override,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),loyalty,29,mgronline.com,th,override,th,th,0.698,,0.302,1
지드래곤 (G-Dragon),loyalty,30,vnexpress.net,vi,override,latin,vi,1.0,,1.0,1
지드래곤 (G-Dragon),loyalty,31,vnexpress.net,vi,override,latin,vi,1.0,,1.0,1
지드래곤 (G-Dragon),loyalty,32,www.rappler.com,tl,override,ko,ko,0.667,,0.333,0
지드래곤 (G-Dragon),loyalty,33,www.gmanetwork.com,tl,override,ko,ko,1.0,,0.0,0
지드래곤 (G-Dragon),loyalty,34,www.rappler.com,tl,override,ko,ko,0.694,,0.306,0
지드래곤 (G-Dragon),loyalty,35,www.kmib.co.kr,ko,override,ko,ko,0.852,,0.148,1
지드래곤 (G-Dragon),loyalty,36,purme.org,en,default,ko,ko,1.0,,0.0,0
지드래곤 (G-Dragon),loyalty,37,www.welfarenews.net,en,default,ko,ko,0.778,,0.222,0
지드래곤 (G-Dragon),loyalty,38,v.daum.net,ko,override,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),loyalty,39,www.detik.com,id,override,ko,ko,0.93,,0.07,0
지드래곤 (G-Dragon),loyalty,40,www.douban.com,zh,override,ko,ko,0.899,,0.013,0
지드래곤 (G-Dragon),loyalty,41,www.sina.cn,zh,tld,ko,ko,0.528,,0.438,0
지드래곤 (G-Dragon),loyalty,42,www.wwdjapan.com,en,default,ko,ko,0.924,,0.076,0
지드래곤 (G-Dragon),loyalty,43,www.wwdjapan.com,en,default,ko,ko,0.947,,0.053,0
지드래곤 (G-Dragon),loyalty,44,fashionpost.jp,ja,tld,ko,ko,0.736,,0.165,0
지드래곤 (G-Dragon),loyalty,45,www.nzherald.co.nz,en,default,ko,ko,0.929,,0.071,0
지드래곤 (G-Dragon),loyalty,46,bangviparabs.wordpress.com,en,default,ko,ko,0.817,,0.183,0
지드래곤 (G-Dragon),spillover,0,www.newsis.com,ko,override,ko,ko,0.907,,0.093,1
지드래곤 (G-Dragon),spillover,1,sports.khan.co.kr,ko,override,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),spillover,2,www.threads.com,en,override,ko,ko,1.0,,0.0,0
지드래곤 (G-Dragon),spillover,3,www.thefashionlaw.com,en,default,ko,ko,0.975,,0.025,0
지드래곤 (G-Dragon),spillover,4,www.thefashionlaw.com,en,default,ko,ko,1.0,,0.0,0
지드래곤 (G-Dragon),spillover,5,www.billboard.com,en,override,ko,ko,0.775,,0.225,0
지드래곤 (G-Dragon),spillover,6,www.starnewskorea.com,en,override,ko,ko,0.929,,0.071,0
지드래곤 (G-Dragon),spillover,7,www.starnewskorea.com,en,override,ko,ko,0.867,,0.133,0
지드래곤 (G-Dragon),spillover,8,www.vietnam.vn,vi,override,ko,ko,0.962,,0.038,0
지드래곤 (G-Dragon),spillover,9,www.vietnam.vn,vi,override,ko,ko,0.933,,0.067,0
지드래곤 (G-Dragon),spillover,10,www.koreaherald.com,en,override,ko,ko,1.0,,0.0,0
지드래곤 (G-Dragon),spillover,11,www.newsis.com,ko,override,ko,ko,0.936,,0.064,1
지드래곤 (G-Dragon),spillover,12,www.iworldtoday.com,en,default,ko,ko,1.0,,0.0,0
지드래곤 (G-Dragon),spillover,13,www.soompi.com,en,override,ko,ko,0.846,,0.154,0
지드래곤 (G-Dragon),spillover,14,www.soompi.com,en,override,ko,ko,1.0,,0.0,0
지드래곤 (G-Dragon),spillover,15,www.etoday.co.kr,ko,tld,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),spillover,16,www.allkpop.com,en,override,ko,ko,1.0,,0.0,0
지드래곤 (G-Dragon),spillover,17,www.thirdanglenews.com,en,default,ko,ko,0.935,,0.065,0
지드래곤 (G-Dragon),spillover,18,www.autotribune.co.kr,ko,tld,ko,ko,0.955,,0.045,1
지드래곤 (G-Dragon),spillover,19,www.forbes.com,en,override,ko,ko,1.0,,0.0,0
지드래곤 (G-Dragon),spillover,20,www.mt.co.kr,ko,override,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),spillover,21,v.daum.net,ko,override,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),spillover,22,sports.khan.co.kr,ko,override,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),spillover,23,v.daum.net,ko,override,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),spillover,24,yg-life.com,ko,override,ko,ko,0.957,,0.0,1
지드래곤 (G-Dragon),spillover,25,www.topstarnews.net,ko,override,ko,ko,0.667,,0.333,1
지드래곤 (G-Dragon),spillover,26,www.starnewskorea.com,en,override,ko,ko,1.0,,0.0,0
지드래곤 (G-Dragon),spillover,27,www.vogue.co.kr,ko,tld,ko,ko,0.893,,0.107,1
지드래곤 (G-Dragon),spillover,28,www.harpersbazaar.co.kr,ko,tld,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),spillover,29,news.sina.com.cn,zh,override,ko,ko,0.607,,0.393,0
지드래곤 (G-Dragon),spillover,30,www.163.com,zh,override,ko,ko,0.897,,0.103,0
지드래곤 (G-Dragon),spillover,31,www.oricon.co.jp,ja,tld,ko,ko,0.974,,0.0,0
지드래곤 (G-Dragon),spillover,32,www.infobae.com,es,override,ko,ko,0.712,,0.288,0
지드래곤 (G-Dragon),spillover,33,www.infobae.com,es,override,ko,ko,1.0,,0.0,0
지드래곤 (G-Dragon),spillover,34,www.infobae.com,es,override,ko,ko,1.0,,0.0,0
지드래곤 (G-Dragon),spillover,35,v.daum.net,ko,override,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),spillover,36,m.ddaily.co.kr,ko,tld,ko,ko,0.748,,0.252,1
지드래곤 (G-Dragon),spillover,37,www.thestar.com.my,en,override,ko,ko,0.757,,0.243,0
지드래곤 (G-Dragon),spillover,38,www.malaymail.com,en,override,ko,ko,0.626,,0.374,0
지드래곤 (G-Dragon),spillover,39,en.wikipedia.org,en,wiki,ko,ko,1.0,,0.0,0
지드래곤 (G-Dragon),spillover,40,en.wikipedia.org,en,wiki,ko,ko,0.8,,0.2,0
지드래곤 (G-Dragon),spillover,41,en.wikipedia.org,en,wiki,ko,ko,0.835,,0.165,0
지드래곤 (G-Dragon),spillover,42,www.163.com,zh,override,zh,zh,0.443,,0.152,1
지드래곤 (G-Dragon),spillover,43,www.infobae.com,es,override,latin,es,1.058,,0.787,1
지드래곤 (G-Dragon),spillover,44,www.yesasia.ru,ru,override,latin,en,0.459,,0.437,0
지드래곤 (G-Dragon),spillover,45,digitalchosun.dizzo.com,ko,override,ko,ko,0.987,,0.013,1
지드래곤 (G-Dragon),spillover,46,www.lofficiel.com,en,default,latin,fr,1.986,,1.0,0
지드래곤 (G-Dragon),spillover,47,www.munhwa.com,ko,override,ko,ko,0.723,,0.277,1
지드래곤 (G-Dragon),spillover,48,www.munhwa.com,ko,override,ko,ko,0.928,,0.072,1
지드래곤 (G-Dragon),spillover,49,cine21.com,ko,override,ko,ko,0.741,,0.259,1
지드래곤 (G-Dragon),spillover,50,www.khan.co.kr,ko,tld,ko,ko,0.929,,0.071,1
지드래곤 (G-Dragon),spillover,51,v.daum.net,ko,override,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),spillover,52,www.mhnse.com,en,default,ko,ko,0.912,,0.088,0
지드래곤 (G-Dragon),spillover,53,m.newsen.com,ko,override,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),spillover,54,www.starnewskorea.com,en,override,ko,ko,1.0,,0.0,0
지드래곤 (G-Dragon),spillover,55,sports.khan.co.kr,ko,override,ko,ko,0.883,,0.117,1
지드래곤 (G-Dragon),spillover,56,www.omelete.com.br,pt,tld,latin,en,0.45,,0.625,0
지드래곤 (G-Dragon),spillover,57,recreio.com.br,pt,tld,ko,ko,0.795,,0.205,0
지드래곤 (G-Dragon),spillover,58,prtimes.jp,ja,tld,ko,ko,0.689,,0.311,0
지드래곤 (G-Dragon),spillover,59,kstyle.com,en,default,ko,ko,0.691,,0.309,0
지드래곤 (G-Dragon),spillover,60,www.dianyingjie.com.cn,zh,tld,ko,ko,0.571,,0.393,0
지드래곤 (G-Dragon),spillover,61,www.juksy.com,en,default,ko,ko,0.575,,0.425,0
지드래곤 (G-Dragon),spillover,62,news.knn.co.kr,ko,tld,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),spillover,63,magazine.hankyung.com,ko,override,ko,ko,0.945,,0.055,1
지드래곤 (G-Dragon),spillover,64,www.mt.co.kr,ko,override,ko,ko,0.973,,0.027,1
지드래곤 (G-Dragon),spillover,65,www.hankyung.com,ko,override,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),spillover,66,www.korezin.com,en,default,ko,ko,0.922,,0.078,0
지드래곤 (G-Dragon),spillover,67,www.koreaherald.com,en,override,ko,ko,0.984,,0.016,0
지드래곤 (G-Dragon),spillover,68,www.topstarnews.net,ko,override,ko,ko,0.802,,0.198,1
지드래곤 (G-Dragon),spillover,69,sports.khan.co.kr,ko,override,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),spillover,70,v.daum.net,ko,override,ko,ko,0.955,,0.045,1
지드래곤 (G-Dragon),spillover,71,www.etnews.com,en,default,ko,ko,1.0,,0.0,0
지드래곤 (G-Dragon),spillover,72,www.asiae.co.kr,ko,tld,ko,ko,0.941,,0.059,1
지드래곤 (G-Dragon),spillover,73,www.vogue.co.kr,ko,tld,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),spillover,74,hypebeast.kr,en,override,ko,ko,1.0,,0.0,0
지드래곤 (G-Dragon),spillover,75,www.newsis.com,ko,override,ko,ko,0.846,,0.154,1
지드래곤 (G-Dragon),spillover,76,www.freestyle666.com,en,default,ko,ko,0.832,,0.168,0
지드래곤 (G-Dragon),spillover,77,nowre.com,en,default,ko,ko,0.869,,0.131,0
지드래곤 (G-Dragon),spillover,78,tw.news.yahoo.com,en,default,ko,ko,0.638,,0.362,0
지드래곤 (G-Dragon),spillover,79,www.hk01.com,zh,override,ko,ko,0.641,,0.141,0
지드래곤 (G-Dragon),spillover,80,www.jiemian.com,en,default,ko,ko,0.758,,0.063,0
지드래곤 (G-Dragon),spillover,81,www.dazeddigital.com,en,default,ko,ko,0.885,,0.115,0
지드래곤 (G-Dragon),spillover,82,www.pinkvilla.com,en,default,ko,ko,0.875,,0.125,0
지드래곤 (G-Dragon),spillover,83,www.nzherald.co.nz,en,default,ko,ko,0.783,,0.217,0
지드래곤 (G-Dragon),spillover,84,www.mt.co.kr,ko,override,ko,ko,1.0,,0.0,1
지드래곤 (G-Dragon),spillover,85,www.purepeople.com,en,default,ko,ko,1.0,,0.0,0
지코,loyalty,0,namu.wiki,ko,override,ko,ko,0.829,,0.171,1
지코,loyalty,1,namu.wiki,ko,override,ko,ko,0.862,,0.138,1
지코,loyalty,2,www.munhwa.com,ko,override,ko,ko,1.0,,0.0,1
지코,loyalty,3,www.koreadaily.com,ko,override,ko,ko,0.75,,0.25,1
지코,loyalty,4,x.com,en,override,ko,ko,0.551,,0.449,0
지코,loyalty,5,en.wikipedia.org,en,wiki,ko,ko,1.0,,0.0,0
지코,loyalty,6,www.sportskeeda.com,en,override,ko,ko,1.0,,0.0,0
지코,loyalty,7,namu.wiki,ko,override,ko,ko,0.833,,0.167,1
지코,loyalty,8,www.hankyung.com,ko,override,ko,ko,1.0,,0.0,1
지코,loyalty,9,natalie.mu,ja,override,ko,ko,0.826,,0.087,0
지코,loyalty,10,www.fnnews.com,ko,override,ko,ko,0.952,,0.048,1
지코,loyalty,11,sports.khan.co.kr,ko,override,ko,ko,0.943,,0.057,1
지코,loyalty,12,www.etoday.co.kr,ko,tld,ko,ko,0.625,,0.375,1
지코,loyalty,13,star.ytn.co.kr,ko,override,ko,ko,0.954,,0.046,1
지코,loyalty,14,news.nate.com,ko,override,ko,ko,1.0,,0.0,1
지코,loyalty,15,www.billboard-japan.com,ja,override,ko,ko,0.714,,0.286,0
지코,loyalty,16,www.oricon.co.jp,ja,tld,ko,ko,0.852,,0.148,0
지코,loyalty,17,star.ettoday.net,zh,override,ko,ko,0.794,,0.206,0
지코,loyalty,18,www.sanook.com,th,override,latin,en,0.703,,0.627,0
지코,loyalty,19,www.sanook.com,th,override,ko,ko,0.84,,0.16,0
지코,loyalty,20,www.thairath.co.th,th,override,ko,ko,0.531,,0.469,0
지코,loyalty,21,kudago.com,en,default,ko,ko,0.756,,0.244,0
지코,loyalty,22,namu.wiki,ko,override,ko,ko,1.0,,0.0,1
지코,loyalty,23,namu.wiki,ko,override,ko,ko,0.829,,0.171,1
지코,loyalty,24,www.soompi.com,en,override,ko,ko,0.879,,0.121,0
지코,loyalty,25,www.munhwa.com,ko,override,ko,ko,1.0,,0.0,1
지코,loyalty,26,weibo.com,zh,override,ko,ko,0.677,,0.246,0
지코,loyalty,27,www.mkpop.fr,fr,tld,ko,ko,0.849,,0.151,0
지코,spillover,0,www.news1.kr,ko,override,ko,ko,1.0,,0.0,1
지코,spillover,1,namu.wiki,ko,override,ko,ko,1.0,,0.0,1
지코,spillover,2,namu.wiki,ko,override,ko,ko,0.943,,0.057,1
지코,spillover,3,en.wikipedia.org,en,wiki,ko,ko,0.652,,0.348,0
지코,spillover,4,www.soompi.com,en,override,ko,ko,0.811,,0.189,0
지코,spillover,5,en.wikipedia.org,en,wiki,ko,ko,0.768,,0.232,0
지코,spillover,6,en.wikipedia.org,en,wiki,ko,ko,1.0,,0.0,0
지코,spillover,7,en.wikipedia.org,en,wiki,ko,ko,0.883,,0.117,0
지코,spillover,8,en.wikipedia.org,en,wiki,ko,ko,1.0,,0.0,0
지코,spillover,9,en.wikipedia.org,en,wiki,ko,ko,0.915,,0.085,0
지코,spillover,10,en.wikipedia.org,en,wiki,ko,ko,1.0,,0.0,0
지코,spillover,11,en.wikipedia.org,en,wiki,ko,ko,1.0,,0.0,0
지코,spillover,12,en.wikipedia.org,en,wiki,ko,ko,1.0,,0.0,0
지코,spillover,13,en.wikipedia.org,en,wiki,ko,ko,0.955,,0.045,0
지코,spillover,14,en.wikipedia.org,en,wiki,ko,ko,0.8,,0.2,0
지코,spillover,15,en.wikipedia.org,en,wiki,ko,ko,0.875,,0.125,0
지코,spillover,16,en.wikipedia.org,en,wiki,ko,ko,1.0,,0.0,0
지코,spillover,17,en.wikipedia.org,en,wiki,ko,ko,0.788,,0.212,0
지코,spillover,18,en.wikipedia.org,en,wiki,ko,ko,0.911,,0.089,0
지코,spillover,19,www.news1.kr,ko,override,ko,ko,1.0,,0.0,1
지코,spillover,20,v.daum.net,ko,override,ko,ko,0.75,,0.25,1
지코,spillover,21,m.news1.kr,ko,override,ko,ko,0.9,,0.1,1
지코,spillover,22,www.appjournal.kr,ko,tld,ko,ko,1.0,,0.0,1
지코,spillover,23,www.koreadaily.com,ko,override,ko,ko,0.742,,0.258,1
지코,spillover,24,news.nate.com,ko,override,ko,ko,1.0,,0.0,1
지코,spillover,25,natalie.mu,ja,override,ko,ko,0.717,,0.283,0
지코,spillover,26,y.qq.com,zh,override,ko,ko,0.663,,0.337,0
지코,spillover,27,www.fnnews.com,ko,override,ko,ko,0.954,,0.046,1
지코,spillover,28,www.thefirstmedia.net,en,default,ko,ko,1.0,,0.0,0
지코,spillover,29,cosmorning.com,en,default,ko,ko,1.0,,0.0,0
지코,spillover,30,www.sedaily.com,ko,override,ko,ko,0.911,,0.089,1
지코,spillover,31,www.sedaily.com,ko,override,ko,ko,0.968,,0.032,1
지코,spillover,32,plus.hankyung.com,ko,override,ko,ko,0.935,,0.065,1
