topic,rank,word,phi,raw_weight
T1,13,pop,0.00821863,125.5977
T1,14,copies,0.00799138,122.1250
T1,15,korean,0.00745374,113.9087
T1,16,oricon,0.00740242,113.1244
T1,17,club,0.00727157,111.1246
T1,18,japanese,0.00687896,105.1248
T1,19,awards,0.00687895,105.1247
T1,20,billboard,0.00609372,93.1247
T1,21,tws,0.00589742,90.1248
T1,22,won,0.00543937,83.1248
T1,23,best,0.00506988,77.4783
T1,24,artist,0.00504675,77.1249
T1,25,드라마,0.00464515,70.9876
T1,26,single,0.0045887,70.1248
T1,27,top,0.00452324,69.1245
T1,28,global,0.00447398,68.3717
T1,29,year,0.00445782,68.1248
T1,30,seoul,0.00442759,67.6628
T1,31,solo,0.00405649,61.9916
T1,32,release,0.00393434,60.1249
T1,33,show,0.0038456,58.7688
T1,34,sales,0.00373803,57.1249
T1,35,day,0.00373378,57.0600
T1,36,years,0.00359155,54.8864
T1,37,albums,0.00354172,54.1249
T1,38,song,0.00349579,53.4229
T1,39,april,0.00347628,53.1248
T1,40,donated,0.00341085,52.1249
T1,41,became,0.0031491,48.1249
T1,42,ever,0.0031491,48.1248
T1,43,name,0.00306267,46.8039
T1,44,fandom,0.00302102,46.1675
T1,45,record,0.00301824,46.1249
T1,46,drew,0.00300639,45.9439
T1,47,girl,0.00300241,45.8830
T1,48,feb,0.00295279,45.1248
T1,49,week,0.00295278,45.1247
T1,50,named,0.0029462,45.0240
T2,1,일본,0.0113462,202.8832
T2,2,보도,0.00965736,172.6840
T2,3,데뷔,0.00853723,152.6550
T2,4,최초,0.00831307,148.6468
T2,5,한국,0.00694935,124.2619
T2,6,영화,0.00644725,115.2839
T2,7,아랍어,0.00632651,113.1248
T2,8,함께,0.00624853,111.7305
T2,9,콘서트,0.00620699,110.9878
T2,10,확인,0.00540408,96.6308
T2,11,k팝,0.00524071,93.7096
T2,12,소개,0.0049928,89.2767
T2,13,2월,0.00490713,87.7449
T2,14,2026년,0.00489389,87.5081
T2,15,아티스트,0.00484642,86.6593
T2,16,가수,0.00447994,80.1062
T2,17,멤버,0.00447349,79.9909
T2,18,신곡,0.00446274,79.7986
T2,19,발매,0.00412553,73.7689
T2,20,솔로,0.00403983,72.2365
T2,21,webfetch,0.00403358,72.1249
T2,22,활동,0.00402105,71.9007
T2,23,음악,0.0039363,70.3854
T2,24,매체,0.00385512,68.9337
T2,25,그룹,0.00377834,67.5607
T2,26,싱글,0.00359446,64.2729
T2,27,2025년,0.00343343,61.3935
T2,28,5월,0.00337096,60.2764
T2,29,2021년,0.00336711,60.2075
T2,30,직접,0.0033005,59.0166
T2,31,11월,0.00314496,56.2352
T2,32,빈지노,0.00313982,56.1434
T2,33,공개,0.00312699,55.9140
T2,34,자신,0.0030066,53.7612
T2,35,미국,0.00299795,53.6065
T2,36,2024년,0.00295977,52.9239
T2,37,na,0.00291508,52.1247
T2,38,출연,0.0028729,51.3705
T2,39,배우,0.00280001,50.0673
T2,40,페스티벌,0.00272699,48.7616
T2,41,으로,0.00265061,47.3958
T2,42,1월,0.00259353,46.3752
T2,43,소속,0.00258974,46.3073
T2,44,4월,0.00256673,45.8959
T2,45,뮤직,0.00256333,45.8351
T2,46,kids,0.00248064,44.3566
T2,47,단독,0.00247142,44.1917
T2,48,이라,0.00239543,42.8328
T2,49,에서,0.00239379,42.8036
T2,50,stray,0.00236125,42.2216
T3,1,보도,0.0337955,923.6190
T3,2,매체,0.0225878,617.3159
T3,3,공연,0.0220075,601.4572
T3,4,일본,0.0175916,480.7714
T3,5,콘서트,0.0142338,389.0037
T3,6,팬들,0.0134579,367.7986
T3,7,기사,0.0118396,323.5709
T3,8,태국,0.0102498,280.1245
T3,9,소식,0.0101035,276.1245
T3,10,대만,0.00951804,260.1246
T3,11,투어,0.00768457,210.0164
T3,12,현지,0.0073958,202.1244
T3,13,인도네시아,0.00698718,190.9571
T3,14,단독,0.00695612,190.1081
T3,15,라는,0.00612454,167.3813
T3,16,홍콩,0.00604197,165.1247
T3,17,제목,0.00567606,155.1246
T3,18,월드투어,0.00560741,153.2484
T3,19,전했,0.0055492,151.6575
T3,20,소개,0.00520079,142.1356
T3,21,com,0.00517718,141.4903
T3,22,2025년,0.00507821,138.7856
T3,23,브라질,0.00499467,136.5026
T3,24,중국,0.00498804,136.3212
T3,25,멤버,0.00496421,135.6701
T3,26,티켓,0.00495773,135.4930
T3,27,필리핀,0.00494425,135.1246
T3,28,자카르타,0.00454177,124.1249
T3,29,데뷔,0.00439513,120.1173
T3,30,베트남,0.00421245,115.1245
T3,31,개최,0.00419895,114.7557
T3,32,도쿄,0.00377336,103.1246
T3,33,관객,0.00366636,100.2003
T3,34,팬덤,0.00365771,99.9640
T3,35,bts,0.00352968,96.4647
T3,36,pop,0.00339994,92.9190
T3,37,그룹,0.00339361,92.7460
T3,38,2026년,0.00330677,90.3729
T3,39,팬미팅,0.0032058,87.6132
T3,40,인터뷰,0.00312333,85.3595
T3,41,방콕,0.00307815,84.1246
T3,42,마닐라,0.00298194,81.4953
T3,43,게재,0.00296951,81.1555
T3,44,해외,0.00282711,77.2640
T3,45,페이지,0.00266042,72.7084
T3,46,k팝,0.00265996,72.6958
T3,47,타이베,0.00263907,72.1248
T3,48,무대,0.00259754,70.9897
T3,49,만의,0.00242276,66.2131
T3,50,한국,0.00241037,65.8745
T4,1,콘서트,0.0212064,564.0121
T4,2,2025년,0.0162506,432.2071
T4,3,공식,0.0161437,429.3626
T4,4,팬클럽,0.0157212,418.1246
T4,5,2026년,0.0151051,401.7386
T4,6,데뷔,0.0146868,390.6141
T4,7,서울,0.0128239,341.0690
T4,8,공연,0.0125059,332.6103
T4,9,8월,0.00962115,255.8870
T4,10,9월,0.00917846,244.1131
T4,11,기부,0.00884051,235.1248
T4,12,단독,0.00733489,195.0809
T4,13,2024년,0.00731704,194.6062
T4,14,팬덤,0.00582933,155.0387
T4,15,활동,0.00574764,152.8659
T4,16,투어,0.00561436,149.3212
T4,17,5월,0.00554309,147.4256
T4,18,진행,0.00544684,144.8657
T4,19,12월,0.00531231,141.2877
T4,20,개최,0.00516967,137.4940
T4,21,매진,0.00515751,137.1708
T4,22,맞아,0.00513748,136.6380
T4,23,2023년,0.00495175,131.6982
T4,24,1월,0.00489671,130.2343
T4,25,기념,0.00447529,119.0260
T4,26,전석,0.00442084,117.5780
T4,27,팬들,0.00429465,114.2219
T4,28,월드투어,0.00422827,112.4563
T4,29,부산,0.00421396,112.0757
T4,30,11월,0.0041432,110.1937
T4,31,도시,0.00413016,109.8470
T4,32,10주년,0.00400728,106.5787
T4,33,3월,0.00393604,104.6841
T4,34,10월,0.00384362,102.2260
T4,35,열린,0.00376086,100.0251
T4,36,2월,0.00367522,97.7472
T4,37,7월,0.00363083,96.5666
T4,38,지역,0.00362173,96.3247
T4,39,지원,0.00350142,93.1248
T4,40,6월,0.00332926,88.5459
T4,41,완전체,0.00328313,87.3190
T4,42,전국투어,0.00327582,87.1248
T4,43,시작,0.00314015,83.5165
T4,44,대구,0.00308783,82.1248
T4,45,원을,0.00308228,81.9773
T4,46,팬미팅,0.00306158,81.4266
T4,47,기념해,0.00301263,80.1247
T4,48,만에,0.00298107,79.2854
T4,49,보도,0.00296769,78.9296
T4,50,4월,0.00284428,75.6474
T5,1,출연,0.0201272,449.0335
T5,2,예능,0.0147973,330.1247
T5,3,무대,0.0142686,318.3292
T5,4,에서,0.0118563,264.5116
T5,5,드라마,0.0113296,252.7605
T5,6,2026년,0.0100737,224.7421
T5,7,함께,0.00944364,210.6851
T5,8,출연해,0.00811317,181.0028
T5,9,mbc,0.00763886,170.4211
T5,10,sbs,0.00694734,154.9934
T5,11,활동,0.00686009,153.0468
T5,12,방송,0.00649264,144.8491
T5,13,프로그램,0.00570045,127.1755
T5,14,8월,0.00554146,123.6285
T5,15,kbs,0.00531983,118.6841
T5,16,축제,0.00524993,117.1246
T5,17,따르면,0.00517414,115.4336
T5,18,다수,0.00502031,112.0017
T5,19,멤버,0.00454465,101.3899
T5,20,화제,0.00453745,101.2293
T5,21,가수,0.00432804,96.5576
T5,22,참여,0.00399729,89.1785
T5,23,2025년,0.00383741,85.6115
T5,24,mc,0.00366997,81.8762
T5,25,kbs2,0.00363629,81.1247
T5,26,tvn,0.00356785,79.5977
T5,27,jtbc,0.003544,79.0657
T5,28,트로트,0.00338459,75.5092
T5,29,나무위키,0.00327284,73.0163
T5,30,보도,0.00318074,70.9614
T5,31,음악,0.00312575,69.7347
T5,32,유튜브,0.0030755,68.6135
T5,33,5월,0.00303526,67.7158
T5,34,영화,0.00300164,66.9658
T5,35,9월,0.00300063,66.9433
T5,36,공개,0.00294522,65.7072
T5,37,문서,0.00283185,63.1777
T5,38,주연,0.00275059,61.3649
T5,39,게스트,0.00270647,60.3807
T5,40,mnet,0.00267823,59.7507
T5,41,대학축제,0.00265018,59.1248
T5,42,7월,0.00261054,58.2405
T5,43,맡았,0.00260568,58.1321
T5,44,반응,0.00255802,57.0687
T5,45,ng,0.00251571,56.1249
T5,46,10월,0.00249018,55.5553
T5,47,리얼리티,0.00247088,55.1246
T5,48,송가인,0.00243392,54.3000
T5,49,우리,0.00240336,53.6182
T5,50,콘텐츠,0.00238554,53.2207
T6,1,1위,0.0249786,534.4538
T6,2,기록,0.0218999,468.5794
T6,3,앨범,0.0148661,318.0821
T6,4,차트,0.0144942,310.1247
T6,5,발매,0.013019,278.5602
T6,6,tour,0.012942,276.9130
T6,7,concert,0.0104116,222.7700
T6,8,빌보드,0.00958464,205.0771
T6,9,판매량,0.00865213,185.1247
T6,10,데뷔,0.00808031,172.8899
T6,11,k팝,0.00685201,146.6085
T6,12,world,0.00663943,142.0600
T6,13,최초,0.00656211,140.4058
T6,14,올랐,0.00630639,134.9343
T6,15,음반,0.00621826,133.0487
T6,16,누적,0.00601312,128.6594
T6,17,그룹,0.00566151,121.1362
T6,18,멜론,0.00528708,113.1247
T6,19,스트리밍,0.00525072,112.3467
T6,20,싱글,0.0051959,111.1736
T6,21,초동,0.00514688,110.1249
T6,22,판매,0.00512518,109.6605
T6,23,최고,0.00505484,108.1556
T6,24,이상,0.00475784,101.8008
T6,25,세웠,0.00444135,95.0291
T6,26,기준,0.0044374,94.9446
T6,27,fans,0.00435233,93.1243
T6,28,연속,0.00426094,91.1690
T6,29,역대,0.00422683,90.4390
T6,30,만에,0.00416294,89.0721
T6,31,타이틀곡,0.00413061,88.3804
T6,32,anniversary,0.00407191,87.1243
T6,33,ep,0.00402544,86.1300
T6,34,걸그룹,0.0039592,84.7128
T6,35,아티스트,0.00393079,84.1049
T6,36,진입,0.00388498,83.1248
T6,37,돌파,0.00387948,83.0069
T6,38,장을,0.00379151,81.1247
T6,39,2위,0.00354762,75.9065
T6,40,news,0.00354102,75.7651
T6,41,차지,0.0031806,68.0535
T6,42,미니앨범,0.00311428,66.6346
T6,43,순위,0.00309044,66.1244
T6,44,최다,0.00307381,65.7686
T6,45,오리콘,0.0030603,65.4794
T6,46,정규,0.00304408,65.1325
T6,47,한국,0.00298043,63.7705
T6,48,미니,0.00289267,61.8927
T6,49,love,0.00275101,58.8617
T6,50,shows,0.00266982,57.1246
T7,1,브랜드,0.028136,662.1248
T7,2,광고,0.0245666,578.1248
T7,3,모델,0.0203597,479.1248
T7,4,앰버서더,0.0130933,308.1249
T7,5,발탁,0.0121585,286.1249
T7,6,캠페인,0.0108619,255.6139
T7,7,글로벌,0.0102596,241.4396
T7,8,활동,0.0101062,237.8300
T7,9,2026년,0.00818818,192.6924
T7,10,홍보대사,0.00807907,190.1246
T7,11,유튜브,0.00795431,187.1888
T7,12,공식,0.00769648,181.1211
T7,13,2024년,0.0075239,177.0600
T7,14,2025년,0.00719051,169.2143
T7,15,출연,0.00645777,151.9707
T7,16,공개,0.00572311,134.6819
T7,17,위촉,0.00552946,130.1248
T7,18,채널,0.00529442,124.5935
T7,19,보도,0.005245,123.4307
T7,20,2023년,0.00522047,122.8533
T7,21,콘텐츠,0.00463116,108.9852
T7,22,영상,0.0045466,106.9951
T7,23,멤버,0.00430349,101.2739
T7,24,8월,0.00427802,100.6747
T7,25,게임,0.004146,97.5679
T7,26,홍보,0.00405047,95.3197
T7,27,2022년,0.0039325,92.5434
T7,28,4월,0.00366274,86.1952
T7,29,계약,0.00351178,82.6428
T7,30,협업,0.00338851,79.7419
T7,31,구독자,0.0033363,78.5132
T7,32,2021년,0.00330383,77.7490
T7,33,2020년,0.00322365,75.8621
T7,34,가수,0.0031116,73.2253
T7,35,7월,0.00309626,72.8644
T7,36,명을,0.0030002,70.6036
T7,37,발탁해,0.00297986,70.1249
T7,38,진행,0.00297315,69.9671
T7,39,사례,0.00296892,69.8676
T7,40,화보,0.00296677,69.8170
T7,41,조회수,0.00291301,68.5519
T7,42,밝혔,0.0029096,68.4717
T7,43,광고모델,0.00289486,68.1248
T7,44,9월,0.00276352,65.0340
T7,45,3월,0.0026685,62.7978
T7,46,팬덤,0.00262843,61.8548
T7,47,개인,0.0025805,60.7269
T7,48,이효리,0.00254816,59.9658
T7,49,신규,0.00251119,59.0959
T7,50,패션,0.00246993,58.1247
