fandom,category,status,entered_round,replaces,removed_round,replaced_by,in_frozen_v7_40,in_live_10020,bullets_at_entry,loyalty_at_entry,spillover_at_entry,bullets_live,note
윤하,솔로,live,initial(v4∼v5),,,,Y,Y,,,,83,
이문세,발라드,live,initial(v4∼v5),,,,Y,Y,,,,70,
이승철,발라드,live,initial(v4∼v5),,,,Y,Y,,,,78,
이영지,힙합,live,initial(v4∼v5),,,,Y,Y,,,,107,
이찬원,트로트,live,initial(v4∼v5),,,,Y,Y,,,,106,
이효리,솔로,live,initial(v4∼v5),,,,Y,Y,,,,120,
임영웅,트로트,live,initial(v4∼v5),,,,Y,Y,,,,131,
잔나비,록,live,initial(v4∼v5),,,,Y,Y,,,,69,
장윤정,트로트,live,initial(v4∼v5),,,,Y,Y,,,,92,
잭스키스,원로그룹,live,initial(v4∼v5),,,,Y,Y,,,,85,
정동원,트로트,live,initial(v4∼v5),,,,Y,Y,,,,107,
조용필,발라드,live,initial(v4∼v5),,,,Y,Y,,,,81,
지드래곤 (G-Dragon),힙합,live,initial(v4∼v5),,,,Y,Y,,,,133,
지코,힙합,live,initial(v4∼v5),,,,Y,Y,,,,101,
청하,솔로,live,initial(v4∼v5),,,,Y,Y,,,,79,
최예나,솔로,live,initial(v4∼v5),,,,Y,Y,,,,96,
츄,솔로,live,initial(v4∼v5),,,,Y,Y,,,,93,
카더가든,솔로,live,initial(v4∼v5),,,,Y,Y,,,,74,
케이윌,발라드,live,initial(v4∼v5),,,,Y,Y,,,,71,
프로미스나인,K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,89,
GOT7,K-pop 보이그룹,live,r29,사이먼도미닉,,,Y,Y,76,29,47,107,동결 이전 교체로 들어옴 — 동결·라이브 모두 포함
김재중,솔로,live,r34,창모,,,Y,Y,23,12,11,77,동결 이전 교체로 들어옴 — 동결·라이브 모두 포함
박서진,트로트,live,r34,헤이즈,,,Y,Y,41,17,24,99,동결 이전 교체로 들어옴 — 동결·라이브 모두 포함
빈지노,힙합,live,r58,BE'O,,,N,Y,43,20,23,79,동결 이후 교체로 들어옴 — 동결 순위표·페르소나에는 없음
몬스타엑스,K-pop 보이그룹,live,r62,한로로,,,N,Y,90,40,50,96,동결 이후 교체로 들어옴 — 동결 순위표·페르소나에는 없음
투어스(TWS),K-pop 보이그룹,live,r63,pH-1,,,N,Y,86,31,55,90,동결 이후 교체로 들어옴 — 동결 순위표·페르소나에는 없음
BE'O,힙합,removed,initial(v4∼v5),,r58,빈지노,Y,N,,,,,"r58에서 제거, 불릿 76건 삭제 — 동결 스냅샷에는 포함(r22 백업에 문장 일부 보존)"
pH-1,힙합,removed,initial(v4∼v5),,r63,투어스(TWS),Y,N,,,,,"r63에서 제거, 불릿 73건 삭제 — 동결 스냅샷에는 포함(r22 백업에 문장 일부 보존)"
사이먼도미닉,힙합,removed,initial(v4∼v5),,r29,GOT7,N,N,,,,,"r29에서 제거, 불릿 20건 삭제 — 동결 이전 제거"
창모,힙합,removed,initial(v4∼v5),,r34,김재중,N,N,,,,,"r34에서 제거, 불릿 27건 삭제 — 동결 이전 제거"
한로로,솔로,removed,initial(v4∼v5),,r62,몬스타엑스,Y,N,,,,,"r62에서 제거, 불릿 66건 삭제 — 동결 스냅샷에는 포함(r22 백업에 문장 일부 보존)"
헤이즈,솔로,removed,initial(v4∼v5),,r34,박서진,N,N,,,,,"r34에서 제거, 불릿 39건 삭제 — 동결 이전 제거"
