fandom,category,loyalty_score,spillover_score,coverage_index,factor_diversity,dominant_factor,activity,현장경제형(콘서트·투어·매진),소비력형(초동·판매·앨범),미디어노출형(방송·조회수),차트·확산형(1위·빌보드·기록),결속형(팬클럽·기부·커뮤니티)
레드벨벳,K-pop 걸그룹,0.706,0.292,0.806,0.7721,현장경제형(콘서트·투어·매진),95,0.5804,0.162,0.0925,0.0852,0.08
아이유,솔로,0.64,0.356,0.88,0.9462,현장경제형(콘서트·투어·매진),81,0.3473,0.2171,0.0967,0.1939,0.145
싸이,솔로,0.464,0.531,0.706,0.8879,현장경제형(콘서트·투어·매진),84,0.4416,0.1513,0.0839,0.2099,0.1132
GOT7,K-pop 보이그룹,0.537,0.429,0.742,0.7734,현장경제형(콘서트·투어·매진),83,0.4705,0.026,0.0803,0.3255,0.0977
워너원,K-pop 보이그룹,0.535,0.397,0.708,0.8855,현장경제형(콘서트·투어·매진),95,0.4628,0.1603,0.0996,0.1571,0.1202
LE SSERAFIM,K-pop 걸그룹,0.393,0.534,0.802,0.863,현장경제형(콘서트·투어·매진),109,0.4428,0.2052,0.0777,0.2096,0.0647
이영지,힙합,0.492,0.41,0.754,0.7719,현장경제형(콘서트·투어·매진),94,0.5792,0.0577,0.0988,0.1486,0.1156
EXO,K-pop 보이그룹,0.486,0.411,0.868,0.911,현장경제형(콘서트·투어·매진),90,0.3973,0.1661,0.2176,0.1494,0.0695
DAY6,K-pop 보이그룹 /록,0.642,0.254,0.796,0.8121,현장경제형(콘서트·투어·매진),85,0.548,0.1124,0.1487,0.0929,0.0979
아일릿,K-pop 걸그룹,0.478,0.404,0.653,0.8503,차트·확산형(1위·빌보드·기록),89,0.3227,0.1498,0.0598,0.3989,0.0688
영탁,트로트,0.54,0.319,0.429,0.8995,현장경제형(콘서트·투어·매진),83,0.4225,0.1597,0.2068,0.0737,0.1373
(여자)아이들,K-pop 걸그룹,0.405,0.447,0.811,0.9278,현장경제형(콘서트·투어·매진),83,0.3863,0.1456,0.1418,0.224,0.1023
BABYMONSTER,K-pop 걸그룹,0.597,0.255,0.752,0.9413,현장경제형(콘서트·투어·매진),97,0.3466,0.1933,0.1555,0.2215,0.0831
송가인,트로트,0.43,0.378,0.394,0.809,현장경제형(콘서트·투어·매진),74,0.5475,0.0941,0.1348,0.078,0.1456
엔믹스,K-pop 걸그룹,0.505,0.298,0.766,0.8484,현장경제형(콘서트·투어·매진),93,0.5022,0.1453,0.1203,0.1581,0.0741
IKON,K-pop 보이그룹,0.599,0.193,0.776,0.8714,현장경제형(콘서트·투어·매진),81,0.4449,0.1926,0.1477,0.1683,0.0464
박재범,힙합,0.437,0.316,0.78,0.7645,현장경제형(콘서트·투어·매진),89,0.5888,0.1384,0.1088,0.1051,0.0588
지코,힙합,0.278,0.473,0.758,0.7684,현장경제형(콘서트·투어·매진),79,0.4665,0.0327,0.0845,0.3418,0.0745
리센느(RESCENE),K-pop 걸그룹,0.444,0.304,0.6,0.8495,현장경제형(콘서트·투어·매진),66,0.469,0.0876,0.0895,0.2489,0.105
김호중,트로트,0.537,0.205,0.446,0.9888,결속형(팬클럽·기부·커뮤니티),73,0.2232,0.1804,0.2175,0.1376,0.2413
아이오아이,K-pop 걸그룹,0.605,0.122,0.573,0.9264,현장경제형(콘서트·투어·매진),70,0.3869,0.1433,0.0914,0.2146,0.1638
최예나,솔로,0.393,0.332,0.635,0.8948,현장경제형(콘서트·투어·매진),83,0.4523,0.1696,0.1109,0.1468,0.1204
BTOB,K-pop 보이그룹,0.563,0.159,0.704,0.9152,현장경제형(콘서트·투어·매진),65,0.4139,0.169,0.1775,0.1501,0.0894
god,원로그룹,0.602,0.112,0.386,0.8902,현장경제형(콘서트·투어·매진),57,0.4567,0.1298,0.1418,0.0998,0.1719
이찬원,트로트,0.374,0.333,0.443,0.9391,현장경제형(콘서트·투어·매진),77,0.3521,0.1678,0.1672,0.0837,0.2291
소녀시대,K-pop 걸그룹,0.323,0.375,0.722,0.9015,현장경제형(콘서트·투어·매진),76,0.3567,0.273,0.0939,0.211,0.0654
빅뱅,K-pop 보이그룹,0.324,0.34,0.756,0.8071,현장경제형(콘서트·투어·매진),72,0.5235,0.2094,0.1197,0.0942,0.0532
박서진,트로트,0.416,0.239,0.308,0.7407,현장경제형(콘서트·투어·매진),60,0.5297,0.019,0.1283,0.0577,0.2653
CNBLUE,K-pop 보이그룹 /록,0.323,0.331,0.808,0.8994,현장경제형(콘서트·투어·매진),72,0.3855,0.2066,0.1465,0.2151,0.0463
정동원,트로트,0.421,0.228,0.386,0.9214,현장경제형(콘서트·투어·매진),77,0.4084,0.1208,0.1506,0.1205,0.1997
프로미스나인,K-pop 걸그룹,0.305,0.341,0.712,0.8786,현장경제형(콘서트·투어·매진),68,0.4047,0.1355,0.15,0.2642,0.0456
샤이니,K-pop 보이그룹,0.394,0.251,0.801,0.7427,현장경제형(콘서트·투어·매진),65,0.6011,0.0658,0.067,0.1644,0.1017
오마이걸,K-pop 걸그룹,0.388,0.257,0.682,0.9252,현장경제형(콘서트·투어·매진),75,0.4064,0.1359,0.183,0.1131,0.1617
A-pink,K-pop 걸그룹,0.42,0.214,0.722,0.9104,현장경제형(콘서트·투어·매진),70,0.4363,0.1335,0.1566,0.1333,0.1404
마마무,K-pop 걸그룹,0.38,0.252,0.861,0.9244,현장경제형(콘서트·투어·매진),73,0.4065,0.1522,0.1284,0.1931,0.1199
동방신기,K-pop 보이그룹,0.34,0.288,0.605,0.9221,현장경제형(콘서트·투어·매진),70,0.3845,0.1975,0.0845,0.2073,0.1263
로이킴,발라드,0.336,0.283,0.536,0.9197,현장경제형(콘서트·투어·매진),74,0.3986,0.0813,0.1865,0.1533,0.1803
Hearts2Hearts,K-pop 걸그룹,0.272,0.344,0.664,0.9274,현장경제형(콘서트·투어·매진),70,0.3677,0.1963,0.0894,0.229,0.1176
권은비,솔로,0.24,0.373,0.64,0.8757,현장경제형(콘서트·투어·매진),82,0.4737,0.1782,0.1123,0.132,0.1038
성시경,발라드,0.408,0.197,0.581,0.894,현장경제형(콘서트·투어·매진),71,0.4293,0.158,0.1634,0.064,0.1853
슈퍼주니어,K-pop 보이그룹,0.347,0.257,0.674,0.8705,현장경제형(콘서트·투어·매진),62,0.4526,0.2361,0.1234,0.1044,0.0836
츄,솔로,0.348,0.254,0.52,0.9084,현장경제형(콘서트·투어·매진),72,0.4338,0.1573,0.1647,0.1073,0.1369
Crush,솔로,0.329,0.271,0.744,0.8972,현장경제형(콘서트·투어·매진),83,0.4012,0.1375,0.2053,0.2028,0.0533
QWER,K-pop 걸그룹,0.379,0.216,0.658,0.864,현장경제형(콘서트·투어·매진),69,0.4548,0.1564,0.0655,0.2251,0.0983
여자친구,K-pop 걸그룹,0.427,0.166,0.796,0.855,현장경제형(콘서트·투어·매진),70,0.49,0.1764,0.1268,0.1365,0.0704
ITZY,K-pop 걸그룹,0.35,0.242,0.874,0.8519,현장경제형(콘서트·투어·매진),76,0.4374,0.2147,0.0707,0.2236,0.0536
나훈아,트로트,0.459,0.128,0.442,0.7992,현장경제형(콘서트·투어·매진),59,0.5377,0.1968,0.114,0.0961,0.0553
STAYC,K-pop 걸그룹,0.376,0.205,0.725,0.876,현장경제형(콘서트·투어·매진),73,0.4651,0.1345,0.1401,0.183,0.0772
다비치,발라드,0.395,0.168,0.514,0.9208,현장경제형(콘서트·투어·매진),65,0.3411,0.1097,0.2801,0.19,0.0792
악동뮤지션,혼성,0.252,0.311,0.629,0.9168,현장경제형(콘서트·투어·매진),65,0.3699,0.1356,0.1887,0.2396,0.0662
IVE,K-pop 걸그룹,0.314,0.243,0.671,0.9295,현장경제형(콘서트·투어·매진),70,0.3267,0.2523,0.0694,0.2238,0.1278
10CM,솔로,0.386,0.17,0.731,0.9116,현장경제형(콘서트·투어·매진),68,0.3771,0.1209,0.1026,0.2798,0.1195
김재중,솔로,0.322,0.223,0.607,0.8049,현장경제형(콘서트·투어·매진),53,0.4949,0.0309,0.0975,0.2427,0.1341
HOT,원로그룹,0.315,0.212,0.374,0.8708,현장경제형(콘서트·투어·매진),53,0.4463,0.1836,0.1028,0.2062,0.0611
이효리,솔로,0.0,0.521,0.45,0.8853,현장경제형(콘서트·투어·매진),71,0.4549,0.1455,0.1895,0.1216,0.0886
보아,솔로,0.36,0.152,0.574,0.9541,현장경제형(콘서트·투어·매진),60,0.3354,0.1421,0.2218,0.1922,0.1084
에픽하이,힙합,0.412,0.065,0.77,0.7766,현장경제형(콘서트·투어·매진),68,0.5744,0.0662,0.1045,0.1619,0.093
청하,솔로,0.166,0.293,0.727,0.9586,현장경제형(콘서트·투어·매진),68,0.3509,0.1473,0.1388,0.1893,0.1738
윤하,솔로,0.314,0.144,0.712,0.9267,현장경제형(콘서트·투어·매진),53,0.358,0.104,0.1537,0.2712,0.1131
케이윌,발라드,0.398,0.056,0.559,0.9436,현장경제형(콘서트·투어·매진),62,0.326,0.1538,0.2793,0.1103,0.1305
조용필,발라드,0.244,0.206,0.497,0.9226,현장경제형(콘서트·투어·매진),59,0.3452,0.1996,0.1573,0.2416,0.0563
잭스키스,원로그룹,0.341,0.083,0.471,0.9458,현장경제형(콘서트·투어·매진),54,0.3399,0.1831,0.1774,0.0829,0.2167
박정현,발라드,0.151,0.252,0.524,0.8767,미디어노출형(방송·조회수),58,0.3054,0.1032,0.3799,0.1594,0.0521
김연자,트로트,0.159,0.242,0.479,0.9016,현장경제형(콘서트·투어·매진),59,0.4125,0.178,0.204,0.1394,0.0661
빅마마,발라드,0.301,0.098,0.292,0.9243,현장경제형(콘서트·투어·매진),50,0.3374,0.0964,0.1864,0.2839,0.0959
볼빨간사춘기,솔로,0.267,0.126,0.632,0.9807,현장경제형(콘서트·투어·매진),57,0.2838,0.1925,0.2042,0.1923,0.1272
엄정화,솔로,0.094,0.278,0.43,0.8739,현장경제형(콘서트·투어·매진),59,0.46,0.1172,0.1798,0.1733,0.0698
FTISLAND,K-pop 보이그룹 /록,0.19,0.168,0.722,0.9579,현장경제형(콘서트·투어·매진),56,0.3148,0.2312,0.1893,0.1705,0.0941
다이나믹듀오,힙합,0.267,0.07,0.534,0.7847,현장경제형(콘서트·투어·매진),47,0.5732,0.1001,0.1195,0.1358,0.0714
비비,솔로,0.188,0.147,0.747,0.8352,현장경제형(콘서트·투어·매진),56,0.5138,0.1493,0.1521,0.12,0.0648
카더가든,솔로,0.142,0.193,0.284,0.9322,현장경제형(콘서트·투어·매진),58,0.33,0.1605,0.2878,0.0868,0.1349
sg워너비,발라드,0.212,0.084,0.393,0.9042,현장경제형(콘서트·투어·매진),47,0.3289,0.1453,0.2831,0.2028,0.0398
장윤정,트로트,0.092,0.195,0.448,0.9355,현장경제형(콘서트·투어·매진),54,0.391,0.1575,0.1899,0.1261,0.1355
이승철,발라드,0.093,0.169,0.542,0.8823,현장경제형(콘서트·투어·매진),45,0.4146,0.1702,0.2344,0.1332,0.0477
윤도현,록,0.144,0.102,0.466,0.8604,현장경제형(콘서트·투어·매진),43,0.4553,0.0935,0.2314,0.0647,0.1551
린,발라드,0.133,0.105,0.445,0.8937,현장경제형(콘서트·투어·매진),44,0.4047,0.1274,0.2706,0.1082,0.0891
잔나비,록,0.114,0.122,0.69,0.841,현장경제형(콘서트·투어·매진),47,0.4268,0.0926,0.3087,0.1213,0.0506
백지영,발라드,0.11,0.114,0.579,0.8501,현장경제형(콘서트·투어·매진),49,0.4413,0.1897,0.24,0.081,0.048
김동률,발라드,0.165,0.028,0.371,0.7584,현장경제형(콘서트·투어·매진),30,0.5687,0.1576,0.1296,0.1205,0.0237
Zion.T,솔로,0.049,0.116,0.641,0.8962,현장경제형(콘서트·투어·매진),46,0.3785,0.1877,0.2337,0.1609,0.0392
박효신,발라드,0.164,0.0,0.369,0.8995,현장경제형(콘서트·투어·매진),34,0.404,0.1418,0.2579,0.106,0.0903
pH-1,힙합,0.109,0.041,0.692,0.7334,현장경제형(콘서트·투어·매진),44,0.6161,0.0978,0.1103,0.1249,0.0509
한로로,솔로,0.117,0.019,0.511,0.8819,현장경제형(콘서트·투어·매진),41,0.4335,0.1077,0.1828,0.2108,0.0653
이문세,발라드,0.007,0.115,0.436,0.8697,현장경제형(콘서트·투어·매진),39,0.4277,0.1296,0.2726,0.0978,0.0723
브라운아이즈,발라드,0.064,0.037,0.328,0.9437,미디어노출형(방송·조회수),31,0.2812,0.1265,0.2998,0.2032,0.0892
거미,발라드,0.083,0.006,0.513,0.8543,현장경제형(콘서트·투어·매진),38,0.3621,0.1587,0.3533,0.0568,0.0691
BE'O,힙합,0.07,0.011,0.513,0.8495,현장경제형(콘서트·투어·매진),34,0.5065,0.1382,0.1266,0.145,0.0837
