fandom,category,loyalty_score,spillover_score,coverage_index,factor_diversity,dominant_factor,activity,현장경제형(콘서트·투어·매진),소비력형(초동·판매·앨범),결속형(팬클럽·기부·커뮤니티),브랜드·상업형(광고·앰버서더),차트·확산형(1위·빌보드·기록)
DAY6,K-pop 보이그룹 /록,0.622,0.174,0.852,0.6033,현장경제형(콘서트·투어·매진),101,0.7154,0.095,0.0299,0.0717,0.088
영탁,트로트,0.48,0.28,0.608,0.6843,현장경제형(콘서트·투어·매진),104,0.6584,0.1243,0.0553,0.0771,0.0848
몬스타엑스,K-pop 보이그룹,0.563,0.183,0.892,0.6894,현장경제형(콘서트·투어·매진),96,0.6163,0.0315,0.0549,0.0901,0.2072
이찬원,트로트,0.419,0.322,0.48,0.8866,현장경제형(콘서트·투어·매진),106,0.4632,0.1113,0.1242,0.1285,0.1728
정동원,트로트,0.501,0.201,0.542,0.7914,현장경제형(콘서트·투어·매진),107,0.5539,0.0832,0.1883,0.0804,0.0942
IKON,K-pop 보이그룹,0.579,0.116,0.783,0.6811,현장경제형(콘서트·투어·매진),96,0.63,0.147,0.0352,0.0358,0.152
아이오아이,K-pop 걸그룹,0.535,0.149,0.624,0.7209,현장경제형(콘서트·투어·매진),95,0.6134,0.0983,0.0331,0.1003,0.1549
이영지,힙합,0.411,0.269,0.783,0.7958,현장경제형(콘서트·투어·매진),107,0.5057,0.0225,0.0943,0.1717,0.2057
박효신,발라드,0.49,0.185,0.611,0.7113,현장경제형(콘서트·투어·매진),91,0.6302,0.0623,0.1132,0.0553,0.1391
아일릿,K-pop 걸그룹,0.33,0.337,0.663,0.8586,현장경제형(콘서트·투어·매진),107,0.367,0.115,0.0307,0.1594,0.3279
이효리,솔로,0.006,0.654,0.573,0.7862,현장경제형(콘서트·투어·매진),120,0.4787,0.065,0.0625,0.3167,0.0772
송가인,트로트,0.343,0.312,0.522,0.6501,현장경제형(콘서트·투어·매진),92,0.6901,0.0668,0.0749,0.0751,0.0931
김동률,발라드,0.496,0.151,0.574,0.6833,현장경제형(콘서트·투어·매진),83,0.6349,0.0738,0.1333,0.0194,0.1387
슈퍼주니어,K-pop 보이그룹,0.354,0.284,0.71,0.7083,현장경제형(콘서트·투어·매진),89,0.6315,0.1457,0.0627,0.0537,0.1064
박재범,힙합,0.4,0.233,0.823,0.6581,현장경제형(콘서트·투어·매진),110,0.678,0.0706,0.0533,0.123,0.0751
윤하,솔로,0.467,0.164,0.727,0.7449,현장경제형(콘서트·투어·매진),83,0.5218,0.0701,0.0804,0.0321,0.2958
빅뱅,K-pop 보이그룹,0.289,0.333,0.757,0.7528,현장경제형(콘서트·투어·매진),97,0.5853,0.1693,0.0467,0.1202,0.0784
리센느(RESCENE),K-pop 걸그룹,0.359,0.262,0.649,0.801,현장경제형(콘서트·투어·매진),85,0.5287,0.0584,0.076,0.1286,0.2083
엔믹스,K-pop 걸그룹,0.364,0.256,0.762,0.9174,현장경제형(콘서트·투어·매진),110,0.4205,0.1325,0.1149,0.1757,0.1564
QWER,K-pop 걸그룹,0.356,0.263,0.664,0.8057,현장경제형(콘서트·투어·매진),103,0.5508,0.0856,0.0842,0.1327,0.1468
BTOB,K-pop 보이그룹,0.484,0.127,0.714,0.8398,현장경제형(콘서트·투어·매진),82,0.5183,0.1333,0.125,0.0834,0.1401
김호중,트로트,0.464,0.145,0.608,0.8617,현장경제형(콘서트·투어·매진),91,0.4728,0.1166,0.1976,0.0667,0.1463
김재중,솔로,0.448,0.159,0.72,0.5943,현장경제형(콘서트·투어·매진),77,0.7145,0.0223,0.1072,0.0572,0.0988
잭스키스,원로그룹,0.499,0.103,0.539,0.6843,현장경제형(콘서트·투어·매진),85,0.6447,0.121,0.0825,0.0269,0.1249
IVE,K-pop 걸그룹,0.335,0.266,0.747,0.8852,현장경제형(콘서트·투어·매진),100,0.4618,0.1544,0.0973,0.1192,0.1673
ITZY,K-pop 걸그룹,0.33,0.253,0.88,0.8956,현장경제형(콘서트·투어·매진),107,0.4283,0.1595,0.0672,0.1528,0.1922
지코,힙합,0.176,0.388,0.782,0.7579,현장경제형(콘서트·투어·매진),101,0.5082,0.0243,0.0509,0.1447,0.2719
오마이걸,K-pop 걸그룹,0.307,0.249,0.701,0.7197,현장경제형(콘서트·투어·매진),98,0.6278,0.1153,0.0472,0.1053,0.1044
여자친구,K-pop 걸그룹,0.381,0.173,0.825,0.7164,현장경제형(콘서트·투어·매진),93,0.6151,0.1257,0.0372,0.0682,0.1537
프로미스나인,K-pop 걸그룹,0.315,0.233,0.73,0.8592,현장경제형(콘서트·투어·매진),89,0.4403,0.0982,0.0498,0.1695,0.2421
Hearts2Hearts,K-pop 걸그룹,0.181,0.359,0.713,0.9008,현장경제형(콘서트·투어·매진),102,0.4214,0.1306,0.0747,0.1764,0.1969
A-pink,K-pop 걸그룹,0.281,0.258,0.729,0.7787,현장경제형(콘서트·투어·매진),95,0.5806,0.1016,0.0747,0.1109,0.1322
최예나,솔로,0.336,0.195,0.657,0.8392,현장경제형(콘서트·투어·매진),96,0.4984,0.1523,0.0522,0.1719,0.1251
브라운아이즈,발라드,0.284,0.225,0.438,0.7996,현장경제형(콘서트·투어·매진),82,0.4378,0.0456,0.1529,0.0418,0.322
샤이니,K-pop 보이그룹,0.365,0.143,0.81,0.5869,현장경제형(콘서트·투어·매진),77,0.7109,0.0462,0.0371,0.0486,0.1572
마마무,K-pop 걸그룹,0.251,0.248,0.894,0.8422,현장경제형(콘서트·투어·매진),94,0.4873,0.1375,0.0511,0.1232,0.2009
STAYC,K-pop 걸그룹,0.333,0.151,0.738,0.8298,현장경제형(콘서트·투어·매진),92,0.5239,0.1053,0.078,0.1301,0.1627
동방신기,K-pop 보이그룹,0.287,0.181,0.683,0.7598,현장경제형(콘서트·투어·매진),82,0.5698,0.1725,0.0939,0.0319,0.1319
나훈아,트로트,0.408,0.056,0.502,0.6107,현장경제형(콘서트·투어·매진),70,0.6964,0.1458,0.0754,0.0238,0.0587
츄,솔로,0.229,0.234,0.697,0.8317,현장경제형(콘서트·투어·매진),93,0.4983,0.0925,0.0621,0.2131,0.134
볼빨간사춘기,솔로,0.331,0.124,0.665,0.8132,현장경제형(콘서트·투어·매진),88,0.5199,0.1101,0.0892,0.0664,0.2144
sg워너비,발라드,0.369,0.083,0.547,0.7491,현장경제형(콘서트·투어·매진),75,0.5816,0.0707,0.1513,0.039,0.1574
10CM,솔로,0.333,0.115,0.784,0.7481,현장경제형(콘서트·투어·매진),85,0.5683,0.091,0.0785,0.0412,0.221
CNBLUE,K-pop 보이그룹 /록,0.226,0.219,0.831,0.7643,현장경제형(콘서트·투어·매진),84,0.5613,0.1595,0.078,0.0341,0.1671
로이킴,발라드,0.235,0.207,0.602,0.6627,현장경제형(콘서트·투어·매진),89,0.6658,0.0569,0.062,0.0623,0.153
성시경,발라드,0.343,0.089,0.588,0.7061,현장경제형(콘서트·투어·매진),80,0.6387,0.1215,0.0487,0.1093,0.0818
Crush,솔로,0.206,0.222,0.791,0.8302,현장경제형(콘서트·투어·매진),99,0.5152,0.1195,0.0741,0.1017,0.1894
빈지노,힙합,0.246,0.169,0.56,0.7886,현장경제형(콘서트·투어·매진),79,0.4928,0.0246,0.1455,0.078,0.2591
빅마마,발라드,0.325,0.088,0.328,0.8206,현장경제형(콘서트·투어·매진),73,0.4758,0.062,0.1213,0.0693,0.2716
다비치,발라드,0.265,0.14,0.626,0.8506,현장경제형(콘서트·투어·매진),80,0.4599,0.0755,0.1514,0.0708,0.2425
에픽하이,힙합,0.34,0.061,0.821,0.6103,현장경제형(콘서트·투어·매진),87,0.7061,0.062,0.0502,0.0472,0.1346
장윤정,트로트,0.14,0.246,0.569,0.7216,현장경제형(콘서트·투어·매진),92,0.6164,0.0709,0.0591,0.0831,0.1706
보아,솔로,0.278,0.104,0.633,0.6457,현장경제형(콘서트·투어·매진),76,0.6687,0.1044,0.04,0.0363,0.1507
거미,발라드,0.23,0.148,0.711,0.6514,현장경제형(콘서트·투어·매진),87,0.6684,0.0711,0.1566,0.0338,0.0701
조용필,발라드,0.174,0.199,0.518,0.8498,현장경제형(콘서트·투어·매진),81,0.4885,0.1436,0.0641,0.1139,0.1899
이승철,발라드,0.131,0.229,0.559,0.5917,현장경제형(콘서트·투어·매진),78,0.7253,0.0959,0.0438,0.0468,0.0882
권은비,솔로,0.149,0.208,0.702,0.8167,현장경제형(콘서트·투어·매진),90,0.5336,0.1448,0.0591,0.1409,0.1216
윤도현,록,0.223,0.122,0.607,0.6279,현장경제형(콘서트·투어·매진),71,0.6977,0.0672,0.1263,0.0573,0.0515
린,발라드,0.1,0.216,0.519,0.7205,현장경제형(콘서트·투어·매진),78,0.6064,0.0873,0.1525,0.0253,0.1286
다이나믹듀오,힙합,0.208,0.105,0.632,0.5759,현장경제형(콘서트·투어·매진),68,0.7201,0.0693,0.0396,0.0276,0.1433
악동뮤지션,혼성,0.101,0.205,0.701,0.83,현장경제형(콘서트·투어·매진),74,0.4905,0.127,0.0614,0.0878,0.2334
FTISLAND,K-pop 보이그룹 /록,0.195,0.102,0.765,0.7948,현장경제형(콘서트·투어·매진),73,0.5436,0.1669,0.0595,0.0721,0.1579
케이윌,발라드,0.287,0.0,0.585,0.7428,현장경제형(콘서트·투어·매진),71,0.6071,0.1322,0.1043,0.0515,0.1048
청하,솔로,0.066,0.209,0.743,0.9253,현장경제형(콘서트·투어·매진),79,0.4005,0.0975,0.1485,0.1738,0.1797
Zion.T,솔로,0.095,0.17,0.74,0.7517,현장경제형(콘서트·투어·매진),79,0.5775,0.1014,0.0977,0.036,0.1874
김연자,트로트,0.08,0.18,0.51,0.7407,현장경제형(콘서트·투어·매진),73,0.6017,0.1221,0.1307,0.0376,0.1079
이문세,발라드,0.054,0.202,0.514,0.6959,현장경제형(콘서트·투어·매진),70,0.6368,0.058,0.0455,0.151,0.1087
카더가든,솔로,0.094,0.133,0.479,0.8056,현장경제형(콘서트·투어·매진),74,0.5567,0.095,0.1043,0.106,0.138
백지영,발라드,0.109,0.118,0.668,0.7596,현장경제형(콘서트·투어·매진),72,0.5988,0.1304,0.085,0.0823,0.1036
비비,솔로,0.058,0.146,0.78,0.815,현장경제형(콘서트·투어·매진),74,0.5316,0.0859,0.0878,0.1908,0.1039
잔나비,록,0.03,0.155,0.795,0.7082,현장경제형(콘서트·투어·매진),69,0.6373,0.0608,0.1196,0.0641,0.1182
엄정화,솔로,0.0,0.183,0.465,0.7578,현장경제형(콘서트·투어·매진),71,0.5958,0.1024,0.0628,0.0982,0.1408
박정현,발라드,0.003,0.171,0.583,0.7803,현장경제형(콘서트·투어·매진),70,0.5477,0.0866,0.1491,0.0371,0.1796
투어스(TWS),K-pop 보이그룹,0.028,0.073,0.663,0.5611,소비력형(초동·판매·앨범),90,0.1049,0.7446,0.0587,0.0564,0.0354
