snapshot,fandom,n_loyalty,n_spillover,activity,loyalty_raw,spillover_raw,loyalty_score,spillover_score,loyalty_density,spillover_density,loyalty_exposure_resid,spillover_exposure_resid,mean_evidence_loyalty,mean_evidence_spillover
live_10020,이효리,17,103,120,30.8,188.5,0.006,0.654,0.573,0.671,0.598,0.723,1.812,1.83
live_10020,송가인,34,58,92,61.4,113.9,0.343,0.312,0.569,0.789,0.653,0.85,1.806,1.964
live_10020,김동률,37,46,83,75.3,78.9,0.496,0.151,0.736,0.57,0.797,0.673,2.035,1.715
live_10020,슈퍼주니어,31,58,89,62.4,107.8,0.354,0.284,0.72,0.696,0.769,0.773,2.013,1.859
live_10020,박재범,49,61,110,66.6,96.8,0.4,0.233,0.244,0.457,0.359,0.55,1.359,1.587
live_10020,윤하,33,50,83,72.7,81.7,0.467,0.164,0.859,0.498,0.878,0.601,2.203,1.634
live_10020,빅뱅,31,66,97,56.5,118.6,0.289,0.333,0.581,0.642,0.656,0.72,1.823,1.797
live_10020,리센느(RESCENE),31,54,85,62.9,103.1,0.359,0.262,0.732,0.741,0.779,0.814,2.029,1.909
live_10020,엔믹스,47,63,110,63.3,101.7,0.364,0.256,0.235,0.481,0.345,0.572,1.347,1.614
live_10020,QWER,39,64,103,62.6,103.2,0.356,0.263,0.423,0.479,0.53,0.57,1.605,1.612
live_10020,BTOB,41,41,82,74.2,73.6,0.484,0.127,0.572,0.64,0.672,0.742,1.81,1.795
live_10020,김호중,39,52,91,72.4,77.6,0.464,0.145,0.606,0.373,0.696,0.472,1.856,1.492
live_10020,김재중,39,38,77,70.9,80.7,0.448,0.159,0.578,0.93,0.672,0.981,1.818,2.124
live_10020,잭스키스,41,44,85,75.6,68.4,0.499,0.103,0.597,0.428,0.693,0.537,1.844,1.555
live_10020,IVE,38,62,100,60.7,103.9,0.335,0.266,0.417,0.535,0.522,0.625,1.597,1.676
live_10020,ITZY,41,66,107,60.2,101.2,0.33,0.253,0.323,0.41,0.432,0.498,1.468,1.533
live_10020,지코,28,73,101,46.3,130.6,0.176,0.388,0.458,0.635,0.536,0.708,1.654,1.789
live_10020,오마이걸,34,64,98,58.1,100.2,0.307,0.249,0.498,0.438,0.59,0.529,1.709,1.566
live_10020,여자친구,44,49,93,64.9,83.7,0.381,0.173,0.328,0.564,0.444,0.664,1.475,1.708
live_10020,프로미스나인,34,55,89,58.9,96.8,0.315,0.233,0.516,0.609,0.606,0.7,1.732,1.76
live_10020,Hearts2Hearts,27,75,102,46.7,124.1,0.181,0.359,0.514,0.517,0.584,0.598,1.73,1.655
live_10020,A-pink,35,60,95,55.8,102.2,0.281,0.258,0.415,0.559,0.513,0.65,1.594,1.703
live_10020,최예나,39,57,96,60.8,88.4,0.336,0.195,0.389,0.425,0.497,0.521,1.559,1.551
live_10020,브라운아이즈,29,53,82,56.1,95.0,0.284,0.225,0.663,0.638,0.718,0.727,1.934,1.792
live_10020,샤이니,36,41,77,63.4,77.1,0.365,0.143,0.537,0.716,0.629,0.807,1.761,1.88
live_10020,마마무,35,59,94,53.1,100.1,0.251,0.248,0.359,0.554,0.456,0.645,1.517,1.697
live_10020,STAYC,42,50,92,60.5,78.9,0.333,0.151,0.303,0.449,0.413,0.552,1.44,1.578
live_10020,동방신기,31,51,82,56.3,85.5,0.287,0.181,0.577,0.536,0.652,0.636,1.816,1.676
live_10020,나훈아,33,37,70,67.3,58.1,0.408,0.056,0.739,0.442,0.79,0.56,2.039,1.57
live_10020,츄,34,59,93,51.1,97.0,0.229,0.234,0.348,0.507,0.443,0.601,1.503,1.644
live_10020,볼빨간사춘기,38,50,88,60.3,72.9,0.331,0.124,0.41,0.343,0.515,0.441,1.587,1.458
live_10020,sg워너비,36,39,75,63.8,64.0,0.369,0.083,0.545,0.505,0.637,0.619,1.772,1.641
live_10020,10CM,37,48,85,60.5,71.1,0.333,0.115,0.445,0.364,0.547,0.465,1.635,1.481
live_10020,CNBLUE,33,51,84,50.8,93.6,0.226,0.219,0.375,0.676,0.468,0.762,1.539,1.835
live_10020,로이킴,30,59,89,51.6,91.0,0.235,0.207,0.507,0.418,0.587,0.512,1.72,1.542
live_10020,성시경,37,43,80,61.4,65.4,0.343,0.089,0.462,0.399,0.564,0.508,1.659,1.521
live_10020,Crush,35,64,99,49.0,94.4,0.206,0.222,0.273,0.358,0.364,0.445,1.4,1.475
live_10020,빈지노,27,52,79,52.6,82.9,0.246,0.169,0.673,0.463,0.72,0.564,1.948,1.594
live_10020,빅마마,31,42,73,59.8,65.1,0.325,0.088,0.659,0.424,0.721,0.536,1.929,1.55
live_10020,다비치,29,51,80,54.3,76.4,0.265,0.14,0.618,0.378,0.681,0.478,1.872,1.498
live_10020,에픽하이,46,41,87,61.1,59.2,0.34,0.061,0.221,0.331,0.328,0.438,1.328,1.444
live_10020,장윤정,27,65,92,43.0,99.5,0.14,0.246,0.414,0.407,0.49,0.496,1.593,1.531
live_10020,보아,30,46,76,55.5,68.6,0.278,0.104,0.601,0.372,0.67,0.477,1.85,1.491
live_10020,거미,34,53,87,51.2,78.3,0.23,0.148,0.351,0.36,0.445,0.457,1.506,1.477
live_10020,조용필,28,53,81,46.1,89.3,0.174,0.199,0.453,0.543,0.531,0.641,1.646,1.685
live_10020,이승철,24,54,78,42.2,95.8,0.131,0.229,0.535,0.622,0.593,0.712,1.758,1.774
live_10020,권은비,25,65,90,43.8,91.3,0.149,0.208,0.53,0.296,0.592,0.376,1.752,1.405
live_10020,윤도현,29,42,71,50.5,72.6,0.223,0.122,0.522,0.582,0.598,0.688,1.741,1.729
live_10020,린,23,55,78,39.4,93.0,0.1,0.216,0.502,0.549,0.559,0.644,1.713,1.691
live_10020,다이나믹듀오,26,42,68,49.2,68.9,0.208,0.105,0.632,0.504,0.684,0.615,1.892,1.64
live_10020,악동뮤지션,23,51,74,39.5,90.7,0.101,0.205,0.505,0.626,0.562,0.718,1.717,1.778
live_10020,FTISLAND,31,42,73,48.0,68.3,0.195,0.102,0.381,0.491,0.469,0.603,1.548,1.626
live_10020,케이윌,36,35,71,56.3,46.0,0.287,0.0,0.393,0.216,0.493,0.314,1.564,1.314
live_10020,청하,20,59,79,36.3,91.6,0.066,0.209,0.576,0.427,0.614,0.521,1.815,1.553
live_10020,Zion.T,24,55,79,38.9,83.1,0.095,0.17,0.434,0.39,0.5,0.486,1.621,1.511
live_10020,김연자,21,52,73,37.6,85.3,0.08,0.18,0.558,0.504,0.602,0.604,1.79,1.64
live_10020,이문세,20,50,70,35.2,90.1,0.054,0.202,0.536,0.647,0.578,0.737,1.76,1.802
live_10020,카더가든,26,48,74,38.8,74.9,0.094,0.133,0.341,0.433,0.412,0.538,1.492,1.56
live_10020,백지영,24,48,72,40.2,71.7,0.109,0.118,0.474,0.375,0.537,0.477,1.675,1.494
live_10020,비비,26,48,74,35.6,77.7,0.058,0.146,0.251,0.485,0.314,0.59,1.369,1.619
live_10020,잔나비,20,49,69,33.0,79.7,0.03,0.155,0.456,0.492,0.505,0.595,1.65,1.627
live_10020,엄정화,20,51,71,30.3,85.9,0.0,0.183,0.357,0.543,0.407,0.642,1.515,1.684
live_10020,박정현,18,52,70,30.6,83.3,0.003,0.171,0.492,0.47,0.53,0.571,1.7,1.602
live_10020,투어스(TWS),32,58,90,32.8,62.0,0.028,0.073,0.0,0.0,0.0,0.0,1.025,1.069
frozen_7350,BTS,62,108,170,94.9,184.3,0.931,1.0,0.24,0.451,0.377,0.455,1.531,1.706
frozen_7350,TWICE,59,85,144,96.0,160.5,0.944,0.846,0.336,0.642,0.479,0.652,1.627,1.888
frozen_7350,임영웅,50,62,112,92.1,138.2,0.899,0.702,0.548,1.0,0.677,0.97,1.842,2.229
frozen_7350,Stray Kids,53,85,138,84.0,138.3,0.805,0.702,0.294,0.368,0.419,0.382,1.585,1.627
frozen_7350,BLACKPINK,51,95,146,79.0,139.2,0.747,0.708,0.259,0.198,0.374,0.186,1.549,1.465
frozen_7350,SEVENTEEN,66,64,130,100.8,90.4,1.0,0.393,0.237,0.143,0.381,0.141,1.527,1.412
frozen_7350,지드래곤 (G-Dragon),35,75,110,62.8,143.0,0.558,0.733,0.501,0.662,0.588,0.676,1.794,1.907
frozen_7350,NCT,50,66,116,75.5,103.8,0.706,0.479,0.22,0.311,0.327,0.334,1.51,1.573
frozen_7350,CORTIS,39,72,111,60.2,126.5,0.528,0.626,0.253,0.504,0.336,0.53,1.544,1.757
frozen_7350,aespa,44,70,114,64.5,113.9,0.578,0.545,0.176,0.368,0.26,0.393,1.466,1.627
frozen_7350,NewJeans,36,86,122,51.6,121.3,0.428,0.592,0.144,0.14,0.196,0.122,1.433,1.41
frozen_7350,RIIZE,39,61,100,69.3,87.9,0.634,0.376,0.484,0.173,0.584,0.18,1.777,1.441
frozen_7350,ATEEZ,34,54,88,60.0,102.9,0.526,0.473,0.471,0.66,0.555,0.694,1.765,1.906
frozen_7350,레드벨벳,49,46,95,75.5,74.9,0.706,0.292,0.25,0.369,0.36,0.417,1.541,1.628
frozen_7350,아이유,36,45,81,69.8,84.8,0.64,0.356,0.643,0.638,0.728,0.683,1.939,1.884
frozen_7350,싸이,26,58,84,54.7,111.8,0.464,0.531,0.806,0.683,0.833,0.71,2.104,1.928
frozen_7350,GOT7,29,54,83,61.0,96.0,0.537,0.429,0.806,0.526,0.845,0.568,2.103,1.778
frozen_7350,워너원,42,53,95,60.8,91.0,0.535,0.397,0.158,0.462,0.232,0.506,1.448,1.717
frozen_7350,LE SSERAFIM,34,75,109,48.6,112.2,0.393,0.534,0.14,0.23,0.184,0.236,1.429,1.496
frozen_7350,이영지,34,60,94,57.1,93.1,0.492,0.41,0.387,0.289,0.468,0.315,1.679,1.552
frozen_7350,EXO,36,54,90,56.6,93.3,0.486,0.411,0.281,0.474,0.359,0.516,1.572,1.728
frozen_7350,DAY6,46,39,85,70.0,69.0,0.642,0.254,0.232,0.517,0.331,0.577,1.522,1.769
frozen_7350,아일릿,29,60,89,55.9,92.1,0.478,0.404,0.632,0.271,0.692,0.296,1.928,1.535
frozen_7350,영탁,33,50,83,61.2,79.0,0.54,0.319,0.56,0.319,0.639,0.358,1.855,1.58
frozen_7350,(여자)아이들,29,54,83,49.6,98.8,0.405,0.447,0.418,0.581,0.481,0.62,1.71,1.83
frozen_7350,BABYMONSTER,45,52,97,66.1,69.2,0.597,0.255,0.179,0.057,0.266,0.045,1.469,1.331
frozen_7350,송가인,30,44,74,51.8,88.2,0.43,0.378,0.434,0.764,0.502,0.797,1.727,2.005
frozen_7350,엔믹스,45,48,93,58.2,75.8,0.505,0.298,0.006,0.318,0.042,0.359,1.293,1.579
frozen_7350,IKON,46,35,81,66.3,59.6,0.599,0.193,0.152,0.448,0.235,0.514,1.441,1.703
frozen_7350,박재범,40,49,89,52.4,78.6,0.437,0.316,0.023,0.344,0.05,0.387,1.31,1.604
frozen_7350,지코,23,56,79,38.7,102.9,0.278,0.473,0.39,0.589,0.424,0.626,1.683,1.837
frozen_7350,리센느(RESCENE),26,40,66,53.0,76.7,0.444,0.304,0.742,0.673,0.777,0.722,2.038,1.917
frozen_7350,김호중,33,40,73,61.0,61.4,0.537,0.205,0.554,0.271,0.633,0.318,1.848,1.535
frozen_7350,아이오아이,37,33,70,66.8,48.6,0.605,0.122,0.512,0.206,0.606,0.254,1.805,1.473
frozen_7350,최예나,31,52,83,48.6,81.0,0.393,0.332,0.277,0.295,0.336,0.33,1.568,1.558
frozen_7350,BTOB,35,30,65,63.2,54.3,0.563,0.159,0.512,0.56,0.599,0.633,1.806,1.81
frozen_7350,god,29,28,57,66.6,47.0,0.602,0.112,0.997,0.422,1.0,0.5,2.297,1.679
frozen_7350,이찬원,27,50,77,47.0,81.2,0.374,0.333,0.448,0.365,0.504,0.408,1.741,1.624
frozen_7350,소녀시대,25,51,76,42.6,87.6,0.323,0.375,0.412,0.463,0.457,0.508,1.704,1.718
frozen_7350,빅뱅,25,47,72,42.7,82.3,0.324,0.34,0.415,0.498,0.461,0.548,1.708,1.751
frozen_7350,박서진,22,38,60,50.6,66.7,0.416,0.239,1.0,0.503,0.969,0.564,2.3,1.755
frozen_7350,CNBLUE,28,44,72,42.6,80.8,0.323,0.331,0.231,0.588,0.271,0.638,1.521,1.836
frozen_7350,정동원,33,44,77,51.0,65.0,0.421,0.228,0.255,0.211,0.318,0.243,1.545,1.477
frozen_7350,프로미스나인,23,45,68,41.0,82.4,0.305,0.341,0.489,0.582,0.526,0.631,1.783,1.831
frozen_7350,샤이니,29,36,65,48.7,68.5,0.394,0.251,0.387,0.657,0.449,0.713,1.679,1.903
frozen_7350,오마이걸,29,46,75,48.2,69.4,0.388,0.257,0.37,0.244,0.431,0.279,1.662,1.509
frozen_7350,A-pink,32,38,70,50.9,62.8,0.42,0.214,0.3,0.395,0.365,0.455,1.591,1.653
frozen_7350,마마무,31,42,73,47.5,68.6,0.38,0.252,0.242,0.375,0.296,0.428,1.532,1.633
frozen_7350,동방신기,26,44,70,44.0,74.2,0.34,0.288,0.4,0.43,0.449,0.483,1.692,1.686
frozen_7350,로이킴,27,47,74,43.7,73.4,0.336,0.283,0.327,0.299,0.375,0.34,1.619,1.562
frozen_7350,Hearts2Hearts,20,50,70,38.2,82.9,0.272,0.344,0.615,0.4,0.631,0.445,1.91,1.658
frozen_7350,권은비,21,61,82,35.4,87.3,0.24,0.373,0.393,0.162,0.417,0.168,1.686,1.431
frozen_7350,성시경,31,40,71,49.9,60.1,0.408,0.197,0.318,0.237,0.382,0.279,1.61,1.502
frozen_7350,슈퍼주니어,24,38,62,44.6,69.5,0.347,0.257,0.564,0.58,0.604,0.639,1.858,1.829
frozen_7350,츄,30,42,72,44.7,69.0,0.348,0.254,0.2,0.385,0.242,0.439,1.49,1.643
frozen_7350,Crush,32,51,83,43.1,71.6,0.329,0.271,0.059,0.134,0.072,0.143,1.347,1.404
frozen_7350,QWER,30,39,69,47.4,63.1,0.379,0.216,0.289,0.358,0.346,0.415,1.58,1.618
frozen_7350,여자친구,37,33,70,51.5,55.3,0.427,0.166,0.103,0.419,0.148,0.488,1.392,1.676
frozen_7350,ITZY,31,45,76,44.9,67.1,0.35,0.242,0.159,0.225,0.196,0.259,1.448,1.491
frozen_7350,나훈아,27,32,59,54.3,49.5,0.459,0.128,0.715,0.284,0.758,0.345,2.011,1.547
frozen_7350,STAYC,34,39,73,47.1,61.4,0.376,0.205,0.097,0.313,0.129,0.365,1.385,1.574
frozen_7350,다비치,26,39,65,48.8,55.6,0.395,0.168,0.582,0.156,0.632,0.186,1.877,1.426
frozen_7350,악동뮤지션,20,45,65,36.5,77.8,0.252,0.311,0.531,0.475,0.551,0.527,1.825,1.729
frozen_7350,IVE,27,43,70,41.8,67.3,0.314,0.243,0.258,0.303,0.297,0.349,1.548,1.565
frozen_7350,10CM,30,38,68,48.0,56.0,0.386,0.17,0.309,0.207,0.368,0.247,1.6,1.474
frozen_7350,김재중,24,29,53,42.5,64.2,0.322,0.223,0.478,0.984,0.52,1.0,1.771,2.214
frozen_7350,HOT,20,33,53,41.9,62.5,0.315,0.212,0.798,0.648,0.794,0.71,2.095,1.894
frozen_7350,이효리,9,62,71,14.8,110.3,0.0,0.521,0.353,0.527,0.271,0.561,1.644,1.779
frozen_7350,보아,25,35,60,45.8,53.2,0.36,0.152,0.538,0.256,0.584,0.308,1.832,1.52
frozen_7350,에픽하이,39,29,68,50.2,39.7,0.412,0.065,0.0,0.097,0.016,0.128,1.287,1.369
frozen_7350,청하,17,51,68,29.1,75.0,0.166,0.293,0.419,0.204,0.418,0.227,1.712,1.471
frozen_7350,윤하,20,33,53,41.8,52.0,0.314,0.144,0.793,0.314,0.789,0.376,2.09,1.576
frozen_7350,케이윌,32,30,62,49.0,38.3,0.398,0.056,0.241,0.0,0.298,0.0,1.531,1.277
frozen_7350,조용필,23,36,59,35.8,61.5,0.244,0.206,0.266,0.453,0.287,0.518,1.557,1.708
frozen_7350,잭스키스,26,28,54,44.1,42.6,0.341,0.083,0.404,0.257,0.453,0.322,1.696,1.521
frozen_7350,박정현,16,42,58,27.8,68.6,0.151,0.252,0.445,0.375,0.437,0.428,1.738,1.633
frozen_7350,김연자,17,42,59,28.5,67.1,0.159,0.242,0.384,0.337,0.382,0.388,1.676,1.598
frozen_7350,빅마마,21,29,50,40.7,44.8,0.301,0.098,0.643,0.282,0.662,0.348,1.938,1.545
frozen_7350,볼빨간사춘기,24,33,57,37.8,49.2,0.267,0.126,0.284,0.225,0.313,0.276,1.575,1.491
frozen_7350,엄정화,16,43,59,22.9,72.7,0.094,0.278,0.142,0.435,0.096,0.489,1.431,1.691
frozen_7350,FTISLAND,22,34,56,31.1,55.7,0.19,0.168,0.125,0.38,0.112,0.445,1.414,1.638
frozen_7350,다이나믹듀오,21,26,47,37.8,40.5,0.267,0.07,0.506,0.295,0.532,0.369,1.8,1.558
frozen_7350,비비,23,33,56,31.0,52.4,0.188,0.147,0.06,0.327,0.034,0.39,1.348,1.588
frozen_7350,카더가든,19,39,58,27.0,59.6,0.142,0.193,0.132,0.264,0.104,0.311,1.421,1.528
frozen_7350,sg워너비,20,27,47,33.0,42.7,0.212,0.084,0.358,0.32,0.373,0.394,1.65,1.581
frozen_7350,장윤정,14,40,54,22.7,59.9,0.092,0.195,0.33,0.232,0.3,0.273,1.621,1.498
frozen_7350,이승철,14,31,45,22.8,55.8,0.093,0.169,0.337,0.55,0.307,0.621,1.629,1.8
frozen_7350,윤도현,16,27,43,27.2,45.4,0.144,0.102,0.408,0.425,0.399,0.505,1.7,1.681
frozen_7350,린,16,28,44,26.2,46.0,0.133,0.105,0.346,0.385,0.333,0.461,1.637,1.643
frozen_7350,잔나비,16,31,47,24.6,48.5,0.114,0.122,0.247,0.302,0.222,0.367,1.538,1.565
frozen_7350,백지영,16,33,49,24.3,47.4,0.11,0.114,0.229,0.168,0.2,0.208,1.519,1.436
frozen_7350,김동률,13,17,30,29.0,34.0,0.165,0.028,0.932,0.76,0.852,0.846,2.231,2.0
frozen_7350,Zion.T,13,33,46,19.0,47.7,0.049,0.116,0.172,0.177,0.108,0.22,1.462,1.445
frozen_7350,박효신,15,19,34,28.9,29.7,0.164,0.0,0.631,0.301,0.612,0.393,1.927,1.563
frozen_7350,pH-1,18,26,44,24.2,36.1,0.109,0.041,0.057,0.117,0.0,0.16,1.344,1.388
frozen_7350,한로로,17,24,41,24.9,32.7,0.117,0.019,0.175,0.09,0.144,0.13,1.465,1.362
frozen_7350,이문세,11,28,39,15.4,47.5,0.007,0.115,0.111,0.441,0.012,0.519,1.4,1.696
frozen_7350,브라운아이즈,10,21,31,20.3,35.4,0.064,0.037,0.733,0.43,0.655,0.524,2.03,1.686
frozen_7350,거미,16,22,38,21.9,30.6,0.083,0.006,0.081,0.12,0.017,0.173,1.369,1.391
frozen_7350,BE'O,12,22,34,20.8,31.4,0.07,0.011,0.441,0.158,0.399,0.219,1.733,1.427
