fandom,category,n_loyalty,n_spillover,activity,loyalty_raw,spillover_raw,loyalty_score,spillover_score,Lang,Mkt,Src,Time,Ent,coverage_index,factor_diversity,dominant_factor,quadrant
박서진,트로트,33,66,99,79.1,110.6,0.538,0.2966,0.1506,0.5,0.6667,0.75,0.3333,0.4493,0.7337,현장경제형(콘서트·투어·매진),핵심전략형
아이오아이,K-pop 걸그룹,45,50,95,78.8,78.4,0.5347,0.1488,0.5249,0.6667,0.6667,0.6667,0.6667,0.6241,0.7209,현장경제형(콘서트·투어·매진),내부결속형
ATEEZ,K-pop 보이그룹,42,71,113,76.8,132.3,0.5127,0.3962,0.6065,1.0,1.0,0.75,0.6667,0.8111,0.8709,현장경제형(콘서트·투어·매진),핵심전략형
정동원,트로트,48,59,107,75.7,89.7,0.5006,0.2006,0.2236,0.5,1.0,0.6667,0.5,0.5421,0.7914,현장경제형(콘서트·투어·매진),내부결속형
잭스키스,원로그룹,41,44,85,75.6,68.4,0.4994,0.1028,0.2537,0.6667,0.6667,0.4167,1.0,0.5386,0.6844,현장경제형(콘서트·투어·매진),내부결속형
김동률,발라드,37,46,83,75.3,78.9,0.4961,0.1511,0.2599,0.8333,0.6667,0.5833,0.6667,0.5738,0.6834,현장경제형(콘서트·투어·매진),내부결속형
박효신,발라드,37,54,91,74.7,86.4,0.4895,0.1855,0.3018,0.6667,0.6667,0.9167,0.8333,0.6114,0.7114,현장경제형(콘서트·투어·매진),내부결속형
BTOB,K-pop 보이그룹,41,41,82,74.2,73.6,0.484,0.1267,0.6563,0.6667,0.6667,1.0,0.6667,0.7136,0.8399,현장경제형(콘서트·투어·매진),내부결속형
영탁,트로트,39,65,104,73.8,106.9,0.4796,0.2796,0.2911,0.6667,1.0,0.5833,0.6667,0.6082,0.6843,현장경제형(콘서트·투어·매진),핵심전략형
GOT7,K-pop 보이그룹,38,69,107,73.5,122.1,0.4763,0.3494,0.5245,1.0,1.0,1.0,1.0,0.8573,0.7714,현장경제형(콘서트·투어·매진),핵심전략형
워너원,K-pop 보이그룹,48,75,123,73.1,131.5,0.4719,0.3926,0.641,1.0,0.6667,0.75,0.8333,0.7715,0.7382,현장경제형(콘서트·투어·매진),핵심전략형
윤하,솔로,33,50,83,72.7,81.7,0.4675,0.1639,0.4497,0.6667,1.0,0.8333,1.0,0.7266,0.745,현장경제형(콘서트·투어·매진),내부결속형
김호중,트로트,39,52,91,72.4,77.6,0.4642,0.1451,0.263,0.8333,0.6667,0.5833,1.0,0.6081,0.8618,현장경제형(콘서트·투어·매진),내부결속형
(여자)아이들,K-pop 걸그룹,43,75,118,71.2,129.8,0.4509,0.3848,0.6163,1.0,1.0,0.75,0.8333,0.8307,0.7839,현장경제형(콘서트·투어·매진),핵심전략형
김재중,솔로,39,38,77,70.9,80.7,0.4476,0.1593,0.3574,0.8333,1.0,0.9167,0.6667,0.7197,0.5945,현장경제형(콘서트·투어·매진),내부결속형
이찬원,트로트,37,69,106,68.3,116.2,0.419,0.3223,0.2521,0.3333,0.6667,0.5833,1.0,0.4798,0.8866,현장경제형(콘서트·투어·매진),핵심전략형
이영지,힙합,39,68,107,67.6,104.5,0.4112,0.2686,0.5396,1.0,1.0,0.5833,0.8333,0.7827,0.7957,현장경제형(콘서트·투어·매진),핵심전략형
나훈아,트로트,33,37,70,67.3,58.1,0.4079,0.0556,0.2709,0.6667,0.6667,0.5833,0.3333,0.5021,0.6108,현장경제형(콘서트·투어·매진),내부결속형
박재범,힙합,49,61,110,66.6,96.8,0.4002,0.2332,0.6198,1.0,1.0,0.9167,0.5,0.8234,0.658,현장경제형(콘서트·투어·매진),내부결속형
NewJeans,K-pop 걸그룹,44,110,154,65.2,165.2,0.3848,0.5473,0.6337,1.0,0.6667,0.4167,0.6667,0.7026,0.9266,현장경제형(콘서트·투어·매진),핵심전략형
여자친구,K-pop 걸그룹,44,49,93,64.9,83.7,0.3815,0.1731,0.6941,1.0,0.6667,1.0,0.8333,0.8249,0.7164,현장경제형(콘서트·투어·매진),내부결속형
sg워너비,발라드,36,39,75,63.8,64.0,0.3693,0.0826,0.2684,0.5,0.6667,0.8333,0.8333,0.5472,0.7492,현장경제형(콘서트·투어·매진),주변부
샤이니,K-pop 보이그룹,36,41,77,63.4,77.1,0.3649,0.1428,0.6859,1.0,0.6667,0.9167,0.8333,0.8099,0.587,현장경제형(콘서트·투어·매진),주변부
엔믹스,K-pop 걸그룹,47,63,110,63.3,101.7,0.3638,0.2557,0.6793,1.0,0.6667,0.5,1.0,0.7621,0.9173,현장경제형(콘서트·투어·매진),주변부
리센느(RESCENE),K-pop 걸그룹,31,54,85,62.9,103.1,0.3594,0.2622,0.3574,0.8333,1.0,0.3333,0.8333,0.6489,0.801,현장경제형(콘서트·투어·매진),주변부
LE SSERAFIM,K-pop 걸그룹,44,99,143,62.7,148.3,0.3572,0.4697,0.7003,1.0,1.0,0.5,0.6667,0.8018,0.8736,현장경제형(콘서트·투어·매진),외부견인형
QWER,K-pop 걸그룹,39,64,103,62.6,103.2,0.3561,0.2626,0.5328,0.8333,1.0,0.4167,0.3333,0.664,0.8058,현장경제형(콘서트·투어·매진),주변부
슈퍼주니어,K-pop 보이그룹,31,58,89,62.4,107.8,0.3539,0.2837,0.5763,0.8333,0.6667,0.75,0.8333,0.7104,0.7083,현장경제형(콘서트·투어·매진),외부견인형
싸이,솔로,30,92,122,62.4,167.2,0.3539,0.5565,0.5756,1.0,0.6667,0.8333,0.5,0.731,0.7883,현장경제형(콘서트·투어·매진),외부견인형
성시경,발라드,37,43,80,61.4,65.4,0.3429,0.0891,0.3197,0.5,0.6667,1.0,0.8333,0.5876,0.7061,현장경제형(콘서트·투어·매진),주변부
송가인,트로트,34,58,92,61.4,113.9,0.3429,0.3118,0.2246,0.5,0.6667,0.75,0.8333,0.5215,0.6501,현장경제형(콘서트·투어·매진),외부견인형
에픽하이,힙합,46,41,87,61.1,59.2,0.3396,0.0606,0.6409,1.0,1.0,0.75,0.6667,0.8214,0.6104,현장경제형(콘서트·투어·매진),주변부
최예나,솔로,39,57,96,60.8,88.4,0.3363,0.1947,0.3698,0.8333,1.0,0.5833,0.5,0.6568,0.8391,현장경제형(콘서트·투어·매진),주변부
IVE,K-pop 걸그룹,38,62,100,60.7,103.9,0.3352,0.2658,0.6834,1.0,0.6667,0.5,0.8333,0.7467,0.8852,현장경제형(콘서트·투어·매진),주변부
10CM,솔로,37,48,85,60.5,71.1,0.333,0.1152,0.5575,0.8333,1.0,0.8333,0.8333,0.7839,0.7481,현장경제형(콘서트·투어·매진),주변부
STAYC,K-pop 걸그룹,42,50,92,60.5,78.9,0.333,0.1511,0.6123,1.0,0.6667,0.5833,0.8333,0.7379,0.8298,현장경제형(콘서트·투어·매진),주변부
볼빨간사춘기,솔로,38,50,88,60.3,72.9,0.3308,0.1235,0.3131,0.6667,1.0,0.9167,0.6667,0.6648,0.8132,현장경제형(콘서트·투어·매진),주변부
아일릿,K-pop 걸그룹,31,76,107,60.2,119.4,0.3297,0.337,0.6279,0.8333,0.6667,0.3333,0.8333,0.6634,0.8586,현장경제형(콘서트·투어·매진),외부견인형
ITZY,K-pop 걸그룹,41,66,107,60.2,101.2,0.3297,0.2534,0.6845,1.0,1.0,0.8333,1.0,0.8804,0.8956,현장경제형(콘서트·투어·매진),주변부
소녀시대,K-pop 걸그룹,33,89,122,60.0,162.8,0.3275,0.5363,0.5884,0.8333,0.6667,0.8333,0.8333,0.7265,0.9338,현장경제형(콘서트·투어·매진),외부견인형
빅마마,발라드,31,42,73,59.8,65.1,0.3252,0.0877,0.1775,0.0,0.6667,0.5,0.6667,0.3283,0.8206,현장경제형(콘서트·투어·매진),주변부
프로미스나인,K-pop 걸그룹,34,55,89,58.9,96.8,0.3153,0.2332,0.6549,0.8333,0.6667,0.8333,0.6667,0.7298,0.8591,현장경제형(콘서트·투어·매진),주변부
오마이걸,K-pop 걸그룹,34,64,98,58.1,100.2,0.3065,0.2489,0.5579,0.6667,0.6667,1.0,0.8333,0.7007,0.7197,현장경제형(콘서트·투어·매진),주변부
빅뱅,K-pop 보이그룹,31,66,97,56.5,118.6,0.2889,0.3333,0.5917,1.0,0.6667,0.75,0.8333,0.7567,0.7528,현장경제형(콘서트·투어·매진),외부견인형
케이윌,발라드,36,35,71,56.3,46.0,0.2867,0.0,0.4626,0.5,0.6667,0.9167,0.5,0.5846,0.7427,현장경제형(콘서트·투어·매진),주변부
동방신기,K-pop 보이그룹,31,51,82,56.3,85.5,0.2867,0.1814,0.5692,0.8333,0.6667,0.9167,0.3333,0.6833,0.7598,현장경제형(콘서트·투어·매진),주변부
브라운아이즈,발라드,29,53,82,56.1,95.0,0.2845,0.225,0.182,0.3333,0.6667,0.6667,0.6667,0.4379,0.7998,현장경제형(콘서트·투어·매진),주변부
A-pink,K-pop 걸그룹,35,60,95,55.8,102.2,0.2811,0.258,0.6119,0.8333,0.6667,0.9167,0.6667,0.7294,0.7786,현장경제형(콘서트·투어·매진),주변부
보아,솔로,30,46,76,55.5,68.6,0.2778,0.1038,0.639,0.6667,0.6667,0.5,0.6667,0.6334,0.6458,현장경제형(콘서트·투어·매진),주변부
다비치,발라드,29,51,80,54.3,76.4,0.2646,0.1396,0.3792,0.6667,0.6667,0.75,1.0,0.6263,0.8507,현장경제형(콘서트·투어·매진),주변부
마마무,K-pop 걸그룹,35,59,94,53.1,100.1,0.2514,0.2484,0.6459,1.0,1.0,1.0,1.0,0.8938,0.8422,현장경제형(콘서트·투어·매진),주변부
빈지노,힙합,27,52,79,52.6,82.9,0.2459,0.1694,0.2846,0.6667,0.6667,0.8333,0.5,0.5604,0.7886,현장경제형(콘서트·투어·매진),주변부
로이킴,발라드,30,59,89,51.6,91.0,0.2348,0.2066,0.3125,0.6667,0.6667,0.8333,0.8333,0.6021,0.6626,현장경제형(콘서트·투어·매진),주변부
거미,발라드,34,53,87,51.2,78.3,0.2304,0.1483,0.2726,0.8333,1.0,0.9167,0.8333,0.711,0.6514,현장경제형(콘서트·투어·매진),주변부
츄,솔로,34,59,93,51.1,97.0,0.2293,0.2342,0.4355,0.8333,1.0,0.8333,0.3333,0.6973,0.8317,현장경제형(콘서트·투어·매진),주변부
CNBLUE,K-pop 보이그룹 /록,33,51,84,50.8,93.6,0.226,0.2185,0.7134,1.0,0.6667,1.0,0.8333,0.8307,0.7643,현장경제형(콘서트·투어·매진),주변부
윤도현,록,29,42,71,50.5,72.6,0.2227,0.1221,0.2176,1.0,0.6667,0.8333,0.3333,0.6069,0.6279,현장경제형(콘서트·투어·매진),주변부
다이나믹듀오,힙합,26,42,68,49.2,68.9,0.2084,0.1051,0.3303,0.8333,0.6667,0.8333,0.6667,0.6324,0.5758,현장경제형(콘서트·투어·매진),주변부
Crush,솔로,35,64,99,49.0,94.4,0.2062,0.2222,0.5956,0.8333,1.0,0.9167,0.6667,0.7912,0.8301,현장경제형(콘서트·투어·매진),주변부
FTISLAND,K-pop 보이그룹 /록,31,42,73,48.0,68.3,0.1951,0.1024,0.551,0.8333,1.0,0.8333,0.6667,0.7653,0.7948,현장경제형(콘서트·투어·매진),주변부
Hearts2Hearts,K-pop 걸그룹,27,75,102,46.7,124.1,0.1808,0.3586,0.5719,0.8333,1.0,0.3333,0.8333,0.7132,0.9008,현장경제형(콘서트·투어·매진),외부견인형
지코,힙합,28,73,101,46.3,130.6,0.1764,0.3884,0.5495,0.8333,1.0,0.8333,0.8333,0.7815,0.7579,현장경제형(콘서트·투어·매진),외부견인형
조용필,발라드,28,53,81,46.1,89.3,0.1742,0.1988,0.3524,0.6667,0.6667,0.4167,0.5,0.5182,0.8498,현장경제형(콘서트·투어·매진),주변부
권은비,솔로,25,65,90,43.8,91.3,0.1488,0.208,0.4083,0.8333,1.0,0.5833,0.8333,0.7016,0.8167,현장경제형(콘서트·투어·매진),주변부
장윤정,트로트,27,65,92,43.0,99.5,0.14,0.2456,0.2705,0.5,1.0,0.75,0.5,0.5686,0.7217,현장경제형(콘서트·투어·매진),주변부
이승철,발라드,24,54,78,42.2,95.8,0.1312,0.2287,0.2789,0.6667,0.6667,0.8333,0.5,0.5587,0.5917,현장경제형(콘서트·투어·매진),주변부
백지영,발라드,24,48,72,40.2,71.7,0.1092,0.118,0.421,0.8333,0.6667,1.0,0.5,0.668,0.7597,현장경제형(콘서트·투어·매진),주변부
악동뮤지션,혼성,23,51,74,39.5,90.7,0.1014,0.2052,0.4619,0.8333,0.6667,0.9167,0.8333,0.7011,0.8301,현장경제형(콘서트·투어·매진),주변부
린,발라드,23,55,78,39.4,93.0,0.1003,0.2158,0.2299,0.5,0.6667,0.8333,0.6667,0.519,0.7206,현장경제형(콘서트·투어·매진),주변부
Zion.T,솔로,24,55,79,38.9,83.1,0.0948,0.1703,0.5502,0.8333,0.6667,1.0,0.8333,0.7401,0.7517,현장경제형(콘서트·투어·매진),주변부
카더가든,솔로,26,48,74,38.8,74.9,0.0937,0.1327,0.1529,0.6667,0.6667,0.6667,0.3333,0.4792,0.8057,현장경제형(콘서트·투어·매진),주변부
김연자,트로트,21,52,73,37.6,85.3,0.0805,0.1804,0.2143,0.5,0.6667,0.9167,0.5,0.5101,0.7406,현장경제형(콘서트·투어·매진),주변부
청하,솔로,20,59,79,36.3,91.6,0.0662,0.2094,0.4348,0.8333,1.0,0.9167,0.6667,0.7429,0.9253,현장경제형(콘서트·투어·매진),주변부
비비,솔로,26,48,74,35.6,77.7,0.0584,0.1455,0.6412,0.8333,1.0,0.75,0.6667,0.7799,0.815,현장경제형(콘서트·투어·매진),주변부
이문세,발라드,20,50,70,35.2,90.1,0.054,0.2025,0.1712,0.5,0.6667,0.9167,0.6667,0.5139,0.6958,현장경제형(콘서트·투어·매진),주변부
잔나비,록,20,49,69,33.0,79.7,0.0298,0.1547,0.3589,1.0,1.0,0.9167,1.0,0.7952,0.7082,현장경제형(콘서트·투어·매진),주변부
투어스(TWS),K-pop 보이그룹,32,58,90,32.8,62.0,0.0276,0.0735,0.5013,0.8333,1.0,0.25,0.6667,0.6629,0.5611,소비력형(초동·판매·앨범),주변부
이효리,솔로,17,103,120,30.8,188.5,0.0055,0.6543,0.4086,0.6667,0.6667,0.6667,0.5,0.5726,0.7863,현장경제형(콘서트·투어·매진),외부견인형
박정현,발라드,18,52,70,30.6,83.3,0.0033,0.1713,0.3059,0.8333,0.6667,0.6667,0.5,0.5834,0.7804,현장경제형(콘서트·투어·매진),주변부
엄정화,솔로,20,51,71,30.3,85.9,0.0,0.1832,0.3706,0.3333,0.6667,0.5833,0.5,0.4653,0.7578,현장경제형(콘서트·투어·매진),주변부
