fandom,bullet_type,idx,n_numeric,n_bonus_kw,bonus_kw_hit,evidence_score,years_in_text
이영지,spillover,34,0,1,모델,1.3,2025
이영지,spillover,35,0,2,앰버서더|브랜드,1.6,2025
이영지,spillover,36,1,2,관광|지역,2.1,2026
이영지,spillover,37,0,0,,1.0,2026
이영지,spillover,38,1,0,,1.5,2025
이영지,spillover,39,0,0,,1.0,
이영지,spillover,40,1,0,,1.5,
이영지,spillover,41,0,0,,1.0,
이영지,spillover,42,0,0,,1.0,
이영지,spillover,43,0,0,,1.0,
이영지,spillover,44,0,0,,1.0,
이영지,spillover,45,0,0,,1.0,
이영지,spillover,46,0,0,,1.0,
이영지,spillover,47,0,0,,1.0,
이영지,spillover,48,0,0,,1.0,2022
이영지,spillover,49,1,1,방문,1.8,2023
이영지,spillover,50,0,1,투어,1.3,
이영지,spillover,51,0,0,,1.0,2020
이영지,spillover,52,1,0,,1.5,2026
이영지,spillover,53,1,1,홍보대사,1.8,2020
이영지,spillover,54,1,1,모델,1.8,2022
이영지,spillover,55,1,0,,1.5,2026
이영지,spillover,56,2,1,앰버서더,2.3,2025
이영지,spillover,57,1,2,앰버서더|브랜드,2.1,2025
이영지,spillover,58,1,1,홍보대사,1.8,2021
이영지,spillover,59,1,1,모델,1.8,2022
이영지,spillover,60,1,1,앰버서더,1.8,2025
이영지,spillover,61,1,2,앰버서더|브랜드,2.1,2025
이영지,spillover,62,0,2,앰버서더|브랜드,1.6,
이영지,spillover,63,0,1,모델,1.3,
이영지,spillover,64,0,2,투어|콘서트,1.6,
이영지,spillover,65,0,0,,1.0,
이영지,spillover,66,0,0,,1.0,
이영지,spillover,67,0,0,,1.0,
지드래곤 (G-Dragon),loyalty,0,2,1,매진,2.3,2025
지드래곤 (G-Dragon),loyalty,1,1,0,,1.5,
지드래곤 (G-Dragon),loyalty,2,0,2,매진|팬클럽,1.6,
지드래곤 (G-Dragon),loyalty,3,1,2,팬클럽|결속,2.1,
지드래곤 (G-Dragon),loyalty,4,2,0,,2.0,
지드래곤 (G-Dragon),loyalty,5,0,0,,1.0,
지드래곤 (G-Dragon),loyalty,6,2,1,매진,2.3,2025
지드래곤 (G-Dragon),loyalty,7,1,0,,1.5,2025
지드래곤 (G-Dragon),loyalty,8,1,1,매진,1.8,2025
지드래곤 (G-Dragon),loyalty,9,3,1,매진,2.8,2025
지드래곤 (G-Dragon),loyalty,10,1,0,,1.5,
지드래곤 (G-Dragon),loyalty,11,0,1,매진,1.3,
지드래곤 (G-Dragon),loyalty,12,6,0,,4.0,
지드래곤 (G-Dragon),loyalty,13,1,0,,1.5,2025
지드래곤 (G-Dragon),loyalty,14,1,0,,1.5,2025
지드래곤 (G-Dragon),loyalty,15,3,1,팬클럽,2.8,2015|2016
지드래곤 (G-Dragon),loyalty,16,5,1,기부,3.8,2017
지드래곤 (G-Dragon),loyalty,17,2,1,매진,2.3,
지드래곤 (G-Dragon),loyalty,18,0,0,,1.0,2025
지드래곤 (G-Dragon),loyalty,19,0,0,,1.0,
지드래곤 (G-Dragon),loyalty,20,2,2,확장|팬클럽,2.6,2026
지드래곤 (G-Dragon),loyalty,21,1,1,팬클럽,1.8,2026
지드래곤 (G-Dragon),loyalty,22,1,0,,1.5,2025
지드래곤 (G-Dragon),loyalty,23,2,0,,2.0,2025
지드래곤 (G-Dragon),loyalty,24,3,0,,2.5,2025
지드래곤 (G-Dragon),loyalty,25,1,1,매진,1.8,2025
지드래곤 (G-Dragon),loyalty,26,2,0,,2.0,
지드래곤 (G-Dragon),loyalty,27,0,0,,1.0,
지드래곤 (G-Dragon),loyalty,28,0,0,,1.0,
지드래곤 (G-Dragon),loyalty,29,0,0,,1.0,2025
지드래곤 (G-Dragon),loyalty,30,0,0,,1.0,
지드래곤 (G-Dragon),loyalty,31,0,0,,1.0,
지드래곤 (G-Dragon),loyalty,32,1,0,,1.5,2025
지드래곤 (G-Dragon),loyalty,33,0,0,,1.0,
지드래곤 (G-Dragon),loyalty,34,1,0,,1.5,2017
지드래곤 (G-Dragon),loyalty,35,2,2,기부|팬클럽,2.6,2016
지드래곤 (G-Dragon),loyalty,36,2,2,기부|팬클럽,2.6,2016
지드래곤 (G-Dragon),loyalty,37,2,1,기부,2.3,2015
지드래곤 (G-Dragon),loyalty,38,2,1,기부,2.3,2025
지드래곤 (G-Dragon),loyalty,39,1,0,,1.5,2025
지드래곤 (G-Dragon),loyalty,40,0,1,지속,1.3,2023
지드래곤 (G-Dragon),loyalty,41,1,0,,1.5,2026
지드래곤 (G-Dragon),loyalty,42,1,0,,1.5,2026
지드래곤 (G-Dragon),loyalty,43,1,0,,1.5,2024|2025
지드래곤 (G-Dragon),loyalty,44,1,0,,1.5,2026
지드래곤 (G-Dragon),loyalty,45,0,0,,1.0,
지드래곤 (G-Dragon),loyalty,46,2,0,,2.0,
지드래곤 (G-Dragon),spillover,0,1,1,모델,1.8,2025
지드래곤 (G-Dragon),spillover,1,0,2,협업|콘서트,1.6,
지드래곤 (G-Dragon),spillover,2,3,3,모델|브랜드|수익,3.4,2025
지드래곤 (G-Dragon),spillover,3,1,1,앰버서더,1.8,2016
지드래곤 (G-Dragon),spillover,4,0,3,앰버서더|브랜드|소비,1.9,
지드래곤 (G-Dragon),spillover,5,0,1,투어,1.3,
지드래곤 (G-Dragon),spillover,6,1,1,홍보대사,1.8,2025
지드래곤 (G-Dragon),spillover,7,2,1,홍보대사,2.3,2025
지드래곤 (G-Dragon),spillover,8,1,5,경제효과|매출|관광|수익|콘서트,3.0,
지드래곤 (G-Dragon),spillover,9,1,2,매출|콘서트,2.1,
지드래곤 (G-Dragon),spillover,10,1,1,홍보대사,1.8,2026
지드래곤 (G-Dragon),spillover,11,0,1,콘서트,1.3,
지드래곤 (G-Dragon),spillover,12,2,1,앰버서더,2.3,2016|2017
지드래곤 (G-Dragon),spillover,13,6,0,,4.0,2017
지드래곤 (G-Dragon),spillover,14,1,1,지역,1.8,
지드래곤 (G-Dragon),spillover,15,4,1,투어,3.3,2025
지드래곤 (G-Dragon),spillover,16,1,1,홍보대사,1.8,2026
지드래곤 (G-Dragon),spillover,17,1,1,홍보대사,1.8,2025
지드래곤 (G-Dragon),spillover,18,6,0,,4.0,2024
지드래곤 (G-Dragon),spillover,19,4,0,,3.0,2020|2026
지드래곤 (G-Dragon),spillover,20,0,2,경제효과|콘서트,1.6,
지드래곤 (G-Dragon),spillover,21,0,1,앰버서더,1.3,2026
지드래곤 (G-Dragon),spillover,22,1,0,,1.5,
지드래곤 (G-Dragon),spillover,23,0,1,브랜드,1.3,
지드래곤 (G-Dragon),spillover,24,1,0,,1.5,
지드래곤 (G-Dragon),spillover,25,0,0,,1.0,
지드래곤 (G-Dragon),spillover,26,1,1,투어,1.8,2025
지드래곤 (G-Dragon),spillover,27,0,3,앰버서더|브랜드|콘서트,1.9,
지드래곤 (G-Dragon),spillover,28,0,1,앰버서더,1.3,
지드래곤 (G-Dragon),spillover,29,0,0,,1.0,
지드래곤 (G-Dragon),spillover,30,0,1,투어,1.3,2025
지드래곤 (G-Dragon),spillover,31,0,0,,1.0,
지드래곤 (G-Dragon),spillover,32,1,0,,1.5,
지드래곤 (G-Dragon),spillover,33,1,0,,1.5,
지드래곤 (G-Dragon),spillover,34,0,0,,1.0,
지드래곤 (G-Dragon),spillover,35,0,1,앰버서더,1.3,2026
지드래곤 (G-Dragon),spillover,36,1,1,브랜드,1.8,
지드래곤 (G-Dragon),spillover,37,1,2,투어|콘서트,2.1,2025
지드래곤 (G-Dragon),spillover,38,0,3,관광|브랜드|콘서트,1.9,
지드래곤 (G-Dragon),spillover,39,9,0,,5.5,2024|2025
지드래곤 (G-Dragon),spillover,40,6,0,,4.0,2017
지드래곤 (G-Dragon),spillover,41,3,0,,2.5,2024|2025
지드래곤 (G-Dragon),spillover,42,3,1,투어,2.8,2017
지드래곤 (G-Dragon),spillover,43,0,0,,1.0,
지드래곤 (G-Dragon),spillover,44,1,1,투어,1.8,2025
지드래곤 (G-Dragon),spillover,45,3,1,지역,2.8,2025
지드래곤 (G-Dragon),spillover,46,0,0,,1.0,
지드래곤 (G-Dragon),spillover,47,0,0,,1.0,
지드래곤 (G-Dragon),spillover,48,0,0,,1.0,
지드래곤 (G-Dragon),spillover,49,0,0,,1.0,
지드래곤 (G-Dragon),spillover,50,0,0,,1.0,
지드래곤 (G-Dragon),spillover,51,0,0,,1.0,
지드래곤 (G-Dragon),spillover,52,0,0,,1.0,
지드래곤 (G-Dragon),spillover,53,0,1,콘서트,1.3,
지드래곤 (G-Dragon),spillover,54,1,2,투어|콘서트,2.1,2025
지드래곤 (G-Dragon),spillover,55,0,0,,1.0,2025
지드래곤 (G-Dragon),spillover,56,0,1,콘서트,1.3,
지드래곤 (G-Dragon),spillover,57,0,0,,1.0,
지드래곤 (G-Dragon),spillover,58,1,0,,1.5,2025
지드래곤 (G-Dragon),spillover,59,0,0,,1.0,
지드래곤 (G-Dragon),spillover,60,2,0,,2.0,2024
지드래곤 (G-Dragon),spillover,61,1,2,투어|콘서트,2.1,2025
지드래곤 (G-Dragon),spillover,62,2,1,홍보대사,2.3,2026
지드래곤 (G-Dragon),spillover,63,2,2,매출|협업,2.6,
지드래곤 (G-Dragon),spillover,64,5,2,매출|모델,4.1,2025
지드래곤 (G-Dragon),spillover,65,1,1,협업,1.8,
지드래곤 (G-Dragon),spillover,66,1,0,,1.5,2016
지드래곤 (G-Dragon),spillover,67,2,0,,2.0,2026
지드래곤 (G-Dragon),spillover,68,2,0,,2.0,2026
지드래곤 (G-Dragon),spillover,69,2,0,,2.0,2026
지드래곤 (G-Dragon),spillover,70,3,1,투어,2.8,2026
지드래곤 (G-Dragon),spillover,71,1,1,모델,1.8,2025
지드래곤 (G-Dragon),spillover,72,1,1,모델,1.8,2025
지드래곤 (G-Dragon),spillover,73,1,1,앰버서더,1.8,2025|2026
지드래곤 (G-Dragon),spillover,74,1,2,브랜드|협업,2.1,2026
지드래곤 (G-Dragon),spillover,75,1,1,모델,1.8,2025
지드래곤 (G-Dragon),spillover,76,2,2,앰버서더|브랜드,2.6,2026
지드래곤 (G-Dragon),spillover,77,2,2,앰버서더|브랜드,2.6,2016
지드래곤 (G-Dragon),spillover,78,2,1,콘서트,2.3,2025
지드래곤 (G-Dragon),spillover,79,0,0,,1.0,
지드래곤 (G-Dragon),spillover,80,1,0,,1.5,
지드래곤 (G-Dragon),spillover,81,1,2,브랜드|협업,2.1,2016
지드래곤 (G-Dragon),spillover,82,0,0,,1.0,
지드래곤 (G-Dragon),spillover,83,1,1,투어,1.8,2017
지드래곤 (G-Dragon),spillover,84,1,1,협업,1.8,2026
지드래곤 (G-Dragon),spillover,85,1,0,,1.5,2025
지코,loyalty,0,1,1,팬클럽,1.8,2019
지코,loyalty,1,2,0,,2.0,2015
지코,loyalty,2,2,1,매진,2.3,2026
지코,loyalty,3,1,0,,1.5,2026
지코,loyalty,4,1,1,팬클럽,1.8,2019
지코,loyalty,5,1,0,,1.5,
지코,loyalty,6,2,0,,2.0,2024
지코,loyalty,7,1,1,팬클럽,1.8,2019
지코,loyalty,8,1,0,,1.5,
지코,loyalty,9,0,0,,1.0,
지코,loyalty,10,4,2,돌파|1위,3.6,
지코,loyalty,11,3,1,1위,2.8,2026
지코,loyalty,12,1,0,,1.5,2026
지코,loyalty,13,1,1,세대,1.8,2022
지코,loyalty,14,1,1,돌파,1.8,
지코,loyalty,15,1,0,,1.5,
지코,loyalty,16,1,0,,1.5,
지코,loyalty,17,0,0,,1.0,
지코,loyalty,18,0,0,,1.0,
지코,loyalty,19,0,0,,1.0,
지코,loyalty,20,0,0,,1.0,2023
지코,loyalty,21,1,0,,1.5,2018
지코,loyalty,22,1,0,,1.5,2015
지코,loyalty,23,1,1,팬클럽,1.8,2019
지코,loyalty,24,1,0,,1.5,2020
지코,loyalty,25,2,1,매진,2.3,2026
지코,loyalty,26,0,0,,1.0,
지코,loyalty,27,0,0,,1.0,
지코,spillover,0,1,1,브랜드,1.8,2024
지코,spillover,1,0,0,,1.0,
지코,spillover,2,1,0,,1.5,2018
지코,spillover,3,2,0,,2.0,2020
지코,spillover,4,1,1,지역,1.8,2024
지코,spillover,5,3,0,,2.5,2019|2020|2023
지코,spillover,6,0,1,협업,1.3,
지코,spillover,7,3,0,,2.5,
지코,spillover,8,5,0,,3.5,
지코,spillover,9,4,0,,3.0,
지코,spillover,10,4,0,,3.0,
지코,spillover,11,2,0,,2.0,
지코,spillover,12,3,0,,2.5,
지코,spillover,13,4,1,협업,3.3,2024
지코,spillover,14,0,1,협업,1.3,2024
지코,spillover,15,0,0,,1.0,2016
지코,spillover,16,1,2,앰버서더|홍보대사,2.1,2019
지코,spillover,17,2,0,,2.0,2019|2020
지코,spillover,18,0,1,협업,1.3,2016|2018|2020|2024
지코,spillover,19,2,0,,2.0,
지코,spillover,20,1,0,,1.5,
지코,spillover,21,0,2,모델|브랜드,1.6,
지코,spillover,22,1,1,모델,1.8,
지코,spillover,23,2,1,콘서트,2.3,2026
지코,spillover,24,1,2,협업|콘서트,2.1,
지코,spillover,25,0,0,,1.0,
지코,spillover,26,0,0,,1.0,
지코,spillover,27,3,0,,2.5,
지코,spillover,28,1,2,모델|브랜드,2.1,
지코,spillover,29,1,2,모델|브랜드,2.1,
지코,spillover,30,5,0,,3.5,
지코,spillover,31,6,0,,4.0,
지코,spillover,32,3,0,,2.5,2024
지코,spillover,33,3,0,,2.5,
지코,spillover,34,0,1,소비,1.3,2025
지코,spillover,35,0,0,,1.0,2025
지코,spillover,36,0,0,,1.0,
지코,spillover,37,0,0,,1.0,
지코,spillover,38,0,0,,1.0,
지코,spillover,39,0,0,,1.0,
지코,spillover,40,0,0,,1.0,
지코,spillover,41,1,0,,1.5,
지코,spillover,42,0,1,콘서트,1.3,
지코,spillover,43,0,0,,1.0,
지코,spillover,44,1,0,,1.5,2026
지코,spillover,45,0,0,,1.0,
지코,spillover,46,2,0,,2.0,2020
지코,spillover,47,1,0,,1.5,2025
지코,spillover,48,1,1,홍보대사,1.8,2019
지코,spillover,49,1,0,,1.5,2020
지코,spillover,50,1,0,,1.5,2026
지코,spillover,51,1,0,,1.5,2026
지코,spillover,52,1,2,앰버서더|브랜드,2.1,2024
지코,spillover,53,1,2,앰버서더|브랜드,2.1,2022
지코,spillover,54,0,2,모델|브랜드,1.6,
지코,spillover,55,1,1,모델,1.8,2016
지코,spillover,56,2,2,브랜드|협업,2.6,2016|2020
지코,spillover,57,1,1,모델,1.8,2016
지코,spillover,58,1,0,,1.5,2016
지코,spillover,59,1,0,,1.5,2016
지코,spillover,60,1,1,모델,1.8,2016
지코,spillover,61,1,2,앰버서더|브랜드,2.1,2022
지코,spillover,62,0,1,협업,1.3,
지코,spillover,63,1,0,,1.5,2026
지코,spillover,64,0,0,,1.0,2026
지코,spillover,65,3,0,,2.5,2018|2026
지코,spillover,66,1,0,,1.5,
지코,spillover,67,0,0,,1.0,
지코,spillover,68,0,1,콘서트,1.3,
지코,spillover,69,1,0,,1.5,2026
지코,spillover,70,1,0,,1.5,
지코,spillover,71,1,1,협업,1.8,
지코,spillover,72,1,0,,1.5,
박재범,loyalty,0,2,2,출범|팬클럽,2.6,2024|2025
박재범,loyalty,1,0,1,팬클럽,1.3,
박재범,loyalty,2,0,0,,1.0,
박재범,loyalty,3,0,0,,1.0,
박재범,loyalty,4,0,0,,1.0,
박재범,loyalty,5,0,0,,1.0,2017|2018
박재범,loyalty,6,0,0,,1.0,
박재범,loyalty,7,0,0,,1.0,
박재범,loyalty,8,0,0,,1.0,
박재범,loyalty,9,0,0,,1.0,
박재범,loyalty,10,1,0,,1.5,
박재범,loyalty,11,2,0,,2.0,2025
박재범,loyalty,12,0,0,,1.0,
박재범,loyalty,13,1,0,,1.5,2023
박재범,loyalty,14,2,0,,2.0,2025
박재범,loyalty,15,0,2,기부|팬클럽,1.6,
박재범,loyalty,16,0,1,팬클럽,1.3,2025
박재범,loyalty,17,1,0,,1.5,2025
박재범,loyalty,18,0,0,,1.0,2026
박재범,loyalty,19,0,0,,1.0,
박재범,loyalty,20,1,1,기부,1.8,
박재범,loyalty,21,0,0,,1.0,
박재범,loyalty,22,1,0,,1.5,
박재범,loyalty,23,0,0,,1.0,
박재범,loyalty,24,1,0,,1.5,2026
박재범,loyalty,25,0,0,,1.0,
박재범,loyalty,26,1,0,,1.5,
박재범,loyalty,27,0,0,,1.0,2025
박재범,loyalty,28,0,0,,1.0,2025
박재범,loyalty,29,0,0,,1.0,
박재범,loyalty,30,0,0,,1.0,
박재범,loyalty,31,1,0,,1.5,
박재범,loyalty,32,1,0,,1.5,
박재범,loyalty,33,0,0,,1.0,
박재범,loyalty,34,0,0,,1.0,2026
박재범,loyalty,35,0,0,,1.0,2026
박재범,loyalty,36,0,0,,1.0,
박재범,loyalty,37,3,1,지속,2.8,2019|2024
박재범,loyalty,38,1,0,,1.5,2026
박재범,loyalty,39,1,0,,1.5,2026
박재범,loyalty,40,2,1,기부,2.3,2016
박재범,loyalty,41,2,1,기부,2.3,2017
박재범,loyalty,42,0,1,팬클럽,1.3,
박재범,loyalty,43,0,1,지속,1.3,
박재범,loyalty,44,1,0,,1.5,2026
박재범,loyalty,45,0,0,,1.0,2026
박재범,loyalty,46,1,0,,1.5,
박재범,loyalty,47,2,0,,2.0,2026
박재범,loyalty,48,0,0,,1.0,
박재범,spillover,0,1,1,브랜드,1.8,
박재범,spillover,1,0,1,팝업,1.3,
박재범,spillover,2,4,0,,3.0,2016|2021
박재범,spillover,3,1,1,브랜드,1.8,2025
박재범,spillover,4,0,0,,1.0,
박재범,spillover,5,2,1,앰버서더,2.3,2023|2024
박재범,spillover,6,1,1,브랜드,1.8,2022
박재범,spillover,7,0,0,,1.0,
박재범,spillover,8,0,0,,1.0,2023|2024
박재범,spillover,9,0,0,,1.0,
박재범,spillover,10,0,0,,1.0,2022
박재범,spillover,11,0,0,,1.0,2016
박재범,spillover,12,0,0,,1.0,
박재범,spillover,13,0,1,매출,1.3,
박재범,spillover,14,0,2,앰버서더|브랜드,1.6,
박재범,spillover,15,0,0,,1.0,
박재범,spillover,16,0,0,,1.0,
박재범,spillover,17,0,0,,1.0,
박재범,spillover,18,0,0,,1.0,
박재범,spillover,19,0,1,투어,1.3,
박재범,spillover,20,6,1,팝업,4.3,2025
박재범,spillover,21,0,2,브랜드|협업,1.6,
박재범,spillover,22,1,1,방문,1.8,2023
박재범,spillover,23,2,0,,2.0,2016
박재범,spillover,24,1,0,,1.5,
박재범,spillover,25,0,0,,1.0,2026
박재범,spillover,26,0,0,,1.0,2026
박재범,spillover,27,0,2,브랜드|지역,1.6,
박재범,spillover,28,0,0,,1.0,
박재범,spillover,29,0,0,,1.0,
박재범,spillover,30,1,0,,1.5,2026
박재범,spillover,31,1,0,,1.5,2026
박재범,spillover,32,0,0,,1.0,
박재범,spillover,33,1,0,,1.5,
박재범,spillover,34,1,1,투어,1.8,2025
박재범,spillover,35,0,0,,1.0,
박재범,spillover,36,0,0,,1.0,
박재범,spillover,37,0,0,,1.0,2026
박재범,spillover,38,0,0,,1.0,
박재범,spillover,39,1,1,홍보대사,1.8,
박재범,spillover,40,1,1,홍보대사,1.8,
박재범,spillover,41,1,1,홍보대사,1.8,
박재범,spillover,42,1,2,관광|홍보대사,2.1,
박재범,spillover,43,5,1,팝업,3.8,2022
박재범,spillover,44,7,0,,4.5,2022
박재범,spillover,45,1,1,콘서트,1.8,2015
박재범,spillover,46,1,0,,1.5,2026
박재범,spillover,47,1,2,앰버서더|브랜드,2.1,2023
박재범,spillover,48,1,2,모델|브랜드,2.1,2022
박재범,spillover,49,1,1,모델,1.8,2023
박재범,spillover,50,1,1,모델,1.8,2023
박재범,spillover,51,1,0,,1.5,2022
박재범,spillover,52,1,1,투어,1.8,2023
박재범,spillover,53,0,0,,1.0,
박재범,spillover,54,2,0,,2.0,
박재범,spillover,55,1,0,,1.5,2026
박재범,spillover,56,1,0,,1.5,2025
박재범,spillover,57,0,1,협업,1.3,
박재범,spillover,58,1,0,,1.5,
박재범,spillover,59,1,0,,1.5,2026
박재범,spillover,60,0,0,,1.0,
다이나믹듀오,loyalty,0,5,1,1위,3.8,2017
다이나믹듀오,loyalty,1,2,1,매진,2.3,2023
다이나믹듀오,loyalty,2,3,0,,2.5,2024|2025
다이나믹듀오,loyalty,3,0,1,결속,1.3,
다이나믹듀오,loyalty,4,1,0,,1.5,
다이나믹듀오,loyalty,5,4,1,지속,3.3,2024
다이나믹듀오,loyalty,6,0,1,세대,1.3,2025
다이나믹듀오,loyalty,7,0,0,,1.0,2026
다이나믹듀오,loyalty,8,1,1,매진,1.8,2025
다이나믹듀오,loyalty,9,0,0,,1.0,
다이나믹듀오,loyalty,10,0,0,,1.0,
다이나믹듀오,loyalty,11,3,1,매진,2.8,2023|2024|2025
다이나믹듀오,loyalty,12,2,1,세대,2.3,2025
다이나믹듀오,loyalty,13,4,1,세대,3.3,2025|2026
다이나믹듀오,loyalty,14,1,1,매진,1.8,2025
다이나믹듀오,loyalty,15,0,1,확장,1.3,2025|2026
다이나믹듀오,loyalty,16,0,0,,1.0,
다이나믹듀오,loyalty,17,0,0,,1.0,
다이나믹듀오,loyalty,18,0,0,,1.0,
다이나믹듀오,loyalty,19,0,0,,1.0,
다이나믹듀오,loyalty,20,1,0,,1.5,2025
다이나믹듀오,loyalty,21,1,1,매진,1.8,2025
다이나믹듀오,loyalty,22,4,1,1위,3.3,
다이나믹듀오,loyalty,23,2,0,,2.0,2025
다이나믹듀오,loyalty,24,3,0,,2.5,2026
다이나믹듀오,loyalty,25,1,1,매진,1.8,
다이나믹듀오,spillover,0,1,0,,1.5,
다이나믹듀오,spillover,1,0,1,콘서트,1.3,
다이나믹듀오,spillover,2,2,0,,2.0,2024
다이나믹듀오,spillover,3,0,0,,1.0,
다이나믹듀오,spillover,4,0,0,,1.0,
다이나믹듀오,spillover,5,1,1,협업,1.8,
다이나믹듀오,spillover,6,0,0,,1.0,
다이나믹듀오,spillover,7,0,0,,1.0,2017|2024
다이나믹듀오,spillover,8,1,0,,1.5,
다이나믹듀오,spillover,9,0,2,상권|지역,1.6,
다이나믹듀오,spillover,10,0,1,투어,1.3,
다이나믹듀오,spillover,11,0,1,투어,1.3,
다이나믹듀오,spillover,12,1,0,,1.5,2026
다이나믹듀오,spillover,13,1,3,브랜드|협업|소비,2.4,
다이나믹듀오,spillover,14,3,0,,2.5,2026
다이나믹듀오,spillover,15,3,0,,2.5,
다이나믹듀오,spillover,16,2,0,,2.0,2017
다이나믹듀오,spillover,17,1,3,지역|투어|콘서트,2.4,2025
다이나믹듀오,spillover,18,1,1,지역,1.8,
다이나믹듀오,spillover,19,1,1,지역,1.8,
다이나믹듀오,spillover,20,0,0,,1.0,
다이나믹듀오,spillover,21,1,0,,1.5,2022
다이나믹듀오,spillover,22,0,0,,1.0,
다이나믹듀오,spillover,23,0,0,,1.0,
다이나믹듀오,spillover,24,0,1,협업,1.3,
다이나믹듀오,spillover,25,1,0,,1.5,2022
다이나믹듀오,spillover,26,0,0,,1.0,
다이나믹듀오,spillover,27,1,0,,1.5,
다이나믹듀오,spillover,28,1,0,,1.5,2017
다이나믹듀오,spillover,29,1,0,,1.5,2020
다이나믹듀오,spillover,30,1,0,,1.5,
다이나믹듀오,spillover,31,2,1,협업,2.3,2017
다이나믹듀오,spillover,32,2,1,콘서트,2.3,2026
다이나믹듀오,spillover,33,2,0,,2.0,2025
다이나믹듀오,spillover,34,2,0,,2.0,2025
다이나믹듀오,spillover,35,1,1,협업,1.8,2025
다이나믹듀오,spillover,36,1,0,,1.5,2025
다이나믹듀오,spillover,37,3,0,,2.5,2019|2023
다이나믹듀오,spillover,38,3,0,,2.5,2018
다이나믹듀오,spillover,39,0,0,,1.0,
다이나믹듀오,spillover,40,3,0,,2.5,2015|2018
다이나믹듀오,spillover,41,0,0,,1.0,
에픽하이,loyalty,0,2,0,,2.0,2026
에픽하이,loyalty,1,1,1,매진,1.8,2026
에픽하이,loyalty,2,3,0,,2.5,2023
에픽하이,loyalty,3,0,1,매진,1.3,
에픽하이,loyalty,4,0,1,팬클럽,1.3,
에픽하이,loyalty,5,2,0,,2.0,
