사전,항목,값,출처,비고
Coverage·엔티티(ENTITY_CATEGORIES),해외차트_시상식,빌보드,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),해외차트_시상식,Billboard,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),해외차트_시상식,오리콘,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),해외차트_시상식,Oricon,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),해외차트_시상식,AMA,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),해외차트_시상식,그래미,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),해외차트_시상식,Grammy,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),해외차트_시상식,골든디스크,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),글로벌플랫폼,유튜브,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),글로벌플랫폼,YouTube,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),글로벌플랫폼,스포티파이,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),글로벌플랫폼,Spotify,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),글로벌플랫폼,넷플릭스,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),글로벌플랫폼,Netflix,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),글로벌플랫폼,위버스,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),글로벌플랫폼,Weverse,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),글로벌플랫폼,틱톡,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),글로벌플랫폼,TikTok,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),글로벌플랫폼,인스타그램,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),글로벌플랫폼,Instagram,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),대형공연장,올림픽공원,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),대형공연장,올림픽홀,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),대형공연장,KSPO,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),대형공연장,고척돔,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),대형공연장,잠실체육관,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),대형공연장,아레나,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),대형공연장,코첼라,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),대형공연장,Coachella,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),매체_어워드,포브스,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),매체_어워드,Forbes,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),매체_어워드,보그,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),매체_어워드,Vogue,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),매체_어워드,엘르,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),매체_어워드,Elle,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),매체_어워드,서울가요대상,run_lda_v6.py,
Coverage·언어/출처유형 도메인(EN_GLOBAL_DOMAINS),EN_GLOBAL_DOMAINS,allkpop.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(EN_GLOBAL_DOMAINS),EN_GLOBAL_DOMAINS,billboard.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(EN_GLOBAL_DOMAINS),EN_GLOBAL_DOMAINS,complex.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(EN_GLOBAL_DOMAINS),EN_GLOBAL_DOMAINS,en.wikipedia.org,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(EN_GLOBAL_DOMAINS),EN_GLOBAL_DOMAINS,forbes.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(EN_GLOBAL_DOMAINS),EN_GLOBAL_DOMAINS,gizmodo.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(EN_GLOBAL_DOMAINS),EN_GLOBAL_DOMAINS,gulfnews.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(EN_GLOBAL_DOMAINS),EN_GLOBAL_DOMAINS,hollywoodreporter.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(EN_GLOBAL_DOMAINS),EN_GLOBAL_DOMAINS,koreaherald.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(EN_GLOBAL_DOMAINS),EN_GLOBAL_DOMAINS,koreatimes.co.kr,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(EN_GLOBAL_DOMAINS),EN_GLOBAL_DOMAINS,koreatimes.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(EN_GLOBAL_DOMAINS),EN_GLOBAL_DOMAINS,malaymail.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(EN_GLOBAL_DOMAINS),EN_GLOBAL_DOMAINS,news24online.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(EN_GLOBAL_DOMAINS),EN_GLOBAL_DOMAINS,nextshark.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(EN_GLOBAL_DOMAINS),EN_GLOBAL_DOMAINS,nme.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(EN_GLOBAL_DOMAINS),EN_GLOBAL_DOMAINS,pressreader.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(EN_GLOBAL_DOMAINS),EN_GLOBAL_DOMAINS,soompi.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(EN_GLOBAL_DOMAINS),EN_GLOBAL_DOMAINS,thejakartapost.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(EN_GLOBAL_DOMAINS),EN_GLOBAL_DOMAINS,variety.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(EN_GLOBAL_DOMAINS),EN_GLOBAL_DOMAINS,vietnam.vn,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(JP_DOMAINS),JP_DOMAINS,asahi.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(JP_DOMAINS),JP_DOMAINS,barks.jp,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(JP_DOMAINS),JP_DOMAINS,daily.co.jp,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(JP_DOMAINS),JP_DOMAINS,hochi.news,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(JP_DOMAINS),JP_DOMAINS,mainichi.jp,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(JP_DOMAINS),JP_DOMAINS,natalie.mu,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(JP_DOMAINS),JP_DOMAINS,nikkansports.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(JP_DOMAINS),JP_DOMAINS,nikkei.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(JP_DOMAINS),JP_DOMAINS,oricon.co.jp,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(JP_DOMAINS),JP_DOMAINS,sponichi.co.jp,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(JP_DOMAINS),JP_DOMAINS,ygex.jp,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(JP_DOMAINS),JP_DOMAINS,yomiuri.co.jp,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(CN_DOMAINS),CN_DOMAINS,163.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(CN_DOMAINS),CN_DOMAINS,baidu.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(CN_DOMAINS),CN_DOMAINS,douban.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(CN_DOMAINS),CN_DOMAINS,ifeng.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(CN_DOMAINS),CN_DOMAINS,people.com.cn,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(CN_DOMAINS),CN_DOMAINS,qq.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(CN_DOMAINS),CN_DOMAINS,sina.com.cn,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(CN_DOMAINS),CN_DOMAINS,weibo.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(CN_DOMAINS),CN_DOMAINS,xinhuanet.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(CN_DOMAINS),CN_DOMAINS,zhihu.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(ES_DOMAINS),ES_DOMAINS,abc.es,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(ES_DOMAINS),ES_DOMAINS,clarin.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(ES_DOMAINS),ES_DOMAINS,elmundo.es,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(ES_DOMAINS),ES_DOMAINS,elpais.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(ES_DOMAINS),ES_DOMAINS,infobae.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(ES_DOMAINS),ES_DOMAINS,marca.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(ES_DOMAINS),ES_DOMAINS,telemundo.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(ES_DOMAINS),ES_DOMAINS,univision.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(FR_DOMAINS),FR_DOMAINS,francetvinfo.fr,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(FR_DOMAINS),FR_DOMAINS,lefigaro.fr,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(FR_DOMAINS),FR_DOMAINS,lemonde.fr,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(FR_DOMAINS),FR_DOMAINS,leparisien.fr,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(FR_DOMAINS),FR_DOMAINS,liberation.fr,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(COMMUNITY_SOCIAL_DOMAINS),COMMUNITY_SOCIAL_DOMAINS,facebook.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(COMMUNITY_SOCIAL_DOMAINS),COMMUNITY_SOCIAL_DOMAINS,instagram.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(COMMUNITY_SOCIAL_DOMAINS),COMMUNITY_SOCIAL_DOMAINS,reddit.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(COMMUNITY_SOCIAL_DOMAINS),COMMUNITY_SOCIAL_DOMAINS,threads.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(COMMUNITY_SOCIAL_DOMAINS),COMMUNITY_SOCIAL_DOMAINS,twitter.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(COMMUNITY_SOCIAL_DOMAINS),COMMUNITY_SOCIAL_DOMAINS,x.com,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(WIKI_DOMAINS),WIKI_DOMAINS,en.wikipedia.org,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(WIKI_DOMAINS),WIKI_DOMAINS,ko.wikipedia.org,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(WIKI_DOMAINS),WIKI_DOMAINS,namu.wiki,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
Coverage·언어/출처유형 도메인(WIKI_DOMAINS),WIKI_DOMAINS,wikipedia.org,run_lda_v6.py,구 판(6개 언어). 최종 14개 언어 도메인 허용목록은 원본 소스 유실
멤버 집중도(MEMBER_ALIASES),BTS/RM,RM,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),BTS/RM,김남준,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),BTS/진,진,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),BTS/진,Jin,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),BTS/진,석진,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),BTS/슈가,슈가,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),BTS/슈가,SUGA,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),BTS/슈가,민윤기,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),BTS/제이홉,제이홉,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),BTS/제이홉,j-hope,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),BTS/제이홉,정호석,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),BTS/지민,지민,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),BTS/지민,Jimin,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),BTS/지민,박지민,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),BTS/뷔,뷔,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),BTS/뷔,V ,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),BTS/뷔,김태형,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),BTS/정국,정국,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),BTS/정국,Jungkook,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),BTS/정국,전정국,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),빅뱅/지드래곤,지드래곤,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),빅뱅/지드래곤,G-DRAGON,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),빅뱅/지드래곤,GD,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),빅뱅/지드래곤,권지용,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),빅뱅/태양,태양,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),빅뱅/태양,TAEYANG,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),빅뱅/태양,동영배,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),빅뱅/대성,대성,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),빅뱅/대성,DAESUNG,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),빅뱅/대성,강대성,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),빅뱅/탑,T.O.P,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),빅뱅/탑,최승현,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),BLACKPINK/지수,지수,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
멤버 집중도(MEMBER_ALIASES),BLACKPINK/지수,JISOO,run_lda_v6.py,파일럿 10그룹 판. 최종 45그룹 별칭은 member_mention_index_v7.json 에 그룹별로 있음
