index,fandom,bullet_type,idx,text,hint_terms_found,"검수(Y=해당 지표에 잡혔어야 함, N=아님)",사유·놓친 표현
region,소녀시대,loyalty,17,"""在少女時代演唱會時也給予了很多帥氣的應援活動"" — 태연 인터뷰 기사에서 SONE(팬덤)이 콘서트에서 보여준 응원 활동을 ""센스있다(SONE非常有Sense)""고 평가",,,
region,송가인,spillover,22,송가인이 경상북도 봉화군 내성천 체육공원에서 열린 제29회 봉화송이축제 폐막식(2025년 10월 19일)에 출연해 가을밤 무대를 장식했다.,,,
region,싸이,loyalty,17,태국 mgronline.com은 싸이가 말춤을 선보이며 태국 팬들의 지지에 감사를 표하고 재방문 의사를 밝힌 현장을 보도했다,,,
region,여자친구,loyalty,13,"Natalie (natalie.mu), Japan's major music/culture news site, covered the release of GFriend's second Japanese photobook ""CHOICE,"" a fan-merchandise item aimed at the group's dedicated Japanese fanbase.",,,
region,박재범,loyalty,29,Jay Park 팬미트 파티 티켓 9월7일 판매 개시,,,
region,에픽하이,spillover,22,리더 타블로가 CNN 브라질과 인터뷰하며 케이팝 아이돌들의 참고 대상이 되는 소감을 밝힘,,,
region,권은비,spillover,17,"Sang her first drama OST, a remake of Lee Seung-hwan's ""세상에 뿌려진 사랑만큼,"" marking a ""OST 퀸"" crossover moment beyond music/festival work",,,
region,슈퍼주니어,spillover,48,"슈퍼주니어 최시원은 2024년 드라마 'DNA러버'에서 심연우 역 주연을 맡았고 영화 '동화지만 청불입니다'(정석 역), '로비'(마태수 역)에도 출연했으며, 현재 유니세프 한국위원회 특별대표와 마약퇴치운동본부 고문으로 활동 중이다.",,,
region,싸이,spillover,67,"하이트진로가 2012년 11월 싸이를 소주 '참이슬'과 맥주 '드라이피니시d' 광고 모델로 동시에 발탁해, 한 모델이 소주와 맥주 광고를 함께 맡는 업계의 이례적인 계약을 성사시켰다.",,,
region,투어스(TWS),loyalty,7,"TWS held their first official fan meeting, '42:Club' in Seoul, February 14–16, 2025 at Seoul Olympic Park's Handball Gymnasium; advance reservations for all three sessions sold out at high speed.",,,
region,CORTIS,loyalty,2,"2번째 EP 'GreenGreen'은 초동 판매량 약 231만 장을 기록해 데뷔작 대비 약 5배 성장했으며, 빌보드 200 3위에 진입했다.",,,
region,린,spillover,30,린은 2024년 11월부터 2025년 2월까지 방영된 '현역가왕2'에서 심사위원으로 활동했다.,,,
region,BLACKPINK,spillover,133,페루 매체 La República가 블랙핑크가 2023년 4월 26~27일 멕시코시티 포로 솔에서 공연하며 한국 걸그룹 최고 흥행 투어 기록을 세웠다고 보도했다.,,,
region,엔믹스,spillover,2,2025년 패션 브랜드 게스(GUESS)의 아시아 앰버서더로 멤버 전원이 계약을 맺었다.,,,
region,아이유,spillover,39,"아이유가 2026년 9월 4일 0시 공식 SNS를 통해 새 디지털 싱글의 레트로 콘셉트 티저 영상을 공개했고, 9월 10일 오후 6시 발매 예정이라는 소식이 다수 매체를 통해 보도되었다.",,,
region,이찬원,loyalty,19,"Lee Chan-won personally donated 100 million won to the Love of Sharing Social Welfare Community Chest on Nov 29, 2024, becoming an Honor Society member (100M+ won donor club), explicitly citing his fan club's charitable activity as his motivation (""to add warmth to match the club's good deeds"")",,,
region,오마이걸,spillover,10,"Japan debut album sold 9,383 physical copies on Oricon Daily, 15,910 units on the Oricon Weekly Chart, and 20,041 units on Billboard Japan Top Albums Sales",,,
region,DAY6,loyalty,41,2025년 'Forever Young' 마닐라 콘서트를 마치며 '너희들 정말 대단했다'고 밝힘,,,
region,청하,spillover,39,"청하는 2019년 tvN 드라마 '호텔 델루나' OST Part.6에 수록곡 '그 끝에 그대(At the End)'를 불렀으며, 이 곡은 'Hotel Del Luna OST Part.6' 싱글로 Spotify에 정식 등재되어 있다.",,,
region,NCT,loyalty,63,"중국 포털 360엔터(360娱乐)에 웨이신V(威神V, WayV) 멤버 샤오쥔(肖德俊, Xiaojun)이 한국 SBS M 음악방송 《THE SHOW》의 새 MC로 발탁됐다는 소식이 실렸고, 웨이보 해시태그 ""#肖俊将担任THESHOWMC#""(샤오쥔, THE SHOW MC 맡는다)가 화제가 되어 팬들이 ""祝贺肖俊""(샤오쥔 축하해), ""期待MC肖俊""(MC 샤오쥔 기대돼) 등의 댓글을 남겼다고 전했다.",,,
region,최예나,loyalty,37,인도네시아 K팝 매체 kpopchart.net이 최예나의 4집 미니앨범 'Blooming Wings'(2025.7.29 발매) 컴백과 연계해 도쿄·오사카 콘서트 소식을 전하며 팬들과의 교감을 강화하는 인터랙티브 이벤트를 예고함.,,,
region,IVE,spillover,34,IVE 안유진·장원영이 유닛 '안녕즈'로 2025년 1월 15일 tvN '유 퀴즈 온 더 블럭'에 출연했다.,,,
region,NCT,loyalty,17,"NCT is the best-selling K-pop artist by cumulative album sales in Korea, with over 45 million albums sold across all sub-units as of June 2024",,,
region,청하,loyalty,11,청하는 2020년 2월 10일 자신의 생일을 기념해 저소득층 아동을 위해 마스크 1만 장을 기부했다.,,,
region,아일릿,loyalty,25,"ILLIT, 수호(EXO), 엔하이픈이 자카르타 PIK에서 보여준 최고의 순간들.",,,
region,거미,spillover,1,"2003년 데뷔곡('안다면', '어디에서든' 등으로 추정되는 곡들 포함)이 20년이 지난 지금까지도 노래방 인기차트에 꾸준히 오르는 스테디셀러로 자리잡음",,,
region,임영웅,loyalty,10,팬카페 '영웅시대' 공식 회원수가 21만 명을 달성했다.,,,
region,리센느(RESCENE),spillover,30,"철원 다슬기축제 현장에서 당시는 다소 생소한 그룹이었음에도 관객들이 뜨겁게 호응하며 앙코르 무대까지 이끌어냈고, 현재는 축제에 섭외하기도 힘들 만큼 인기 스타가 됐다는 대비를 전한 기사(네티즌 반응 인용 포함).",,,
region,A-pink,spillover,50,"에이핑크 박초롱은 웹시리즈 '종합광고대행사: 찌찌' 시즌2 '광고의 온도' 편에 찌찌팀을 조율하는 중심인물 '민주' 역으로 합류하며, 2026년 하반기 주요 OTT 플랫폼 공개를 앞두고 있다.",,,
region,NewJeans,spillover,105,"NewJeans는 2023년 1월 NME의 'Big Read' 커버 인터뷰를 장식했으며, 앞서 NME의 '2023년 주목할 신인 아티스트 100' 명단에도 이름을 올렸다.",,,
region,거미,spillover,25,거미는 2015년 JTBC '히든싱어4'에 원조 가수로 출연해 우승을 차지했다.,,,
region,BABYMONSTER,spillover,34,"스포츠경향, 태국 강진 관련 재태 K팝 스타 애도 메시지 기사에서 치키타를 태국 출신 스타로 거론(2025.3.30)",,,
region,BTOB,loyalty,40,아랍어 팬사이트 'BToB Arab Melodies'가 BTOB 관련 57가지 사실을 정리하며 멤버 일훈이 복싱에 능하고 데뷔 전 팀명이 '아리랑'이었으며 현식이 EXO 디오와 친분이 있다는 내용을 아랍어로 다룸(WebFetch로 확인).,,,
region,정동원,spillover,55,allkpop은 정동원이 드라마 '절대 포기하지 마' OST 'Alright' 작사에 참여해 월 약 300만 원의 저작권료를 받고 있다고 전했다.,,,
region,임영웅,spillover,70,임영웅이 건강기능식품 브랜드 뉴트리원의 전속모델로 발탁됐다고 국제뉴스가 보도했다. 2021년 3월 발탁 소식이 공개됐다.,,,
region,임영웅,loyalty,50,임영웅 팬클럽 '영웅시대'는 2025년 8월 앨범 구입비 300만 원을 성금으로 기부했다.,,,
region,레드벨벳,spillover,42,레드벨벳 슬기가 K-POP 아티스트 최초로 이탈리아 럭셔리 브랜드 살바토레 페라가모의 '글로벌 앰버서더'로 발탁돼 슈즈 캡슐 컬렉션 'Let's Dance' 캠페인에 참여했다(2021년).,,,
region,BTS,loyalty,12,정규앨범 'Arirang'이 자체 데뷔 기록을 갈아치우며 초동 판매량 417만장을 기록했다.,,,
region,다이나믹듀오,spillover,9,"최자, '최자로드' 유튜브 채널 독립 운영 관련 밝혀, 맛집 소개 콘텐츠로 지역 상권에 영향력 행사",,,
region,아일릿,spillover,14,"Oricon.co.jp published news coverage of ILLIT releasing solo visuals for ""Almond Chocolate,"" described as their first original song made specifically for the Japanese market.",,,
region,박정현,spillover,22,박정현이 KBS2 '불후의 명곡' 특집(2025.10.11 방송)에 출연해 연인과 이별 후 사진 속 옷들을 버렸던 사연을 공개했다.,,,
region,로이킴,spillover,43,"로이킴이 노숙인 자활을 지원하는 사회적기업 매거진 '빅이슈 코리아'에 2014년 8월(90호), 2018년 12월(192호) 두 차례 재능기부 형태로 참여했다.",,,
region,잭스키스,loyalty,19,"젝스키스 은지원 팬카페가 2017년 6월 8일 한국백혈병어린이재단을 통해 소아암 환아 치료비로 120만원을 기부했으며, 이는 2016년 12월 은지원 컴백 기념 200만원 기부에 이은 두 번째 기부다",,,
region,아이오아이,spillover,7,"""Very Very Very"" was their first #1 hit with 1,319,944 downloads; ""Miss Me?"" EP sold 652,321 copies in Korea",,,
region,GOT7,loyalty,0,2022년 완전체 컴백 미니앨범 'GOT7'은 초동 판매량 37만 1500장을 기록하며 갓세븐 자체 최고 기록을 경신했다.,,,
region,LE SSERAFIM,loyalty,42,나무위키 및 나마네카드 블로그에 따르면 르세라핌이 2026년 9월 11일 자정(한국시간) 두 번째 싱글 앨범 <Made My Night>의 타이틀곡 'YOU JUST MADE MY NIGHT' 뮤직비디오를 공개하고 같은 날 오후 1시 음원을 발매하며 완전체로 컴백했다.,,,
region,Hearts2Hearts,spillover,12,Swept 7 separate Rookie of the Year awards in 2025,,,
region,동방신기,spillover,24,東方神起が3度目の日産スタジアム公演を開催、海外アーティスト史上最多,,,
region,비비,loyalty,18,BIBI '1st World Tour EVE in Bangkok' 개최 소식,,,
region,카더가든,loyalty,11,"His personal YouTube channel ""카더정원"" (@carthejungwon) has 1.3 million subscribers (Aug 2026) and posts on a fixed schedule (10th/20th/30th of each month, 7PM); its board-game series regularly exceeds 1 million views per video, reflecting strong repeat-viewership loyalty",,,
region,aespa,loyalty,1,3집 'My World'(2023)는 200만 장 이상 판매됐다.,,,
region,LE SSERAFIM,spillover,29,"Infobae Mexico reported rumors of a potential collaboration between Mexican artist Peso Pluma and LE SSERAFIM, mainstream cross-genre music-press coverage",,,
region,god,loyalty,38,"2023년 8월 god 콘서트 'ㅇㅁㄷ 지오디' 티켓이 오후 2시 예매 시작 후 단 3분 만에 전석 매진됐으며, 예매 시스템에는 최대 5만 1900명의 대기 인원이 몰렸다.",,,
region,싸이,spillover,56,"동화약품이 가수 싸이를 종합감기약 '판콜' 신규 TV광고 모델로 발탁해 '감기없는 코리아, 판 콜이야' 캠페인을 공개했다(2023년 9월).",,,
region,ITZY,spillover,34,ITZY 유나가 2026년 tvN 드라마 '최애의 사원'에 캐스팅되어 톱배우 윤초이 역을 맡았다.,,,
region,이찬원,spillover,36,이찬원 유튜브 채널이 누적 조회수 6억 뷰를 돌파했다는 소식이 보도됐다(2026년 6월 30일 기준).,,,
region,보아,spillover,21,가수 보아가 스튜디오 근황을 공개하며 토크 방송 촬영 후 유쾌한 포즈를 취한 모습이 보도됨.,,,
region,ITZY,spillover,26,"멕시코 언론 Infobae가 ITZY의 멕시코 공연이 현지 팬덤(MIDZY)과의 유대와 중남미 시장에서의 K-pop 성장세를 보여준다고 보도: ""Este concierto en Ciudad de México también servirá como plataforma para que ITZY pueda conectar de manera más cercana con sus fans mexicanos, conocidos como MIDZY, y fortalecer la relación con la base de seguidores en América Latina."" / ""La presencia de ITZY en México se suma a la lista de artistas internacionales que han elegido el país para actuar, lo que refleja la posición de México como un mercado importante y en crecimiento para la industria musical del K-pop.""",,,
region,이효리,spillover,24,이효리·이상순 부부는 2025년 5월 16일 유기견·유기묘 수백 마리를 보호 중인 사단법인 평강공주에 사료 2톤을 기부했다,,,
region,에픽하이,loyalty,38,twig24는 2026년 8월 30일 타블로가 8월 29일 인스타그램에 공개한 에픽하이 공식 유튜브 채널의 '에픽카세 가요제' 콘텐츠에서 멤버 투컷이 K팝 업계 인맥을 총동원한 대대적인 SNS 홍보 캠페인을 벌이고 있다고 언급하며 팬들에게 우승 자신이 없다고 말했다고 보도했다.,,,
region,QWER,loyalty,36,"신랑(sina.cn)에는 QWER 신보 발매에 맞춰 팬들이 제작한 ""타가카드(打歌卡)"" 모음 게시물이 뉴스로 전재되어 있다.",,,
region,aespa,spillover,35,2026 코리아퍼스트브랜드대상에서 국내·베트남(3년 연속)·인도네시아 여자 아이돌 부문 3관왕,,,
region,ITZY,spillover,57,"중국 sina.com.cn 산하 cj.sina.com.cn은 ITZY 컴백곡 《Motto》 전체 일정 공개 소식을 ""ITZY強勢回歸！《Motto》完整日程全曝光，概念圖驚艷""라는 제목으로 전했다.",,,
region,에픽하이,loyalty,28,에픽하이가 베트남에 너무 늦게 온 것을 후회한다고 밝히며 팬들과 소통했다.,,,
region,마마무,spillover,11,"Natalie (natalie.mu) reported that MAMAMOO's Wheein ended her exclusive management contract with agency RBW but would continue group activities through 2023, framing this as significant industry/fan news in the Japanese music press.",,,
region,샤이니,loyalty,3,2016년 'Shinee World' 투어에서 9개 도시 20회 공연에 누적 35만 명이 참석했다.,,,
region,CNBLUE,spillover,14,"베트남 매체 kenh14는 CNBLUE 출신 스타(정용화로 추정)가 하노이에서 조깅하다가 아무도 알아보지 못했다는 일화를 2025년 7월 22일 보도, 베트남 대중 사이에서의 인지도 변화를 다뤘다",,,
region,김연자,spillover,43,"김연자가 2022년 11월 헬스케어 가전 브랜드 '자이글ON'(산소음이온발생기 '숲속', 온열마사지기 '오로라' 등)의 전속모델로 발탁됐다.",,,
region,CORTIS,spillover,52,"CORTIS 다큐멘터리 'What We Want'는 2023년 4월부터 2024년 5월까지 약 14개월간 촬영되었으며, 해외 프로듀서들이 이들의 협업 방식을 '완전히 다른 K팝(a completely different kind of K-pop)'이라 평가한 내용이 담겼다고 영어권 매체 스타뉴스코리아가 보도했다.",,,
region,정동원,loyalty,10,미스터트롯 톱6 동료들이 정동원의 공연에 지원사격을 보내는 등 팬덤 간 연대가 형성됐다.,,,
region,청하,loyalty,8,"Her official fandom, originally named HAART (nicknamed ""별하랑""), operated from June 7, 2018 to January 8, 2024",,,
region,FTISLAND,loyalty,5,"2026년 1월 29일 데뷔 19년 만에 FNC엔터테인먼트와 재계약을 체결, 장기 활동 팬덤 관계를 이어가고 있다.",,,
region,에픽하이,loyalty,16,"2년여 만의 북미(미국·캐나다) 투어 발표(2026.10) — LA·뉴욕·오클랜드·밴쿠버·토론토, 'Epik High HQ' 멤버십 프리세일(6.10)",,,
region,IKON,spillover,24,iKON이 서바이벌 예능 '킹덤: 레전더리 워'에 출연했다.,,,
region,CORTIS,loyalty,23,코르티스의 데뷔 후 첫 대학축제(고려대 등) 현장에서 떼창과 호응이 뜨거웠고 멤버들의 텐션도 좋아 직캠만 봐도 현장감이 느껴진다는 반응이 SNS에 공유됐다.,,,
region,성시경,spillover,8,성시경이 동국제약 인사돌플러스의 새 모델로 발탁돼 이보영과 함께 신규 TV-CF를 촬영했다고 팜뉴스가 보도했다.,,,
region,지드래곤 (G-Dragon),spillover,33,인포바에가 지드래곤이 11년 만에 첫 솔로 정규앨범을 발매했다는 소식을 보도했다,,,
region,로이킴,spillover,57,일본 최대 음악 차트·뉴스 매체 오리콘(ORICON NEWS)에 로이킴(ロイ・キム)의 정식 아티스트 프로필 페이지가 개설되어 있다.,,,
region,NewJeans,spillover,3,포브스코리아 보도에 따르면 뉴진스는 한 해 동안 약 300억 원의 광고 수익을 올렸다(2024년 4월).,,,
region,정동원,loyalty,13,"Fan club ""우주총동원"" donated ₩13.27 million timed to coincide with his military enlistment cohort date.",,,
region,10CM,spillover,17,"10CM의 ""봄이 좋냐""는 2016년 4월 1일 발매 당일 멜론 차트 1위에 올랐다",,,
region,조용필,spillover,40,"조용필은 일화의 음료 '맥콜' 광고 모델로 출연한 이력이 있다 (나무위키 '출연 광고' 항목 기재, 정확한 연도 미상).",,,
region,이영지,spillover,21,'나가지마' 폰케이스 콜라보 수익금 1억4000만원 전액 기부,,,
region,조용필,loyalty,2,일본에서도 앨범 누적 판매량이 600만 장을 넘어서며 해외에서도 견고한 팬덤을 확보함.,,,
region,청하,spillover,18,"""Gotta Go""(2019)는 빌보드 선정 '2019년 최고의 K팝 노래 25' 중 3위, '2010년대 최고의 K팝 노래 100' 중 100위에 올랐다. ""Stay Tonight""(2020)은 가온 디지털차트 9위, 빌보드 월드 디지털 송즈 차트 4위를 기록했다.",,,
region,지드래곤 (G-Dragon),loyalty,26,"후쿠오카 야후옥돔 공연에서 5만 명의 관객이 BIGBANG 컬러 응원봉(노란색·빨간색)으로 도쿄돔 전체를 가득 메웠고, 깜짝 생일 케이크 이벤트에도 5만 관객이 함께 축하했다: ""5万人が掲げる黄色と赤のBIGBANGペンライトに埋め尽くされたドーム会場を揺らし続けた。"" / ""特製のバースデーケーキがステージに登場し5万人の観客がお祝いするというサプライズ演出も。""",,,
region,NCT,loyalty,8,2024년 6월 기준 전체 유닛 음반의 누적 판매량이 4500만장을 넘어서며 K팝 역대 최다 음반 판매 아티스트로 집계됐다.,,,
region,NewJeans,spillover,61,"이날 방송의 시청률은 6.1%(닐슨코리아 집계, 이하 전국 가구 기준)를 기록했다. 특히 멤버들이 뉴진스와 퇴근을 건 게임 배틀에서 최종 승리하며 세리머니로 'Hype Boy(하입 보이)'를 선보이고, 한껏 신난 유선호가 뉴진스와 완벽 호흡을 자랑하는 춤 실력으로 모두를 깜짝 놀라게 하는 장면에서는 최고 시청률이 9.2%까지 올랐다.",,,
region,박재범,spillover,57,박재범이 데이영(Dayoung)과 협업한 신곡 'Flirty'를 Rolling Stone India가 소개했다.,,,
region,sg워너비,spillover,12,"SG워너비의 ""내 사람 : Partner For Life""는 2006년 벅스뮤직 차트에서 9주간 1위(04/07~06/08)를 차지했으며, 같은 해 멜론 연간 차트에서도 1위를 기록했다",,,
region,10CM,loyalty,29,필리핀 마닐라에서 'Closer To You' 단독 콘서트를 개최했다고 필리핀 매체가 보도,,,
region,이승철,spillover,40,"이승철은 2025년 11월 방송된 KBS2 '옥탑방의 문제아들'에서 자신의 곡들로만 채운 SF 판타지 뮤지컬을 2027년 개막 목표로 기획 중이며 시나리오도 완성됐다고 밝혔고, 배우 박보검을 주연으로 고려했으나 성사되지 않았다고 전했다.",,,
region,BABYMONSTER,spillover,11,"베이비몬스터 데뷔곡 'Batter Up' 뮤직비디오, 공개 24시간만에 2259만뷰를 기록해 K팝 역대 데뷔곡 최다 24시간 조회수 경신",,,
region,아이유,spillover,65,"프랑스 로피시엘이 아이유와의 인터뷰에서 뉴발란스와의 오랜 파트너십, 신보와 투어 계획에 대한 이야기를 전했다.",,,
region,STAYC,loyalty,22,STAYC가 11월에 일본 데뷔하며 첫 쇼케이스도 개최한다는 음악나탈리 보도,,,
region,IKON,spillover,5,"데뷔앨범 'Welcome Back' 아시아 누적 26만 장 이상 판매, 수록곡 합산 480만 장 이상 판매; 2016-2018년 일본 아레나·돔 투어 누적 약 59만 명 동원",,,
region,BTS,loyalty,64,BTS 슈가가 세브란스병원에 50억원을 기부한 뒤를 이어 팬덤 아미 명의의 기부 행렬도 이어져 2억원을 넘어섰다.,,,
region,최예나,spillover,51,스킨케어 브랜드 이옴(뉴셀렉트)이 최예나와 함께 트러블 패치 마스크 캠페인 '패치 미'를 전개했다(2026년 6월).,,,
region,다이나믹듀오,spillover,34,"다이나믹듀오 소속사 아메바컬쳐는 2025년 5월 '쇼미더머니10' 준우승자 신스를 영입했으며, 개코와 같은 팀이었던 인연의 신스는 2025년 11월 다이나믹듀오가 피처링한 데뷔 싱글을 발표했다.",,,
region,조용필,spillover,42,"조용필이 LG전자의 '하이테크 스테레오', '하이파이VTR', '금성미라클TV' 등 가전제품 광고에 출연했다.",,,
