index,fandom,bullet_type,idx,text,hint_terms_found,"검수(Y=해당 지표에 잡혔어야 함, N=아님)",사유·놓친 표현,검수자
ad,김연자,spillover,3,김정일의 초청으로 북한에서 공연하며 노래가 문화적 상징으로 자리잡았으나 2024년 김정은 체제에서 금지곡이 됐다는 점에서 이례적인 정치적 파급력을 보여준다,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,DAY6,loyalty,11,"DAY6 will hold their 5th official domestic fan meeting Oct 23–25, 2026 with fan club My Day; their 4th fan meeting (July 2025) saw all six performances sell out during fan-club presale at Seoul's Jamsil Indoor Gymnasium, and the band has held official fan meetings for three consecutive years since 2024 despite members' military service",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,엔믹스,spillover,14,"같은 투어에서 캐나다 토론토, 뉴욕 브루클린, 메릴랜드, 텍사스 어빙, 캘리포니아 오클랜드·로스앤젤레스 등 북미 6개 도시 공연이 확정되며 빌보드가 이를 별도 인터뷰 기사로 다뤘다",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,보아,spillover,31,보아는 2016년 JTBC 드라마 '이번주 아내가 바람을 핍니다'에 출연했다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,FTISLAND,loyalty,15,"태국 kapook.com은 FTISLAND의 2026년 8월 8일 방콕 콘서트('2026 FTISLAND TOUR 0—XIX—III FaTe in BANGKOK', MCC Hall) 소식과 함께 공식 팬클럽명이 '프리마돈나(Primadonna)'임을 명시하며 팬들의 기대감을 전했다",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,QWER,spillover,60,"ETtoday는 QWER이 반년 사이 네 번째로 대만을 찾았다며 ""台灣像是第二個家""라는 멤버 발언을 제목으로 보도했다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,슈퍼주니어,loyalty,28,"중국 163.com이 한경(韓庚)의 2024년 인터뷰를 인용해 SM엔터테인먼트 탈퇴 전후 슈퍼주니어 멤버들과의 관계를 보도했다. 김희철은 한경의 소송이 이후 SM의 외국인 아티스트 대우 개선으로 이어져 후속 중국인 멤버들에게 도움이 되었다고 인정했으며, 한경은 당시를 ""한때 극단적 선택을 생각할 정도로 우울했다""고 회고했다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,조용필,loyalty,18,조용필은 2009년 경기도 화성시 전곡항 국제보트쇼 개막식에서 개런티 없이 무료 축하공연을 하며 고향에 대한 애정을 보였다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,마마무,spillover,16,멜론에서 역대 K-pop 걸그룹 중 유일하게 총 감상자 수 1억 명을 넘겨 1위를 기록했다,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,소녀시대,loyalty,13,Natalie reported that Taeyeon's Seoul solo concert was simulcast via live-viewing screenings in movie theaters nationwide across Japan for Japanese fans,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,몬스타엑스,loyalty,5,"2020년 3월 몬스타엑스가 코로나19 취약계층 지원을 위해 굿네이버스를 통해 대구·경북 지역에 1억 원을 기부하자, 이 소식을 알게 된 몬베베 팬덤도 자발적으로 추가 기부에 동참했다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,BTS,spillover,10,이른바 'BTS노믹스'로 이번 컴백에 따른 경제적 파급효과가 3조원에 이를 것으로 전망됐다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,장윤정,loyalty,8,2025~2026년에도 안양·성남 등 전국 각지에서 콘서트 'THE MASTER' 투어를 이어가며 20년 넘게 활동을 지속하고 있다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,지코,spillover,19,"'아무노래' 스포티파이 누적 스트리밍 2억 회 돌파, 개인 통산 두 번째 2억 스트리밍 곡",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,잭스키스,loyalty,22,젝스키스 팬클럽이 멤버 김재덕의 고향인 부산광역시 사하구 감천동 주민들에게 선풍기 30대를 선물했다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,TWICE,spillover,116,TWICE의 소속사 JYP엔터테인먼트가 미국·일본·중국에 이어 인도를 네 번째 해외 거점으로 삼아 현지 사무소 개설을 준비 중이라고 Pinkvilla가 보도했다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,이영지,loyalty,19,2025.3 대한적십자사를 통해 울산·경북·경남 산불 피해 복구 성금 1억원 기부,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,워너원,spillover,29,"워너원 출신 라이관린, 연기자 됐다···중국 드라마 출연. 그룹 '워너원' 출신 라이관린(18)이 연기 활동을 병행한다. 소속사 큐브 엔터테인먼트에 따르면 라이관린은 중국 드라마 '초연나건소사(初戀那件小事)' 출연을 확정했다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,DAY6,spillover,6,"DAY6 was named the new brand ambassador for British sports brand Umbro's ""STAND BY ME"" campaign (Feb 4, 2025), with a co-created HBL apparel collection sold at Umbro stores nationwide and online",,Y,brand ambassador / campaign (영문),"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,윤도현,loyalty,12,YB 명의로 2025년 2월 EP 'Odyssey'와 싱글 'Rebellion(feat. Xdinary Heroes)'을 연이어 발매하며 세대를 넘나드는 협업으로 팬덤과의 접점을 이어감,협업,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,ATEEZ,loyalty,31,2026년 3월 마닐라 콘서트를 '판타지'로 표현하며 팬들과 공유했다고 현지 매체가 보도,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,장윤정,loyalty,21,"위 콘서트 현장 기사에서 퇴장하는 관객들이 '돈이 아깝지 않다', '정말 재밌다'는 반응을 보였고 공연 후 포토존에 긴 대기 줄이 이어졌다고 전했다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,린,spillover,3,"""Back in Time"" (2012) reached #1 on the weekly Gaon Digital Chart and sold over 3 million copies; ""LOVE"" (2018) sold 6,536,156 downloads; ""My Destiny"" (2013, My Love from the Star OST) sold 1,074,581 downloads and won Best OST at the 50th Baeksang Arts Awards (2014) — noted as the first artist to win that category",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,다비치,loyalty,12,"""Just the Two of Us""가 2013년 3월 엠카운트다운을 포함해 통산 15번째 음악방송 1위를 달성했다",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,브라운아이즈,spillover,36,2001년 제3회 엠넷 뮤직비디오 페스티벌에서 '벌써 일년'으로 신인그룹상을 수상했다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,10CM,spillover,19,10CM의 1집 《1.0》은 발매 후 1주일 만에 판매량 1만 장을 돌파했다,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,오마이걸,loyalty,13,"WM엔터테인먼트가 오마이걸 완전체 컴백을 2026년 상반기로 연기하면서, 원래 2027년 3월 18일까지였던 공식 팬클럽 '미라클' 6기 멤버십의 활동 기간을 연장 운영하기로 결정했다고 공식 발표함",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,HOT,spillover,42,"2025년 11월 한터 뮤직 페스티벌에서 H.O.T.는 2AM, 틴탑, 마마무 쏠라, 오마이걸, 프로미스나인, 트리플에스 등 후배 가수들과 함께 무대에 올랐다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,나훈아,spillover,34,"대만 매체 The News Lens(關鍵評論網)가 나훈아를 ""당대의 가왕(歌王)"", ""가요계의 살아있는 전설""로 소개하는 인물 기사를 게재했다. 기사는 2003년 삼성 이건희 회장의 생일 행사 초청을 그가 거절하며 ""나는 대중 가수이다. 그러므로 티켓을 구매한 관객 앞에서만 공연하겠다""고 말한 일화를 전했다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,샤이니,loyalty,14,WOWOW가 SHINee 일본 데뷔 15주년 및 일본 공연 독점 생중계를 특집으로 편성했다는 보도,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,김재중,loyalty,21,"2026년 8월 29~30일 서울 KBS아레나에서 열린 단독 콘서트 '2026 KIM JAE JOONG CONCERT [THE WAVE]'는 한국에서 그의 첫 스탠딩 공연 형태로 진행됐으며, 앙코르에서는 2006년 발표곡 'To the Boy'를 국내 최초로 라이브 공연해 팬들이 처음부터 끝까지 적극적으로 호응했다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,워너원,loyalty,3,"2026년 1월~4월, 해체 7년 만에 Mnet 리얼리티쇼 ""워너원 고: 백 투 베이스""를 통해 재결합을 성사시켰으며, 팬들을 향한 자필 편지 공개 등으로 팬덤 재결집을 이끌었다",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,아이유,loyalty,20,"2022년 콘서트 'The Golden Hour: Orange Sun Below' 일반 예매 대기열이 44만 명에 달해 2019년 'Love, Poem'(13만 명) 대비 크게 증가했으며, 2023년 팬콘서트 'I+UN1VER5E'는 이틀 공연이 선예매만으로 각각 10분 만에 매진됐다",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,동방신기,spillover,17,"인도네시아 매체 detikcom은 SM엔터테인먼트 창립 30주년 기념 리메이크 프로젝트에서 후배 그룹 RIIZE가 동방신기의 'Hug'를 커버한다고 전하며, 2025년 1월 SMTOWN LIVE 고척스카이돔 라인업에 동방신기가 포함됐다고 보도했다",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,NCT,loyalty,22,"오리콘이 NCT 유타의 남미 콘서트 회상 인터뷰(""속옷 같은 게 날아온다"")를 보도했다",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,청하,spillover,38,"나무위키에 따르면 청하는 2019년 2월 개설된 이전 개인 유튜브 채널(구독자 약 138만명, 총 조회수 약 3.05억회)을 소속사 계약 만료 후 정리하고, 2023년 10월 새 개인 채널을 개설해 뮤직비디오·비하인드 콘텐츠 등을 공개하며 구독자 약 35.6만명, 총 조회수 약 5.29억회를 기록 중이다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,DAY6,loyalty,53,"데이식스는 2019년 1월 27일 첫 월드투어의 일환으로 파리 카지노 드 파리에서 공연했으며, 프랑스 팬덤 '마이데이'가 공연장을 가득 채우고 2시간 내내 열띤 호응을 보였다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,김동률,spillover,43,allkpop은 김동률이 3년여 만에 발표한 신곡 '리플라이(Reply)' 뮤직비디오에 배우 현빈이 주연으로 출연했다고 영어로 보도했다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,RIIZE,spillover,30,'II'는 같은 기간 빌보드재팬 톱 앨범 세일즈 차트에서도 1위를 기록했다,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,소녀시대,spillover,23,"소녀시대는 2세대 걸그룹 중 누적 음반 판매량 1위(2,701,824장)를 기록했고, 가온(써클) 앨범차트 주간 1위를 22주간 차지했으며, 2012년과 2014년 미국 빌보드 200에 진입했다. 또한 뮤직뱅크에서 42회 1위(역대 걸그룹 최다)를 기록했고 지상파 음악방송 통산 1위 100회를 달성한 최초의 걸그룹이며, 지상파 음악방송 총 1위 횟수는 74회에 달한다",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,HOT,spillover,54,"H.O.T. 토니안은 2026년 5월 SBS 예능에 출연해 과거 무리한 투자로 슈퍼카 3대 값에 달하는 손실을 봤다가, 하루 5~6시간씩 공부하며 최근 넉 달간(12월 2500만원, 1월 8000만원, 2월 6000만원, 4월 3500만원) 주식 투자로 수천만원대 수익을 냈다고 공개했다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,(여자)아이들,loyalty,26,(여자)아이들이 2019년 1월 첫 단독 리얼리티 'To NEVERLAND'(Mnet M2)를 방영했다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,슈퍼주니어,spillover,14,"'Sorry, Sorry'(2009)는 한국에서 25만장 이상 팔리며 대만·태국·중국·필리핀에서 가장 많이 팔린 K-pop 음반이 되었다",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,이문세,spillover,22,"나무위키 '이문세' 문서에 따르면 이문세는 나무위키 분류상 '유튜브 공식 아티스트 채널'을 보유하고 있으며, 2015년 tvN 드라마 '응답하라 1988'의 시청지도서 나레이션을 맡는 등 드라마 관련 목소리 출연도 했다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,NCT,loyalty,9,'NCT 2020 Resonance'가 발매 두 달 만에 260만장 이상 팔리며 당시 SM엔터테인먼트 역대 최고 판매 실물 음반이 되었다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,이승철,spillover,46,2025년 가수 아이유는 자신의 앨범에 부활·이승철의 곡 '네버 엔딩 스토리'를 리메이크해 수록하며 새로운 세대에게 이 곡을 소개했다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,거미,spillover,50,"중국 동영상 플랫폼 빌리빌리(哔哩哔哩/bilibili)에 거미의 '태양의 후예' OST 'You Are My Everything'을 중국 팬이 남성 버전으로 번안해 부른 커버 영상('你是我的一切 중문번안 남판')이 게시되어 있어, 중국 팬덤 내 2차 창작 활동이 확인된다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,거미,spillover,6,"Collaborated widely across genres: T.O.P of Big Bang (""I'm Sorry,"" 2008/2011), Park Yuchun of JYJ (""Let's Play,"" 2014), Ailee (""Jealousy,"" 2018), and Bobby Kim's ""Love Recipe"" series",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,악동뮤지션,spillover,2,"이찬혁 개인 스트리밍 누적 7071만 회, 이수현 개인 스트리밍 누적 8243만 회 등 듀오 외 개별 활동으로도 음원 시장 소비를 견인하고 있다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,BTS,spillover,2,"2026년 3월 BTS 컴백 공연 기간을 전후해 한국 여행수지가 11년 4개월 만에 처음으로 월간 흑자(2억6,380만달러)를 기록했고, 같은 달 방한객 수도 206만명으로 역대 최다를 기록했다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,마마무,spillover,8,"First world tour ""MY CON"" (Nov 2022–June 2023) included a 9-city US leg (New York, LA, Chicago, etc.)",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,정동원,loyalty,43,"정동원의 10대 마지막 단독 콘서트 '동화' 전국투어는 서울·부산·대구·성남·대전 등 7개 도시에서 열려 총 3만5,000명의 관객을 동원했다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,HOT,spillover,15,"H.O.T. 인기로 인해 교육부가 사상 세 차례 전국 조퇴금지령을 발령했고, 2018년 재결합 콘서트 때는 관련 SRT 이용객 수가 최고치를 경신함",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,최예나,spillover,56,스페인 K팝 매체 바나나(BA NA NA)가 최예나가 비비와 협업한 'SMiLEY'로 솔로 데뷔했다고 보도했다.,협업,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,Zion.T,spillover,1,이문세와 협업한 '눈(Snow)'(2017)은 국내 주요 음악 차트를 모두 석권했다,협업,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,임영웅,loyalty,50,임영웅 팬클럽 '영웅시대'는 2025년 8월 앨범 구입비 300만 원을 성금으로 기부했다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,나훈아,spillover,30,"나훈아는 1972년 12월 백마부대에서 명예 대위 직함을 받고, 파월 장병을 위한 위문공연을 위해 베트남으로 출국하는 등 국방부·군 관련 명예직을 통한 위문 활동을 했다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,TWICE,loyalty,25,"태국 매체 Thairath는 TWICE의 5번째 월드투어 'READY TO BE' 방콕 공연(2023년 9월 23~24일, 임팩트 아레나 무앙통타니, 라이브네이션 주최)을 ""4년 만의 귀환""으로 소개하며 팬들에게 워밍업을 당부했다",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,몬스타엑스,spillover,26,"""SPOTLIGHT"" 발매 당일 오리콘 랭킹 2위, 이튿날 8,150장 추가 판매로 1위에 등극해 일본 내 인기를 보여준 사례로 소개됐다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,Stray Kids,loyalty,1,"2023년 앨범 '5-Star'는 선주문 513만장을 기록하며 K팝 그룹 최초로 앨범 선주문 500만장을 돌파했고, 한국음악콘텐츠협회(KMCA)로부터 국내 세 번째로 '500만 앨범' 인증을 받았다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,몬스타엑스,loyalty,13,"'The Phase' 활동 인터뷰에서 기현은 ""팬들이 한국어로 떼창하는 걸 들으면서 우리가 왜 계속 무대에 서야 하는지 다시 깨달았다""고 말했다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,브라운아이즈,loyalty,11,나무위키 '팬덤/목록' 문서에 따르면 브라운아이즈의 공식 팬덤명은 'B.E(비이)'이며 공식 색깔은 갈색이다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,박정현,spillover,21,'작은 거인' 박정현이 복면가왕 최초로 무대에 올랐다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,프로미스나인,loyalty,3,"2025년 1월 소속사(Asnd)를 옮기면서도 5인 멤버 전원이 완전체를 유지, 6번째 EP 'From Our 20's'(2025.6)를 발매했다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,SEVENTEEN,spillover,81,RNZ는 세븐틴이 영국 글래스턴베리 페스티벌에 출연해 K팝 그룹 최초로 역사를 썼다고 보도했다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,오마이걸,spillover,32,"오마이걸 공식 유튜브 채널(@OHMYGIRL, 2015년 3월 개설)은 2026년 4월 기준 구독자 약 105만 명, 누적 조회수 약 5억 6,525만 회를 기록했으며, 뮤직비디오 외에도 'OH MY GIRL SKETCHBOOK', 'OH! CLIP', 브이로그 등 자체 예능형 콘텐츠를 정기적으로 제작한다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,워너원,spillover,14,"Oricon.co.jp's weekly chart page tracked the Japanese-market release/import of Wanna One's ""1×1=1 (To Be One)"" on Japan's official albums chart.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,NewJeans,loyalty,5,데뷔 EP 예약 판매량이 발매 3일 만에 44만 4천 장을 넘었다(2022년 7월).,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,god,loyalty,28,"데뷔 28년 차 god가 데뷔 1만일 기념 'Sky Blue Balloon Week' 테마파크 행사를 성황리에 열었고, 팬 투표 플랫폼 Bstage 팀워크 부문 1위·손호영 개인 부문 1위, 공식 팬클럽 '팬지오디'의 예능 '팬덤 스테이지' 출연 등으로 견고한 팬덤 결속력을 보여줬다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,ATEEZ,loyalty,14,"For the 2026 World Tour ""In Your Fantasy"" Australian dates, ATINY membership presale opened Nov 21, 2025 and a separate Frontier member presale opened Nov 24, ahead of general public on-sale Nov 25 — a tiered fan-first ticketing structure",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,비비,spillover,14,"Time Out Hong Kong covered BIBI's 2025 ""EVE"" world tour stop in Hong Kong, reporting her as a ""rising Korean star"" bringing her world tour to the city — regional media coverage in 중화권(Greater China)",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,Hearts2Hearts,spillover,16,"2026년 8월 12일 발매한 일본 데뷔 싱글 'ICONIC HEART'가 오리콘 및 빌보드 재팬 차트 동시 2위에 올라 여성 아티스트 일본 데뷔 싱글 중 올해 최고 첫 주 판매량을 기록했으며, 이후 홍콩 TIMA 시상식(8/22)에도 출연했다",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,IKON,loyalty,3,"오사카 팬미팅에는 약 40,000명, 베이징 팬미팅에는 50,000명 이상이 응모해 해외 팬덤의 높은 수요를 보여주었다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,린,loyalty,14,린은 2026년 6월 27일 이화여자대학교 삼성홀 콘서트 'Queen of Serenade'에서 관객과 대화하며 무반주 공연을 진행하는 등 팬들에게 직접 감사를 표하는 무대를 선보였다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,이문세,spillover,47,"이문세는 2025년 6월 7년 만에 북미 투어를 열어 6월14일 뉴저지 NJPAC, 6월21일 로스앤젤레스 피콕시어터에서 공연했다고 영어 매체 Best of Korea가 보도했다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,지코,spillover,67,"일본 Infoseek(wowkorea 경유)는 ZICO의 도쿄 공연이 성황을 이루었으며 그가 ""이 자리에서 새로운 챕터를 시작하고 싶다""는 메시지를 전했다고 보도했다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,SEVENTEEN,loyalty,70,NZ 헤럴드는 세븐틴의 뉴질랜드 팬클럽 '캐럿(Carats)'이 그룹을 환영하는 영상 편지를 제작해 공개했다고 보도했다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,윤하,loyalty,5,데뷔 20주년을 맞아 2024년 서울 블루스퀘어에서 열린 소극장 콘서트(2015·2016·2019년에 이은 4번째 시리즈)에서 팬클럽 선예매가 일반 예매보다 하루 앞서 진행되어 충성 팬 우선 배려 구조가 유지되고 있음,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,빅마마,spillover,33,빅마마는 2022년 2월 11년 만의 정규앨범인 6집 '본(本)'을 발매했다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
