group,member,name_len,recorded,substring_bullets,boundary_bullets,flag,ambiguous_short_name
BTS,정국,2,7,7,7,일치,
CNBLUE,정용화,3,16,16,16,일치,
CNBLUE,강민혁,3,5,5,5,일치,
CNBLUE,이정신,3,3,3,3,일치,
CORTIS,제임스,3,15,15,15,일치,
CORTIS,주훈,2,2,2,2,일치,
CORTIS,마틴,2,3,3,3,일치,
CORTIS,성현,2,1,1,1,일치,
CORTIS,건호,2,2,2,2,일치,
DAY6,성진,2,7,7,7,일치,
DAY6,영케이,3,6,5,5,별칭·영문명 포함(기록>부분문자열),
DAY6,원필,2,8,8,8,일치,
DAY6,도운,2,4,4,4,일치,
EXO,디오,2,13,7,7,별칭·영문명 포함(기록>부분문자열),
EXO,백현,2,12,11,11,별칭·영문명 포함(기록>부분문자열),
EXO,카이,2,14,12,11,별칭·영문명 포함(기록>부분문자열),
EXO,수호,2,7,7,7,일치,
EXO,찬열,2,6,6,6,일치,
EXO,세훈,2,6,6,6,일치,
EXO,시우민,3,10,9,9,별칭·영문명 포함(기록>부분문자열),
EXO,첸,1,7,7,7,일치,Y
EXO,레이,2,11,10,9,별칭·영문명 포함(기록>부분문자열),
FTISLAND,이홍기,3,18,18,18,일치,
FTISLAND,이재진,3,5,5,5,일치,
GOT7,임재범,3,0,0,0,일치,
GOT7,마크,2,5,5,5,일치,
GOT7,잭슨,2,14,14,14,일치,
GOT7,박진영,3,0,0,0,일치,
GOT7,최영재,3,5,0,0,별칭·영문명 포함(기록>부분문자열),
GOT7,뱀뱀,2,25,25,25,일치,
GOT7,김유겸,3,4,0,0,별칭·영문명 포함(기록>부분문자열),
HOT,문희준,3,5,5,5,일치,
HOT,장우혁,3,5,5,5,일치,
HOT,토니안,3,8,8,8,일치,
HOT,강타,2,7,7,7,일치,
HOT,이재원,3,5,5,5,일치,
Hearts2Hearts,지우,2,3,3,3,일치,
Hearts2Hearts,카르멘,3,17,17,17,일치,
Hearts2Hearts,유하,2,2,2,2,일치,
Hearts2Hearts,스텔라,3,3,3,3,일치,
Hearts2Hearts,주은,2,3,3,3,일치,
Hearts2Hearts,에이나,3,1,1,1,일치,
Hearts2Hearts,이안,2,2,2,2,일치,
Hearts2Hearts,예온,2,3,3,3,일치,
IKON,바비,2,7,5,5,별칭·영문명 포함(기록>부분문자열),
IKON,송윤형,3,1,1,1,일치,
IKON,김진환,3,3,3,3,일치,
IKON,김동혁,3,1,1,1,일치,
IKON,구준회,3,4,4,4,일치,
IKON,정찬우,3,2,2,2,일치,
ITZY,예지,2,4,4,4,일치,
ITZY,리아,2,3,3,2,일치,
ITZY,류진,2,4,4,4,일치,
ITZY,채령,2,2,2,2,일치,
ITZY,유나,2,9,9,9,일치,
IVE,장원영,3,9,8,8,별칭·영문명 포함(기록>부분문자열),
IVE,안유진,3,6,6,6,일치,
IVE,레이,2,4,9,8,경계 매칭보다도 적음,
IVE,리즈,2,8,8,5,일치,Y
IVE,가을,2,2,2,2,일치,
IVE,이서,2,0,0,0,일치,
LE SSERAFIM,김채원,3,5,5,5,일치,
LE SSERAFIM,사쿠라,3,12,12,12,일치,
LE SSERAFIM,허윤진,3,3,3,3,일치,
LE SSERAFIM,카즈하,3,11,11,11,일치,
LE SSERAFIM,홍은채,3,2,2,2,일치,
NCT,태용,2,4,4,4,일치,
NCT,재현,2,5,5,5,일치,
NCT,도영,2,9,9,9,일치,
NCT,정우,2,3,3,3,일치,
NCT,제노,2,5,5,5,일치,
NCT,해찬,2,3,3,3,일치,
NCT,지성,2,2,2,2,일치,
NCT,텐,1,6,14,12,경계 매칭보다도 적음,Y
NCT,윈윈,2,9,9,9,일치,
NCT,런쥔,2,5,5,4,일치,
NCT,마크,2,10,10,10,일치,
NewJeans,민지,2,5,5,5,일치,
NewJeans,하니,2,12,12,12,일치,
NewJeans,다니엘,3,16,16,16,일치,
NewJeans,해린,2,5,5,5,일치,
NewJeans,혜인,2,3,3,3,일치,
QWER,초단,2,4,4,4,일치,
QWER,마젠타,3,3,3,3,일치,
QWER,시연,2,4,4,4,일치,
QWER,히나,2,6,6,6,일치,
RIIZE,쇼타로,3,14,14,14,일치,
RIIZE,은석,2,1,1,1,일치,
RIIZE,소희,2,2,2,2,일치,
RIIZE,성찬,2,2,2,2,일치,
RIIZE,원빈,2,6,6,6,일치,
RIIZE,앤톤,2,1,1,1,일치,
SEVENTEEN,에스쿱스,4,2,2,2,일치,
SEVENTEEN,정한,2,4,4,4,일치,
SEVENTEEN,조슈아,3,9,9,9,일치,
SEVENTEEN,준,1,9,14,9,동음 필터 추정(기록<부분문자열),Y
SEVENTEEN,호시,2,1,1,1,일치,
SEVENTEEN,원우,2,2,2,2,일치,
SEVENTEEN,우지,2,1,1,1,일치,
SEVENTEEN,도겸,2,2,2,2,일치,
SEVENTEEN,민규,2,6,6,6,일치,
SEVENTEEN,디에잇,3,9,9,9,일치,
SEVENTEEN,승관,2,10,10,10,일치,
SEVENTEEN,버논,2,10,10,10,일치,
SEVENTEEN,디노,2,3,3,3,일치,
STAYC,수민,2,1,1,1,일치,
STAYC,시은,2,4,4,4,일치,
STAYC,아이사,3,2,2,2,일치,
STAYC,세은,2,1,1,1,일치,
STAYC,윤,1,6,6,6,일치,Y
STAYC,재이,2,1,1,1,일치,
Stray Kids,방찬,2,14,14,14,일치,
Stray Kids,리노,2,2,2,2,일치,
Stray Kids,창빈,2,1,1,1,일치,
Stray Kids,현진,2,6,6,6,일치,
Stray Kids,한,1,0,40,14,경계 매칭보다도 적음,Y
Stray Kids,필릭스,3,18,18,18,일치,
Stray Kids,승민,2,2,2,2,일치,
Stray Kids,아이엔,3,1,1,1,일치,
TWICE,나연,2,7,7,7,일치,
TWICE,정연,2,4,4,4,일치,
TWICE,모모,2,13,13,13,일치,
TWICE,사나,2,14,14,14,일치,
TWICE,지효,2,9,9,9,일치,
TWICE,미나,2,10,10,10,일치,
TWICE,다현,2,6,6,6,일치,
TWICE,채영,2,6,6,6,일치,
TWICE,쯔위,2,24,24,24,일치,
aespa,카리나,3,9,9,9,일치,
aespa,윈터,2,15,15,15,일치,
aespa,닝닝,2,14,14,14,일치,
aespa,지젤,2,9,9,9,일치,
god,박준형,3,2,2,2,일치,
god,윤계상,3,4,4,4,일치,
god,손호영,3,5,5,5,일치,
god,김태우,3,2,2,2,일치,
god,데니안,3,6,6,6,일치,
동방신기,유노윤호,4,19,19,19,일치,
동방신기,최강창민,4,14,14,14,일치,
레드벨벳,아이린,3,12,12,12,일치,
레드벨벳,슬기,2,9,9,9,일치,
레드벨벳,웬디,2,9,9,9,일치,
레드벨벳,조이,2,7,7,7,일치,
레드벨벳,예리,2,3,3,3,일치,
리센느(RESCENE),원이,2,15,15,11,일치,Y
리센느(RESCENE),리브,2,6,6,6,일치,
리센느(RESCENE),미나미,3,7,7,7,일치,
리센느(RESCENE),메이,2,8,8,7,일치,
리센느(RESCENE),제나,2,7,7,7,일치,
마마무,화사,2,14,14,14,일치,
마마무,솔라,2,7,7,7,일치,
마마무,문별,2,9,9,9,일치,
마마무,휘인,2,5,5,5,일치,
빅뱅,지드래곤,4,15,15,15,일치,
빅뱅,태양,2,11,11,11,일치,
빅뱅,대성,2,5,5,5,일치,
빅뱅,탑,1,1,4,4,경계 매칭보다도 적음,Y
샤이니,태민,2,11,11,11,일치,
샤이니,키,1,5,5,3,일치,Y
샤이니,민호,2,12,12,12,일치,
샤이니,온유,2,9,9,9,일치,
소녀시대,태연,2,8,8,8,일치,
소녀시대,윤아,2,9,9,8,일치,
소녀시대,수영,2,6,6,6,일치,
소녀시대,유리,2,5,5,5,일치,
소녀시대,서현,2,5,5,5,일치,
소녀시대,티파니,3,5,5,5,일치,
소녀시대,효연,2,4,4,4,일치,
소녀시대,써니,2,1,1,1,일치,
소녀시대,제시카,3,3,3,3,일치,
슈퍼주니어,규현,2,2,2,2,일치,
슈퍼주니어,희철,2,6,6,2,일치,Y
슈퍼주니어,이특,2,2,2,2,일치,
슈퍼주니어,신동,2,2,2,2,일치,
슈퍼주니어,은혁,2,9,8,8,별칭·영문명 포함(기록>부분문자열),
슈퍼주니어,동해,2,7,7,6,일치,
슈퍼주니어,시원,2,5,5,3,일치,
슈퍼주니어,예성,2,2,2,2,일치,
아이오아이,임나영,3,3,3,3,일치,
아이오아이,청하,2,2,2,2,일치,
아이오아이,김세정,3,14,14,14,일치,
아이오아이,정채연,3,5,5,5,일치,
아이오아이,주결경,3,2,2,2,일치,
아이오아이,김소혜,3,2,2,2,일치,
아이오아이,유연정,3,2,2,2,일치,
아이오아이,최유정,3,3,3,3,일치,
아이오아이,강미나,3,3,3,3,일치,
아이오아이,김도연,3,3,3,3,일치,
아이오아이,전소미,3,5,5,5,일치,
아일릿,유나,2,1,1,1,일치,
아일릿,민주,2,4,4,4,일치,
아일릿,모카,2,8,8,8,일치,
아일릿,원희,2,9,9,9,일치,
아일릿,이로하,3,11,11,11,일치,
엔믹스,설윤,2,5,5,5,일치,
엔믹스,배이,2,3,3,3,일치,
엔믹스,릴리,2,7,7,7,일치,
엔믹스,지우,2,1,1,1,일치,
엔믹스,규진,2,1,1,1,일치,
엔믹스,해원,2,7,7,7,일치,
여자친구,소원,2,1,1,1,일치,
여자친구,예린,2,5,5,4,일치,
여자친구,은하,2,4,4,4,일치,
여자친구,유주,2,3,3,3,일치,
여자친구,신비,2,7,7,7,일치,
여자친구,엄지,2,3,3,3,일치,
오마이걸,효정,2,7,7,7,일치,
오마이걸,미미,2,8,8,8,일치,
오마이걸,유아,2,4,4,4,일치,
오마이걸,승희,2,6,6,6,일치,
오마이걸,유빈,2,2,2,2,일치,
오마이걸,아린,2,6,6,6,일치,
워너원,윤지성,3,4,4,4,일치,
워너원,하성운,3,4,4,4,일치,
워너원,황민현,3,2,2,2,일치,
워너원,옹성우,3,7,7,7,일치,
워너원,김재환,3,2,2,2,일치,
워너원,강다니엘,4,10,10,10,일치,
워너원,박지훈,3,6,6,6,일치,
워너원,박우진,3,2,2,2,일치,
워너원,배진영,3,1,1,1,일치,
워너원,이대휘,3,4,4,4,일치,
워너원,라이관린,4,5,5,5,일치,
잭스키스,은지원,3,7,7,7,일치,
잭스키스,이재진,3,3,3,3,일치,
잭스키스,김재덕,3,7,7,7,일치,
잭스키스,장수원,3,2,2,2,일치,
프로미스나인,하영,2,2,2,0,일치,
프로미스나인,지원,2,2,2,0,일치,
프로미스나인,채영,2,5,5,1,일치,Y
프로미스나인,나경,2,6,6,1,일치,Y
프로미스나인,지헌,2,2,2,0,일치,
